Multiple mechanisms involved in the large-spectrum therapeutic potential of cannabidiol in psychiatric disorders,Alline Cristina Campos; Fabricio Araujo Moreira; Felipe Villela Gomes; Elaine Aparecida Del Bel; Francisco Silveira Guimaraes,Cannabidiol (CBD) is a major phytocannabinoid present in the Cannabis sativa plant. Itlacks the psychotomimetic and other psychotropic effects that the main plant compound Δ 9-tetrahydrocannabinol (THC) being able; on the contrary; to antagonize these effects. Thisproperty; together with its safety profile; was an initial stimulus for the investigation of CBDpharmacological properties. It is now clear that CBD has therapeutic potential over a widerange of non-psychiatric and psychiatric disorders such as anxiety; depression andpsychosis. Although the pharmacological effects of CBD in different biological systems havebeen extensively investigated by in vitro studies; the mechanisms responsible for itstherapeutic potential are still not clear. Here; we review recent in vivo studies indicating thatthese mechanisms are not unitary but rather depend on the behavioural response being …,Phil. Trans. R. Soc. B,2012,148
The anxiolytic-like effects of cannabidiol injected into the bed nucleus of the stria terminalis are mediated by 5-HT1A receptors,Felipe V Gomes; Leonardo BM Resstel; Francisco S Guimarães,Abstract Rationale Cannabidiol (CBD) is a non-psychotomimetic compound from Cannabissativa that induces anxiolytic-like effects in rodents and humans after systemicadministration. Previous results from our group showed that CBD injection into the bednucleus of the stria terminalis (BNST) attenuates conditioned aversive responses. The aim ofthis study was to further investigate the role of this region on the anxiolytic effects of the CBD.Moreover; considering that CBD can activate 5-HT1A receptors; we also verified a possibleinvolvement of these receptors in those effects. Methods Male Wistar rats received injectionsof CBD (15; 30; or 60 nmol) into the BNST and were exposed to the elevated plus-maze(EPM) or to the Vogel conflict test (VCT); two widely used animal models of anxiety. ResultsCBD increased open arms exploration in the EPM as well as the number of punished …,Psychopharmacology,2011,91
Mechanisms in the bed nucleus of the stria terminalis involved in control of autonomic and neuroendocrine functions: a review,Carlos C Crestani; Fernando HF Alves; Felipe V Gomes; Leonardo Resstel; Fernando Correa; James P Herman,The bed nucleus of the stria terminalis (BNST) is a heterogeneous and complex limbicforebrain structure; which plays an important role in controlling autonomic; neuroendocrineand behavioral responses. The BNST is thought to serve as a key relay connecting limbicforebrain structures to hypothalamic and brainstem regions associated with autonomic andneuroendocrine functions. Its control of physiological and behavioral activity is mediated bylocal action of numerous neurotransmitters. In the present review we discuss the role of theBNST in control of both autonomic and neuroendocrine function. A description of BNSTcontrol of cardiovascular and hypothalamus-pituitary-adrenal axisactivity at rest and duringphysiological challenges (stress and physical exercise) is presented. Moreover; evidence formodulation of hypothalamic magnocellular neurons activity is also discussed. We attempt …,Current neuropharmacology,2013,85
Cannabidiol inhibitory effect on marble-burying behaviour: involvement of CB1 receptors,Plinio C Casarotto; Felipe V Gomes; Leonardo BM Resstel; Francisco S Guimarães,Obsessive–compulsive disorder (OCD) is an anxiety disorder characterized by theoccurrence of obsessions (defined as recurrent; excessive thoughts; attempted to be ignoredand recognized as a mind product) and compulsions (defined as repetitive behaviours ormental acts). The involvement of serotonin in the pathogenesis of OCD has been proposed;based on the effectiveness of serotonin reuptake inhibitors (SRIs); but not noradrenalinuptake inhibitors; in OCD patients (Dolberg et al.; 1996; for review see Abramowitz et al.;2009). However; meta-analysis of clinical data indicates that these drugs are not alwayseffective; being often associated with the presence of residual symptoms and lowresponsiveness,Behavioural pharmacology,2010,67
Cannabidiol injected into the bed nucleus of the stria terminalis reduces the expression of contextual fear conditioning via 5-HT1A receptors,Felipe V Gomes; Daniel G Reis; Fernando HF Alves; Fernando MA Corrêa; Francisco S Guimaraes; Leonardo BM Resstel,Systemic administration of cannabidiol (CBD) attenuates cardiovascular and behavioralchanges induced by re-exposure to a context that had been previously paired withfootshocks. Previous results from our group using cFos immunohistochemistry suggestedthat the bed nucleus of the stria terminalis (BNST) is involved in this effect. The mechanismsof CBD effects are still poorly understood; but could involve 5-HT1A receptor activation.Thus; the present work investigated if CBD administration into the BNST would attenuate theexpression of contextual fear conditioning and if this effect would involve the activation of 5-HT1A receptors. Male Wistar rats with cannulae bilaterally implanted into the BNST weresubmitted to a 10 min conditioning session (six footshocks; 1.5 mA/3 s). Twenty-four hourslater freezing and cardiovascular responses (mean arterial pressure and heart rate) to the …,Journal of Psychopharmacology,2012,47
Facilitation of CB1 receptor-mediated neurotransmission decreases marble burying behavior in mice,Felipe V Gomes; Plinio C Casarotto; Leonardo BM Resstel; Francisco S Guimarães,Abstract Obsessive–compulsive disorder (OCD) is a common psychiatric disordercharacterized by the occurrence of obsessions and compulsions. Glutamatergicabnormalities have been related to the pathophysiology of OCD. Cannabinoids inhibitglutamate release in the central nervous system; but the involvement of drugs targeting theendocannabinoid system has not yet been tested in animal models of repetitive behavior.Thus; the aim of the present study was to verify the effects of the CB1 receptor agonistWIN55; 212-2; the inhibitor of anandamide uptake AM404 and the anandamide hydrolysisinhibitor URB597; on compulsive-associate behavior in male C57BL/6J mice submitted tothe marble burying test (MBT); an animal model used for anti-compulsive drug screening.WIN55; 212-2 (1 and 3 mg/kg); AM404 (1 and 3 mg/kg) and URB597 (0.1; 0.3 and 1 mg …,Progress in Neuro-Psychopharmacology and Biological Psychiatry,2011,43
Decreased glial reactivity could be involved in the antipsychotic-like effect of cannabidiol,Felipe V Gomes; Ricardo Llorente; Elaine A Del Bel; Maria-Paz Viveros; Meritxell López-Gallardo; Francisco S Guimarães,Abstract NMDA receptor hypofunction could be involved; in addition to the positive; also tothe negative symptoms and cognitive deficits found in schizophrenia patients. An increasingnumber of data has linked schizophrenia with neuroinflammatory conditions and glial cells;such as microglia and astrocytes; have been related to the pathogenesis of schizophrenia.Cannabidiol (CBD); a major non-psychotomimetic constituent of Cannabis sativa with anti-inflammatory and neuroprotective properties induces antipsychotic-like effects. The presentstudy evaluated if repeated treatment with CBD (30 and 60mg/kg) would attenuate thebehavioral and glial changes observed in an animal model of schizophrenia based on theNMDA receptor hypofunction (chronic administration of MK-801; an NMDA receptorantagonist; for 28days). The behavioral alterations were evaluated in the social …,Schizophrenia research,2015,37
Cannabidiol attenuates catalepsy induced by distinct pharmacological mechanisms via 5-HT1A receptor activation in mice,Felipe V Gomes; Elaine A Del Bel; Francisco S Guimarães,Abstract Cannabidiol (CBD) is a non-psychotomimetic compound from Cannabis sativaplant that produces antipsychotic effects in rodents and humans. It also reverses L-dopa-induced psychotic symptoms and improves motor function in Parkinson's patients. This lattereffect raised the possibility that CBD could have beneficial effects on motor related striataldisorders. To investigate this possibility we evaluated if CBD would prevent catalepsyinduced by drugs with distinct pharmacological mechanisms. The catalepsy test is largelyused to investigate impairments of motor function caused by interference on striatal function.Male Swiss mice received acute pretreatment with CBD (5; 15; 30 or 60 mg/kg; ip) 30 minprior to the D 2 receptor antagonist haloperidol (0.6 mg/kg); the non-selective nitric oxidesynthase (NOS) inhibitor L-nitro-N-arginine (L-NOARG; 80 mg/kg) or the CB 1 receptor …,Progress in Neuro-Psychopharmacology and Biological Psychiatry,2013,28
Cannabidiol injected into the bed nucleus of the stria terminalis modulates baroreflex activity through 5-HT1A receptors,Fernando HF Alves; Carlos C Crestani; Felipe V Gomes; Francisco S Guimarães; Fernando MA Correa; Leonardo BM Resstel,Abstract Cannabidiol (CBD) is a non-psychotomimetic constituent of the Cannabis sativaplant that inhibits behavioral and cardiovascular responses to aversive situations; facilitating5-HT 1A-mediated neurotransmission. Previous results from our group suggest that the bednucleus of the stria terminalis (BNST) may be involved in CBD's anti-aversive effects. Toinvestigate whether the cardiovascular effects of the CBD could involve a direct drug effecton the BNST; we evaluated the effects of CBD microinjection into this structure on baroreflexactivity. We also verified whether these effects were mediated by the activation of 5-HT 1Areceptors. Bilateral microinjection of CBD (60 nmol/100 nL) into the BNST increased thebradycardiac response to arterial pressure increases. However; no changes were observedin tachycardiac responses evoked by arterial pressure decreases. Pretreatment of the …,Pharmacological research,2010,28
Cannabidiol attenuates sensorimotor gating disruption and molecular changes induced by chronic antagonism of NMDA receptors in mice,Felipe V Gomes; Ana Carolina Issy; Frederico R Ferreira; Maria-Paz Viveros; Elaine A Del Bel; Francisco S Guimarães,Abstract Background: Preclinical and clinical data suggest that cannabidiol (CBD); a majornon-psychotomimetic compound from Cannabis sativa; induces antipsychotic-like effects.However; the antipsychotic properties of repeated CBD treatment have been poorlyinvestigated. Behavioral changes induced by repeated treatment with glutamate N-methyl-D-aspartate receptor (NMDAR) antagonists have been proposed as an animal model ofschizophrenia-like signs. In the present study; we evaluated if repeated treatment with CBDwould attenuate the behavioral and molecular modifications induced by chronicadministration of one of these antagonists; MK-801. Methods: Male C57BL/6J mice receiveddaily ip injections of MK-801 (0.1; 0.5; or 1mg/kg) for 14; 21; or 28 days. Twenty-four hoursafter the last injection; animals were submitted to the prepulse inhibition (PPI) test. After …,International Journal of Neuropsychopharmacology,2015,24
