A survey on concept drift adaptation,João Gama; Indrė Žliobaitė; Albert Bifet; Mykola Pechenizkiy; Abdelhamid Bouchachia,Abstract Concept drift primarily refers to an online supervised learning scenario when therelation between the input data and the target variable changes over time. Assuming ageneral knowledge of supervised learning in this article; we characterize adaptive learningprocesses; categorize existing strategies for handling concept drift; overview the mostrepresentative; distinct; and popular techniques and algorithms; discuss evaluationmethodology of adaptive algorithms; and present a set of illustrative applications. The surveycovers the different facets of concept drift in an integrated way to reflect on the existingscattered state of the art. Thus; it aims at providing a comprehensive introduction to theconcept drift adaptation for researchers; industry analysts; and practitioners.,ACM computing surveys (CSUR),2014,562
Predicting Students Drop Out: A Case Study.,Gerben W Dekker; Mykola Pechenizkiy; Jan M Vleeshouwers,Abstract. The monitoring and support of university freshmen is considered very important atmany educational institutions. In this paper we describe the results of the educational datamining case study aimed at predicting the Electrical Engineering (EE) students drop out afterthe first semester of their studies or even before they enter the study program as well asidentifying success-factors specific to the EE program. Our experimental results show thatrather simple and intuitive classifiers (decision trees) give a useful result with accuraciesbetween 75 and 80%. Besides; we demonstrate the usefulness of cost-sensitive learningand thorough analysis of misclassifications; and show a few ways of further predictionimprovement without having to collect additional data about the students.,International Working Group on Educational Data Mining,2009,279
Diversity in search strategies for ensemble feature selection,Alexey Tsymbal; Mykola Pechenizkiy; Pádraig Cunningham,Abstract Ensembles of learnt models constitute one of the main current directions in machinelearning and data mining. Ensembles allow us to achieve higher accuracy; which is often notachievable with single models. It was shown theoretically and experimentally that in orderfor an ensemble to be effective; it should consist of base classifiers that have diversity in theirpredictions. One technique; which proved to be effective for constructing an ensemble ofdiverse base classifiers; is the use of different feature subsets; or so-called ensemble featureselection. Many ensemble feature selection strategies incorporate diversity as an objectivein the search for the best collection of feature subsets. A number of ways are known toquantify diversity in ensembles of classifiers; and little research has been done about theirappropriateness to ensemble feature selection. In this paper; we compare five measures …,Information fusion,2005,270
Handbook of educational data mining,Cristobal Romero; Sebastian Ventura; Mykola Pechenizkiy; Ryan SJd Baker,Handbook of Educational Data Mining (EDM) provides a thorough overview of the currentstate of knowledge in this area. The first part of the book includes nine surveys and tutorialson the principal data mining techniques that have been applied in education. The secondpart presents a set of 25 case studies that give a rich overview of the problems that EDM hasaddressed. Researchers at the Forefront of the Field Discuss Essential Topics and the LatestAdvances With contributions by well-known researchers from a variety of fields; the bookreflects the multidisciplinary nature of the EDM community. It brings the educational and datamining communities together; helping education experts understand what types of questionsEDM can address and helping data miners understand what types of questions areimportant to educational design and educational decision making. Encouraging readers …,*,2010,249
AH 12 years later: a comprehensive survey of adaptive hypermedia methods and techniques,Evgeny Knutov; Paul De Bra; Mykola Pechenizkiy,A hypermedia application offers its users much freedom to navigate through a largehyperspace. Adaptive hypermedia (AH) offers personalized content; presentation; andnavigation support. Many adaptive hypermedia systems (AHS) are tightly integrated withone specific application and/or use a limited number of techniques and methods. Thismakes it difficult to capture all of them in one generic model. In this paper we examineadaptation questions stated in the very beginning of the AH era and elaborate on theirrecent interpretations. We will reconsider design issues for application independent genericAHS; review open questions of system extensibility introduced in adjacent research fieldsand try to come up with an up-to-date taxonomy of adaptation techniques and an extensiveset of requirements for a new adaptive system reference model or architecture; to be …,New Review of Hypermedia and Multimedia,2009,201
Dynamic integration of classifiers for handling concept drift,Alexey Tsymbal; Mykola Pechenizkiy; Pádraig Cunningham; Seppo Puuronen,Abstract In the real world concepts are often not stable but change with time. A typicalexample of this in the biomedical context is antibiotic resistance; where pathogen sensitivitymay change over time as new pathogen strains develop resistance to antibiotics that werepreviously effective. This problem; known as concept drift; complicates the task of learning amodel from data and requires special approaches; different from commonly used techniquesthat treat arriving instances as equally important contributors to the final concept. Theunderlying data distribution may change as well; making previously built models useless.This is known as virtual concept drift. Both types of concept drifts make regular updates ofthe model necessary. Among the most popular and effective approaches to handle conceptdrift is ensemble learning; where a set of models built over different time periods is …,Information fusion,2008,198
Handling concept drift in process mining,RP Jagadeesh Chandra Bose; Wil MP van der Aalst; Indrė Žliobaitė; Mykola Pechenizkiy,Abstract Operational processes need to change to adapt to changing circumstances; eg;new legislation; extreme variations in supply and demand; seasonal effects; etc. While thetopic of flexibility is well-researched in the BPM domain; contemporary process miningapproaches assume the process to be in steady state. When discovering a process modelfrom event logs; it is assumed that the process at the beginning of the recorded period is thesame as the process at the end of the recorded period. Obviously; this is often not the casedue to the phenomenon known as concept drift. While cases are being handled; the processitself may be changing. This paper presents an approach to analyze such second-orderdynamics. The approach has been implemented in ProM and evaluated by analyzing anevolving process.,International Conference on Advanced Information Systems Engineering,2011,131
Discrimination aware decision tree learning,Faisal Kamiran; Toon Calders; Mykola Pechenizkiy,Recently; the following discrimination aware classification problem was introduced: given alabeled dataset and an attribute B; find a classifier with high predictive accuracy that at thesame time does not discriminate on the basis of the given attribute B. This problem ismotivated by the fact that often available historic data is biased due to discrimination; eg;when B denotes ethnicity. Using the standard learners on this data may lead to wrongfullybiased classifiers; even if the attribute B is removed from training data. Existing solutions forthis problem consist in “cleaning away” the discrimination from the dataset before a classifieris learned. In this paper we study an alternative approach in which the non-discriminationconstraint is pushed deeply into a decision tree learner by changing its splitting criterion andpruning strategy. Experimental evaluation shows that the proposed approach advances …,Data Mining (ICDM); 2010 IEEE 10th International Conference on,2010,113
What's your current stress level? Detection of stress patterns from GSR sensor data,Jorn Bakker; Mykola Pechenizkiy; Natalia Sidorova,The problem of job stress is generally recognized as one of the major factors leading to aspectrum of health problems. People with certain professions; like intensive care specialistsor call-center operators; and people in certain phases of their lives; like working parents withyoung children; are at increased risk of getting overstressed. Stress management shouldstart far before the stress start causing illnesses. The current state of sensor technologyallows to develop systems measuring physical symptoms reflecting the stress level. In thispaper we (1) formulate the problem of stress identification and categorization from thesensor data stream mining perspective;(2) consider a reductionist approach for arousalidentification as a drift detection task;(3) highlight the major problems of dealing with GSRdata; collected from a watch-style stress measurement device in normal (ie in non-lab) …,Data Mining Workshops (ICDMW); 2011 IEEE 11th International Conference on,2011,105
A response time model for bottom-out hints as worked examples,Benjamin Shih; Kenneth R Koedinger; Richard Scheines,Students. sometimes. use. an. educational. system's. help. in. unexpected. ways.. For.example;. they. may. bypass. abstract. hints. in. search. of. a. concrete. example.. This.behavior. has. traditionally. been. labeled. as. gaming. or. help. abuse.. In. this. chapter;. we.propose. that. some. examples. of. this. behavior. are. not. abusive. and. that. bottom-out.hints. can. serve. as. worked. examples.. To. demonstrate. this;. we. create. a. model. for.distinguishing. good. bottom-out. hint. use. from. bad. bottom-out. hint. use. by. analyzing.logged. response. times.. This. model. not. only. predicts. learning;. but. captures. behaviors.related. to. self-explanation. There. is. a. large. body. of. research. on. measuring. students'.affective. and. metacognitive. states.. The. goals. of. this. research. range. from. adapting.instruction. to. individual. needs. to. designing. interventions. that. change. affective. states …,Handbook of educational data mining,2011,95
Graph-based n-gram language identification on short texts,Erik Tromp; Mykola Pechenizkiy,Abstract Language identification (LI) is an important task in natural language processing.Several machine learning approaches have been proposed for addressing this problem; butmost of them assume relatively long and well written texts. We propose a graph-based N-gram approach for LI called LIGA which targets relatively short and ill-written texts. Theresults of our experimental study show that LIGA outperforms the state-of-the-art N-gramapproach on Twitter messages LI.,Proc. 20th Machine Learning conference of Belgium and The Netherlands,2011,80
Dealing with concept drifts in process mining,RP Jagadeesh Chandra Bose; Wil MP Van Der Aalst; Indre Zliobaite; Mykola Pechenizkiy,Although most business processes change over time; contemporary process miningtechniques tend to analyze these processes as if they are in a steady state. Processes maychange suddenly or gradually. The drift may be periodic (eg; because of seasonalinfluences) or one-of-a-kind (eg; the effects of new legislation). For the processmanagement; it is crucial to discover and understand such concept drifts in processes. Thispaper presents a generic framework and specific techniques to detect when a processchanges and to localize the parts of the process that have changed. Different features areproposed to characterize relationships among activities. These features are used to discoverdifferences between successive populations. The approach has been implemented as aplug-in of the ProM process mining framework and has been evaluated using both …,IEEE transactions on neural networks and learning systems,2014,72
