Mining email social networks,Christian Bird; Alex Gourley; Prem Devanbu; Michael Gertz; Anand Swaminathan,Abstract Communication & Co-ordination activities are central to large software projects; butare difficult to observe and study in traditional (closed-source; commercial) settings becauseof the prevalence of informal; direct communication modes. OSS projects; on the other hand;use the internet as the communication medium; and typically conduct discussions in anopen; public manner. As a result; the email archives of OSS projects provide a useful trace ofthe communication and co-ordination activities of the participants. However; there arevarious challenges that must be addressed before this data can be effectively mined. Oncethis is done; we can construct social networks of email correspondents; and begin toaddress some interesting questions. These include questions relating to participation in theemail; the social status of different types of OSS participants; the relationship of email …,Proceedings of the 2006 international workshop on Mining software repositories,2006,555
Demids: A misuse detection system for database systems,Christina Yip Chung; Michael Gertz; Karl Levitt,Abstract Despite the necessity of protecting information stored in database systems (DBS);existing security models are insufficient to prevent misuse; especially insider abuse bylegitimate users. Further; concepts for misuse detection in DBS have not been adequatelyaddressed by existing research in misuse detection. Even though there are available meansto guard the information stored in a database system against misuse; they are seldom usedby security officers because security policies of the organization are either imprecise or notknown at all. This paper presents a misuse detection system called DEMIDS which istailored to relational database systems. DEMIDS uses audit logs to derive profiles thatdescribe typical behavior of users working with the DBS. The profiles computed can be usedto detect misuse behavior; in particular insider abuse. Furthermore; the profiles can serve …,*,2000,279
Authentic third-party data publication,Premkumar Devanbu; Michael Gertz; Charles Martel; Stuart G Stubblebine,Abstract Integrity critical databases; such as financial data used in high-value decisions; arefrequently published over the Internet. Publishers of such data must satisfy the integrity;authenticity; and non-repudiation requirements of clients. Providing this protection overpublic networks is costly. This is partly because building and running secure systems ishard. In practice; large systems can not be verified to be secure and are frequentlypenetrated. The consequences of a system intrusion at the data publisher can be severe.This is further complicated by data and server replication to satisfy availability and scalabilityrequirements. We aim to reduce the trust required of the publisher of large; infrequentlyupdated databases. To do this; we separate the roles of owner and publisher. With a fewtrusted digital signatures from the owner; an untrusted publisher can use techniques …,*,2002,277
Heideltime: High quality rule-based extraction and normalization of temporal expressions,Jannik Strötgen; Michael Gertz,Abstract In this paper; we describe HeidelTime; a system for the extraction and normalizationof temporal expressions. HeidelTime is a rule-based system mainly using regularexpression patterns for the extraction of temporal expressions and knowledge resources aswell as linguistic clues for their normalization. In the TempEval-2 challenge; HeidelTimeachieved the highest F-Score (86%) for the extraction and the best results in assigning thecorrect value attribute; ie; in understanding the semantics of the temporal expressions.,Proceedings of the 5th International Workshop on Semantic Evaluation,2010,238
A general model for authenticated data structures,Charles Martel; Glen Nuckolls; Premkumar Devanbu; Michael Gertz; April Kwong; Stuart G Stubblebine,Abstract Query answers from on-line databases can easily be corrupted by hackers ormalicious database publishers. Thus it is important to provide mechanisms which allowclients to trust the results from on-line queries. Authentic publication allows untrustedpublishers to answer securely queries from clients on behalf of trusted off-line data owners.Publishers validate answers using hard-to-forge verification objects VOs); which clients cancheck efficiently. This approach provides greater scalability; by making it easy to add morepublishers; and better security; since on-line publishers do not need to be trusted. To makeauthentic publication attractive; it is important for the VOs to be small; efficient to compute;and efficient to verify. This has lead researchers to develop independently several differentschemes for efficient VO computation based on specific data structures. Our goal is to …,Algorithmica,2004,203
On the value of temporal information in information retrieval,Omar Alonso; Michael Gertz; Ricardo Baeza-Yates,Abstract Time is an important dimension of any information space and can be very useful ininformation retrieval. Current information retrieval systems and applications do not takeadvantage of all the time information available in the content of documents to provide bettersearch results and user experience. In this paper we show some of the areas that canbenefit from exploiting such temporal information.,ACM SIGIR Forum,2007,193
Flexible authentication of XML documents,Premkumar Devanbu; Michael Gertz; April Kwong; Charles Martel; Glen Nuckolls; Stuart G Stubblebine,Abstract XML is increasingly becoming the format of choice for information exchange on theInternet. As this trend grows; one can expect that documents (or collections thereof) may getquite large; and clients may wish to query for specific segments of these documents. Incritical areas such as healthcare; law and finance; integrity is essential. In such applications;clients must be assured that they are getting complete and correct answers to their queries.Existing methods for signing XML documents cannot be used to establish that an answer toa query is complete. A simple approach has a server processing queries and certifyinganswers by digitally signing them with an on-line private key; however; the server; and its on-line private key; would be vulnerable to external hacking and insider attacks. We propose anew approach to signing XML documents which allows untrusted servers to answer …,Journal of Computer Security,2004,166
Temporal information retrieval,Omar Rogelio Alonso,Abstract Time is an important dimension of any information space and can be very useful ininformation retrieval tasks such as document exploration; similarity search; and clustering.As search applications keep gathering new and diverse information sources; presentingrelevant information anchored in time becomes more important for exploration purposes.,*,2008,159
A model and framework for visualization exploration,TJ Jankun-Kelly; Kwan-Liu Ma; Michael Gertz,Visualization exploration is the process of extracting insight from data via interaction withvisual depictions of that data. Visualization exploration is more than presentation; theinteraction with both the data and its depiction is as important as the data and depictionitself. Significant visualization research has focused on the generation of visualizations (thedepiction); less effort has focused on the exploratory aspects of visualization (the process).However; without formal models of the process; visualization exploration sessions cannot befully utilized to assist users and system designers. Toward this end; we introduce the P-Setmodel of visualization exploration for describing this process and a framework toencapsulate; share; and analyze visual explorations. In addition; systems utilizing the modeland framework are more efficient as redundant exploration is avoided. Several examples …,IEEE Transactions on Visualization and Computer Graphics,2007,156
Authentic data publication over the Internet,Premkumar Devanbu; Michael Gertz; Charles Martel; Stuart G Stubblebine,Abstract Integrity critical databases; such as financial information used in high-valuedecisions; are frequently published over the Internet. Publishers of such data must satisfy theintegrity; authenticity; and non-repudiation requirements of clients. Providing this protectionover public data networks is an expensive proposition. This is; in part; due to the difficulty ofbuilding and running secure systems. In practice; large systems can not be verified to besecure and are frequently penetrated. The negative consequences of a system intrusion atthe publisher can be severe. The problem is further complicated by data and serverreplication to satisfy availability and scalability requirements.,Journal of Computer Security,2003,155
