Logic programming and databases,Stefano Ceri; Georg Gottlob; Letizia Tanca,The topic of logic programming and databases. has gained in creasing interest in recentyears. Several events have marked the rapid evolution of this field: the selection; by theJapanese Fifth Generation Project; of Prolog and of the relational data model as the basis forthe development of new machine archi tectures; the focusing of research in database theoryon logic queries and on recursive query processing; and the pragmatic; application-orienteddevelopment of expert database systems and of knowledge-base systems. As a result; anenormous amount of work has been produced in the recent literature; coupled with thespontaneous growth of several advanced projects in this area. The goal of this book is topresent a systematic overview of a rapidly evolving discipline; which is presently notdescribed with the same approach in other books. We intend to introduce stu dents and …,*,2012,1074
What you always wanted to know about Datalog (and never dared to ask),Stefano Ceri; Georg Gottlob; Letizia Tanca,Datalog; a database query language based on the logic programming paradigm; isdescribed. The syntax and semantics of Datalog and its use for querying a relationaldatabase are presented. Optimization methods for achieving efficient evaluations of Datalogqueries are classified; and the most relevant methods are presented. Various improvementsof Datalog currently under study are discussed; and what is still needed in order to extendDatalog's applicability to the solution of real-life problems is indicated.,IEEE transactions on knowledge and data engineering,1989,636
XML-GL: a graphical language for querying and restructuring XML documents1,Stefano Ceri; Sara Comai; Ernesto Damiani; Piero Fraternali; Stefano Paraboschi; Letizia Tanca,Abstract The growing acceptance of XML as a standard for semi-structured documents onthe Web opens up challenging opportunities for Web query languages. In this paper weintroduce XML-GL; a graphical query language for XML documents. The use of a visualformalism for representing both the content of XML documents (and of their DTDs) and thesyntax and semantics of queries enables an intuitive expression of queries; even when theyare rather complex. XML-GL is inspired by G-log; a general purpose; logic-based languagefor querying structured and semi-structured data. The paper presents the basic capabilitiesof XML-GL through a sequence of examples of increasing complexity.,Computer networks,1999,405
A data-oriented survey of context models,Cristiana Bolchini; Carlo A Curino; Elisa Quintarelli; Fabio A Schreiber; Letizia Tanca,Abstract Context-aware systems are pervading everyday life; therefore context modeling isbecoming a relevant issue and an expanding research field. This survey has the goal toprovide a comprehensive evaluation framework; allowing application designers to comparecontext models with respect to a given target application; in particular we stress the analysisof those features which are relevant for the problem of data tailoring. The contribution of thispaper is twofold: a general analysis framework for context models and an up-to-datecomparison of the most interesting; data-oriented approaches available in the literature.,ACM Sigmod Record,2007,376
Integrating object-oriented data modelling with a rule-based programming paradigm,Filippo Cacace; Stefano Ceri; Stefano Crespi-Reghizzi; Letizia Tanca; Roberto Zicari,Abstract LOGRES is a new project for the development of extended database systems whichis based on the integration of the object-oriented data modelling paradigm and of the rule-based approach for the specification of queries and updates. The data model supportsgeneralization hierarchies and object sharing; the rule-based language extends Datalog tosupport generalized type constructors (sets; multisets; and sequences); rule-based integrityconstraints are automatically produced by analyzing schema definitions. Modularization is afundamental feature; as modules encapsulate queries and updates; when modules areapplied to a LOGRES database; their side effects can be controlled. The LOGRES project isa follow-up of the ALGRES project; and takes advantage of the ALGRES programmingenvironment for the development of a fast prototype.,ACM SIGMOD Record,1990,216
Automatic generation of production rules for integrity maintenance,Stefano Ceri; Piero Fraternali; Stefano Paraboschi; Letizia Tanca,Abstract In this article we present an approach to integrity maintenance; consisting ofautomatically generating production rules for integrity enforcement. Constraints areexpressed as particular formulas of Domain Relational Calculus; they are automaticallytranslated into a set of repair actions; encoded as production rules of an active databasesystem. Production rules may be redundant (they enforce the same constraint in differentways) and conflicting (because repairing one constraint may cause the violation of anotherconstraint). Thus; it is necessary to develop techniques for analyzing the properties of the setof active rules and for ensuring that any computation of production rules after any incorrecttransaction terminates and produces a consistent database state. Along these guidelines;we describe a specific architecture for constraint definition and enforcement. The …,ACM Transactions on Database Systems (TODS),1994,202
G-Log: A graph-based query language,Jan Paredaens; Peter Peelman; Letizia Tanca,We introduce G-Log; a declarative query language based on graphs; which combines theexpressive power of logic; the modeling power of complex objects with identity and therepresentation power of graphs. G-Log is a nondeterministic complete query language; andthus allows the expression of a large variety of queries. We compare G-Log to well-knowndeductive database languages; and find that it is the only nondeterministic andcomputationally complete language that does not suffer from the copy-elimination problem.G-Log may be used in a totally declarative way; as well as in a" more procedural" way. Thus;it provides an intuitive; flexible graph-based formalism for nonexpert database users.,IEEE Transactions on Knowledge and Data Engineering,1995,151
A structured approach for the definition of the semantics of active databases,Piero Fraternali; Letizia Tanca,Abstract Active DBMSs couple database technology with rule-based programming toachieve the capability of reaction to database (and possibly external) stimuli; called events.The reactive capabilities of active databases are useful for a wide spectrum of applications;including security; view materialization; integrity checking and enforcement; orheterogeneous database integration; which makes this technology very promising for thenear future. An active database system consists of a (passive) database and a set of activerules; the most popular form of active rule is the so-called event-condition-action (ECA) rule;which specifies an action to be executed upon the occurrence of one or more events;provided that a condition holds. Several active database systems and prototypes have beendesigned and partially or completely implemented. Unfortunately; they have been …,ACM Transactions on Database Systems (TODS),1995,117
Active rule management in Chimera,Ceri Stefano; Piero Fraternali; Paraboschi Stefano; Tanca Letizia,Segnalazioni con codici 20501/20503/20504: Alcuni dati obbligatori per il sito CINECA nonsono presenti o invalidi; oppure il sito CINECA non è riuscito ad individuare una rivista con idati forniti; è necessario controllare la correttezza dell'ISSN e/o EISSN dove applicabili e iltitolo della rivista.Segnalazioni con codici 20201/20202: La pubblicazione non è statatrasferita SOLO per i docenti segnalati nel messaggio a causa di problemi nell'anagraficaCINECA e/o di Ateneo (pe i codici fiscali non sono gli stessi) oppure perché si tratta didocenti che; pur essendo abilitati all'inserimento nel sistema di Ateneo; non hanno facoltà disincronizzare le proprie pubblicazioni in CINECA. Tutti gli altri eventuali coautori senzasegnalazione troveranno la pubblicazione correttamente nel proprio spazio personaleCINECA.,*,1996,112
Schema evolution in wikipedia: toward a web information system benchmark,Carlo A Curino; Letizia Tanca; Hyun J Moon; Carlo Zaniolo,Abstract Evolving the database that is at the core of an Information System represents adifficult maintenance problem that has only been studied in the framework of traditionalinformation systems. However; the problem is likely to be even more severe in webinformation systems; where open-source software is often developed through thecontributions and collaboration of many groups and individuals. Therefore; in this paper; wepresent an indepth analysis of the evolution history of the Wikipedia database and itsschema; Wikipedia is the best-known example of a large family of web information systemsbuilt using the open-source software MediaWiki. Our study is based on:(i) a set of SchemaModification Operators that provide a simple conceptual representation for complex schemachanges; and (ii) simple software tools to automate the analysis. This framework allowed …,In International Conference on Enterprise Information Systems (ICEIS,2008,98
