The researcher’s guide to the data deluge: Querying a scientific database in just a few seconds,Martin L Kersten; Stratos Idreos; Stefan Manegold; Erietta Liarou,ABSTRACT There is a clear need for interactive exploration of extremely large databases;especially in the area of scientific data management where ingestion of multiple Terabyteson a daily basis is foreseen. Unfortunately; current data management technology is not well-suited for such overwhelming demands. In light of these challenges; we should rethink someof the strict requirements database systems adopted in the past. We envision that nextgeneration database systems should interpret queries by their intent; rather than as acontract carved in stone for complete and correct answers. The result set should aid the userin understanding the database's content and provide guidance to continue the dataexploration journey. A scientist can stepwise explore deeper and deeper into the database;and stop when the result content and quality reaches his satisfaction point. At the same …,PVLDB Challenges and Visions,2011,85
Evaluating conjunctive triple pattern queries over large structured overlay networks,Erietta Liarou; Stratos Idreos; Manolis Koubarakis,Abstract We study the problem of evaluating conjunctive queries composed of triple patternsover RDF data stored in distributed hash tables. Our goal is to develop algorithms that scaleto large amounts of RDF data; distribute the query processing load evenly and incur littlenetwork traffic. We present and evaluate two novel query processing algorithms with thesepossibly conflicting goals in mind. We discuss the various tradeoffs that occur in our settingthrough a detailed experimental evaluation of the proposed algorithms.,International Semantic Web Conference,2006,74
Exploiting the power of relational databases for efficient stream processing,Erietta Liarou; Romulo Goncalves; Stratos Idreos,Abstract Stream applications gained significant popularity over the last years that lead to thedevelopment of specialized stream engines. These systems are designed from scratch witha different philosophy than nowadays database engines in order to cope with the streamapplications requirements. However; this means that they lack the power and sophisticatedtechniques of a full fledged database system that exploits techniques and algorithmsaccumulated over many years of database research. In this paper; we take the oppositeroute and design a stream engine directly on top of a database kernel. Incoming tuples aredirectly stored upon arrival in a new kind of system tables; called baskets. A continuousquery can then be evaluated over its relevant baskets as a typical one-time query exploitingthe power of the relational engine. Once a tuple has been seen by all relevant queries …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,61
Continuous RDF query processing over DHTs,Erietta Liarou; Stratos Idreos; Manolis Koubarakis,Abstract We study the continuous evaluation of conjunctive triple pattern queries over RDFdata stored in distributed hash tables. In a continuous query scenario network nodessubscribe with long-standing queries and receive answers whenever RDF triples satisfyingtheir queries are published. We present two novel query processing algorithms for thisscenario and analyze their properties formally. Our performance goal is to have algorithmsthat scale to large amounts of RDF data; distribute the storage and query processing loadevenly and incur as little network traffic as possible. We discuss the various performancetradeoffs that occur through a detailed experimental evaluation of the proposed algorithms.,*,2007,37
ATraPos: Adaptive transaction processing on hardware Islands,Danica Porobic; Erietta Liarou; Pinar Tozun; Anastasia Ailamaki,Nowadays; high-performance transaction processing applications increasingly run onmultisocket multicore servers. Such architectures exhibit non-uniform memory accesslatency as well as non-uniform thread communication costs. Unfortunately; traditional shared-everything database management systems are designed for uniform inter-corecommunication speeds. This causes unpredictable access latencies in the critical path.While lack of data locality may be a minor nuisance on systems with fewer than 4processors; it becomes a serious scalability limitation on larger systems due to accesses tocentralized data structures. In this paper; we propose ATraPos; a storage manager designthat is aware of the non-uniform access latencies of multisocket systems. ATraPos achievesgood data locality by carefully partitioning the data as well as internal data structures (eg …,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,36
dbTouch: Analytics at your Fingertips.,Stratos Idreos; Erietta Liarou,ABSTRACT As we enter the era of data deluge; turning data into knowledge has become themajor challenge across most sciences and businesses that deal with data. In addition; as weincrease our ability to create data; more and more people are confronted with datamanagement problems on a daily basis for numerous aspects of every day life. Afundamental need is data exploration through interactive tools; ie; being able to quickly andeffortlessly determine data and patterns of interest. However; modern database systemshave not been designed with data exploration and usability in mind; they require users withexpert knowledge and skills; while they react in a strict and monolithic way to every userrequest; resulting in correct answers but slow response times. In this paper; we introduce thevision of a new generation of data management systems; called dbTouch; our vision is to …,CIDR,2013,36
Continuous multi-way joins over distributed hash tables,Stratos Idreos; Erietta Liarou; Manolis Koubarakis,Abstract This paper studies the problem of evaluating continuous multi-way joins on top ofDistributed Hash Tables (DHTs). We present a novel algorithm; called recursive join (RJoin);that takes into account various parameters crucial in a distributed setting ie; network traffic;query processing load distribution; storage load distribution etc. The key idea of RJoin isincremental evaluation: as relevant tuples arrive continuously; a given multi-way join isrewritten continuously into a join with fewer join operators; and is assigned continuously todifferent nodes of the network. In this way; RJoin distributes the responsibility of evaluating acontinuous multi-way join to many network nodes by assigning parts of the evaluation ofeach binary join to a different node depending on the values of the join attributes. The actualnodes to be involved are decided by RJoin dynamically after taking into account the rate …,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,27
MonetDB/DataCell: online analytics in a streaming column-store,Erietta Liarou; Stratos Idreos; Stefan Manegold; Martin Kersten,Abstract In DataCell; we design streaming functionalities in a modern relational databasekernel which targets big data analytics. This includes exploitation of both itsstorage/execution engine and its optimizer infrastructure. We investigate the opportunitiesand challenges that arise with such a direction and we show that it carries significantadvantages for modern applications in need for online analytics such as web logs; networkmonitoring and scientific data management. The major challenge then becomes the efficientsupport for specialized stream features; eg; multi-query processing and incremental window-based processing as well as exploiting standard DBMS functionalities in a streamingenvironment such as indexing. This demo presents DataCell; an extension of the MonetDBopen-source column-store for online analytics. The demo gives users the opportunity to …,Proceedings of the VLDB Endowment,2012,24
A query language for a data refinery cell,Martin Kersten; Erietta Liarou; Romulo Goncalves,Abstract In this paper we propose the DataCell; an event management system designed asa flexible data hub in an ambient environment and we mainly focus on its languageinterface. The DataCell provides an orthogonal extension to SQL'03; called “basketexpressions”; which behave as predicate windows over multiple streams and which can bebulk processed for good resource utilization. The functionality offered by basket expressionsis illustrated with numerous examples to model complex event processing applications. TheDataCell capitalizes the architectural choices and performance characteristics of a moderncolumn-store relational DBMS. The design and implementation of the DataCell does notaffect the underlying database kernel and the SQL software stack. This means that theDataCell extends the functionality of the DBMS without hampering the already given …,Proc. Int. Workshop on Event-Driven Architecture; Processing and Systems,2007,20
Publish/subscribe with RDF data over large structured overlay networks,Erietta Liarou; Stratos Idreos; Manolis Koubarakis,Abstract We study the problem of evaluating RDF queries over structured overlay networks.We consider the publish/subscribe scenario where nodes subscribe with long-standingqueries and receive notifications whenever triples matching their queries are inserted in thenetwork. In this paper we focus on conjunctive multi-predicate queries. We demonstrate thatthese queries are useful in various modern applications eg; distributed digital libraries orGrid resource discovery. Conjunctive multi-predicate queries are hard to answer sincemultiple triples are necessary for their evaluation; and these triples will usually be inserted inthe network asynchronously. We present and evaluate query processing algorithms that arescalable and distribute the query processing load evenly.,*,2007,19
Enhanced stream processing in a DBMS kernel,Erietta Liarou; Stratos Idreos; Stefan Manegold; Martin Kersten,Abstract Continuous query processing has emerged as a promising query processingparadigm with numerous applications. A recent development is the need to handle bothstreaming queries and typical one-time queries in the same application. For example; datawarehousing can greatly benefit from the integration of stream semantics; ie; online analysisof incoming data and combination with existing data. This is especially useful to provide lowlatency in data-intensive analysis in big data warehouses that are augmented with new dataon a daily basis. However; state-of-the-art database technology cannot handle streamsefficiently due to their" continuous" nature. At the same time; state-of-the-art streamtechnology is purely focused on stream applications. The research efforts are mostly gearedtowards the creation of specialized stream management systems built with a different …,Proceedings of the 16th International Conference on Extending Database Technology,2013,15
