TAG: A tiny aggregation service for ad-hoc sensor networks,Samuel Madden; Michael J Franklin; Joseph M Hellerstein; Wei Hong,Abstract We present the Tiny AGgregation (TAG) service for aggregation in low-power;distributed; wireless environments. TAG allows users to express simple; declarative queriesand have them distributed and executed efficiently in networks of low-power; wirelesssensors. We discuss various generic properties of aggregates; and show how thoseproperties affect the performance of our in network approach. We include a performancestudy demonstrating the advantages of our approach over traditional centralized; out-of-network methods; and discuss a variety of optimizations for improving the performance andfault tolerance of the basic solution.,ACM SIGOPS Operating Systems Review,2002,3860
Automatic subspace clustering of high dimensional data for data mining applications,Rakesh Agrawal; Johannes Gehrke; Dimitrios Gunopulos; Prabhakar Raghavan,Abstract Data mining applications place special requirements on clustering algorithmsincluding: the ability to find clusters embedded in subspaces of high dimensional data;scalability; end-user comprehensibility of the results; non-presumption of any canonical datadistribution; and insensitivity to the order of input records. We present CLIQUE; a clusteringalgorithm that satisfies each of these requirements. CLIQUE identifies dense clusters insubspaces of maximum dimensionality. It generates cluster descriptions in the form of DNFexpressions that are minimized for ease of comprehension. It produces identical resultsirrespective of the order in which input records are presented and does not presume anyspecific mathematical form for data distribution. Through experiments; we show that CLIQUEefficiently finds accurate cluster in large high dimensional datasets.,ACM Sigmod Record,1998,3209
Database management systems,Raghu Ramakrishnan; Johannes Gehrke,Page 1. Page 2. CONTENTS PREFACE xxii Part I BASICS 1 1 INTRODUCTION TO DATABASESYSTEMS 3 1.1 Overview 4 1.2 A Historical Perspective 5 1.3 File Systems versus a DBMS 71.4 Advantages of a DBMS 8 1.5 Describing and Storing Data in a DBMS 9 1.5.1 The RelationalModel 10 1.5.2 Levels of Abstraction in a DBMS 11 1.5.3 Data Independence 14 1.6 Queries ina DBMS 15 1.7 Transaction Management 15 1.7.1 Concurrent Execution of Transactions 161.7.2 Incomplete Transactions and System Crashes 17 1.7.3 Points to Note 18 1.8 Structure ofa DBMS 18 1.9 People Who Deal with Databases 20 1.10 Points to Review 21 2 THEENTITY-RELATIONSHIP MODEL 24 2.1 Overview of Database Design 24 2.1.1 Beyond the ERModel 25 2.2 Entities; Attributes; and Entity Sets 26 2.3 Relationships and Relationship Sets 272.4 Additional Features of the ER Model 30 2.4.1 Key Constraints 30 …,*,2000,3014
l-diversity: Privacy beyond k-anonymity,Ashwin Machanavajjhala; Johannes Gehrke; Daniel Kifer; Muthuramakrishnan Venkitasubramaniam,Publishing data about individuals without revealing sensitive information about them is animportant problem. In recent years; a new definition of privacy called\kappa-anonymity hasgained popularity. In a\kappa-anonymized dataset; each record is indistinguishable from atleast k—1 other records with respect to certain" identifying" attributes. In this paper we showwith two simple attacks that a\kappa-anonymized dataset has some subtle; but severeprivacy problems. First; we show that an attacker can discover the values of sensitiveattributes when there is little diversity in those sensitive attributes. Second; attackers oftenhave background knowledge; and we show that\kappa-anonymity does not guaranteeprivacy against attackers using background knowledge. We give a detailed analysis of thesetwo attacks and we propose a novel and powerful privacy definition called\ell-diversity. In …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,2058
L-diversity: Privacy beyond k-anonymity,Ashwin Machanavajjhala; Daniel Kifer; Johannes Gehrke; Muthuramakrishnan Venkitasubramaniam,In this article; we show using two simple attacks that a k-anonymized dataset has somesubtle but severe privacy problems. First; an attacker can discover the values of sensitiveattributes when there is little diversity in those sensitive attributes. This is a known problem.Second; attackers often have background knowledge; and we show that k-anonymity doesnot guarantee privacy against attackers using background knowledge. We give a detailedanalysis of these two attacks; and we propose a novel and powerful privacy criterion called l-diversity that can defend against such attacks. In addition to building a formal foundation for l-diversity; we show in an experimental evaluation that l-diversity is practical and can beimplemented efficiently.,ACM Transactions on Knowledge Discovery from Data (TKDD),2007,1929
The cougar approach to in-network query processing in sensor networks,Yong Yao; Johannes Gehrke,Abstract The widespread distribution and availability of small-scale sensors; actuators; andembedded processors is transforming the physical world into a computing platform. Onesuch example is a sensor network consisting of a large number of sensor nodes thatcombine physical sensing capabilities such as temperature; light; or seismic sensors withnetworking and computation capabilities. Applications range from environmental control;warehouse inventory; and health care to military environments. Existing sensor networksassume that the sensors are preprogrammed and send data to a central frontend where thedata is aggregated and stored for offline querying and analysis. This approach has twomajor drawbacks. First; the user cannot change the behavior of the system on the fly.Second; conservation of battery power is a major design factor; but a central system …,ACM Sigmod record,2002,1650
Gossip-based computation of aggregate information,David Kempe; Alin Dobra; Johannes Gehrke,Over the last decade; we have seen a revolution in connectivity between computers; and aresulting paradigm shift from centralized to highly distributed systems. With massive scalealso comes massive instability; as node and link failures become the norm rather than theexception. For such highly volatile systems; decentralized gossip-based protocols areemerging as an approach to maintaining simplicity and scalability while achieving fault-tolerant information dissemination. In this paper; we study the problem of computingaggregates with gossip-style protocols. Our first contribution is an analysis of simple gossip-based protocols for the computation of sums; averages; random samples; quantiles; andother aggregate functions; and we show that our protocols converge exponentially fast to thetrue answer when using uniform gossip. Our second contribution is the definition of a …,Foundations of Computer Science; 2003. Proceedings. 44th Annual IEEE Symposium on,2003,1267
Privacy preserving mining of association rules,Alexandre Evfimievski; Ramakrishnan Srikant; Rakesh Agrawal; Johannes Gehrke,Abstract We present a framework for mining association rules from transactions consisting ofcategorical items where the data has been randomized to preserve privacy of individualtransactions. While it is feasible to recover association rules and preserve privacy using astraightforward “uniform” randomization; the discovered rules can unfortunately be exploitedto find privacy breaches. We analyze the nature of privacy breaches and propose a class ofrandomization operators that are much more effective than uniform randomization in limitingthe breaches. We derive formulae for an unbiased support estimator and its variance; whichallow us to recover itemset supports from randomized datasets; and show how toincorporate these formulae into mining algorithms. Finally; we present experimental resultsthat validate the algorithm by applying it on real datasets.,Information Systems,2004,1129
Sequential pattern mining using a bitmap representation,Jay Ayres; Jason Flannick; Johannes Gehrke; Tomi Yiu,Abstract We introduce a new algorithm for mining sequential patterns. Our algorithm isespecially efficient when the sequential patterns in the database are very long. We introducea novel depth-first search strategy that integrates a depth-first traversal of the search spacewith effective pruning mechanisms. Our implementation of the search strategy combines avertical bitmap representation of the database with efficient support counting. A salientfeature of our algorithm is that it incrementally outputs new frequent itemsets in an onlinefashion. In a thorough experimental evaluation of our algorithm on standard benchmark datafrom the literature; our algorithm outperforms previous work up to an order of magnitude.,Proceedings of the eighth ACM SIGKDD international conference on Knowledge discovery and data mining,2002,1094
Towards sensor database systems,Philippe Bonnet; Johannes Gehrke; Praveen Seshadri,Abstract Sensor networks are being widely deployed for measurement; detection andsurveillance applications. In these new applications; users issue long-running queries overa combination of stored data and sensor data. Most existing applications rely on acentralized system for collecting sensor data. These systems lack flexibility because data isextracted in a predefined way; also; they do not scale to a large number of devices becauselarge volumes of raw data are transferred regardless of the queries that are submitted. In ournew concept of sensor database system; queries dictate which data is extracted from thesensors. In this paper; we define the concept of sensor databases mixing stored datarepresented as relations and sensor data represented as time series. Each long-runningquery formulated over a sensor database defines a persistent view; which is maintained …,International Conference on Mobile Data Management,2001,1079
