Cyclone: A Safe Dialect of C.,Trevor Jim; J Gregory Morrisett; Dan Grossman; Michael W Hicks; James Cheney; Yanling Wang,Abstract: Cyclone is a safe dialect of C. It has been designed from the ground up to preventthe buffer overflows; format string attacks; and memory management errors that are commonin C programs; while retaining C's syntax and semantics. This paper examines safetyviolations enabled by C's design; and shows how Cyclone avoids them; without giving upC's hallmark control over low-level details such as data representation and memorymanagement.,USENIX Annual Technical Conference; General Track,2002,786
Provenance in databases: Why; how; and where,James Cheney; Laura Chiticariu; Wang-Chiew Tan,Abstract Different notions of provenance for database queries have been proposed andstudied in the past few years. In this article; we detail three main notions of databaseprovenance; some of their applications; and compare and contrast amongst them.Specifically; we review why; how; and where provenance; describe the relationships amongthese notions of provenance; and describe some of their applications in confidencecomputation; view maintenance and update; debugging; and annotation propagation.,Foundations and Trends in Databases,2009,448
Region-based memory management in Cyclone,Dan Grossman; Greg Morrisett; Trevor Jim; Michael Hicks; Yanling Wang; James Cheney,Abstract Cyclone is a type-safe programming language derived from C. The primary designgoal of Cyclone is to let programmers control data representation and memory managementwithout sacrificing type-safety. In this paper; we focus on the region-based memorymanagement of Cyclone and its static typing discipline. The design incorporates severaladvancements; including support for region subtyping and a coherent integration with stackallocation and a garbage collector. To support separate compilation; Cyclone requiresprogrammers to write some explicit region annotations; but a combination of defaultannotations; local type inference; and a novel treatment of region effects reduces thisburden. As a result; we integrate C idioms in a region-based framework. In our experience;porting legacy C to Cyclone has required altering about 8% of the code; of the changes …,ACM Sigplan Notices,2002,405
Provenance management in curated databases,Peter Buneman; Adriane Chapman; James Cheney,Abstract Curated databases in bioinformatics and other disciplines are the result of a greatdeal of manual annotation; correction and transfer of data from other sources. Provenanceinformation concerning the creation; attribution; or version history of such data is crucial forassessing its integrity and scientific value. General purpose database systems provide littlesupport for tracking provenance; especially when data moves among databases. This paperinvestigates general-purpose techniques for recording provenance for data that is copiedamong databases. We describe an approach in which we track the user's actions whilebrowsing source databases and copying data into a curated database; in order to record theuser's actions in a convenient; queryable form. We present an implementation of thistechnique and use it to evaluate the feasibility of database support for provenance …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,361
Compressing XML with multiplexed hierarchical PPM models,James Cheney,We established a working Extensible Markup Language (XML) compression benchmarkbased on text compression; and found that bzip2 compresses XML best; albeit more slowlythan gzip. Our experiments verified that T/sub XMILL/speeds up and improves compressionusing gzip and bounded-context PPM by up to 15%; but found that it worsens thecompression for bzip2 and PPM. We describe alternative approaches to XML compressionthat illustrate other tradeoffs between speed and effectiveness. We describe experimentsusing several text compressors and XMILL to compress a variety of XML documents. Usingthese as a benchmark; we describe our two main results: an online binary encoding for XMLcalled Encoded SAX (ESAX) that compresses better and faster than existing methods; andan online; adaptive; XML-conscious encoding based on prediction by partial match (PPM) …,Data Compression Conference; 2001. Proceedings. DCC 2001.,2001,285
Prov-o: The prov ontology,Timothy Lebo; Satya Sahoo; Deborah McGuinness; Khalid Belhajjame; James Cheney; David Corsar; Daniel Garijo; Stian Soiland-Reyes; Stephan Zednik; Jun Zhao,Abstract The PROV Ontology (PROV-O) expresses the PROV Data Model [PROV-DM] usingthe OWL2 Web Ontology Language (OWL2)[OWL2-OVERVIEW]. It provides a set of classes;properties; and restrictions that can be used to represent and interchange provenanceinformation generated in different systems and under different contexts. It can also bespecialized to create new classes and properties to model provenance information fordifferent applications and domains. The PROV Document Overview describes the overallstate of PROV; and should be read before other PROV documents.,W3C recommendation,2013,230
First-class phantom types,James Cheney; Ralf Hinze,Classical phantom types are datatypes in which type constraints are expressed using typevariables that do not appear in the datatype cases themselves. They can be used to embedtyped languages into Haskell or ML. However; while such encodings guarantee that onlywell-formed data can be constructed; they do not permit type-safe deconstruction withoutadditional tagging and run-time checks. We introduce first-class phantom types; which makesuch constraints explicit via type equations. Examples of first-class phantom types includetyped type representations and typed higher-order abstract syntax trees. These types can beused to support typed generic functions; dynamic typing; and staged compilation in higher-order; statically typed languages such as Haskell or Standard ML. In our system; typeconstraints can be equations between type constructors as well as type functions of …,*,2003,221
Prov-dm: The prov data model,Luc Moreau; Paolo Missier; Khalid Belhajjame; Reza B’Far; James Cheney; Sam Coppens; Stephen Cresswell; Yolanda Gil; Paul Groth; Graham Klyne; Timothy Lebo; Jim McCusker; Simon Miles; James Myers; Satya Sahoo; Curt Tilmes,*,Retrieved July,2013,205
Curated databases,Peter Buneman; James Cheney; Wang-Chiew Tan; Stijn Vansummeren,Abstract Curated databases are databases that are populated and updated with a great dealof human effort. Most reference works that one traditionally found on the reference shelves oflibraries--dictionaries; encyclopedias; gazetteers etc.--are now curated databases. Since it isnow easy to publish databases on the web; there has been an explosion in the number ofnew curated databases used in scientific research. The value of curated databases lies inthe organization and the quality of the data they contain. Like the paper reference works theyhave replaced; they usually represent the efforts of a dedicated group of people to produce adefinitive description of some subject area. Curated databases present a number ofchallenges for database research. The topics of annotation; provenance; and citation arecentral; because curated databases are heavily cross-referenced with; and include data …,Proceedings of the twenty-seventh ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2008,142
A lightweight implementation of generics and dynamics,James Cheney; Ralf Hinze,Abstract The recent years have seen a number of proposals for extending statically typedlanguages by dynamics or generics. Most proposals---if not all---require significantextensions to the underlying language. In this paper we show that this need not be the case.We propose a particularly lightweight extension that supports both dynamics and generics.Furthermore; the two features are smoothly integrated: dynamic values; for instance; can bepassed to generic functions. Our proposal makes do with a standard Hindley-Milner typesystem augmented by existential types. Building upon these ideas we have implemented asmall library that is readily usable both with Hugs and with the Glasgow Haskell compiler.,Proceedings of the 2002 ACM SIGPLAN workshop on Haskell,2002,137
On the expressiveness of implicit provenance in query and update languages,Peter Buneman; James Cheney; Stijn Vansummeren,Abstract Information describing the origin of data; generally referred to as provenance; isimportant in scientific and curated databases where it is the basis for the trust one puts intheir contents. Since such databases are constructed using operations of both query andupdate languages; it is of paramount importance to describe the effect of these languageson provenance. In this article we study provenance for query and update languages that areclosely related to SQL; and compare two ways in which they can manipulate provenance sothat elements of the input are rearranged to elements of the output: implicit provenance;where a query or update only provides the rearranged output; and provenance is providedimplicitly by a default provenance semantics; and explicit provenance; where a query orupdate provides both the output and the description of the provenance of each …,Database Theory–ICDT 2007,2007,133
Provenance: a future history,James Cheney; Stephen Chong; Nate Foster; Margo Seltzer; Stijn Vansummeren,Abstract Science; industry; and society are being revolutionized by radical new capabilitiesfor information sharing; distributed computation; and collaboration offered by the World WideWeb. This revolution promises dramatic benefits but also poses serious risks due to the fluidnature of digital information. One important cross-cutting issue is managing and recordingprovenance; or metadata about the origin; context; or history of data. We posit thatprovenance will play a central role in emerging advanced digital infrastructures. In thispaper; we outline the current state of provenance research and practice; identify hard openresearch problems involving provenance semantics; formal modeling; and security; andarticulate a vision for the future of provenance.,Proceedings of the 24th ACM SIGPLAN conference companion on Object oriented programming systems languages and applications,2009,97
alphaProlog: A Logic Programming Language with Names; Binding and-Equivalence,James Cheney; Christian Urban,*,ICLP,2004,85
