The R+-Tree: A Dynamic Index for Multi-Dimensional Objects.,Timos Sellis; Nick Roussopoulos; Christos Faloutsos,The problem of indexing multidimensional objects is considered. First; a classification ofexisting methods in given along with a discussion of the major issues involved inmultidimensional data indexing. Second; a variation to Guttman's R-trees (R+-trees) thatavoids overlapping rectangles in intermediate nodes of the tree is introduced. Algorithms forsearching; updating; initial packing and reorganization of the structure are discussed indetail. Finally; we provide analytical results indicating that R+-tree achieve up to 50%savings in disk accesses compared to an R-tree when searching files of thousands ofrectangles.,*,1987,2008
Multiple-query optimization,Timos K Sellis,Abstract Some recently proposed extensions to relational database systems; as well as todeductive database systems; require support for multiple-query processing. For example; ina database system enhanced with inference capabilities; a simple query involving a rulewith multiple definitions may expand to more than one actual query that has to be run overthe database. It is an interesting problem then to come up with algorithms that process thesequeries together instead of one query at a time. The main motivation for performing such aninterquery optimization lies in the fact that queries may share common data. We examine theproblem of multiple-query optimization in this paper. The first major contribution of the paperis a systematic look at the problem; along with the presentation and analysis of algorithmsthat can be used for multiple-query optimization. The second contribution lies in the …,ACM Transactions on Database Systems (TODS),1988,876
DIANA-microT web server: elucidating microRNA functions through target prediction,Manolis Maragkakis; Martin Reczko; Victor A Simossis; Panagiotis Alexiou; Giorgos L Papadopoulos; Theodore Dalamagas; Giorgos Giannopoulos; G Goumas; Evangelos Koukis; Kornilios Kourtis; Thanasis Vergoulis; Nectarios Koziris; T Sellis; Panayotis Tsanakas; Artemis G Hatzigeorgiou,Abstract Computational microRNA (miRNA) target prediction is one of the key means fordeciphering the role of miRNAs in development and disease. Here; we present the DIANA-microT web server as the user interface to the DIANA-microT 3.0 miRNA target predictionalgorithm. The web server provides extensive information for predicted miRNA: target geneinteractions with a user-friendly interface; providing extensive connectivity to onlinebiological resources. Target gene and miRNA functions may be elucidated throughautomated bibliographic searches and functional information is accessible through KyotoEncyclopedia of Genes and Genomes (KEGG) pathways. The web server offers links tonomenclature; sequence and protein databases; and users are facilitated by being able tosearch for targeted genes using different nomenclatures or functional features; such as …,Nucleic acids research,2009,506
A survey of logical models for OLAP databases,Panos Vassiliadis; Timos Sellis,Abstract In this paper; we present different proposals for multidimensional data cubes; whichare the basic logical model for OLAP applications. We have grouped the work in the field intwo categories: commercial tools (presented along with terminology and standards) andacademic efforts. We further divide the academic efforts in two subcategories: the relationalmodel extensions and the cube-oriented approaches. Finally; we attempt a comparativeanalysis of the various efforts.,ACM Sigmod Record,1999,423
Spatio-temporal indexing for large multimedia applications,Yannis Theodoridis; Michael Vazirgiannis; Timos Sellis,Multimedia applications usually involve a large number of multimedia objects (texts; images;sounds; etc.). Spatial and temporal relationships among these objects should be efficientlysupported and retrieved within a multimedia authoring tool. In this paper; we present severalspatial; temporal and spatio-temporal relationships of interest; and propose efficientindexing schemes; based on multidimensional (spatial) data structures; for large multimediaapplications that involve thousands of objects. Evaluation models of the proposed schemesare also presented; as well as hints for the selection of the most appropriate one; accordingto the multimedia author's requirements.,Multimedia Computing and Systems; 1996.; Proceedings of the Third IEEE International Conference on,1996,393
Accurate microRNA target prediction correlates with protein repression levels,Manolis Maragkakis; Panagiotis Alexiou; Giorgio L Papadopoulos; Martin Reczko; Theodore Dalamagas; George Giannopoulos; George Goumas; Evangelos Koukis; Kornilios Kourtis; Victor A Simossis; Praveen Sethupathy; Thanasis Vergoulis; Nectarios Koziris; Timos Sellis; Panagiotis Tsanakas; Artemis G Hatzigeorgiou,MicroRNAs are small endogenously expressed non-coding RNA molecules that regulatetarget gene expression through translation repression or messenger RNA degradation.MicroRNA regulation is performed through pairing of the microRNA to sites in themessenger RNA of protein coding genes. Since experimental identification of miRNA targetgenes poses difficulties; computational microRNA target prediction is one of the key meansin deciphering the role of microRNAs in development and disease. DIANA-microT 3.0 is analgorithm for microRNA target prediction which is based on several parameters calculatedindividually for each microRNA and combines conserved and non-conserved microRNArecognition elements into a final prediction score; which correlates with protein productionfold change. Specifically; for each predicted interaction the program reports a signal to …,BMC bioinformatics,2009,341
A model for the prediction of R-tree performance,Yannis Theodoridis; Timos Sellis,Abstract: In this paper we present an analytical model that predicts the performance of R-trees (and its variants) when a range query needs to be answered. The cost model usesknowledge of the dataset only; ie; the proposed formula that estimates the number of diskaccesses is a hmction of data properties; namely; the amount of data and their density in thework space. In other words; the proposed model is applicable even before the constructionof the R-tree index; a fact that makes it a useful tool for dynamic spatial databases. Severalexperiments on synthetic and real datasets show that the proposed analytical model is veryaccurate; the relative error being usually around 10%-15%; for uniform and non-uniformdistributions. We believe that this error is involved with the gap between efficient R-treevariants; like the R*-tree; and an optimum; not implemented yet; method. Our work …,Proceedings of the fifteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1996,331
Topological relations in the world of minimum bounding rectangles: A study with R-trees,Dimitris Papadias; Timos Sellis; Yannis Theodoridis; Max J Egenhofer,Abstract Recent developments in spatial relations have led to their use in numerousapplications involving spatial databases. This paper is concerned with the retrieval oftopological relations in Minimum Bounding Rectangle-based data structures. We study thetopological information that Minimum Bounding Rectangles convey about the actual objectsthey enclose; using the concept of projections. Then we apply the results to R-trees and theirvariations; R+-trees and R*-trees in order to minimise disk accesses for queries involvingtopological relations. We also investigate queries that involve complex spatial conditions inthe form of disjunctions and conjunctions and we discuss possible extensions.,ACM Sigmod Record,1995,327
An efficient pictorial database system for PSQL,Nick Roussopoulos; Christos Faloutsos; Timos Sellis,Pictorial databases require efficient and direct spatial search based on the analog form ofspatial objects and relationships instead of search based on some cumbersomealphanumeric encodings of the pictures. A description is given of PSQL; a query languagethat allows pictorial domains to be presented to the user in their analog form and allows himor her to do direct manipulation on the objects found on those domains. Direct spatial searchand computation on the pictures is done using efficient data structures; R-and R/sup+/-trees(multidimensional B-trees); which are excellent devices for searching spatial objects andrelationships found on pictures.,IEEE transactions on software engineering,1988,326
Data warehouse configuration,Dimitri Theodoratos; Timos Sellis,Abstract In the data warehousing approach to the integration of data from multipleinformation sources; selected information is extracted in advance and stored in a repository.A data warehouse DW can therefore be seen as a set of materialized views defined over thesources. When a query is posed; it is evaluated locally; using the materialized views; withoutaccessing the original information sources. The applications using DWs require high queryperformance. This requirement is in conflict with the need to maintain in the DW updatedinformation. The DW configuration problem is the problem of selecting a set of views tomaterialize in the DW that answers all the queries of interest while minimizing the total queryevaluation and view maintenance cost. In this paper we provide a theoretical framework forthis problem in terms of the relational model. We develop a method for dealing with it by …,VLDB,1997,309
