The politics of democratization in Hong Kong,Shiu-hing Lo,The dynamics of democratisation in Hong Kong have varied with time. Institutional reform in 1982was not due to the China factor; but to administrative decentralisation. But the China factor becameinfluential in 1984 when Britain introduced democratic reforms in order to protect HongKong''s autonomy vis-a-vis China after 1997. China''s Tiananmen incident in 1989 triggered an"explosion of civil society" in Hong Kong and changed the British policy towards the colony. WhileBritain is like a soft-liner in support of Hong Kong''s democratisation; China remains a hard-lineropposing any drastic political change in the territory. Since 1984; China has become both a stimulusand an obstacle to democratisation in Hong Kong … The case study of Hong Kong offers severallessons on the processes of democratisation. The Hong Kong case shows (1) the uncertaintiescaused by the external factor in the transition from authoritarianism; (2) the significance of …,*,1997,81
Governing Hong Kong: legitimacy; communication and political decay,Shiu Hing Lo,Contenido: Introduction: governing post-colonial Hong Kong and political decay. Colonialrule and Chris Patten's political legacy. Govermental response to the changing social. Civilservants; the politicized administrative state and legitimacy crisis. The chief executive;communication and legitimacy. Legislature; party politics and elections. Public opinion; localgovernment and legitimacy. Biejin's policy towards the HKSAR. Political decay and itsimplications.,*,2000,72
The dynamics of Beijing-Hong Kong relations: A model for Taiwan?,Sonny Shiu-Hing Lo,This book critically assesses the implementation of the" one country; two systems" in theHong Kong Special Administrative Region (HKSAR) from the political; judicial; legal;economic and societal dimensions. The author contends that there has been a gradualprocess of mainlandization of the HKSAR; meaning that Hong Kong is increasinglyeconomically dependent on the People's Republic of China (PRC); politically deferent to thecentral government on the scope and pace of democratic reforms; socially more patriotictoward the motherland and more prone to media self-censorship; and judicially morevulnerable to the interpretation of the Basic Law by the National People's Congress. Thisbook aims to achieve a breakthrough in relating the development of Hong Kong politics tothe future of mainland China and Taiwan. By broadening the focus of the" one country …,*,2008,63
The politics of cross-border crime in greater China: Case studies of mainland China; Hong Kong; and Macao,Shiu Hing Lo,Organized crime has been on the rise in the Greater Chine region since the People'sRepublic opened up its economy and society in the mid-1980s. This book provides adetailed and comprehensive study of how the state at the central and local levels hasresponded to the changing patterns and activities of cross-border crime in Greater China.,*,2009,52
Casino politics; organized crime and the post-colonial state in Macau,Shiu Hing Lo,Organized crime and politics have been traditionally intertwined in Macau. During thecolonial era; the Portuguese administration was characterized by bureaucratic corruptionand a cozy relationship with casino capitalists. The colonial state had limited autonomy vis-à-vis the casino capitalists. With the growth of tourism and the associated casino industry inMacau during the 1990s; organized crime groups penetrated various casinos and emergedas a baffling problem. Yet; neither the Portuguese administration nor the casino capitalistshad the capability to contain the use of violence by organized crime groups. As Macauapproached the end of the Portuguese colonial rule; the People's Republic of China (PRC)decided to intervene in the rapidly deteriorating law and order. The Chinese interventiontook the forms of stationing the People's Liberation Army in the Macau Special …,Journal of Contemporary China,2005,49
Political development in Macau,Shiu Hing Lo,*,*,1995,48
The mainlandization and recolonization of Hong Kong: A triumph of convergence over divergence with Mainland China,Sonny Lo,*,The Hong Kong special administrative region in its first decade,2007,35
Casino capitalism and its legitimacy impact on the politico-administrative state in Macau,Sonny Lo,Abstract Casino capitalism has its dialectical tendencies in Macau. On the one hand; itstimulates economic growth; provides employment; and strengthens the post-colonial statein Macau during the period of economic boom. On the other hand; casino capitalism canwiden the income gap between the rich and the poor; generate addictive gambling; and de-legitimize the post-colonial state in Macau during the global and regional economicdownturn. The weaknesses of the politico-administrative state in Macau; including theabsence of institutional checks and balances; the frail civil society and the relatively docilemass media; have magnified the negative impacts of casino capitalism on Macau. Inresponse to the negative ramifications; the Macau government has taken measures to bemore interventionist; to enhance social welfare; and to prepare contingency plans that …,Journal of Current Chinese Affairs,2009,33
Competing Chinese Political Visions: Hong Kong vs Beijing on Democracy,Sonny Shiu-hing Lo,*,*,2010,31
Decolonization and political development in Hong Kong: citizen participation,Shiu-hing Lo,*,Asian Survey,1988,29
