Angle-based outlier detection in high-dimensional data,Hans-Peter Kriegel; Matthias Schubert; Arthur Zimek,Abstract Detecting outliers in a large set of data objects is a major data mining task aiming atfinding different mechanisms responsible for different groups of objects in a data set. Allexisting approaches; however; are based on an assessment of distances (sometimesindirectly by assuming certain distributions) in the full-dimensional Euclidean data space. Inhigh-dimensional data; these approaches are bound to deteriorate due to the notorious"curse of dimensionality". In this paper; we propose a novel approach named ABOD (Angle-Based Outlier Detection) and some variants assessing the variance in the angles betweenthe difference vectors of a point to the other points. This way; the effects of the" curse ofdimensionality" are alleviated compared to purely distance-based approaches. A mainadvantage of our new approach is that our method does not rely on any parameter …,Proceeding of the 14th ACM SIGKDD international conference on Knowledge discovery and data mining,2008,331
Future trends in data mining,Hans-Peter Kriegel; Karsten M Borgwardt; Peer Kröger; Alexey Pryakhin; Matthias Schubert; Arthur Zimek,Abstract Over recent years data mining has been establishing itself as one of the majordisciplines in computer science with growing industrial impact. Undoubtedly; research indata mining will continue and even increase over coming decades. In this article; we sketchour vision of the future of data mining. Starting from the classic definition of “data mining”; weelaborate on topics that—in our opinion—will set trends in data mining.,Data Mining and Knowledge Discovery,2007,196
The Gauss-tree: Efficient object identification in databases of probabilistic feature vectors,Christian Böhm; Alexey Pryakhin; Matthias Schubert,In applications of biometric databases the typical task is to identify individuals according tofeatures which are not exactly known. Reasons for this inexactness are varying measuringtechniques or environmental circumstances. Since these circumstances are not necessarilythe same when determining the features for different individuals; the exactness mightstrongly vary between the individuals as well as between the features. To identifyindividuals; similarity search on feature vectors is applicable; but even the use of adaptabledistance measures is not capable to handle objects having an individual level of exactness.Therefore; we develop a comprehensive probabilistic theory in which uncertain observationsare modeled by probabilistic feature vectors (pfv); ie feature vectors where the conventionalfeature values are replaced by Gaussian probability distribution functions. Each feature …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,134
Web site mining: a new way to spot competitors; customers and suppliers in the world wide web,Martin Ester; Hans-Peter Kriegel; Matthias Schubert,Abstract When automatically extracting information from the world wide web; mostestablished methods focus on spotting single HTML-documents. However; the problem ofspotting complete web sites is not handled adequately yet; in spite of its importance forvarious applications. Therefore; this paper discusses the classification of complete websites. First; we point out the main differences to page classification by discussing a veryintuitive approach and its weaknesses. This approach treats a web site as one large HTML-document and applies the well-known methods for page classification. Next; we show howaccuracy can be improved by employing a preprocessing step which assigns an occurringweb page to its most likely topic. The determined topics now represent the information theweb site contains and can be used to classify it more accurately. We accomplish this by …,Proceedings of the eighth ACM SIGKDD international conference on Knowledge discovery and data mining,2002,101
Using sets of feature vectors for similarity search on voxelized CAD objects,Hans-Peter Kriegel; Stefan Brecheisen; Peer Kröger; Martin Pfeifle; Matthias Schubert,Abstract In modern application domains such as multimedia; molecular biology and medicalimaging; similarity search in database systems is becoming an increasingly important task.Especially for CAD applications; suitable similarity models can help to reduce the cost ofdeveloping and producing new parts by maximizing the reuse of existing parts. Most of theexisting similarity models are based on feature vectors. In this paper; we shortly review threemodels which pursue this paradigm. Based on the most promising of these three models; weexplain how sets of feature vectors can be used for more effective and still efficient similaritysearch. We first introduce an intuitive distance measure on sets of feature vectors togetherwith an algorithm for its efficient computation. Furthermore; we present a method foraccelerating the processing of similarity queries on vector set data. The experimental …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,98
Route skyline queries: A multi-preference path planning approach,Hans-Peter Kriegel; Matthias Renz; Matthias Schubert,In recent years; the research community introduced various methods for processing skylinequeries in multidimensional databases. The skyline operator retrieves all objects beingoptimal wrt an arbitrary linear weighting of the underlying criteria. The most prominentexample query is to find a reasonable set of hotels which are cheap but close to the beach.In this paper; we propose an new approach for computing skylines on routes (paths) in aroad network considering multiple preferences like distance; driving time; the number oftraffic lights; gas consumption; etc. Since the consideration of different preferences usuallyinvolves different routes; a skyline-fashioned answer with relevant route candidates is highlyuseful. In our work; we employ graph embedding techniques to enable a best-first basedgraph exploration considering route preferences based on arbitrary road attributes. The …,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,97
Relation prediction in multi-relational domains using matrix factorization,Christoph Lippert; Stefan Hagen Weber; Yi Huang; Volker Tresp; Matthias Schubert; Hans-Peter Kriegel,Abstract The paper is concerned with relation prediction in multi-relational domains usingmatrix factorization. While most past predictive models focussed on one single relation typebetween two entity types; in the paper a generalized model is presented that is able to dealwith an arbitrary number of relation types and entity types in a domain of interest. The novelmulti-relational matrix factorization is domain independent and highly scalable. We validatethe performance of our approach using two real-world data sets; ie user-movierecommendations and gene function prediction.,Proceedings of the NIPS 2008 Workshop: Structured Input-Structured Output; Vancouver; Canada,2008,67
Clustering multi-represented objects with noise,Karin Kailing; Hans-Peter Kriegel; Alexey Pryakhin; Matthias Schubert,Abstract Traditional clustering algorithms are based on one representation space; usually avector space. However; in a variety of modern applications; multiple representations exist foreach object. Molecules for example are characterized by an amino acid sequence; asecondary structure and a 3D representation. In this paper; we present an efficient density-based approach to cluster such multi-represented data; taking all available representationsinto account. We propose two different techniques to combine the information of all availablerepresentations dependent on the application. The evaluation part shows that our approachis superior to existing techniques.,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2004,63
Accurate and efficient crawling for relevant websites,Martin Ester; Hans-Peter Kriegel; Matthias Schubert,Abstract Focused web crawlers have recently emerged as an alternative to the well-established web search engines. While the well-known focused crawlers retrieve relevantwebpages; there are various applications which target whole websites instead of singlewebpages. For example; companies are represented by websites; not by individualwebpages. To answer queries targeted at websites; web directories are an establishedsolution. In this paper; we introduce a novel focused website crawler to employ the paradigmof focused crawling for the search of relevant websites. The proposed crawler is based on atwo-level architecture and corresponding crawl strategies with an explicit concept ofwebsites. The external crawler views the web as a graph of linked websites; selects thewebsites to be examined next and invokes internal crawlers. Each internal crawler views …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,61
Classification of Websites as Sets of Feature Vectors.,Hans-Peter Kriegel; Matthias Schubert,ABSTRACT The world wide web is the largest source for all kind of information currentlyavailable. Due to its enormous size retrieving relevant information is a difficult task for whichusers often rely on directory services. A directory service provides a huge topic treecontaining links for each topic. Due to the generality of the topics most links direct towebsites or domains; instead of single webpages. For maintaining a directory service;automatic classification of new websites into the topics of the tree would be very beneficial.Therefore; this paper introduces a new approach to website classification that is based onsets of feature vectors. Compared to previous approaches our new method requires nopreprocessing; but provides high accuracy in efficient time.,Databases and applications,2004,61
