The new casper: Query processing for location services without compromising privacy,Mohamed F Mokbel; Chi-Yin Chow; Walid G Aref,Abstract This paper tackles a major privacy concern in current location-based serviceswhere users have to continuously report their locations to the database server in order toobtain the service. For example; a user asking about the nearest gas station has to reporther exact location. With untrusted servers; reporting the location information may lead toseveral privacy threats. In this paper; we present Casper 1; a new framework in whichmobile and stationary users can entertain location-based services without revealing theirlocation information. Casper consists of two main components; the location anonymizer andthe privacy-aware query processor. The location anonymizer blurs the users' exact locationinformation into cloaked spatial regions based on user-specified privacy requirements. Theprivacy-aware query processor is embedded inside the location-based database server …,Proceedings of the 32nd international conference on Very large data bases,2006,1201
SINA: Scalable incremental processing of continuous queries in spatio-temporal databases,Mohamed F Mokbel; Xiaopeing Xiong; Walid G Aref,Abstract This paper intoduces the Scalable INcremental hash-based Algorithm (SINA; forshort); a new algorithm for evaluting a set of concurrent continuous spatio-temporal queries.SINA is designed with two goals in mind:(1) Scalability in terms of the number of concurrentcontinuous spatio-temporal queries; and (2) Incremental evaluation of continyous spatio-temporal queries. SINA achieves scalability by empolying a shared execution paradigmwhere the execution of continuous spatio-temporal queries is abstracted as a spatial joinbetween a set of moving objects and a set of moving queries. Incremental evaluation isachived by computing only the updates of the previously reported answer. We introduce twotypes of updaes; namely positive and negative updates. Positive or negative updatesindicate that a certain object should be added to or removed from the previously reported …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,535
A peer-to-peer spatial cloaking algorithm for anonymous location-based service,Chi-Yin Chow; Mohamed F Mokbel; Xuan Liu,Abstract This paper tackles a major privacy threat in current location-based services whereusers have to report their exact locations to the database server in order to obtain theirdesired services. For example; a mobile user asking about her nearest restaurant has toreport her exact location. With untrusted service providers; reporting private locationinformation may lead to several privacy threats. In this paper; we present a peer-to-peer(P2P) spatial cloaking algorithm in which mobile and stationary users can entertain location-based services without revealing their exact location information. The main idea is thatbefore requesting any location-based service; the mobile user will form a group from herpeers via single-hop communication and/or multi-hop routing. Then; the spatial cloaked areais computed as the region that covers the entire group of peers. Two modes of operations …,Proceedings of the 14th annual ACM international symposium on Advances in geographic information systems,2006,524
Location-based and preference-aware recommendation using sparse geo-social networking data,Jie Bao; Yu Zheng; Mohamed F Mokbel,Abstract The popularity of location-based social networks provide us with a new platform tounderstand users' preferences based on their location histories. In this paper; we present alocation-based and preference-aware recommender system that offers a particular user aset of venues (such as restaurants) within a geospatial range with the consideration of both:1) User preferences; which are automatically learned from her location history and 2) Socialopinions; which are mined from the location histories of the local experts. This recommendersystem can facilitate people's travel not only near their living areas but also to a city that isnew to them. As a user can only visit a limited number of locations; the user-locations matrixis very sparse; leading to a big challenge to traditional collaborative filtering-based locationrecommender systems. The problem becomes even more challenging when people …,Proceedings of the 20th international conference on advances in geographic information systems,2012,446
Spatio-temporal access methods,Mohamed F.  Mokbel; Thanaa M.  Ghanem; Walid G.  Aref,Abstract The rapid increase in spatio-temporal applications calls for new auxiliary indexingstructures. A typical spatio-temporal application is one that tracks the behavior of movingobjects through location-aware devices (eg; GPS). Through the last decade; many spatio-temporal access methods are developed. Spatio-temporal access methods focus on twoorthogonal directions:(1) Indexing the past;(2) Indexing the current and predicted futurepositions. In this short survey; we classify spatio-temporal access methods for each directionbased on their underlying structure with a brief discussion of future research directions.,IEEE Data Eng. Bull.,2003,396
Sea-cnn: Scalable processing of continuous k-nearest neighbor queries in spatio-temporal databases,Xiaopeng Xiong; Mohamed F Mokbel; Walid G Aref,Location-aware environments are characterized by a large number of objects and a largenumber of continuous queries. Both the objects and continuous queries may change theirlocations over time. In this paper; we focus on continuous k-nearest neighbor queries(CKNN; for short). We present a new algorithm; termed SEA-CNN; for answeringcontinuously a collection of concurrent CKNN queries. SEA-CNN has two important features:incremental evaluation and shared execution. SEA-CNN achieves both efficiency andscalability in the presence of a set of concurrent queries. Furthermore; SEA-CNN does notmake any assumptions about the movement of objects; eg; the objects velocities and shapesof trajectories; or about the mutability of the objects and/or the queries; ie; moving orstationary queries issued on moving or stationary objects. We provide theoretical analysis …,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,377
Enabling private continuous queries for revealed user locations,Chi-Yin Chow; Mohamed F Mokbel,Abstract Existing location-based services provide specialized services to their customersbased on the knowledge of their exact locations. With untrustworthy servers; location-basedservices may lead to several privacy threats ranging from worries over employers snoopingon their workers' whereabouts to fears of tracking by potential stalkers. While there existseveral techniques to preserve location privacy in mobile environments; these techniquesare limited as they do not distinguish between location privacy (ie; a user wants to hide herlocation) and query privacy (ie; a user can reveal her location but not her query). Thisdistinction is crucial in many applications where the locations of mobile users are publiclyknown. In this paper; we go beyond the limitation of existing cloaking algorithms as wepropose a new robust spatial cloaking technique for snapshot and continuous location …,International Symposium on Spatial and Temporal Databases,2007,274
Lars: A location-aware recommender system,Justin J Levandoski; Mohamed Sarwat; Ahmed Eldawy; Mohamed F Mokbel,This paper proposes LARS; a location-aware recommender system that uses location-basedratings to produce recommendations. Traditional recommender systems do not considerspatial properties of users nor items; LARS; on the other hand; supports a taxonomy of threenovel classes of location-based ratings; namely; spatial ratings for non-spatial items; non-spatial ratings for spatial items; and spatial ratings for spatial items. LARS exploits userrating locations through user partitioning; a technique that influences recommendations withratings spatially close to querying users in a manner that maximizes system scalability whilenot sacrificing recommendation quality. LARS exploits item locations using travel penalty; atechnique that favors recommendation candidates closer in travel distance to querying usersin a way that avoids exhaustive access to all spatial items. LARS can apply these …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,272
Recommendations in location-based social networks: a survey,Jie Bao; Yu Zheng; David Wilkie; Mohamed Mokbel,Abstract Recent advances in localization techniques have fundamentally enhanced socialnetworking services; allowing users to share their locations and location-related contents;such as geo-tagged photos and notes. We refer to these social networks as location-basedsocial networks (LBSNs). Location data bridges the gap between the physical and digitalworlds and enables a deeper understanding of users' preferences and behavior. Thisaddition of vast geo-spatial datasets has stimulated research into novel recommendersystems that seek to facilitate users' travels and social interactions. In this paper; we offer asystematic review of this research; summarizing the contributions of individual efforts andexploring their relations. We discuss the new properties and challenges that location bringsto recommender systems for LBSNs. We present a comprehensive survey analyzing 1) …,GeoInformatica,2015,212
Casper*: Query processing for location services without compromising privacy,Chi-Yin Chow; Mohamed F Mokbel; Walid G Aref,Abstract In this article; we present a new privacy-aware query processing framework;Capser*; in which mobile and stationary users can obtain snapshot and/or continuouslocation-based services without revealing their private location information. In particular; wepropose a privacy-aware query processor embedded inside a location-based databaseserver to deal with snapshot and continuous queries based on the knowledge of the user'scloaked location rather than the exact location. Our proposed privacy-aware queryprocessor is completely independent of how we compute the user's cloaked location. Inother words; any existing location anonymization algorithms that blur the user's privatelocation into cloaked rectilinear areas can be employed to protect the user's location privacy.We first propose a privacy-aware query processor that not only supports three new …,ACM Transactions on Database Systems (TODS),2009,191
