Generalized fisher score for feature selection,Quanquan Gu; Zhenhui Li; Jiawei Han,Abstract: Fisher score is one of the most widely used supervised feature selection methods.However; it selects each feature independently according to their scores under the Fishercriterion; which leads to a suboptimal subset of features. In this paper; we present ageneralized Fisher score to jointly select features. It aims at finding an subset of features;which maximize the lower bound of traditional Fisher score. The resulting feature selectionproblem is a mixed integer programming; which can be reformulated as a quadraticallyconstrained linear programming (QCLP). It is solved by cutting plane algorithm; in eachiteration of which a multiple kernel learning problem is solved alternatively by multivariateridge regression and projected gradient descent. Experiments on benchmark data setsindicate that the proposed method outperforms Fisher score as well as many other state …,arXiv preprint arXiv:1202.3725,2012,220
Data classification: algorithms and applications,Charu C Aggarwal,Comprehensive Coverage of the Entire Area of Classification Research on the problem ofclassification tends to be fragmented across such areas as pattern recognition; database;data mining; and machine learning. Addressing the work of these different communities in aunified way; Data Classification: Algorithms and Applications explores the underlyingalgorithms of classification as well as applications of classification in a variety of problemdomains; including text; multimedia; social network; and biological data. Thiscomprehensive book focuses on three primary aspects of data classification: Methods: Thebook first describes common techniques used for classification; including probabilisticmethods; decision trees; rule-based methods; instance-based methods; support vectormachine methods; and neural networks. Domains: The book then examines specific …,*,2014,185
Collaborative filtering: Weighted nonnegative matrix factorization incorporating user and item graphs,Quanquan Gu; Jie Zhou; Chris Ding,Abstract Collaborative filtering is an important topic in data mining and has been widelyused in recommendation system. In this paper; we proposed a unified model forcollaborative filtering based on graph regularized weighted nonnegative matrix factorization.In our model; two graphs are constructed on users and items; which exploit the internalinformation (eg neighborhood information in the user-item rating matrix) and externalinformation (eg content information such as user's occupation and item's genre; or other kindof knowledge such as social trust network). The proposed method not only inherits theadvantages of model-based method; but also owns the merits of memory-based methodwhich considers the neighborhood information. Moreover; it has the ability to make use ofcontent information and any additional information regarding user-user such as social …,*,2010,151
Co-clustering on manifolds,Quanquan Gu; Jie Zhou,Abstract Co-clustering is based on the duality between data points (eg documents) andfeatures (eg words); ie data points can be grouped based on their distribution on features;while features can be grouped based on their distribution on the data points. In the pastdecade; several co-clustering algorithms have been proposed and shown to be superior totraditional one-side clustering. However; existing co-clustering algorithms fail to consider thegeometric structure in the data; which is essential for clustering data on manifold. To addressthis problem; in this paper; we propose a Dual Regularized Co-Clustering (DRCC) methodbased on semi-nonnegative matrix tri-factorization. We deem that not only the data points;but also the features are sampled from some manifolds; namely data manifold and featuremanifold respectively. As a result; we construct two graphs; ie data graph and feature …,Proceedings of the 15th ACM SIGKDD international conference on Knowledge discovery and data mining,2009,145
Personalized entity recommendation: A heterogeneous information network approach,Xiao Yu; Xiang Ren; Yizhou Sun; Quanquan Gu; Bradley Sturt; Urvashi Khandelwal; Brandon Norick; Jiawei Han,Abstract Among different hybrid recommendation techniques; network-based entityrecommendation methods; which utilize user or item relationship information; are beginningto attract increasing attention recently. Most of the previous studies in this category onlyconsider a single relationship type; such as friendships in a social network. In manyscenarios; the entity recommendation problem exists in a heterogeneous informationnetwork environment. Different types of relationships can be potentially used to improve therecommendation quality. In this paper; we study the entity recommendation problem inheterogeneous information networks. Specifically; we propose to combine heterogeneousrelationship information for each user differently and aim to provide high-qualitypersonalized recommendation results using user implicit feedback data and personalized …,Proceedings of the 7th ACM international conference on Web search and data mining,2014,137
Joint feature selection and subspace learning,Quanquan Gu; Zhenhui Li; Jiawei Han,Abstract Dimensionality reduction is a very important topic in machine learning. It can begenerally classified into two categories: feature selection and subspace learning. In the pastdecades; many methods have been proposed for dimensionality reduction. However; mostof these works study feature selection and subspace learning independently. In this paper;we present a framework for joint feature selection and subspace learning. We reformulatethe subspace learning problem and use L2; 1-norm on the projection matrix to achieverowsparsity; which leads to selecting relevant features and learning transformationsimultaneously. We discuss two situations of the proposed framework; and present theiroptimization algorithms. Experiments on benchmark face recognition data sets illustrate thatthe proposed framework outperforms the state of the art methods overwhelmingly.,IJCAI Proceedings-International Joint Conference on Artificial Intelligence,2011,110
Learning the shared subspace for multi-task clustering and transductive transfer classification,Quanquan Gu; Jie Zhou,There are many clustering tasks which are closely related in the real world; eg clustering theweb pages of different universities. However; existing clustering approaches neglect theunderlying relation and treat these clustering tasks either individually or simply together. Inthis paper; we will study a novel clustering paradigm; namely multi-task clustering; whichperforms multiple related clustering tasks together and utilizes the relation of these tasks toenhance the clustering performance. We aim to learn a subspace shared by all the tasks;through which the knowledge of the tasks can be transferred to each other. The objective ofour approach consists of two parts:(1) Within-task clustering: clustering the data of each taskin its input space individually; and (2) Cross-task clustering: simultaneous learning theshared subspace and clustering the data of all the tasks together. We will show that it can …,Data Mining; 2009. ICDM'09. Ninth IEEE International Conference on,2009,88
Citation prediction in heterogeneous bibliographic networks,Xiao Yu; Quanquan Gu; Mianwei Zhou; Jiawei Han,Abstract To reveal information hiding in link space of bibliographical networks; link analysishas been studied from different perspectives in recent years. In this paper; we address anovel problem namely citation prediction; that is: given information about authors; topics;target publication venues as well as time of certain research paper; finding and predictingthe citation relationship between a query paper and a set of previous papers. Consideringthe gigantic size of relevant papers; the loosely connected citation network structure as wellas the highly skewed citation relation distribution; citation prediction is more challengingthan other link prediction problems which have been studied before. By building a meta-pathbased prediction model on a topic discriminative search space; we here propose a two-phase citation probability learning approach; in order to predict citation relationship …,*,2012,75
Clustered support vector machines,Quanquan Gu; Jiawei Han,Abstract In many problems of machine learning; the data are distributed nonlinearly. Oneway to address this kind of data is training a nonlinear classifier such as kernel supportvector machine (kernel SVM). However; the computational burden of kernel SVM limits itsapplication to large scale datasets. In this paper; we propose a Clustered Support VectorMachine (CSVM); which tackles the data in a divide and conquer manner. More specifically;CSVM groups the data into several clusters; followed which it trains a linear support vectormachine in each cluster to separate the data locally. Meanwhile; CSVM has an additionalglobal regularization; which requires the weight vector of each local linear SVM aligning witha global weight vector. The global regularization leverages the information from one clusterto another; and avoids over-fitting in each cluster. We derive a data-dependent …,Artificial Intelligence and Statistics,2013,74
Latent community topic analysis: Integration of community discovery with topic modeling,Zhijun Yin; Liangliang Cao; Quanquan Gu; Jiawei Han,Abstract This article studies the problem of latent community topic analysis in text-associatedgraphs. With the development of social media; a lot of user-generated content is availablewith user networks. Along with rich information in networks; user graphs can be extendedwith text information associated with nodes. Topic modeling is a classic problem in textmining and it is interesting to discover the latent topics in text-associated graphs. Differentfrom traditional topic modeling methods considering links; we incorporate communitydiscovery into topic analysis in text-associated graphs to guarantee the topical coherence inthe communities so that users in the same community are closely linked to each other andshare common latent topics. We handle topic modeling and community discovery in thesame framework. In our model we separate the concepts of community and topic; so one …,ACM Transactions on Intelligent Systems and Technology (TIST),2012,67
