Reasoning on UML class diagrams,Daniela Berardi; Andrea Calı; Diego Calvanese; Giuseppe De Giacomo,Abstract UML is the de-facto standard formalism for software design and analysis. Tosupport the design of large-scale industrial applications; sophisticated CASE tools areavailable on the market; that provide a user-friendly environment for editing; storing; andaccessing multiple UML diagrams. It would be highly desirable to equip such CASE toolswith automated reasoning capabilities; such as those studied in Artificial Intelligence and; inparticular; in Knowledge Representation and Reasoning. Such capabilities would allow toautomatically detect relevant formal properties of UML diagrams; such as inconsistencies orredundancies. With regard to this issue; we consider UML class diagrams; which are one ofthe most important components of UML; and we address the problem of reasoning on suchdiagrams. We resort to several results developed in the field of Knowledge …,Artificial Intelligence,2003,582
A general datalog-based framework for tractable query answering over ontologies,Andrea Calì; Georg Gottlob; Thomas Lukasiewicz,Abstract Ontologies and rules play a central role in the development of the Semantic Web.Recent research in this context focuses especially on highly scalable formalisms for the Webof Data; which may highly benefit from exploiting database technologies. In this paper; as afirst step towards closing the gap between the Semantic Web and databases; we introduce afamily of expressive extensions of Datalog; called Datalog±; as a new paradigm for queryanswering over ontologies. The Datalog±family admits existentially quantified variables inrule heads; and has suitable restrictions to ensure highly efficient ontology querying. Weshow in particular that Datalog±encompasses and generalizes the tractable descriptionlogic EL and the DL-Lite family of tractable description logics; which are the most commontractable ontology languages in the context of the Semantic Web and databases. We also …,Web Semantics: Science; Services and Agents on the World Wide Web,2012,417
Data integration under integrity constraints,Andrea Calı; Diego Calvanese; Giuseppe De Giacomo; Maurizio Lenzerini,Abstract Data integration systems provide access to a set of heterogeneous; autonomousdata sources through a so-called global schema. There are basically two approaches fordesigning a data integration system. In the global-centric approach; one defines theelements of the global schema as views over the sources; whereas in the local-centricapproach; one characterizes the sources as views over the global schema. It is well knownthat processing queries in the latter approach is similar to query answering with incompleteinformation; and; therefore; is a complex task. On the other hand; it is a common opinion thatquery processing is much easier in the former approach. In this paper we show thesurprising result that; when the global schema is expressed in the relational model withintegrity constraints; even of simple types; the problem of incomplete information implicitly …,Information Systems,2004,353
On the decidability and complexity of query answering over inconsistent and incomplete databases,Andrea Calì; Domenico Lembo; Riccardo Rosati,Abstract In databases with integrity constraints; data may not satisfy the constraints. In thispaper; we address the problem of obtaining consistent answers in such a setting; when keyand inclusion dependencies are expressed on the database schema. We establishdecidability and complexity results for query answering under different assumptions on data(soundness and/or completeness). In particular; after showing that the problem is in generalundecidable; we identify the maximal class of inclusion dependencies under which queryanswering is decidable in the presence of key dependencies. Although obtained in a singledatabase context; such results are directly applicable to data integration; where multipleinformation sources may provide data that are inconsistent with respect to the global view ofthe sources.,Proceedings of the twenty-second ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2003,305
Taming the infinite chase: Query answering under expressive relational constraints,Andrea Calı; Georg Gottlob; Michael Kifer,*,Proc. of KR,2008,286
Query rewriting and answering under constraints in data integration systems,Andrea Calı; Domenico Lembo; Riccardo Rosati,Abstract In this paper we address the problem of query answering and rewriting in global-as-view data integration systems; when key and inclusion dependencies are expressed on theglobal integration schema. In the case of sound views; we provide sound and completerewriting techniques for a maximal class of constraints for which decidability holds. Then; weintroduce a semantics which is able to cope with violations of constraints; and present asound and complete rewriting technique for the same decidable class of constraints. Finally;we consider the decision problem of query answering and give decidability and complexityresults.,Proc. of the 18th Int. Joint Conf. on Artificial Intelligence (IJCAI 2003),2003,167
Towards more expressive ontology languages: The query answering problem,Andrea Cali; Georg Gottlob; Andreas Pieris,Abstract Ontology reasoning finds a relevant application in the so-called ontology-baseddata access; where a classical extensional database (EDB) is enhanced by an ontology; inthe form of logical assertions; that generates new intensional knowledge which contributesto answering queries. In this setting; queries are therefore answered against a logical theoryconstituted by the EDB and the ontology; more specifically; query answering amounts tocomputing the answers to the query that are entailed by the EDB and the ontology. In thispaper; we study novel relevant classes of ontological theories for which query answering isboth decidable and of tractable data complexity; that is; the complexity with respect to thesize of the data only. In particular; our new classes belong to the recently introduced familyof Datalog-based languages; called Datalog±. The basic Datalog±rules are (function-free …,Artificial Intelligence,2012,127
On the expressive power of data integration systems,Andrea Calì; Diego Calvanese; Giuseppe De Giacomo; Maurizio Lenzerini,Abstract There are basically two approaches for designing a data integration system. In theglobal-as-view (GAV) approach; one maps the concepts in the global schema to views overthe sources; whereas in the local-as-view (LAV) approach; one maps the sources into viewsover the global schema. The goal of this paper is to relate the two approaches with respectto their expressive power. The analysis is carried out in a relational database setting; whereboth the queries on the global schema; and the views in the mapping are conjunctivequeries. We introduce the notion of query-preserving transformation; and query-reducibilitybetween data integration systems; and we show that; when no integrity constraints areallowed in global schema; the LAV and the GAV approaches are incomparable. We thenconsider the addition of integrity constraints in the global schema; and present techniques …,International Conference on Conceptual Modeling,2002,120
Datalog+/-: A family of logical knowledge representation and query languages for new applications,Andrea Cali; Georg Gottlob; Thomas Lukasiewicz; Bruno Marnette; Andreas Pieris,This paper summarizes results on a recently introduced family of Datalog-based languages;called Datalog+/-; which is a new framework for tractable ontology querying; and for a varietyof other applications. Datalog+/-extends plain Datalog by features such as existentiallyquantified rule heads and; at the same time; restricts the rule syntax so as to achievedecidability and tractability. In particular; we discuss three paradigms ensuring decidability:chase termination; guardedness; and stickiness.,Logic in Computer Science (LICS); 2010 25th Annual IEEE Symposium on,2010,118
Datalog±: a unified approach to ontologies and integrity constraints,Andrea Calì; Georg Gottlob; Thomas Lukasiewicz,Abstract We report on a recently introduced family of expressive extensions of Datalog;called Datalog±; which is a new framework for representing ontological axioms in form ofintegrity constraints; and for query answering under such constraints. Datalog±is derivedfrom Datalog by allowing existentially quantified variables in rule heads; and by enforcingsuitable properties in rule bodies; to ensure decidable and efficient query answering. Wefirst present different languages in the Datalog±family; providing tight complexity bounds forall cases but one (where we have a low complexity AC 0 upper bound). We then show thatsuch languages are general enough to capture the most common tractable ontologylanguages. In particular; we show that the DL-Lite family of description logics and F-LogicLite are expressible in Datalog±. We finally show how stratified negation can be added to …,Proceedings of the 12th International Conference on Database Theory,2009,118
