The mechanism of water oxidation: from electrolysis via homogeneous to biological catalysis,Holger Dau; Christian Limberg; Tobias Reier; Marcel Risch; Stefan Roggan; Peter Strasser,Abstract Striving for new solar fuels; the water oxidation reaction currently is considered tobe a bottleneck; hampering progress in the development of applicable technologies for theconversion of light into storable fuels. This review compares and unifies viewpoints on wateroxidation from various fields of catalysis research. The first part deals with thethermodynamic efficiency and mechanisms of electrochemical water splitting by metaloxides on electrode surfaces; explaining the recent concept of the potential-determiningstep. Subsequently; novel cobalt oxide-based catalysts for heterogeneous (electro) catalysisare discussed. These may share structural and functional properties with surface oxides;multinuclear molecular catalysts and the catalytic manganese–calcium complex ofphotosynthetic water oxidation. Recent developments in homogeneous water-oxidation …,*,2010,811
Toward the rational design of non-precious transition metal oxides for oxygen electrocatalysis,Wesley T Hong; Marcel Risch; Kelsey A Stoerzinger; Alexis Grimaud; Jin Suntivich; Yang Shao-Horn,In this Review; we discuss the state-of-the-art understanding of non-precious transition metaloxides that catalyze the oxygen reduction and evolution reactions. Understanding andmastering the kinetics of oxygen electrocatalysis is instrumental to making use ofphotosynthesis; advancing solar fuels; fuel cells; electrolyzers; and metal–air batteries. Wefirst present key insights; assumptions and limitations of well-known activity descriptors andreaction mechanisms in the past four decades. The turnover frequency of crystalline oxidesas promising catalysts is also put into perspective with amorphous oxides and photosystemII. Particular attention is paid to electronic structure parameters that can potentially governthe adsorbate binding strength and thus provide simple rationales and design principles topredict new catalyst chemistries with enhanced activity. We share new perspective …,Energy & Environmental Science,2015,358
Double perovskites as a family of highly active catalysts for oxygen evolution in alkaline solution,Alexis Grimaud; Kevin J May; Christopher E Carlton; Yueh-Lin Lee; Marcel Risch; Wesley T Hong; Jigang Zhou; Yang Shao-Horn,Abstract The electronic structure of transition metal oxides governs the catalysis of manycentral reactions for energy storage applications such as oxygen electrocatalysis. Here weexploit the versatility of the perovskite structure to search for oxide catalysts that are bothactive and stable. We report double perovskites (Ln 0.5 Ba 0.5) CoO 3− δ (Ln= Pr; Sm; Gdand Ho) as a family of highly active catalysts for the oxygen evolution reaction upon wateroxidation in alkaline solution. These double perovskites are stable unlike pseudocubicperovskites with comparable activities such as Ba 0.5 Sr 0.5 Co 0.8 Fe 0.2 O 3− δ whichreadily amorphize during the oxygen evolution reaction. The high activity and stability ofthese double perovskites can be explained by having the O p-band centre neither too closenor too far from the Fermi level; which is computed from ab initio studies.,Nature communications,2013,358
Electrosynthesis; functional; and structural characterization of a water-oxidizing manganese oxide,Ivelina Zaharieva; Petko Chernev; Marcel Risch; Katharina Klingan; Mike Kohlhoff; Anna Fischer; Holger Dau,In the sustainable production of non-fossil fuels; water oxidation is pivotal. Development ofefficient catalysts based on manganese is desirable because this element is earth-abundant; inexpensive; and largely non-toxic. We report an electrodeposited Mn oxide(MnCat) that catalyzes electrochemical water oxidation at neutral pH at rates that approachthe level needed for direct coupling to photoactive materials. By choice of the voltageprotocol we could switch between electrodeposition of inactive Mn oxides (deposition atconstant anodic potentials) and synthesis of the active MnCat (deposition by voltage-cyclingprotocols). Electron microscopy reveals that the MnCat consists of nanoparticles (100 nm)with complex fine-structure. X-ray spectroscopy reveals that the amorphous MnCatresembles the biological paragon; the water-splitting Mn4Ca complex of photosynthesis …,Energy & Environmental Science,2012,246
Cobalt− oxo core of a water-oxidizing catalyst film,M Risch; V Khare; I Zaharieva; L Gerencser; P Chernev; H Dau,In photosynthesis; water is oxidized at a protein-bound Mn4Ca complex. Artificial water-oxidation catalysts that are similarly efficient and based on inexpensive and abundantmaterials are of great interest. Recently; assembly of a catalyst as an amorphous layer oninert cathodes by electrodeposition starting from an aqueous solution of cobalt ions andpotassium phosphate has been reported. X-ray absorption spectroscopy on the cobaltcatalyst film (CoCF) suggests that its central structural unit is a cluster of interconnectedcomplete or incomplete CoIII− oxo cubanes. Potassium ligation to Co-bridging oxygenscould result in Co3K (μ-O) 4 cubanes; in analogy to the Mn3Ca (μ-O) 4 cubane motifproposed for the photosynthetic Mn complex. The similarities in function and oxidative self-assembly of CoCF and the catalytic Mn complex in photosynthesis are striking. Our study …,Journal of the American Chemical Society,2009,219
Influence of oxygen evolution during water oxidation on the surface of perovskite oxide catalysts,Kevin J May; Christopher E Carlton; Kelsey A Stoerzinger; Marcel Risch; Jin Suntivich; Yueh-Lin Lee; Alexis Grimaud; Yang Shao-Horn,Perovskites such as Ba0. 5Sr0. 5Co0. 8Fe0. 2O3− δ (BSCF82) can be highly active for theoxygen evolution reaction (OER) upon water oxidation in alkaline solution. Here we reportthat BSCF82 can quickly undergo amorphization of its surface at OER potentials; which isaccompanied by reduced surface concentrations of Ba2+ and Sr2+ ions as well asincreased pseudocapacitive and OER currents. Such quick amorphization during OER wasalso observed for perovskite catalysts with similar OER activities such as Ba0. 5Sr0. 5Co0.4Fe0. 6O3− δ and SrCo0. 8Fe0. 2O3− δ. In contrast; perovskite oxides with lower OERactivities than BSCF82 did not undergo this transformation when subjected to identicalelectrochemical conditions. These findings demonstrate that the active chemistry andstructure of oxide catalysts during OER can significantly differ from those of the as …,The journal of physical chemistry letters,2012,212
The nature of lithium battery materials under oxygen evolution reaction conditions,Seung Woo Lee; Christopher Carlton; Marcel Risch; Yogesh Surendranath; Shuo Chen; Sho Furutsuki; Atsuo Yamada; Daniel G Nocera; Yang Shao-Horn,Transition-metal oxide and phosphate materials; commonly used for lithium battery devices;are active as oxygen evolution reaction (OER) catalysts under alkaline and neutral solutionconditions. Electrodes composed of LiCoO2 and LiCoPO4 exhibit progressive deactivationand activation for OER catalysis; respectively; upon potential cycling at neutral pH. Thedeactivation of LiCoO2 and activation of LiCoPO4 are coincident with changes in surfacemorphology and composition giving rise to spinel-like and amorphous surface structures;respectively. The amorphous surface structure of the activated LiCoPO4 is compositionallysimilar to that obtained from the electrodeposition of cobalt oxide materials from phosphate-buffered electrolyte solutions. These results highlight the importance of a combinedstructural and electrochemical analysis of the materials surface when assessing the true …,Journal of the American Chemical Society,2012,146
Structural changes of cobalt-based perovskites upon water oxidation investigated by EXAFS,Marcel Risch; Alexis Grimaud; Kevin J May; Kelsey A Stoerzinger; Tina J Chen; Azzam N Mansour; Yang Shao-Horn,While many perovskites remain crystalline during the oxygen evolution reaction (OER) inalkaline media; some highly active perovskites become amorphous. We studied the localstructure changes of perovskites LaCoO3; Ba0. 5Sr0. 5Co0. 8Fe0. 2O3-δ; and SrCo0. 8Fe0.2O3-δ before and after OER by X-ray absorption spectroscopy. No change in either localstructure or OER activity was observed for LaCoO3; while considerably enhanced OERactivities and the conversion of the local structure from corner-sharing octahedra to edge-sharing octahedra were noted for Ba0. 5Sr0. 5Co0. 8Fe0. 2O3-δ and SrCo0. 8Fe0. 2O3-δ asa result of the OER. Possible processes responsible for the structural change and enhancedOER activities are discussed.,The Journal of Physical Chemistry C,2013,114
La0. 8Sr0. 2MnO3− δ decorated with Ba0. 5Sr0. 5Co0. 8Fe0. 2O3− δ: a bifunctional surface for oxygen electrocatalysis with enhanced stability and activity,Marcel Risch; Kelsey A Stoerzinger; Shingo Maruyama; Wesley T Hong; Ichiro Takeuchi; Yang Shao-Horn,Developing highly active and stable catalysts based on earth-abundant elements for oxygenelectrocatalysis is critical to enable efficient energy storage and conversion. In this work; wetook advantage of the high intrinsic oxygen reduction reaction (ORR) activity of La0. 8Sr0.2MnO3− δ (LSMO) and the high intrinsic oxygen evolution reaction (OER) activity of Ba0.5Sr0. 5Co0. 8Fe0. 2O3− δ (BSCF) to develop a novel bifunctional catalyst. We used pulsedlaser deposition to fabricate well-defined surfaces composed of BSCF on thin-film LSMOgrown on (001)-oriented Nb-doped SrTiO3. These surfaces exhibit bifunctionality for oxygenelectrocatalysis with enhanced activities and stability for both the ORR and OER that rivalthe state-of-the-art single-and multicomponent catalysts in the literature.,Journal of the American Chemical Society,2014,100
Water Oxidation by Electrodeposited Cobalt Oxides—Role of Anions and Redox‐Inert Cations in Structure and Function of the Amorphous Catalyst,Marcel Risch; Katharina Klingan; Franziska Ringleb; Petko Chernev; Ivelina Zaharieva; Anna Fischer; Holger Dau,Abstract For the production of nonfossil fuels; water oxidation by inexpensive cobalt-basedcatalysts is of high interest. Films for the electrocatalysis of water oxidation were obtained byoxidative self-assembly (electrodeposition) from aqueous solutions containing; apart fromCo; either K; Li or Ca with either a phosphate; acetate or chloride anion. X-ray absorptionspectroscopy (XAS) at the Co K-edge revealed clusters of edge-sharing CoO 6 octahedra inall films; but the size or structural disorder of the Co-oxido clusters differed. Whereaspotassium binding is largely unspecific; CaCo 3 O 4 cubanes; which resemble the CaMn 3 O4 cubane of the biological catalyst in oxygenic photosynthesis; may form; as suggested byXAS at the Ca K-edge. Cyclic voltammograms in a potassium phosphate buffer at pH 7revealed that no specific combination of anions and redox-inactive cations is required for …,ChemSusChem,2012,97
Oxygen electrocatalysis on (001)-oriented manganese perovskite films: Mn valency and charge transfer at the nanoscale,Kelsey A Stoerzinger; Marcel Risch; Jin Suntivich; WM Lü; Jigang Zhou; Michael D Biegalski; Hans M Christen; T Venkatesan; Yang Shao-Horn,We report that the oxygen reduction reaction (ORR) activities of (001)-oriented manganeseperovskite films decrease from 10 to 1 nm by more than an order of magnitude; which can beattributed to the barrier associated with interfacial band bending that impedes electrontransfer to the electrolyte; and reduction of Mn3+ due to charge transfer from the Nb: SrTiO3substrate. Furthermore; we show by substitution in La1− x (Ca; Sr) xMnO3 that Mn3+; notMn4+; is the active valence state for ORR.,Energy & Environmental Science,2013,88
