Proactive re-optimization,Shivnath Babu; Pedro Bizarro; David DeWitt,Abstract Traditional query optimizers rely on the accuracy of estimated statistics to choosegood execution plans. This design often leads to suboptimal plan choices for complexqueries; since errors in estimates for intermediate subexpressions grow exponentially in thepresence of skewed and correlated data distributions. Reoptimization is a promisingtechnique to cope with such mistakes. Current re-optimizers first use a traditional optimizerto pick a plan; and then react to estimation errors and resulting suboptimalities detected inthe plan during execution. The effectiveness of this approach is limited because traditionaloptimizers choose plans unaware of issues affecting reoptimization. We address thisproblem using proactive reoptimization; a new approach that incorporates three techniques:i) the uncertainty in estimates of statistics is computed in the form of bounding boxes …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,157
Event Processing Glossary-Version 2.0; Event Processing Technical Society,David Luckham,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 …,http://www. ep-ts. com/component/option; com_docman/task; doc_download/gid; 66/Itemid; 84/,2016,139
Adaptive query processing in the looking glass,Shivnath Babu; Pedro Bizarro,A great deal of work on adaptive query processing has been done over the last few years:Adaptive query processing has been used to detect and correct optimizer errors due toincorrect statistics or simplified cost metrics; it has been applied to long-running continuousqueries over data streams whose characteristics change over time; and routing-basedadaptive query processing does away with the optimizer altogether. Despite this large bodyof interrelated work; no unifying comparison of adaptive query processing techniques orsystems has been attempted; we tackle this problem. We identify three families of systems(plan-based; CQ-based; and routing-based); and compare them in detail with respect to themost important aspects of adaptive query processing: plan quality; statistics monitoring andre-optimization; plan migration; and scalability. We also suggest two new approaches to …,Proceedings of the Second Biennial Conference on Innovative Data Systems Research (CIDR); Jan. 2005,2005,129
Content-based routing: Different plans for different data,Pedro Bizarro; Shivnath Babu; David DeWitt; Jennifer Widom,Abstract Query optimizers in current database systems are designed to pick a single efficientplan for a given query based on current statistical properties of the data. However; differentsubsets of the data can sometimes have very different statistical properties. In suchscenarios it can be more efficient to process different subsets of the data for a query usingdifferent plans. We propose a new query processing technique called content-based routing(CBR) that eliminates the single-plan restriction in current systems. We present low-overhead adaptive algorithms that partition input data based on statistical propertiesrelevant to query execution strategies; and efficiently route individual tuples throughcustomized plans based on their partition. We have implemented CBR as an extension tothe Eddies query processor in the TelegraphCQ system; and we present an extensive …,Proceedings of the 31st international conference on Very large data bases,2005,80
A performance study of event processing systems,Marcelo RN Mendes; Pedro Bizarro; Paulo Marques,Abstract Event processing engines are used in diverse mission-critical scenarios such asfraud detection; traffic monitoring; or intensive care units. However; these scenarios havevery different operational requirements in terms of; eg; types of events; queries/patternscomplexity; throughput; latency and number of sources and sinks. What are the performancebottlenecks? Will performance degrade gracefully with increasing loads? In this paper wemake a first attempt to answer these questions by running several micro-benchmarks onthree different engines; while we vary query parameters like window size; window expirationtype; predicate selectivity; and data values. We also perform some experiments to assessengines scalability with respect to number of queries and propose ways for evaluating theirability in adapting to changes in load conditions. Lastly; we show that similar queries …,Technology Conference on Performance Evaluation and Benchmarking,2009,65
Progressive parametric query optimization,Pedro Bizarro; Nicolas Bruno; David J DeWitt,Commercial applications usually rely on pre-compiled parameterized procedures to interactwith a database. Unfortunately; executing a procedure with a set of parameters different fromthose used at compilation time may be arbitrarily sub-optimal. Parametric query optimization(PQO) attempts to solve this problem by exhaustively determining the optimal plans at eachpoint of the parameter space at compile time. However; PQO is likely not cost-effective if thequery is executed infrequently or if it is executed with values only within a subset of theparameter space. In this paper we propose instead to progressively explore the parameterspace and build a parametric plan during several executions of the same query. Weintroduce algorithms that; as parametric plans are populated; are able to frequently bypassthe optimizer but still execute optimal or near-optimal plans.,IEEE Transactions on Knowledge and Data Engineering,2009,59
A framework for performance evaluation of complex event processing systems,Marcelo Mendes; Pedro Bizarro; Paulo Marques,Abstract Several new Complex Event Processing (CEP) engines have been recentlyreleased; many of which are intended to be used in performance sensitive scenarios-likefraud detection; traffic control; or health care systems. However; there is no standard meansto assess the performance of a CEP engine. This omission is all the more relevant as thereare currently many competing products; languages; architectures; data models; and dataprocessing CEP techniques. A performance evaluation framework can help identify gooddesign decisions and assist in improving engines. Here we demonstrate our work inprogress: FINCoS; a framework that can be used to benchmark CEP systems. The proposedframework has five relevant characteristics:,Proceedings of the second international conference on Distributed event-based systems,2008,41
Scalable proactive event-driven decision making,Alexander Artikis; Chris Baber; Pedro Bizarro; Carlos Canudas-de-Wit; Opher Etzion; Fabiana Fournier; Paul Goulart; Andrew Howes; John Lygeros; Georgios Paliouras; Assaf Schuster; Izchak Sharfman,This paper proposes a methodology for proactive event-driven decision making. Properdecisions are made by forecasting events prior to their occurrence. Motivation for proactivedecision making stems from social and economic factors; and is based on the fact thatprevention is often more effective than the cure. The decisions are made in real time andrequire swift and immediate processing of Big Data; that is; extremely large amounts of noisydata flooding in from various locations; as well as historical data. The methodology willrecognize and forecast opportunities and threats; making the decision to capitalize on theopportunities and mitigate the threats. This will be explained through user-interaction andthe decisions of human operators; in order to ultimately facilitate proactive decision making.,IEEE Technology and Society Magazine,2014,18
An integrated data management approach to manage health care data,Diogo Guerra; Ute Gawlick; Pedro Bizarro,Abstract Intensive Care Unit data management systems suffer from three problems: data andmeta-data are spread out in different systems; there is a high rate of false positives due todefault thresholds; and data mining predictions are not available in a timely manner. Thisproof-of-concept demonstration; based on the Intensive Care Unit environment of theUniversity of Utah Health Sciences Center; presents a system that: i) integrates in one placehistorical data; events; rules; and data mining models; ii) is highly customizable letting userscreate or change rules; and iii) identifies possible future risks by performing data mining insoft-real-time. Using simulated inputs; we show the complete system working; includingwriting and editing rules; triggering simple alerts; prediction of cardiac arrests; and visualexplanation of predictions,Proceedings of the Third ACM International Conference on Distributed Event-Based Systems,2009,18
Bicep-benchmarking complex event processing systems,Pedro Bizarro,Abstract BiCEP is a new project being started at the University of Coimbra to benchmarkComplex Event Processing systems (CEP). Although BiCEP is still in the early stages; we listhere some of the design considerations that will drive our future work and some of themetrics we plan to include in the benchmark.,Dagstuhl Seminar Proceedings,2007,18
Flood: elastic streaming mapreduce,David Alves; Pedro Bizarro; Paulo Marques,Abstract Distributed data stream processing (DSP) is used to analyze information and raisealarms in business-critical scenarios such as financial fraud-detection; clickstreamprocessing; network security; traffic control; or real-time KPI computations. Processing thisinformation efficiently is very challenging because the nature of continuous streamingsources is varying in nature: often the amount of data and processing changes with time ofday and day of week and frequently has unexpected spikes. Thus; the result is that mostDSP computations are either over-provisioned; introducing increased cost and wastedenergy; or are under-provisioned and; either incur in performance degradation or denial-of-service; or have to resort to load shedding. We demonstrate Flood; a scalable; elastic DSPengine that addresses these problems. By using a scalable computing model …,Proceedings of the Fourth ACM International Conference on Distributed Event-Based Systems,2010,17
JWarp: A Java library for parallel discrete-event simulations,Pedro Bizarro; Luis Moura  Silva; Joao Gabriel Silva,SUMMARY Java is a very promising language for use in the simulation of physical modelsdue to its objectoriented nature; portability; robustness and support for multithreading. Thispaper presents JWarp; a Java library for discrete-event parallel simulations. It is based on anoptimistic model for synchronization of the simulation entities: the Time Warp mechanism.We introduce the main features of the library and discuss some of the implementationdetails.© 1998 John Wiley & Sons; Ltd.,Concurrency - Practice and Experience,1998,13
Towards a standard event processing benchmark,Marcelo Mendes; Pedro Bizarro; Paulo Marques,Abstract There has been an increasing interest both in academia and industry for systematicmethods for evaluating the performance and scalability of event processing systems. Anumber of performance results have been disclosed over the last years; but there is still alack of standardized benchmarks that allow an objective comparison of the different systems.In this paper; we present our work in progress: the BiCEP benchmark suite; a set ofworkloads; datasets and tools for evaluating different performance aspects of eventprocessing platforms. In particular; we introduce'Pairs'; the first of the BiCEP benchmarks;aimed at assessing the ability of CEP engines in processing progressively larger volumes ofevents and simultaneous queries while providing quick answers.,Proceedings of the 4th ACM/SPEC International Conference on Performance Engineering,2013,10
