A local search mechanism for peer-to-peer networks,Vana Kalogeraki; Dimitrios Gunopulos; Demetrios Zeinalipour-Yazti,Abstract One important problem in peer-to-peer (P2P) networks is searching and retrievingthe correct information. However; existing searching mechanisms in pure peer-to-peernetworks are inefficient due to the decentralized nature of such networks. We propose twomechanisms for information retrieval in pure peer-to-peer networks. The first; the modifiedBreadth-First Search (BFS) mechanism; is an extension of the current Gnuttela protocol;allows searching with keywords; and is designed to minimize the number of messages thatare needed to search the network. The second; the Intelligent Search mechanism; uses thepast behavior of the P2P network to further improve the scalability of the search procedure.In this algorithm; each peer autonomously decides which of its peers are most likely toanswer a given query. The algorithm is entirely distributed; and therefore scales well with …,Proceedings of the eleventh international conference on Information and knowledge management,2002,559
Crowdsourcing with smartphones,Georgios Chatzimilioudis; Andreas Konstantinidis; Christos Laoudias; Demetrios Zeinalipour-Yazti,Smartphones can reveal crowdsourcing's full potential and let users transparently contributeto complex and novel problem solving. This emerging area is illustrated through a taxonomythat classifies the mobile crowdsourcing field and through three new applications thatoptimize location-based search and similarity services based on crowd-generated data.Such applications can be deployed on SmartLab; a cloud of more than 40 Android devicesdeployed at the University of Cyprus that provides an open testbed to facilitate research anddevelopment of smartphone applications on a massive scale.,IEEE Internet Computing,2012,243
MicroHash: An Efficient Index Structure for Flash-Based Sensor Devices.,Demetrios Zeinalipour-Yazti; Song Lin; Vana Kalogeraki; Dimitrios Gunopulos; Walid A Najjar,Abstract In this paper we propose the MicroHash index; which is an efficient externalmemory structure for Wireless Sensor Devices (WSDs). The most prevalent storage mediumfor WSDs is flash memory. Our index structure exploits the asymmetric read/write and wearcharacteristics of flash memory in order to offer high performance indexing and searchingcapabilities in the presence of a low energy budget which is typical for the devices underdiscussion. A key idea behind MicroHash is to eliminate expensive random accessdeletions. We have implemented MicroHash in nesC; the programming language of theTinyOS [7] operating system. Our trace-driven experimentation with several real datasetsreveals that our index structure offers excellent search performance at a small cost ofconstructing and maintaining the index.,FAST,2005,184
Online social networks: status and trends,George Pallis; Demetrios Zeinalipour-Yazti; Marios D Dikaiakos,Abstract The rapid proliferation of Online Social Network (OSN) sites has made a profoundimpact on the WWW; which tends to reshape its structure; design; and utility. Industry expertsbelieve that OSNs create a potentially transformational change in consumer behavior andwill bring a far-reaching impact on traditional industries of content; media; andcommunications. This chapter starts out by presenting the current status of OSNs through ataxonomy which delineates the spectrum of attributes that relate to these systems. It alsopresents an overall reference system architecture that aims at capturing the building blocksof prominent OSNs. Additionally; it provides a state-of-the-art survey of popular OSNsystems; examining their architectural designs and business models. Finally; the chapterexplores the future trends of OSN systems; presents significant research challenges and …,*,2011,105
A multi-objective evolutionary algorithm for the deployment and power assignment problem in wireless sensor networks,Andreas Konstantinidis; Kun Yang; Qingfu Zhang; Demetrios Zeinalipour-Yazti,Abstract A Wireless Sensor Network (WSN) design often requires the decision of optimallocations (deployment) and transmit power levels (power assignment) of the sensors to bedeployed in an area of interest. Few attempts have been made on optimizing both decisionvariables for maximizing the network coverage and lifetime objectives; even though; most ofthe latter studies consider the two objectives individually. This paper defines themultiobjective Deployment and Power Assignment Problem (DPAP). Using the Multi-Objective Evolutionary Algorithm based on Decomposition (MOEA/D); the DPAP isdecomposed into a set of scalar subproblems that are classified based on their objectivepreference and tackled in parallel by using neighborhood information and problem-specificevolutionary operators; in a single run. The proposed operators adapt to the requirements …,Computer networks,2010,97
Information retrieval techniques for peer-to-peer networks,Demetrios Zeinalipour-Yazti; Vana Kalogeraki; Dimitrios Gunopulos,Peer-to-peer (P2P) systems are application-layer networks that let networked hosts shareresources in a distributed environment. An important attribute of P2P networks is the abilityto efficiently search the contents of other peers. In this article; the authors survey existingsearch techniques for information retrieval (IR) in P2P networks; including recent techniquesthat they propose. They also present a realistic experimental evaluation and comparison ofthese techniques; using a distributed middleware infrastructure they designed andimplemented.,Computing in Science & Engineering,2004,94
The threshold join algorithm for top-k queries in distributed sensor networks,Demetrios Zeinalipour-Yazti; Zografoula Vagena; Dimitrios Gunopulos; Vana Kalogeraki; V Tsotras; Michail Vlachos; Nick Koudas; Divesh Srivastava,Abstract In this paper we present the Threshold Join Algorithm (TJA); which is an efficientTOP-k query processing algorithm for distributed sensor networks. The objective of a top-kquery is to find the k highest ranked answers to a user defined similarity function. Theevaluation of such a query in a sensor network environment is associated with the transfer ofdata over an extremely expensive communication medium. TJA uses a non-uniformthreshold on the queried attribute in order to minimize the number of tuples that have to betransferred towards the querying node. Additionally; TJA resolves queries in the networkrather than in a centralized fashion; which minimizes even more the consumption ofbandwidth and delay. Our preliminary experimental results; using our trace driven simulator;show that TJA is both practical and efficient.,Proceedings of the 2nd international workshop on Data management for sensor networks,2005,87
Exploiting locality for scalable information retrieval in peer-to-peer networks,Demetrios Zeinalipour-Yazti; Vana Kalogeraki; Dimitrios Gunopulos,Abstract An important problem in unstructured peer-to-peer (P2P) networks is the efficientcontent-based retrieval of documents shared by other peers. However; existing searchingmechanisms are not scaling well because they are either based on the idea of flooding thenetwork with queries or because they require some form of global knowledge. We proposethe Intelligent Search Mechanism (ISM) which is an efficient; scalable yet simple mechanismfor improving the information retrieval problem in P2P systems. Our mechanism is efficientsince it is bounded by the number of neighbors and scalable because no global knowledgeis required to be maintained. ISM consists of four components: A Profiling Structure whichlogs queryhit messages coming from neighbors; a Query Similarity function which calculatesthe similarity queries to a new query; RelevanceRank which is an online neighbor …,Information Systems,2005,69
A quantitative analysis of the gnutella network traffic,Demetris Zeinalipour-Yazti; Theodoros Folias,Abstract Peer-to-Peer (P2P) file-sharing systems such as Gnutella; Morpheus and Freenethave recently attracted a lot of interest from the internet community because they realized adistributed infrastructure for sharing files. Such systems have shifted the Web's Client-Servermodel paradigm into a Client-Client model. The tremendous success of such systems hasproven that purely distributed search systems are feasible and that they may change the waywe interact on the Internet. P2P systems uncover many new exciting features such asrobustness; scalability and high fault tolerance but with a price. Most research concentrateson optimizing the communication and data model of such systems but inadequate work hasbeen done in area of analyzing such systems. Most approaches tend to use as their basissimulation models which can lead to wrong observations and solutions.,Department of Computer Science University of California,2002,60
Design and implementation of a distributed crawler and filtering processor,Demetrios Zeinalipour-Yazti; Marios Dikaiakos,Abstract Web crawlers are the key component of services running on Internet and providingsearching and indexing support for the entire Web; for corporate Intranets and large portalsites. More recently; crawlers have also been used as tools to conduct focused Websearches and to gather data about the characteristics of the WWW. In this paper; we studythe employment of crawlers as a programmable; scalable; and distributed component infuture Internet middleware infrastructures and proxy services. In particular; we present thearchitecture and implementation of; and experimentation with WebRACE; a high-performance; distributed Web crawler; filtering server and object cache. We address thechallenge of designing and implementing modular; open; distributed; and scalable crawlers;using Java. We describe our design and implementation decisions; and various …,International Workshop on Next Generation Information Technologies and Systems,2002,55
The airplace indoor positioning platform for android smartphones,Christos Laoudias; George Constantinou; Marios Constantinides; Silouanos Nicolaou; Demetrios Zeinalipour-Yazti; Christos G Panayiotou,In this demonstration paper; we present an indoor positioning system developed for Androidsmartphones; coined Airplace. To infer the unknown user location we rely on ubiquitousWLANs and exploit Received Signal Strength (RSS) values from neighboring Access Points(AP) that are constantly monitored by the mobile devices under normal operation. Oursystem follows a mobile-based network-assisted architecture to eliminate thecommunication overhead and respect user privacy. In a typical scenario; when a user walksinside a building a smartphone client conducts a single communication with our DistributionServer to receive the RSS radiomap and is then able to position itself independently usingthe observed RSS values. Moreover; we have implemented an Android application tofacilitate the collection of RSS values by users that may contribute their data to our system …,Mobile Data Management (MDM); 2012 IEEE 13th International Conference on,2012,50
