Service-oriented computing,M. P Papazoglou; D Georgakopoulos,*,Communications of the ACM,2003,3766
An overview of workflow management: From process modeling to workflow automation infrastructure,Diimitrios Georgakopoulos; Mark Hornick; Amit Sheth,Abstract Today's business enterprises must deal with global competition; reduce the cost ofdoing business; and rapidly develop new services and products. To address theserequirements enterprises must constantly reconsider and optimize the way they do businessand change their information systems and applications to support evolving businessprocesses. Workflow technology facilitates these by providing methodologies and softwareto support (i) business process modeling to capture business processes as workflowspecifications;(ii) business process reengineering to optimize specified processes; and (iii)workflow automation to generate workflow implementations from workflow specifications.This paper provides a high-level overview of the current workflow managementmethodologies and software products. In addition; we discuss the infrastructure …,Distributed and parallel Databases,1995,2402
Context aware computing for the internet of things: A survey,Charith Perera; Arkady Zaslavsky; Peter Christen; Dimitrios Georgakopoulos,As we are moving towards the Internet of Things (IoT); the number of sensors deployedaround the world is growing at a rapid pace. Market research has shown a significant growthof sensor deployments over the past decade and has predicted a significant increment of thegrowth rate in the future. These sensors continuously generate enormous amounts of data.However; in order to add value to raw sensor data we need to understand it. Collection;modelling; reasoning; and distribution of context in relation to sensor data plays critical rolein this challenge. Context-aware computing has proven to be successful in understandingsensor data. In this paper; we survey context awareness from an IoT perspective. Wepresent the necessary background by introducing the IoT paradigm and context-awarefundamentals at the beginning. Then we provide an in-depth analysis of context life cycle …,IEEE communications surveys & tutorials,2014,1255
Sensing as a service model for smart cities supported by internet of things,Charith Perera; Arkady Zaslavsky; Peter Christen; Dimitrios Georgakopoulos,ABSTRACT The world population is growing at a rapid pace. Towns and cities areaccommodating half of the world's population thereby creating tremendous pressure onevery aspect of urban living. Cities are known to have large concentration of resources andfacilities. Such environments attract people from rural areas. However; unprecedentedattraction has now become an overwhelming issue for city governance and politics. Theenormous pressure towards efficient city management has triggered various Smart Cityinitiatives by both government and private sector businesses to invest in information andcommunication technologies to find sustainable solutions to the growing issues. The Internetof Things (IoT) has also gained significant attention over the past decade. IoT envisions toconnect billions of sensors to the Internet and expects to use them for efficient and …,Transactions on Emerging Telecommunications Technologies,2014,413
Sensing as a service and big data,Arkady Zaslavsky; Charith Perera; Dimitrios Georgakopoulos,Abstract: Internet of Things (IoT) will comprise billions of devices that can sense;communicate; compute and potentially actuate. Data streams coming from these devices willchallenge the traditional approaches to data management and contribute to the emergingparadigm of big data. This paper discusses emerging Internet of Things (IoT) architecture;large scale sensor network applications; federating sensor networks; sensor data andrelated context capturing techniques; challenges in cloud-based management; storing;archiving and processing of sensor data.,arXiv preprint arXiv:1301.0159,2013,315
On rigorous transaction scheduling,Yuri Breitbart; Dimitrios Georgakopoulos; Marek Rusinkiewicz; Abraham Silberschatz,The class of transaction scheduling mechanisms in which the transaction serialization ordercan be determined by controlling their commitment order; is defined. This class oftransaction management mechanisms is important; because it simplifies transactionmanagement in a multidatabase system environment. The notion of analogous executionand serialization orders of transactions is defined and the concept of strongly recoverableand rigorous execution schedules is introduced. It is then proven that rigorous schedulersalways produce analogous execution and serialization orders. It is shown that the systemsusing the rigorous scheduling can be naturally incorporated in hierarchical transactionmanagement mechanisms. It is proven that several previously proposed multidatabasetransaction management mechanisms guarantee global serializability only if all …,IEEE Transactions on Software Engineering,1991,222
On serializability of multidatabase transactions through forced local conflicts,Dimitrios Georgakopoulos; Marek Rusinkiewicz; Amit Sheth,A multidatabase transaction management mechanism called the optimistic ticket method(OTM) is introduced for enforcing global serializability. It permits the commitment ofmultidatabase transactions only if their relative serialization order is the same in allparticipating local database systems (LDBSs). OTM requires the LDBSs to guarantee onlylocal serializability. The basic idea in OTM is to create direct conflicts between multidatabasetransactions at each LDBS in order to determine the relative serialization order of theirsubtransactions. A refinement of OTM; called the implicit ticket method (ITM); is alsointroduced that uses implicit tickets and eliminates ticket conflicts but works only when theparticipating LDBSs use rigorous transaction scheduling mechanisms. ITM uses the localcommitment order of each subtransaction to determine its implicit ticket value. It achieves …,Data Engineering; 1991. Proceedings. Seventh International Conference on,1991,218
Modeling and composing service-based and reference process-based multi-enterprise processes,Hans Schuster; Dimitrios Georgakopoulos; Andrzej Cichocki; Donald Baker,Abstract Multi-enterprise processes (MEPs) are workflows consisting of a set of activities thatare implemented by different enterprises. Tightly coupled Virtual Enterprises (VEs) typicallyagree on abstract MEPs (reference MEPs); to which each enterprise contributes single-enterprise processes (SEPs) that implement and refine the activities in the reference MEP.On the other end of the spectrum; loosely coupled VEs use service-based MEPs that fusetogether heterogeneous services implemented and provided by different enterprises.Existing process models usually couple activities with their implementation. Therefore; theycannot effectively support such MEPs. In this paper; we introduce a Polymorphic ProcessModel (PPM) that supports both reference process-and service-based MEPs. To accomplishthis; PPM decouples activity interface from activity implementation; and provides process …,International Conference on Advanced Information Systems Engineering,2000,208
A transaction model for active distributed object systems,Alejandro P Buchmann; M Tamer Özsu; Dimitrios Georgakopoulos; Frank Manola,Two recent developments in data management are the emergence of database systems withextended functionality Atkinson et al.; 1989; Stonebraker et al.; 1990a]; and the integration ofmultiple; heterogeneous database systems Litwin; 1988; Gupta; 1989; Sheth and Larson;1990]. An even more ambitious goal is the integration of autonomous; heterogeneousdatabase and non-database systems into a distributed computing environment. The DOM(Distributed Object Management) project at GTE Laboratories addresses precisely theseissues. The DOM project has as its goal the development of a distributed; object-orientedenvironment in which new (non-traditional) applications can be developed; and in whichautonomous; heterogeneous systems can be integrated Manola; 1988 and 1989; Manolaand Buchmann; 1990]. A DOM system (Figure 5.1) consists both of native objects that are …,*,1992,180
Managing process and service fusion in virtual enterprises,Dimitrios Georgakopoulos; Hans Schuster; Andrzej Cichocki; Donald Baker,Abstract Virtual Enterprises (VEs) are businesses providing services and products that relyon the resources of multiple enterprises. VEs can achieve their business objectives onlythrough effective collaboration between the autonomous enterprises that comprise them. Inthis paper we advocate the position that effective multi-enterprise collaboration can beachieved by integrating the business processes of the participant enterprises; and bymanaging the resulting multi-enterprise (business) processes. A key requirement for this isdeveloping multi-enterprise processes that explicitly capture and manage the functional andcontractual relationships between the enterprises in a VE. In particular; this includes the inter-enterprise services each enterprise in a VE provides to others as needed to realize multi-enterprise processes. Current process management technology does not deal with the …,Information Systems,1999,152
Report from the NSF workshop on workflow and process automation in information systems,Amit Sheth; Dimitrios Georgakopoulos; Stef MM Joosten; Marek Rusinkiewicz; Walt Scacchi; Jack Wileden; Alexander L Wolf,Abstract An interdisciplinary research community needs to address challenging issuesraised by applying workflow management technology in information systems. Thisconclusion results from the NSF workshop on Workflow and Process Automation inInformation Systems which was held at the State Botanical Garden of Georgia during May 8-10; 1996. The workshop brought together active researchers and practitioners from severalcommunities; with significant representation from database and distributed systems;software process and software engineering; and computer supported cooperative work. Thepresentations given at the workshop are available in the form of an electronic proceedings ofthis workshop at http://lsdis. cs. uga. edu/activities/). This report is the joint work of selectedrepresentatives from the workshop and it documents the results of significant group …,ACM SiGMOD Record,1996,145
