-Querying the Internet with PIER,Ryan Huebsch; Joseph M Hellerstein; Nick Lanham; Boon Thau Loo; Scott Shenker; Ion Stoica,This chapter presents the initial design of peer-to-peer information exchange and retrieval(PIER); a massively distributed query engine based on overlay networks; which is intendedto bring database query processing facilities to new; widely distributed environments. Thechapter highlights the need for massively distributed queries; and argues for a relaxation ofcertain traditional database research goals in the pursuit of scalability and widespreadadoption. It presents simulation results showing PIER running relational queries acrossthousands of machines; and shows results from the same software base in actualdeployment on a large experimental cluster. The scalability of PIER derives from a small setof relaxed design principles; which led to some of the key decisions; including the adoptionof soft state and dilated-reachable snapshot semantics; the use of DHTs as a core …,*,2003,692
Complex queries in DHT-based peer-to-peer networks,Matthew Harren; Joseph M Hellerstein; Ryan Huebsch; Boon Thau Loo; Scott Shenker; Ion Stoica,Abstract Recently a new generation of P2P systems; offering distributed hash table (DHT)functionality; have been proposed. These systems greatly improve the scalability and exact-match accuracy of P2P systems; but offer only the exact-match query facility. This paperoutlines a research agenda for building complex query facilities on top of these DHT-basedP2P systems. We describe the issues involved and outline our research plan and currentstatus.,International Workshop on Peer-to-Peer Systems,2002,482
Implementing declarative overlays,Boon Thau Loo; Tyson Condie; Joseph M Hellerstein; Petros Maniatis; Timothy Roscoe; Ion Stoica,Abstract Overlay networks are used today in a variety of distributed systems ranging from file-sharing and storage systems to communication infrastructures. However; designing; buildingand adapting these overlays to the intended application and the target environment is adifficult and time consuming process. To ease the development and the deployment of suchoverlay networks we have implemented P2; a system that uses a declarative logic languageto express overlay networks in a highly compact and reusable form. P2 can express aNarada-style mesh network in 16 rules; and the Chord structured overlay in only 47 rules. P2directly parses and executes such specifications using a dataflow architecture to constructand maintain overlay networks. We describe the P2 approach; how our implementationworks; and show by experiment its promising trade-off point between specification …,ACM SIGOPS Operating Systems Review,2005,422
On the feasibility of peer-to-peer web indexing and search,Jinyang Li; Boon Thau Loo; Joseph M Hellerstein; M Frans Kaashoek; David R Karger; Robert Morris,Abstract This paper discusses the feasibility of peer-to-peer full-text keyword search of theWeb. Two classes of keyword search techniques are in use or have been proposed: floodingof queries over an overlay network (as in Gnutella); and intersection of index lists stored in adistributed hash table. We present a simple feasibility analysis based on the resourceconstraints and search workload. Our study suggests that the peer-to-peer network does nothave enough capacity to make naive use of either of search techniques attractive for Websearch. The paper presents a number of existing and novel optimizations for P2P searchbased on distributed hash tables; estimates their effects on performance; and concludes thatin combination these optimizations would bring the problem to within an order of magnitudeof feasibility. The paper suggests a number of compromises that might achieve the last …,International Workshop on Peer-to-Peer Systems,2003,408
Declarative routing: extensible routing with declarative queries,Boon Thau Loo; Joseph M Hellerstein; Ion Stoica; Raghu Ramakrishnan,Abstract The Internet's core routing infrastructure; while arguably robust and efficient; hasproven to be difficult to evolve to accommodate the needs of new applications. Priorresearch on this problem has included new hard-coded routing protocols on the one hand;and fully extensible Active Networks on the other. In this paper; we explore a new point inthis design space that aims to strike a better balance between the extensibility androbustness of a routing infrastructure. The basic idea of our solution; which we calldeclarative routing; is to express routing protocols using a database query language. Weshow that our query language is a natural fit for routing; and can express a variety of well-known routing protocols in a compact and clean fashion. We discuss the security of ourproposal in terms of its computational expressive power and language design. Via …,ACM SIGCOMM Computer Communication Review,2005,316
Declarative networking: language; execution and optimization,Boon Thau Loo; Tyson Condie; Minos Garofalakis; David E Gay; Joseph M Hellerstein; Petros Maniatis; Raghu Ramakrishnan; Timothy Roscoe; Ion Stoica,Abstract The networking and distributed systems communities have recently explored avariety of new network architectures; both for application-level overlay networks; and asprototypes for a next-generation Internet architecture. In this context; we have investigateddeclarative networking: the use of a distributed recursive query engine as a powerful vehiclefor accelerating innovation in network architectures [23; 24; 33]. Declarative networkingrepresents a significant new application area for database research on recursive queryprocessing. In this paper; we address fundamental database issues in this domain. First; wemotivate and formally define the Network Datalog (NDlog) language for declarative networkspecifications. Second; we introduce and prove correct relaxed versions of the traditionalsemi-naïve query evaluation technique; to overcome fundamental problems of the …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,280
Novel loci for adiponectin levels and their influence on type 2 diabetes and metabolic traits: a multi-ethnic meta-analysis of 45;891 individuals,Zari Dastani; Marie-France Hivert; Nicholas Timpson; John RB Perry; Xin Yuan; Robert A Scott; Peter Henneman; Iris M Heid; Jorge R Kizer; Leo-Pekka Lyytikäinen; Christian Fuchsberger; Toshiko Tanaka; Andrew P Morris; Kerrin Small; Aaron Isaacs; Marian Beekman; Stefan Coassin; Kurt Lohman; Lu Qi; Stavroula Kanoni; James S Pankow; Hae-Won Uh; Ying Wu; Aurelian Bidulescu; Laura J Rasmussen-Torvik; Celia MT Greenwood; Martin Ladouceur; Jonna Grimsby; Alisa K Manning; Ching-Ti Liu; Jaspal Kooner; Vincent E Mooser; Peter Vollenweider; Karen A Kapur; John Chambers; Nicholas J Wareham; Claudia Langenberg; Rune Frants; Ko Willems-vanDijk; Ben A Oostra; Sara M Willems; Claudia Lamina; Thomas W Winkler; Bruce M Psaty; Russell P Tracy; Jennifer Brody; Ida Chen; Jorma Viikari; Mika Kähönen; Peter P Pramstaller; David M Evans; Beate St Pourcain; Naveed Sattar; Andrew R Wood; Stefania Bandinelli; Olga D Carlson; Josephine M Egan; Stefan Böhringer; Diana van Heemst; Lyudmyla Kedenko; Kati Kristiansson; Marja-Liisa Nuotio; Britt-Marie Loo; Tamara Harris; Melissa Garcia; Alka Kanaya; Margot Haun; Norman Klopp; H-Erich Wichmann; Panos Deloukas; Efi Katsareli; David J Couper; Bruce B Duncan; Margreet Kloppenburg; Linda S Adair; Judith B Borja; James G Wilson; Solomon Musani; Xiuqing Guo; Toby Johnson; Robert Semple; Tanya M Teslovich; Matthew A Allison; Susan Redline; Sarah G Buxbaum; Karen L Mohlke; Ingrid Meulenbelt; Christie M Ballantyne; George V Dedoussis; Frank B Hu; Yongmei Liu; Bernhard Paulweber; Timothy D Spector; P Eline Slagboom; Luigi Ferrucci; Antti Jula; Markus Perola; Olli Raitakari; Jose C Florez; Veikko Salomaa; Johan G Eriksson; Timothy M Frayling; Andrew A Hicks; Terho Lehtimäki; George Davey Smith; David S Siscovick; Florian Kronenberg; Cornelia van Duijn; Ruth JF Loos; Dawn M Waterworth; James B Meigs; Josee Dupuis; J Brent Richards; DIAGRAM+ Consortium; MAGIC Consortium; GLGC Investigators; MuTHER Consortium,Circulating levels of adiponectin; a hormone produced predominantly by adipocytes; arehighly heritable and are inversely associated with type 2 diabetes mellitus (T2D) and othermetabolic traits. We conducted a meta-analysis of genome-wide association studies in39;883 individuals of European ancestry to identify genes associated with metabolicdisease. We identified 8 novel loci associated with adiponectin levels and confirmed 2previously reported loci (P= 4.5× 10− 8–1.2× 10− 43). Using a novel method to combinedata across ethnicities (N= 4;232 African Americans; N= 1;776 Asians; and N= 29;347Europeans); we identified two additional novel loci. Expression analyses of 436 humanadipocyte samples revealed that mRNA levels of 18 genes at candidate regions wereassociated with adiponectin concentrations after accounting for multiple testing (p< 3× 10 …,PLoS genetics,2012,277
The case for a hybrid P2P search infrastructure,Boon Thau Loo; Ryan Huebsch; Ion Stoica; Joseph M Hellerstein,Abstract Popular P2P file-sharing systems like Gnutella and Kazaa use unstructured networkdesigns. These networks typically adopt flooding-based search techniques to locate files.While flooding-based techniques are effective for locating highly replicated items; they arepoorly suited for locating rare items. As an alternative; a wide variety of structured P2Pnetworks such as distributed hash tables (DHTs) have been recently proposed. Structurednetworks can efficiently locate rare items; but they incur significantly higher overheads thanunstructured P2P networks for popular files. Through extensive measurements of theGnutella network from multiple vantage points; we argue for a hybrid search solution; wherestructured search techniques are used to index and locate rare items; and floodingtechniques are used for locating highly replicated content. To illustrate; we present …,International Workshop on Peer-to-Peer Systems,2004,261
Adaptive precision setting for cached approximate values,Chris Olston; Boon Thau Loo; Jennifer Widom,Abstract Caching approximate values instead of exact values presents an opportunity forperformance gains in exchange for decreased precision. To maximize the performanceimprovement; cached approximations must be of appropriate precision: approximations thatare too precise easily become invalid; requiring frequent refreshing; while overly impreciseapproximations are likely to be useless to applications; which must then bypass the cache.We present a parameterized algorithm for adjusting the precision of cached approximationsadaptively to achieve the best performance as data values; precision requirements; orworkload vary. We consider interval approximations to numeric values but our ideas can beextended to other kinds of data and approximations. Our algorithm strictly generalizesprevious adaptive caching algorithms for exact copies: we can set parameters to require …,ACM SIGMOD Record,2001,257
The architecture of pier: an internet-scale query processor,Ryan Huebsch; Brent Chun; Joseph M Hellerstein; Boon Thau Loo; Petros Maniatis; Timothy Roscoe; Scott Shenker; Ion Stoica; Aydan R Yumerefendi,This paper presents the architecture of PIER1; an Internetscale query engine we have beenbuilding over the last three years. PIER is the first general-purpose relational queryprocessor targeted at a peer-to-peer (p2p) architecture of thousands or millions ofparticipating nodes on the Internet. It supports massively distributed; database-styledataflows for snapshot and continuous queries. It is intended to serve as a building block fora diverse set of Internet-scale informationcentric applications; particularly those that tap intothe standardized data readily available on networked machines; including packet headers;system logs; and file names. In earlier papers we presented the vision for PIER; itsapplication relevance; and initial simulation results [28; 32]. We have also presented real-world results showing the benefits of using PIER in a p2p filesharing network [41; 43]. In …,*,2005,251
