Skewtune: mitigating skew in mapreduce applications,YongChul Kwon; Magdalena Balazinska; Bill Howe; Jerome Rolia,Abstract We present an automatic skew mitigation approach for user-defined MapReduceprograms and present SkewTune; a system that implements this approach as a drop-inreplacement for an existing MapReduce implementation. There are three key challenges:(a)require no extra input from the user yet work for all MapReduce applications;(b) becompletely transparent; and (c) impose minimal overhead if there is no skew. The SkewTuneapproach addresses these challenges and works as follows: When a node in the clusterbecomes idle; SkewTune identifies the task with the greatest expected remaining processingtime. The unprocessed input data of this straggling task is then proactively repartitioned in away that fully utilizes the nodes in the cluster and preserves the ordering of the input data sothat the original output can be reconstructed by concatenation. We implement SkewTune …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,351
Skew-resistant parallel processing of feature-extracting scientific user-defined functions,YongChul Kwon; Magdalena Balazinska; Bill Howe; Jerome Rolia,Abstract Scientists today have the ability to generate data at an unprecedented scale andrate and; as a result; they must increasingly turn to parallel data processing engines toperform their analyses. However; the simple execution model of these engines can make itdifficult to implement efficient algorithms for scientific analytics. In particular; many scientificanalytics require the extraction of features from data represented as either amultidimensional array or points in a multidimensional space. These applications exhibitsignificant computational skew; where the runtime of different partitions depends on morethan just input size and can therefore vary dramatically and unpredictably. In this paper; wepresent SkewReduce; a new system implemented on top of Hadoop that enables users toeasily express feature extraction analyses and execute them efficiently. At the heart of the …,Proceedings of the 1st ACM symposium on Cloud computing,2010,145
SnipSuggest: Context-aware autocompletion for SQL,Nodira Khoussainova; YongChul Kwon; Magdalena Balazinska; Dan Suciu,Abstract In this paper; we present SnipSuggest; a system that provides on-the-go; context-aware assistance in the SQL composition process. SnipSuggest aims to help the increasingpopulation of non-expert database users; who need to perform complex analysis on theirlarge-scale datasets; but have difficulty writing SQL queries. As a user types a query;SnipSuggest recommends possible additions to various clauses in the query using relevantsnippets collected from a log of past queries. SnipSuggest's current capabilities includesuggesting tables; views; and table-valued functions in the FROM clause; columns in theSELECT clause; predicates in the WHERE clause; columns in the GROUP BY clause;aggregates; and some support for sub-queries. SnipSuggest adjusts its recommendationsaccording to the context: as the user writes more of the query; it is able to provide more …,Proceedings of the VLDB Endowment,2010,127
Hadoop's adolescence: an analysis of Hadoop usage in scientific workloads,Kai Ren; YongChul Kwon; Magdalena Balazinska; Bill Howe,Abstract We analyze Hadoop workloads from three di? erent research clusters from a user-centric perspective. The goal is to better understand data scientists' use of the system andhow well the use of the system matches its design. Our analysis suggests that Hadoopusage is still in its adolescence. We see underuse of Hadoop features; extensions; andtools. We see significant diversity in resource usage and application styles; including someinteractive and iterative workloads; motivating new tools in the ecosystem. We also observesignificant opportunities for optimizations of these workloads. We find that job customizationand configuration are used in a narrow scope; suggesting the future pursuit of automatictuning systems. Overall; we present the first user-centered measurement study of Hadoopand find significant opportunities for improving its efficient use for data scientists.,Proceedings of the VLDB Endowment,2013,94
A study of skew in mapreduce applications,YongChul Kwon; Magdalena Balazinska; Bill Howe; Jerome Rolia,Abstract—This paper presents a study of skew—highly variable task runtimes—inMapReduce applications. We describe various causes and manifestations of skew asobserved in real world Hadoop applications. Runtime task distributions from theseapplications demonstrate the presence and negative impact of skew on performancebehavior. We discuss best practices recommended for avoiding such behavior and theirlimitations.,Open Cirrus Summit,2011,91
A case for a collaborative query management system,Nodira Khoussainova; Magda Balazinska; Wolfgang Gatterbauer; YongChul Kwon; Dan Suciu,Abstract: Over the past 40 years; database management systems (DBMSs) have evolved toprovide a sophisticated variety of data management capabilities. At the same time; tools formanaging queries over the data have remained relatively primitive. One reason for this isthat queries are typically issued through applications. They are thus debugged once and re-used repeatedly. This mode of interaction; however; is changing. As scientists (and others)store and share increasingly large volumes of data in data centers; they need the ability toanalyze the data by issuing exploratory queries. In this paper; we argue that; in these newsettings; data management systems must provide powerful query management capabilities;from query browsing to automatic query recommendations. We first discuss the requirementsfor a collaborative query management system. We outline an early system architecture …,arXiv preprint arXiv:0909.1778,2009,75
Analyzing massive astrophysical datasets: Can Pig/Hadoop or a relational DBMS help?,Sarah Loebman; Dylan Nunley; YongChul Kwon; Bill Howe; Magdalena Balazinska; Jeffrey P Gardner,As the datasets used to fuel modern scientific discovery grow increasingly large; theybecome increasingly difficult to manage using conventional software. Parallel databasemanagement systems (DBMSs) and massive-scale data processing systems such asMapReduce hold promise to address this challenge. However; since these systems have notbeen expressly designed for scientific applications; their efficacy in this domain has not beenthoroughly tested. In this paper; we study the performance of these engines in one specificdomain: massive astrophysical simulations. We develop a use case that comprises fiverepresentative queries. We implement this use case in one distributed DBMS and in thePig/Hadoop system. We compare the performance of the tools to each other and to hand-written IDL scripts. We find that certain representative analyses are easy to express in …,Cluster Computing and Workshops; 2009. CLUSTER'09. IEEE International Conference on,2009,74
Scalable clustering algorithm for N-body simulations in a shared-nothing cluster,YongChul Kwon; Dylan Nunley; Jeffrey P Gardner; Magdalena Balazinska; Bill Howe; Sarah Loebman,Abstract Scientists' ability to generate and collect massive-scale datasets is increasing. As aresult; constraints in data analysis capability rather than limitations in the availability of datahave become the bottleneck to scientific discovery. MapReduce-style platforms hold thepromise to address this growing data analysis problem; but it is not easy to express manyscientific analyses in these new frameworks. In this paper; we study data analysischallenges found in the astronomy simulation domain. In particular; we present a scalable;parallel algorithm for data clustering in this domain. Our algorithm makes two contributions.First; it shows how a clustering problem can be efficiently implemented in a MapReduce-style framework. Second; it includes optimizations that enable scalability; even in thepresence of skew. We implement our solution in the Dryad parallel data processing …,International Conference on Scientific and Statistical Database Management,2010,69
Fault-tolerant stream processing using a distributed; replicated file system,YongChul Kwon; Magdalena Balazinska; Albert Greenberg,Abstract We present SGuard; a new fault-tolerance technique for distributed streamprocessing engines (SPEs) running in clusters of commodity servers. SGuard is lessdisruptive to normal stream processing and leaves more resources available for normalstream processing than previous proposals. Like several previous schemes; SGuard isbased on rollback recovery [18]: it checkpoints the state of stream processing nodesperiodically and restarts failed nodes from their most recent checkpoints. In contrast toprevious proposals; however; SGuard performs checkpoints asynchronously: ie; operatorscontinue processing streams during the checkpoint thus reducing the potential disruptiondue to the checkpointing activity. Additionally; SGuard saves the checkpointed state into anew type of distributed and replicated file system (DFS) such as GFS [22] or HDFS [9] …,Proceedings of the VLDB Endowment,2008,60
Astronomy in the cloud: using mapreduce for image co-addition,Keith Wiley; Andrew Connolly; Jeff Gardner; S Krughoff; Magdalena Balazinska; Bill Howe; Y Kwon; Yingyi Bu,Abstract In the coming decade; astronomical surveys of the sky will generate tens ofterabytes of images and detect hundreds of millions of sources every night. The study ofthese sources will involve computation challenges such as anomaly detection andclassification and moving-object tracking. Since such studies benefit from the highest-qualitydata; methods such as image co-addition; ie; astrometric registration followed by per-pixelsummation; will be a critical preprocessing step prior to scientific investigation. With arequirement that these images be analyzed on a nightly basis to identify moving sourcessuch as potentially hazardous asteroids or transient objects such as supernovae; these datastreams present many computational challenges. Given the quantity of data involved; thecomputational load of these problems can only be addressed by distributing the workload …,Publications of the Astronomical Society of the Pacific,2011,57
