On the computation of multidimensional aggregates,Sameet Agarwal; Rakesh Agrawal; Prasad M Deshpande; Ashish Gupta; Jeffrey F Naughton; Raghu Ramakrishnan; Sunita Sarawagi,Abstract At the heart of OLAP or multidimensional data analysis applications is the ability tosimultaneously aggregate across many sets of dimensions. Computing multidimensionalaggregates is a performance bottleneck for these applications. We explore various schemesfor implementing multidimensional aggregation; in particular; the CUBE operator [1]proposed by Gray et al. This operator computes aggregates over all subsets of dimensionsspecified in the CUBE operation; and is equivalent to the union of a number of standardgroup-by operations. We show how the structure of CUBE computation can be viewed interms of a hierarchy of group-by operations; and present a class of sorting-based algorithmsthat overlap the computation of different group-by operations using the least possiblememory for each computation. Our algorithms seek to minimize the number of sorting …,VLDB,1996,849
Modeling multidimensional databases,Rakesh Agrawal; Ashish Gupta; Sunita Sarawagi,The authors propose a data model and a few algebraic operations that provide semanticfoundation to multidimensional databases. The distinguishing feature of the proposed modelis the symmetric treatment not only of all dimensions but also measures. The model providessupport for multiple hierarchies along each dimension and support for ad hoc aggregates.The proposed operators are composable; reorderable; and closed in application. Theseoperators are also minimal in the sense that none can be expressed in terms of others norcan any one be dropped without sacrificing functionality. They make possible the declarativespecification and optimization of multidimensional database queries that are currentlyspecified operationally. The operators have been designed to be translated to SQL and canbe implemented either on top of a relational database system or within a special purpose …,Data Engineering; 1997. Proceedings. 13th International Conference on,1997,802
Information extraction,Sunita Sarawagi,Abstract The automatic extraction of information from unstructured sources has opened upnew avenues for querying; organizing; and analyzing data by drawing upon the cleansemantics of structured databases and the abundance of unstructured data. The field ofinformation extraction has its genesis in the natural language processing community wherethe primary impetus came from competitions centered around the recognition of namedentities like people names and organization from news articles. As society became moredata oriented with easy online access to both structured and unstructured data; newapplications of structure extraction came around. Now; there is interest in converting ourpersonal desktops to structured databases; the knowledge in scientific publications tostructured records; and harnessing the Internet for structured fact finding queries …,Foundations and Trends® in Databases,2008,714
Interactive deduplication using active learning,Sunita Sarawagi; Anuradha Bhamidipaty,Abstract Deduplication is a key operation in integrating data from multiple sources. The mainchallenge in this task is designing a function that can resolve when a pair of records refer tothe same entity in spite of various data inconsistencies. Most existing systems use hand-coded functions. One way to overcome the tedium of hand-coding is to train a classifier todistinguish between duplicates and non-duplicates. The success of this method criticallyhinges on being able to provide a covering and challenging set of training pairs that bringout the subtlety of deduplication function. This is non-trivial because it requires manuallysearching for various data inconsistencies between any two records spread apart in largelists. We present our design of a learning-based deduplication system that uses a novelmethod of interactively discovering challenging training pairs using active learning. Our …,Proceedings of the eighth ACM SIGKDD international conference on Knowledge discovery and data mining,2002,685
Semi-markov conditional random fields for information extraction,Sunita Sarawagi; William W Cohen,Abstract We describe semi-Markov conditional random fields (semi-CRFs); a conditionallytrained version of semi-Markov chains. Intuitively; a semi-CRF on an input sequence xoutputs a “segmentation” of x; in which labels are assigned to segments (ie; subsequences)of x rather than to individual elements xi of x. Importantly; features for semi-CRFs canmeasure properties of segments; and transitions within a segment can be non-Markovian. Inspite of this additional power; exact learning and inference algorithms for semi-CRFs arepolynomial-time—often only a small constant factor slower than conventional CRFs. Inexperiments on five named entity recognition problems; semi-CRFs generally outperformconventional CRFs.,Advances in neural information processing systems,2005,617
Integrating association rule mining with relational database systems: Alternatives and implications,Sunita Sarawagi; Shiby Thomas; Rakesh Agrawal,Abstract Data mining on large data warehouses is becoming increasingly important. Insupport of this trend; we consider a spectrum of architectural alternatives for coupling miningwith database systems. These alternatives include: loose-coupling through a SQL cursorinterface; encapsulation of a mining algorithm in a stored procedure; caching the data to afile system on-the-fly and mining; tight-coupling using primarily user-defined functions; andSQL implementations for processing in the DBMS. We comprehensively study the option ofexpressing the mining algorithm in the form of SQL queries using Association rule mining asa case in point. We consider four options in SQL-92 and six options in SQL enhanced withobject-relational extensions (SQL-OR). Our evaluation of the different architecturalalternatives shows that from a performance perspective; the Cache-Mine option is …,Acm Sigmod Record,1998,550
Discriminative methods for multi-labeled classification,Shantanu Godbole; Sunita Sarawagi,Abstract In this paper we present methods of enhancing existing discriminative classifiers formulti-labeled predictions. Discriminative methods like support vector machines perform verywell for uni-labeled text classification tasks. Multi-labeled classification is a harder tasksubject to relatively less attention. In the multi-labeled setting; classes are often related toeach other or part of a is-a hierarchy. We present a new technique for combining textfeatures and features indicating relationships between classes; which can be used with anydiscriminative algorithm. We also present two enhancements to the margin of SVMs forbuilding better models in the presence of overlapping classes. We present results ofexperiments on real world text benchmark datasets. Our new methods beat accuracy ofexisting methods with statistically significant improvements.,Pacific-Asia conference on knowledge discovery and data mining,2004,536
Discovery-driven exploration of OLAP data cubes,Sunita Sarawagi; Rakesh Agrawal; Nimrod Megiddo,Abstract Analysts predominantly use OLAP data cubes to identify regions of anomalies thatmay represent problem areas or new opportunities. The current OLAP systems supporthypothesis-driven exploration of data cubes through operations such as drill-down; roll-up;and selection. Using these operations; an analyst navigates unaided through a huge searchspace looking at large number of values to spot exceptions. We propose a new discovery-driven exploration paradigm that mines the data for such exceptions and summarizes theexceptions at appropriate levels in advance. It then uses these exceptions to lead theanalyst to interesting regions of the cube during navigation. We present the statisticalfoundation underlying our approach. We then discuss the computational issue of findingexceptions in data and making the process efficient on large multidimensional data bases.,International Conference on Extending Database Technology,1998,423
Efficient set joins on similarity predicates,Sunita Sarawagi; Alok Kirpal,Abstract In this paper we present an efficient; scalable and general algorithm for performingset joins on predicates involving various similarity measures like intersect size; Jaccard-coefficient; cosine similarity; and edit-distance. This expands the existing suite of algorithmsfor set joins on simpler predicates such as; set containment; equality and non-zero overlap.We start with a basic inverted index based probing method and add a sequence ofoptimizations that result in one to two orders of magnitude improvement in running time. Thealgorithm folds in a data partitioning strategy that can work efficiently with an indexcompressed to fit in any available amount of main memory. The optimizations used in ouralgorithm generalize to several weighted and unweighted measures of partial word overlapbetween sets.,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,380
Efficient organization of large multidimensional arrays,Sunita Sarawagi; Michael Stonebraker,Large multidimensional arrays are widely used in scientific and engineering databaseapplications. The authors present methods of organizing arrays to make their access onsecondary and tertiary memory devices fast and efficient. They have developed fourtechniques for doing this:(1) storing the array in multidimensional" chunks" to minimize thenumber of blocks fetched;(2) reordering the chunked array to minimize seek distancebetween accessed blocks;(3) maintaining redundant copies of the array; each organized fora different chunk size and ordering and (4) partitioning the array onto platters of a tertiarymemory device so as to minimize the number of platter switches. The measurements on realdata obtained from global change scientists show that accesses on arrays organized usingthese techniques are often an order of magnitude faster than on the unoptimized data.,Data Engineering; 1994. Proceedings. 10th International Conference,1994,344
