Making snapshot isolation serializable,Alan Fekete; Dimitrios Liarokapis; Elizabeth O'Neil; Patrick O'Neil; Dennis Shasha,Abstract Snapshot Isolation (SI) is a multiversion concurrency control algorithm; firstdescribed in Berenson et al.[1995]. SI is attractive because it provides an isolation level thatavoids many of the common concurrency anomalies; and has been implemented by Oracleand Microsoft SQL Server (with certain minor variations). SI does not guaranteeserializability in all cases; but the TPC-C benchmark application [TPC-C]; for example;executes under SI without serialization anomalies. All major database system products aredelivered with default nonserializable isolation levels; often ones that encounter serializationanomalies more commonly than SI; and we suspect that numerous isolation errors occureach day at many large sites because of this; leading to corrupt data sometimes noted indata warehouse applications. The classical justification for lower isolation levels is that …,ACM Transactions on Database Systems (TODS),2005,310
Specifying and using a partitionable group communication service,Alan Fekete; Nancy Lynch; Alex Shvartsman,Abstract Group communication services are becoming accepted as effective building blocksfor the construction of fault-tolerant distributed applications. Many specifications for groupcommunication services have been proposed. However; there is still no agreement aboutwhat these specifications should say; especially in cases where the services arepartitionable; ie; where communication failures may lead to simultaneous creation of groupswith disjoint memberships; such that each group is unware of the existence of any othergroup. In this paper; we present a new; succinct specification for a view-orientedpartitionable group communication service. The service associates each message with aparticular view of the group membership. All send and receive events for a message occurwithin the associated view. The service provides a total order on the messages within …,ACM Transactions on Computer Systems (TOCS),2001,247
Serializable isolation for snapshot databases,Michael J Cahill; Uwe Röhm; Alan D Fekete,Abstract Many popular database management systems implement a multiversionconcurrency control algorithm called snapshot isolation rather than providing fullserializability based on locking. There are well-known anomalies permitted by snapshotisolation that can lead to violations of data consistency by interleaving transactions thatwould maintain consistency if run serially. Until now; the only way to prevent theseanomalies was to modify the applications by introducing explicit locking or artificial updateconflicts; following careful analysis of conflicts between all pairs of transactions. This articledescribes a modification to the concurrency control algorithm of a database managementsystem that automatically detects and prevents snapshot isolation anomalies at runtime forarbitrary applications; thus providing serializable isolation. The new algorithm preserves …,ACM Transactions on Database Systems (TODS),2009,199
Problem-based learning for foundation computer science courses,Judy Kay; Michael Barg; Alan Fekete; Tony Greening; Owen Hollands; Jeffrey H Kingston; Kate Crawford,The foundation courses in computer science pose particular challenges for teacher andlearner alike. This paper describes some of these challenges and how we have designedproblem-based learning (PBL) courses to address them. We discuss the particular problemswe were keen to overcome: the purely technical focus of many courses; the problems ofindividual learning and the need to establish foundations in a range of areas which areimportant for computer science graduates. We then outline our course design; showing howwe have created problem-based learning courses. The paper reports our evaluation of theapproach. This has two parts: assessment of a trial; with a three-year longitudinal follow-upof the students; reports of student learning improve-ment after we had become experiencedin full implementation of PBL. We conclude with a summary of our experience over three …,Computer Science Education,2000,191
Data Consistency Properties and the Trade-offs in Commercial Cloud Storage: the Consumers' Perspective.,Hiroshi Wada; Alan Fekete; Liang Zhao; Kevin Lee; Anna Liu,ABSTRACT A new class of data storage systems; called NoSQL (Not Only SQL); haveemerged to complement traditional database systems; with rejection of general ACIDtransactions as one common feature. Different platforms; and indeed different primitiveswithin one NoSQL platform; can offer various consistency properties; from EventualConsistency to single-entity ACID. For the platform provider; weaker consistency shouldallow better availability; lower latency; and other benefits. This paper investigates whatconsumers observe of the consistency and performance properties of various offerings. Wefind that many platforms seem in practice to offer more consistency than they promise; wealso find cases where the platform offers consumers a choice between stronger and weakerconsistency; but there is no observed benefit from accepting weaker consistency …,CIDR,2011,173
MDCC: Multi-data center consistency,Tim Kraska; Gene Pang; Michael J Franklin; Samuel Madden; Alan Fekete,Abstract Replicating data across multiple data centers allows using data closer to the client;reducing latency for applications; and increases the availability in the event of a data centerfailure. MDCC (Multi-Data Center Consistency) is an optimistic commit protocol for geo-replicated transactions; that does not require a master or static partitioning; and is stronglyconsistent at a cost similar to eventually consistent protocols. MDCC takes advantage ofGeneralized Paxos for transaction processing and exploits commutative updates with valueconstraints in a quorum-based system. Our experiments show that MDCC outperformsexisting synchronous transactional replication protocols; such as Megastore; by requiringonly a single message round-trip in the normal operational case independent of the master-location and by scaling linearly with the number of machines as long as transaction …,Proceedings of the 8th ACM European Conference on Computer Systems,2013,169
How A Consumer Can Measure Elasticity for Cloud Platforms,Sadeka Islam; Kevin Lee; Alan Fekete; Anna Liu,Abstract One major benefit claimed for cloud computing is elasticity: the cost to a consumerof computation can grow or shrink with the workload. This paper offers improved ways toquantify the elasticity concept; using data available to the consumer. We define a measurethat reflects the financial penalty to a particular consumer; from under-provisioning (leadingto unacceptable latency or unmet demand) or over-provisioning (paying more thannecessary for the resources needed to support a workload). We have applied severalworkloads to a public cloud; from our experiments we extract insights into the characteristicsof a platform that influence its elasticity. We explore the impact of the rules used to increaseor decrease capacity.,Proceedings of International Conference on Performance Engineering (ICPE'12),2011,121
Eventually-serializable data services,Alan Fekete; David Gupta; Victor Luchangco; Nancy Lynch; Alex Shvartsman,Abstract Data replication is used in distributed systems to improve availability; increasethroughput and eliminate single points of failures. The cost of replication is that significantcare and communication is required to maintain consistency among replicas. In somesettings; such as distributed directory services; it is acceptable to have transientinconsistencies; in exhange for better performance; as long as a consistent view of the datais eventually established. For such services to be usable; it is important that the consistencyguarantees are specified clearly. We present a new specification for distributed dataservices that trades off immediate consistency guarantees for improved system availabilityand efficiency; while ensuring the long-term consistency of the data. An eventually-serializable data service maintains the requested operations in a partial order that …,Theoretical Computer Science,1999,115
Highly Available Transactions: Virtues and Limitations,Peter Bailis; Aaron Davidson; Alan Fekete; Ali Ghodsi; Joseph M Hellerstein; Ion Stoica,Abstract To minimize network latency and remain online during server failures and networkpartitions; many modern distributed data storage systems eschew transactional functionality;which provides strong semantic guarantees for groups of multiple operations over multipledata items. In this work; we consider the problem of providing Highly Available Transactions(HATs): transactional guarantees that do not suffer unavailability during system partitions orincur high network latency. We introduce a taxonomy of highly available systems andanalyze existing ACID isolation and distributed data consistency guarantees to identifywhich can and cannot be achieved in HAT systems. This unifies the literature on weaktransactional isolation; replica consistency; and highly available systems. We analyticallyand experimentally quantify the availability and performance benefits of HATs---often two …,Proceedings of the VLDB Endowment,2013,107
Design-level performance prediction of component-based applications,Y Liu; I Gorton; A Fekete,Server-side component technologies such as Enterprise JavaBeans (EJBs);. NET; andCORBA are commonly used in enterprise applications that have requirements for highperformance and scalability. When designing such applications; architects must selectsuitable component technology platform and application architecture to provide the requiredperformance. This is challenging as no methods or tools exist to predict applicationperformance without building a significant prototype version for subsequent benchmarking.In this paper; we present an approach to predict the performance of component-basedserver-side applications during the design phase of software development. The approachconstructs a quantitative performance model for a proposed application. The model requiresinputs from an application-independent performance profile of the underlying component …,Software Engineering; IEEE Transactions on,2005,105
