Influence Diffusion Dynamics and Influence Maximization in Social Networks with Friend and Foe Relationships,Yanhua Li; Wei Chen; Yajun Wang; Zhi-Li Zhang,Abstract Influence diffusion and influence maximization in large-scale online social networks(OSNs) have been extensively studied because of their impacts on enabling effective onlineviral marketing. Existing studies focus on social networks with only friendship relations;whereas the foe or enemy relations that commonly exist in many OSNs; eg; Epinions andSlashdot; are completely ignored. In this paper; we make the first attempt to investigate theinfluence diffusion and influence maximization in OSNs with both friend and foe relations;which are modeled using positive and negative edges on signed networks. In particular; weextend the classic voter model to signed networks and analyze the dynamics of influencediffusion of two opposite opinions. We first provide systematic characterization of both short-term and long-term dynamics of influence diffusion in this model; and illustrate that the …,WSDM '13 Proceedings of the sixth ACM international conference on Web search and data mining,2013,121
Optimal forwarder list selection in opportunistic routing,Yanhua Li; Wei Chen; Zhi-Li Zhang,Unlike traditional wireless routing protocols which use a single fixed path; opportunisticrouting explicitly takes advantage of the broadcast nature of wireless communications byusing a set of forwarders to opportunistically perform packet forwarding. A key issue in thedesign of opportunistic routing protocols is the forwarder list selection problem. In this paperwe establish a general theory for analyzing the forwarder list selection problem; and developan optimal solution; the minimum transmission selection (MTS) algorithm; which minimizesthe expected number of transmissions and it can be incorporated into existing opportunisticrouting protocols to select optimal forwarder lists. Our theory and algorithm can also begeneralized to optimize other routing objectives such as minimizing the expectedtransmission time or energy consumption in opportunistic routing. Through extensive …,Mobile Adhoc and Sensor Systems; 2009. MASS'09. IEEE 6th International Conference on,2009,70
Counting YouTube Videos via Random Prefix Sampling,Jia Zhou; Yanhua Li; Vijay Kumar Adhikari; Zhi-Li Zhang,Abstract Leveraging the characteristics of YouTube video id space and exploiting a uniqueproperty of YouTube search API; in this paper we develop a random prefix sampling methodto estimate the total number of videos hosted by YouTube. Through theoretical modelingand analysis; we demonstrate that the estimator based on this method is unbiased; andprovide bounds on its variance and confidence interval. These bounds enable us tojudiciously select sample sizes to control estimation errors. We evaluate our samplingmethod and validate the sampling results using two distinct collections of YouTube video id's(namely; treating each collection as if it were the" true" collection of YouTube videos). Wethen apply our sampling method to the live YouTube system; and estimate that there are atotal of roughly 500 millions YouTube videos by May; 2011. Finally; using an unbiased …,*,2011,68
Lore: Exploiting sequential influence for location recommendations,Jia-Dong Zhang; Chi-Yin Chow; Yanhua Li,Abstract Providing location recommendations becomes an important feature for location-based social networks (LBSNs); since it helps users explore new places and makes LBSNsmore prevalent to users. In LBSNs; geographical influence and social influence have beenintensively used in location recommendations based on the facts that geographical proximityof locations significantly affects users' check-in behaviors and social friends often havecommon interests. Although human movement exhibits sequential patterns; most currentstudies on location recommendations do not consider any sequential influence of locationson users' check-in behaviors. In this paper; we propose a new approach called LORE toexploit sequential influence on location recommendations. First; LORE incrementally minessequential patterns from location sequences and represents the sequential patterns as a …,Proceedings of the 22nd ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,2014,65
Coordinating in-network caching in content-centric networks: Model and analysis,Yanhua Li; Haiyong Xie; Yonggang Wen; Zhi-Li Zhang,In-network content storage has become an inherent capability of routers in the content-centric networking architecture. This raises new challenges in utilizing and provisioning thein-network caching capability; namely; how to optimally provision individual routers' storageto cache contents; so as to balance the trade-offs between the network performance and theprovisioning cost. To address this problem; we first propose a holistic model to characterizethe network performance of routing contents to clients and the network cost incurred byglobally coordinating the in-network storage capability. We then derive the optimal strategyfor provisioning the storage capability that optimizes the overall network performance andcost; and analyze the performance gains via numerical evaluations on real networktopologies. Our results reveal interesting phenomena; for instance; different ranges of the …,Distributed Computing Systems (ICDCS); 2013 IEEE 33rd International Conference on,2013,48
iGeoRec: A personalized and efficient geographical location recommendation framework,Jia-Dong Zhang; Chi-Yin Chow; Yanhua Li,Geographical influence has been intensively exploited for location recommendations inlocation-based social networks (LBSNs) due to the fact that geographical proximitysignificantly affects users' check-in behaviors. However; current studies only model thegeographical influence on all users' check-in behaviors as a universal way. We argue thatthe geographical influence on users' check-in behaviors should be personalized. In thispaper; we propose a personalized and efficient geographical location recommendationframework called iGeoRec to take full advantage of the geographical influence on locationrecommendations. In iGeoRec; there are mainly two challenges:(1) personalizing thegeographical influence to accurately predict the probability of a user visiting a new location;and (2) efficiently computing the probability of each user to all new locations. To address …,IEEE Transactions on Services Computing,2015,38
Telco churn prediction with big data,Yiqing Huang; Fangzhou Zhu; Mingxuan Yuan; Ke Deng; Yanhua Li; Bing Ni; Wenyuan Dai; Qiang Yang; Jia Zeng,Abstract We show that telco big data can make churn prediction much more easier from the$3 $ V's perspectives: Volume; Variety; Velocity. Experimental results confirm that theprediction performance has been significantly improved by using a large volume of trainingdata; a large variety of features from both business support systems (BSS) and operationssupport systems (OSS); and a high velocity of processing new coming data. We havedeployed this churn prediction system in one of the biggest mobile operators in China. Frommillions of active customers; this system can provide a list of prepaid customers who aremost likely to churn in the next month; having $0.96 $ precision for the top $50000 $predicted churners in the list. Automatic matching retention campaigns with the targetedpotential churners significantly boost their recharge rates; leading to a big business value.,Proceedings of the 2015 ACM SIGMOD international conference on management of data,2015,37
Exploring venue popularity in foursquare,Yanhua Li; Moritz Steiner; Limin Wang; Zhi-Li Zhang; Jie Bao,In this paper; we provide a detailed analysis on the venue popularity in Foursquare; aleading location-based social network. By collecting 2.4 million venues from 14 geographicregions all over the world; we study the common characteristics of popular venues; andmake the following observations. First; venues with more complete profile information aremore likely to be popular. Second; venues in the Food category attract the most (43%) publictips (comments) by users; and the Travel & Transport category is the most popular categorywith the highest per venue check-ins; ie; each venue in this category attracts on average 376check-ins. Moreover; the stickiness of users checking in venues in the residence; office; andschool categories is higher than in other categories. Last but not least; in general; oldvenues created at the early stage of Foursquare are more popular than new venues. Our …,INFOCOM; 2013 Proceedings IEEE,2013,35
Random walks on digraphs; the generalized digraph laplacian and the degree of asymmetry,Yanhua Li; Zhi-Li Zhang,Abstract In this paper we extend and generalize the standard random walk theory (orspectral graph theory) on undirected graphs to digraphs. In particular; we introduce anddefine a (normalized) digraph Laplacian matrix; and prove that 1) its Moore-Penrose pseudo-inverse is the (discrete) Green's function of the digraph Laplacian matrix (as an operator ondigraphs); and 2) it is the normalized fundamental matrix of the Markov chain governingrandom walks on digraphs. Using these results; we derive new formula for computing hittingand commute times in terms of the Moore-Penrose pseudo-inverse of the digraph Laplacian;or equivalently; the singular values and vectors of the digraph Laplacian. Furthermore; weshow that the Cheeger constant defined in 6 is intrinsically a quantity associated withundirected graphs. This motivates us to introduce a metric–the largest singular value of Δ …,Algorithms and Models for the Web-Graph,2010,30
Digraph laplacian and the degree of asymmetry,Yanhua Li; Zhi-Li Zhang,In this paper we extend and generalize the standard spectral graph theory (or random-walktheory) on undirected graphs to digraphs. In particular; we introduce and define anormalized digraph Laplacian (Diplacian for short) Γ for digraphs; and prove that (1) itsMoore–Penrose pseudoinverse is the discrete Green's function of the Diplacian matrix as anoperator on digraphs; and (2) it is the normalized fundamental matrix of the Markov chaingoverning random walks on digraphs. Using these results; we derive a new formula forcomputing hitting and commute times in terms of the Moore–Penrose pseudoinverse of theDiplacian; or equivalently; the singular values and vectors of the Diplacian. Furthermore; weshow that the Cheeger constant defined in is intrinsically a quantity associated withundirected graphs. This motivates us to introduce a metric; the largest singular value of …,Internet Mathematics,2012,28
