-Supporting Frequent Updates in R-Trees: A Bottom-Up Approach,Mong Li Lee; Wynne Hsu; Christian S Jensen; Bin Cui; Keng Lik Teo,This paper proposes a generalized bottom-up update strategy for R-trees. This strategy ismotivated by the class of monitoring applications; which are characterized by large volumesof updates; and the increasingly important role of indexing. This update strategy can easilybe applied to the members of the family of R-tree-based indexing techniques; as it preservesthe index structure and takes into account concurrency control. The strategy improves therobustness of R-trees by supporting different levels of index reorganization—ranging fromlocal to global—during updates; thus using expensive top-down updates only whennecessary. This chapter presents a compact main-memory summary structure along withefficient bottom-up algorithms that reduce the numbers of disk accesses and CPU resourcesused for update and querying. Empirical studies indicate that the new strategy …,*,2003,236
LCARS: a location-content-aware recommender system,Hongzhi Yin; Yizhou Sun; Bin Cui; Zhiting Hu; Ling Chen,Abstract Newly emerging location-based and event-based social network services provideus with a new platform to understand users' preferences based on their activity history. Auser can only visit a limited number of venues/events and most of them are within a limiteddistance range; so the user-item matrix is very sparse; which creates a big challenge fortraditional collaborative filtering-based recommender systems. The problem becomes morechallenging when people travel to a new city where they have no activity history. In thispaper; we propose LCARS; a location-content-aware recommender system that offers aparticular user a set of venues (eg; restaurants) or events (eg; concerts and exhibitions) bygiving consideration to both personal interest and local preference. This recommendersystem can facilitate people's travel not only near the area in which they live; but also in a …,Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining,2013,215
Routing questions to the right users in online communities,Yanhong Zhou; Gao Cong; Bin Cui; Christian S Jensen; Junjie Yao,Online forums contain huge amounts of valuable user-generated content. In current forumsystems; users have to passively wait for other users to visit the forum systems andread/answer their questions. The user experience for question answering suffers from thisarrangement. In this paper; we address the problem of" pushing" the right questions to theright persons; the objective being to obtain quick; high-quality answers; thus improving usersatisfaction. We propose a framework for the efficient and effective routing of a givenquestion to the top-k potential experts (users) in a forum; by utilizing both the content andstructures of the forum system. First; we compute the expertise of users according to thecontent of the forum system—-this is to estimate the probability of a user being an expert fora given question based on the previous question answering of the user. Specifically; we …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,111
Parallel distributed processing of constrained skyline queries by filtering,Bin Cui; Hua Lu; Quanqing Xu; Lijiang Chen; Yafei Dai; Yongluan Zhou,Skyline queries are capable of retrieving interesting points from a large data set according tomultiple criteria. Most work on skyline queries so far has assumed a centralized storage;whereas in practice relevant data are often distributed among geographically scattered sites.In this work; we tackle constrained skyline queries in large-scale distributed environmentswithout the assumption of any overlay structures; and propose a novel algorithm namedPaDSkyline (Parallel Distributed Skyline query processing). PaDSkyline significantlyshortens the response time by performing parallel processing over site groups produced bya partition algorithm. Within each group; it locally optimizes the query processing overdistributed sites. It also drastically enhances the network transmission efficiency byperforming early reduction of skyline candidates with deliberately selected multiple …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,101
Challenging the long tail recommendation,Hongzhi Yin; Bin Cui; Jing Li; Junjie Yao; Chen Chen,Abstract The success of" infinite-inventory" retailers such as Amazon. com and Netflix hasbeen largely attributed to a" long tail" phenomenon. Although the majority of their inventoryis not in high demand; these niche products; unavailable at limited-inventory competitors;generate a significant fraction of total revenue in aggregate. In addition; tail productavailability can boost head sales by offering consumers the convenience of" one-stopshopping" for both their mainstream and niche tastes. However; most of existingrecommender systems; especially collaborative filter based methods; can not recommendtail products due to the data sparsity issue. It has been widely acknowledged that torecommend popular products is easier yet more trivial while to recommend long tail productsadds more novelty yet it is also a more challenging task. In this paper; we propose a novel …,Proceedings of the VLDB Endowment,2012,99
The use of categorization information in language models for question retrieval,Xin Cao; Gao Cong; Bin Cui; Christian Søndergaard Jensen; Ce Zhang,Abstract Community Question Answering (CQA) has emerged as a popular type of servicemeeting a wide range of information needs. Such services enable users to ask and answerquestions and to access existing question-answer pairs. CQA archives contain very largevolumes of valuable user-generated content and have become important informationresources on the Web. To make the body of knowledge accumulated in CQA archivesaccessible; effective and efficient question search is required. Question search in a CQAarchive aims to retrieve historical questions that are relevant to new questions posed byusers. This paper proposes a category-based framework for search in CQA archives. Theframework embodies several new techniques that use language models to exploitcategories of questions for improving question-answer search. Experiments conducted on …,Proceedings of the 18th ACM conference on Information and knowledge management,2009,99
A generalized framework of exploring category information for question retrieval in community question answer archives,Xin Cao; Gao Cong; Bin Cui; Christian S Jensen,Abstract Community Question Answering (CQA) has emerged as a popular type of servicewhere users ask and answer questions and access historical question-answer pairs. CQAarchives contain very large volumes of questions organized into a hierarchy of categories.As an essential function of CQA services; question retrieval in a CQA archive aims to retrievehistorical question-answer pairs that are relevant to a query question. In this paper; wepresent a new approach to exploiting category information of questions for improving theperformance of question retrieval; and we apply the approach to existing question retrievalmodels; including a state-of-the-art question retrieval model. Experiments conducted on realCQA data demonstrate that the proposed techniques are capable of outperforming a varietyof baseline methods significantly.,Proceedings of the 19th international conference on World wide web,2010,89
Efficient index-based KNN join processing for high-dimensional data,Cui Yu; Bin Cui; Shuguang Wang; Jianwen Su,Abstract In many advanced database applications (eg; multimedia databases); data objectsare transformed into high-dimensional points and manipulated in high-dimensional space.One of the most important but costly operations is the similarity join that combines similarpoints from multiple datasets. In this paper; we examine the problem of processing K-nearestneighbor similarity join (KNN join). KNN join between two datasets; R and S; returns for eachpoint in R its K most similar points in S. We propose a new index-based KNN join approachusing the iDistance as the underlying index structure. We first present its basic algorithm andthen propose two different enhancements. In the first enhancement; we optimize the originalKNN join algorithm by using approximation bounding cubes. In the second enhancement;we exploit the reduced dimensions of data space. We conducted an extensive …,Information and Software Technology,2007,84
A temporal context-aware model for user behavior modeling in social media systems,Hongzhi Yin; Bin Cui; Ling Chen; Zhiting Hu; Zi Huang,Abstract Social media provides valuable resources to analyze user behaviors and captureuser preferences. This paper focuses on analyzing user behaviors in social media systemsand designing a latent class statistical mixture model; named temporal context-awaremixture model (TCAM); to account for the intentions and preferences behind user behaviors.Based on the observation that the behaviors of a user in social media systems are generallyinfluenced by intrinsic interest as well as the temporal context (eg; the public's attention atthat time); TCAM simultaneously models the topics related to users' intrinsic interests and thetopics related to temporal context and then combines the influences from the two factors tomodel user behaviors in a unified way. To further improve the performance of TCAM; an item-weighting scheme is proposed to enable TCAM to favor items that better represent topics …,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,73
Contorting high dimensional data for efficient main memory KNN processing,Bin Cui; Beng Chin Ooi; Jianwen Su; Kian-Lee Tan,Abstract In this paper; we present a novel index structure; called Δ-tree; to speed upprocessing of high-dimensional K-nearest neighbor (KNN) queries in main memoryenvironment. The Δ-tree is a multi-level structure where each level represents the dataspace at different dimensionalities: the number of dimensions increases towards the leaflevel which contains the data at their full dimensions. The remaining dimensions areobtained using Principal Component Analysis; which has the desirable property that the firstfew dimensions capture most of the information in the dataset. Each level of the tree servesto prune the search space more efficiently as the reduced dimensions can better exploit thesmall cache line size. Moreover; the distance computation on lower dimensionality is lessexpensive. We also propose an extension; called Δ+-tree; that globally clusters the data …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,66
