Zab: High-performance broadcast for primary-backup systems,Flavio P Junqueira; Benjamin C Reed; Marco Serafini,Zab is a crash-recovery atomic broadcast algorithm we designed for the ZooKeepercoordination service. ZooKeeper implements a primary-backup scheme in which a primaryprocess executes clients operations and uses Zab to propagate the correspondingincremental state changes to backup processes. Due the dependence of an incrementalstate change on the sequence of changes previously generated; Zab must guarantee that ifit delivers a given state change; then all other changes it depends upon must be deliveredfirst. Since primaries may crash; Zab must satisfy this requirement despite crashes ofprimaries.,Dependable Systems & Networks (DSN); 2011 IEEE/IFIP 41st International Conference on,2011,181
The power of both choices: Practical load balancing for distributed stream processing engines,Muhammad Anis Uddin Nasir; Gianmarco De Francisci Morales; David Garcia-Soriano; Nicolas Kourtellis; Marco Serafini,We study the problem of load balancing in distributed stream processing engines; which isexacerbated in the presence of skew. We introduce Partial Key Grouping (PKG); a newstream partitioning scheme that adapts the classical “power of two choices” to a distributedstreaming setting by leveraging two novel techniques: key splitting and local load estimation.In so doing; it achieves better load balancing than key grouping while being more scalablethan shuffle grouping. We test PKG on several large datasets; both real-world and synthetic.Compared to standard hashing; PKG reduces the load imbalance by up to several orders ofmagnitude; and often achieves nearly-perfect load balance. This result translates into animprovement of up to 60% in throughput and up to 45% in latency when deployed on a realStorm cluster.,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,62
E-store: Fine-grained elastic partitioning for distributed transaction processing systems,Rebecca Taft; Essam Mansour; Marco Serafini; Jennie Duggan; Aaron J Elmore; Ashraf Aboulnaga; Andrew Pavlo; Michael Stonebraker,Abstract On-line transaction processing (OLTP) database management systems (DBMSs)often serve time-varying workloads due to daily; weekly or seasonal fluctuations in demand;or because of rapid growth in demand due to a company's business success. In addition;many OLTP workloads are heavily skewed to" hot" tuples or ranges of tuples. For example;the majority of NYSE volume involves only 40 stocks. To deal with such fluctuations; anOLTP DBMS needs to be elastic; that is; it must be able to expand and contract resources inresponse to load fluctuations and dynamically balance load as hot tuples vary over time.This paper presents E-Store; an elastic partitioning framework for distributed OLTP DBMSs.It automatically scales resources in response to demand spikes; periodic events; andgradual changes in an application's workload. E-Store addresses localized bottlenecks …,Proceedings of the VLDB Endowment,2014,55
Arabesque: a system for distributed graph mining,Carlos HC Teixeira; Alexandre J Fonseca; Marco Serafini; Georgos Siganos; Mohammed J Zaki; Ashraf Aboulnaga,Abstract Distributed data processing platforms such as MapReduce and Pregel havesubstantially simplified the design and deployment of certain classes of distributed graphanalytics algorithms. However; these platforms do not represent a good match for distributedgraph mining problems; as for example finding frequent subgraphs in a graph. Given aninput graph; these problems require exploring a very large number of subgraphs and findingpatterns that match some" interestingness" criteria desired by the user. These algorithms arevery important for areas such as social networks; semantic web; and bioinformatics. In thispaper; we present Arabesque; the first distributed data processing platform for implementinggraph mining algorithms. Arabesque automates the process of exploring a very largenumber of subgraphs. It defines a high-level filter-process computational model that …,Proceedings of the 25th Symposium on Operating Systems Principles,2015,52
Practical Hardening of Crash-Tolerant Systems.,Miguel Correia; Daniel Gómez Ferro; Flavio Paiva Junqueira; Marco Serafini,Abstract Recent failures of production systems have highlighted the importance of toleratingfaults beyond crashes. The industry has so far addressed this problem by hardening crash-tolerant systems with ad hoc error detection checks; potentially overlooking critical faultscenarios. We propose a generic and principled hardening technique for Arbitrary StateCorruption (ASC) faults; which specifically model the effects of realistic data corruptions ondistributed processes. Hardening does not require the use of trusted components or thereplication of the process over multiple physical servers. We implemented a wrapper libraryto transparently harden distributed processes. To exercise our library and evaluate ourtechnique; we obtained ASC-tolerant versions of Paxos; of a subset of the ZooKeeper API;and of an eventually consistent storage by implementing crash-tolerant protocols and …,USENIX Annual Technical Conference,2012,45
On-line diagnosis and recovery: On the choice and impact of tuning parameters,Marco Serafini; Andrea Bondavalli; Neeraj Suri,A sequenced process of Fault Detection followed by the erroneous node's Isolation andsystem Reconfiguration (node exclusion or recovery); that is; the FDIR process;characterizes the sustained operations of a fault-tolerant system. For distributed systemsutilizing message passing; a number of diagnostic (and associated FDIR) approaches;including our prior algorithms; exist in literature and practice. Invariably; the focus is onproving the completeness and correctness (all and only the faulty nodes are isolated) for thechosen fault model; without explicitly segregating permanent from transient faulty nodes. Tocapture diagnostic issues related to the persistence of errors (transient; intermittent; andpermanent); we advocate the integration of count-and-threshold mechanisms into the FDIRframework. Targeting pragmatic system issues; we develop an adaptive online FDIR …,IEEE Transactions on dependable and secure computing,2007,42
Accordion: Elastic scalability for database systems supporting distributed transactions,Marco Serafini; Essam Mansour; Ashraf Aboulnaga; Kenneth Salem; Taha Rafiq; Umar Farooq Minhas,Abstract Providing the ability to elastically use more or fewer servers on demand (scale outand scale in) as the load varies is essential for database management systems (DBMSes)deployed on today's distributed computing platforms; such as the cloud. This requiressolving the problem of dynamic (online) data placement; which has so far been addressedonly for workloads where all transactions are local to one sever. In DBMSes where ACIDtransactions can access more than one partition; distributed transactions represent a majorperformance bottleneck. Scaling out and spreading data across a larger number of serversdoes not necessarily result in a linear increase in the overall system throughput; becausetransactions that used to access only one server may become distributed. In this paper wepresent Accordion; a dynamic data placement system for partition-based DBMSes that …,Proceedings of the VLDB Endowment,2014,29
When two choices are not enough: Balancing at scale in distributed stream processing,Muhammad Anis Uddin Nasir; Gianmarco De Francisci Morales; Nicolas Kourtellis; Marco Serafini,Carefully balancing load in distributed stream processing systems has a fundamental impacton execution latency and throughput. Load balancing is challenging because real-worldworkloads are skewed: some tuples in the stream are associated to keys which aresignificantly more frequent than others. Skew is remarkably more problematic in largedeployments: having more workers implies fewer keys per worker; so it becomes harder to“average out” the cost of hot keys with cold keys. We propose a novel load balancingtechnique that uses a heavy hitter algorithm to efficiently identify the hottest keys in thestream. These hot keys are assigned to d≥ 2 choices to ensure a balanced load; where d istuned automatically to minimize the memory and computation cost of operator replication.The technique works online and does not require the use of routing tables. Our extensive …,Data Engineering (ICDE); 2016 IEEE 32nd International Conference on,2016,26
Scrooge: Reducing the costs of fast Byzantine replication in presence of unresponsive replicas,Marco Serafini; Péter Bokor; Dan Dobre; Matthias Majuntke; Neeraj Suri,Byzantine-Fault-Tolerant (BFT) state machine replication is an appealing technique totolerate arbitrary failures. However; Byzantine agreement incurs a fundamental trade-offbetween being fast (ie optimal latency) and achieving optimal resilience (ie 2f+ b+ 1replicas; where f is the bound on failures and b the bound on Byzantine failures [9]).Achieving fast Byzantine replication despite f failures requires at least f+ b− 2 additionalreplicas [10; 6; 8]. In this paper we show; perhaps surprisingly; that fast Byzantine agreementdespite f failures is practically attainable using only b− 1 additional replicas; which isindependent of the number of crashes tolerated. This makes our approach particularlyappealing for systems that must tolerate many crashes (large f) and few Byzantine faults(small b). The core principle of our approach is to have replicas agree on a quorum of …,Dependable Systems and Networks (DSN); 2010 IEEE/IFIP International Conference on,2010,25
Efficient model checking of fault-tolerant distributed protocols,Péter Bokor; Johannes Kinder; Marco Serafini; Neeraj Suri,To aid the formal verification of fault-tolerant distributed protocols; we propose an approachthat significantly reduces the costs of their model checking. These protocols often specifyatomic; process-local events that consume a set of messages; change the state of a process;and send zero or more messages. We call such events quorum transitions and leveragethem to optimize state exploration in two ways. First; we generate fewer states compared tomodels where quorum transitions are expressed by single-message transitions. Second; werefine transitions into a set of equivalent; finer-grained transitions that allow partial-orderalgorithms to achieve better reduction. We implement the MP-Basset model checker; whichsupports refined quorum transitions. We model check protocols representing core primitivesof deployed reliable distributed systems; namely: Paxos consensus; regular storage; and …,Dependable Systems & Networks (DSN); 2011 IEEE/IFIP 41st International Conference on,2011,24
Eventually linearizable shared objects,Marco Serafini; Dan Dobre; Matthias Majuntke; Péter Bokor; Neeraj Suri,Abstract Linearizability is the strongest known consistency property of shared objects. Inasynchronous message passing systems; Linearizability can be achieved with◊ S and amajority of correct processes. In this paper we introduce the notion of EventualLinearizability; the strongest known consistency property that can be attained with◊ S andany number of crashes. We show that linearizable shared object implementations can beaugmented to support weak operations; which need to be linearized only eventually. Unlikestrong operations that require to be always linearized; weak operations terminate in worstcase runs. However; there is a tradeoff between ensuring termination of weak and strongoperations when processes have only access to◊ S. If weak operations terminate in theworst case; then we show that strong operations terminate only in the absence of …,Proceedings of the 29th ACM SIGACT-SIGOPS symposium on Principles of distributed computing,2010,21
Supporting domain-specific state space reductions through local partial-order reduction,Péter Bokor; Johannes Kinder; Marco Serafini; Neeraj Suri,Abstract Model checkers offer to automatically prove safety and liveness properties ofcomplex concurrent software systems; but they are limited by state space explosion. Partial-Order Reduction (POR) is an effective technique to mitigate this burden. However; applyingexisting notions of POR requires to verify conditions based on execution paths ofunbounded length; a difficult task in general. To enable a more intuitive and still flexibleapplication of POR; we propose local POR (LPOR). LPOR is based on the existing notion ofstatically computed stubborn sets; but its locality allows to verify conditions in single statesrather than over long paths. As a case study; we apply LPOR to message-passing systems.We implement it within the Java Pathfinder model checker using our general Java-basedLPOR library. Our experiments show significant reductions achieved by LPOR for model …,Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering,2011,20
Piggybacking on social networks,Aristides Gionis; Flavio Junqueira; Vincent Leroy; Marco Serafini; Ingmar Weber,Abstract The popularity of social-networking sites has increased rapidly over the lastdecade. A basic functionalities of social-networking sites is to present users with streams ofevents shared by their friends. At a systems level; materialized per-user views are a commonway to assemble and deliver such event streams on-line and with low latency. Access to thedata stores; which keep the user views; is a major bottleneck of social-networking systems.We propose to improve the throughput of these systems by using social piggybacking; whichconsists of processing the requests of two friends by querying and updating the view of athird common friend. By using one such hub view; the system can serve requests of the firstfriend without querying or updating the view of the second. We show that; given a socialgraph; social piggybacking can minimize the overall number of requests; but computing …,Proceedings of the VLDB Endowment,2013,19
A tunable add-on diagnostic protocol for time-triggered systems,Marco Serafini; Neeraj Suri; Jonny Vinter; Astrit Ademaj; Wolfgang Brandstatter; Fulvio Tagliabo; Jens Koch,We present a tunable diagnostic protocol for generic time-triggered (TT) systems to detectcrash and send/receive omission faults. Compared to existing diagnostic and membershipprotocols for TT systems; it does not rely on the single-fault assumption and toleratesmalicious faults. It runs at the application level and can be added on top of any TT system(possibly as a middleware component) without requiring modifications at the system level.The information on detected faults is accumulated using a penalty/reward algorithm tohandle transient faults. After a fault is detected; the likelihood of node isolation can beadapted to different system configurations; including those where functions with differentcriticality levels are integrated. Using actual automotive and aerospace parameters; weexperimentally demonstrate the transient fault handling capabilities of the protocol.,Dependable Systems and Networks; 2007. DSN'07. 37th Annual IEEE/IFIP International Conference on,2007,19
Scalable Error Isolation for Distributed Systems.,Diogo Behrens; Marco Serafini; Flavio Paiva Junqueira; Sergei Arnautov; Christof Fetzer,ABSTRACT Mesa is a highly scalable analytic data warehousing system that stores criticalmeasurement data related to Google's Internet advertising business. Mesa is designed tosatisfy ness critical nature of this data result in unique technical and operational challengesfor processing; storing; and querying. The requirements for such a data store are:,NSDI,2015,18
