Linked data-the story so far,Christian Bizer; Tom Heath; Tim Berners-Lee,The term “Linked Data” refers to a set of best practices for publishing and connectingstructured data on the Web. These best practices have been adopted by an increasingnumber of data providers over the last three years; leading to the creation of a global dataspace containing billions of assertions—the Web of Data. In this article; the authors presentthe concept and technical principles of Linked Data; and situate these within the broadercontext of related technological developments. They describe progress to date in publishingLinked Data on the Web; review applications that have been developed to exploit the Web ofData; and map out a research agenda for the Linked Data community as it moves forward.,International journal on semantic web and information systems,2009,4834
Dbpedia: A nucleus for a web of open data,Sören Auer; Christian Bizer; Georgi Kobilarov; Jens Lehmann; Richard Cyganiak; Zachary Ives,Abstract DBpedia is a community effort to extract structured information from Wikipedia andto make this information available on the Web. DBpedia allows you to ask sophisticatedqueries against datasets derived from Wikipedia and to link other datasets on the Web toWikipedia data. We describe the extraction of the DBpedia datasets; and how the resultinginformation is published on the Web for human-and machine-consumption. We describesome emerging applications from the DBpedia community and show how website authorscan facilitate DBpedia content within their sites. Finally; we present the current status ofinterlinking DBpedia with other open datasets on the Web and outline how DBpedia couldserve as a nucleus for an emerging Web of open data.,*,2007,2945
Linked data: Evolving the web into a global data space,Tom Heath; Christian Bizer,Abstract The World Wide Web has enabled the creation of a global information spacecomprising linked documents. As the Web becomes ever more enmeshed with our dailylives; there is a growing desire for direct access to raw data not currently available on theWeb or bound up in hypertext documents. Linked Data provides a publishing paradigm inwhich not only documents; but also data; can be a first class citizen of the Web; therebyenabling the extension of the Web with a global data space based on open standards-theWeb of Data. In this Synthesis lecture we provide readers with a detailed technicalintroduction to Linked Data. We begin by outlining the basic principles of Linked Data;including coverage of relevant aspects of Web architecture. The remainder of the text isbased around two main themes-the publication and consumption of Linked Data …,Synthesis lectures on the semantic web: theory and technology,2011,2240
DBpedia-A crystallization point for the Web of Data,Christian Bizer; Jens Lehmann; Georgi Kobilarov; Sören Auer; Christian Becker; Richard Cyganiak; Sebastian Hellmann,Abstract The DBpedia project is a community effort to extract structured information fromWikipedia and to make this information accessible on the Web. The resulting DBpediaknowledge base currently describes over 2.6 million entities. For each of these entities;DBpedia defines a globally unique identifier that can be dereferenced over the Web into arich RDF description of the entity; including human-readable definitions in 30 languages;relationships to other resources; classifications in four concept hierarchies; various facts aswell as data-level links to other Web data sources describing the entity. Over the last year;an increasing number of data publishers have begun to set data-level links to DBpediaresources; making DBpedia a central interlinking hub for the emerging Web of Data.Currently; the Web of interlinked data sources around DBpedia provides approximately …,Web Semantics: science; services and agents on the world wide web,2009,1934
DBpedia–a large-scale; multilingual knowledge base extracted from Wikipedia,Jens Lehmann; Robert Isele; Max Jakob; Anja Jentzsch; Dimitris Kontokostas; Pablo N Mendes; Sebastian Hellmann; Mohamed Morsey; Patrick Van Kleef; Sören Auer; Christian Bizer,Abstract The DBpedia community project extracts structured; multilingual knowledge fromWikipedia and makes it freely available on the Web using Semantic Web and Linked Datatechnologies. The project extracts knowledge from 111 different language editions ofWikipedia. The largest DBpedia knowledge base which is extracted from the English editionof Wikipedia consists of over 400 million facts that describe 3.7 million things. The DBpediaknowledge bases that are extracted from the other 110 Wikipedia editions together consist of1.46 billion facts and describe 10 million additional things. The DBpedia project mapsWikipedia infoboxes from 27 different language editions to a single shared ontologyconsisting of 320 classes and 1;650 properties. The mappings are created via a world-widecrowd-sourcing effort and enable knowledge from the different Wikipedia editions to be …,Semantic Web,2015,970
DBpedia spotlight: shedding light on the web of documents,Pablo N Mendes; Max Jakob; Andrés García-Silva; Christian Bizer,Abstract Interlinking text documents with Linked Open Data enables the Web of Data to beused as background knowledge within document-oriented applications such as search andfaceted browsing. As a step towards interconnecting the Web of Documents with the Web ofData; we developed DBpedia Spotlight; a system for automatically annotating textdocuments with DBpedia URIs. DBpedia Spotlight allows users to configure the annotationsto their specific needs through the DBpedia Ontology and quality measures such asprominence; topical pertinence; contextual ambiguity and disambiguation confidence. Wecompare our approach with the state of the art in disambiguation; and evaluate our results inlight of three baselines and six publicly available annotation systems; demonstrating thecompetitiveness of our system. DBpedia Spotlight is shared as open source and …,Proceedings of the 7th international conference on semantic systems,2011,815
Named graphs; provenance and trust,Jeremy J Carroll; Christian Bizer; Pat Hayes; Patrick Stickler,Abstract The Semantic Web consists of many RDF graphs nameable by URIs. This paperextends the syntax and semantics of RDF to cover such Named Graphs. This enables RDFstatements that describe graphs; which is beneficial in many Semantic Web applicationareas. As a case study; we explore the application area of Semantic Web publishing: NamedGraphs allow publishers to communicate assertional intent; and to sign their graphs;information consumers can evaluate specific graphs using task-specific trust policies; andact on information from those Named Graphs that they accept. Graphs are trusted dependingon: their content; information about the graph; and the task the user is performing. Theextension of RDF to Named Graphs provides a formally defined framework to be afoundation for the Semantic Web trust layer.,Proceedings of the 14th international conference on World Wide Web,2005,664
The berlin sparql benchmark,Christian Bizer; Andreas Schultz,ABSTRACT The SPARQL Query Language for RDF and the SPARQL Protocol for RDF areimplemented by a growing number of storage systems and are used within enterprise andopen Web settings. As SPARQL is taken up by the community; there is a growing need forbenchmarks to compare the performance of storage systems that expose SPARQLendpoints via the SPARQL protocol. Such systems include native RDF stores as well assystems that rewrite SPARQL queries to SQL queries against non-RDF relational databases.This article introduces the Berlin SPARQL Benchmark (BSBM) for comparing theperformance of native RDF stores with the performance of SPARQL-to-SQL rewriters acrossarchitectures. The benchmark is built around an e-commerce use case in which a set ofproducts is offered by different vendors and consumers have posted reviews about …,*,2009,564
D2RQ-treating non-RDF databases as virtual RDF graphs,Christian Bizer; Andy Seaborne,Abstract As Semantic Web technologies are getting mature; there is a growing need for RDFapplications to access the content of huge; live; non-RDF; legacy databases without havingto replicate the whole database into RDF. In this poster; we present D2RQ; a declarativelanguage to describe mappings between application-specific relational database schemataand RDF-S/OWL ontologies. D2RQ allows RDF applications to treat non-RDF relationaldatabases as virtual RDF graphs; which can be queried using RDQL.,Proceedings of the 3rd international semantic web conference (ISWC2004),2004,525
Linked data on the web (LDOW2008),Christian Bizer; Tom Heath; Kingsley Idehen; Tim Berners-Lee,Abstract The Web is increasingly understood as a global information space consisting notjust of linked documents; but also of Linked Data. More than just a vision; the resulting Webof Data has been brought into being by the maturing of the Semantic Web technology stack;and by the publication of an increasing number of datasets according to the principles ofLinked Data. The Linked Data on the Web (LDOW2008) workshop brings togetherresearchers and practitioners working on all aspects of Linked Data. The workshop providesa forum to present the state of the art in the field and to discuss ongoing and future researchchallenges. In this workshop summary we will outline the technical context in which LinkedData is situated; describe developments in the past year through initiatives such as theLinking Open Data community project; and look ahead to the workshop itself.,Proceedings of the 17th international conference on World Wide Web,2008,456
Silk-A Link Discovery Framework for the Web of Data.,Julius Volz; Christian Bizer; Martin Gaedke; Georgi Kobilarov,ABSTRACT The Web of Data is built upon two simple ideas: Employ the RDF data model topublish structured data on the Web and to set explicit RDF links between entities withindifferent data sources. This paper presents the Silk–Link Discovery Framework; a tool forfinding relationships between entities within different data sources. Data publishers can useSilk to set RDF links from their data sources to other data sources on the Web. Silk features adeclarative language for specifying which types of RDF links should be discovered betweendata sources as well as which conditions entities must fulfill in order to be interlinked. Linkconditions may be based on various similarity metrics and can take the graph aroundentities into account; which is addressed using a path-based selector language. Silkaccesses data sources over the SPARQL protocol and can thus be used without having to …,LDOW,2009,414
How to publish linked data on the web,Chris Bizer; Richard Cyganiak; Tom Heath,This document provides a tutorial on how to publish Linked Data on the Web. After a generaloverview of the concept of Linked Data; we describe several practical recipes for publishing informationas Linked Data on the Web … 4. Which vocabularies should I use to represent information?… 5. What should I return as RDF description for a URI … 6. How to set links to other dataitems … 7. Recipes for Serving Information as Linked Data … The goal of Linked Data isto enable people to share structured data on the Web as easily as they can share documentstoday … The term Linked Data was coined by Tim Berners-Lee in his Linked Data architecturenote. The term refers to a set of best practices on how to publish and interlink structured dataon the Web. The basic assumption behind Linked Data is that the value and usefulness of dataincreases the more it is interlinked with other data. Therefore; typed links between data …,*,2007,404
D2r server-publishing relational databases on the semantic web,Christian Bizer; Richard Cyganiak,Abstract D2R Server is a tool for publishing the content of relational databases on theSemantic Web. Database content is mapped to RDF by a declarative mapping whichspecifies how resources are identified and how property values are generated fromdatabase content. Based on this mapping; D2R Server allows Web agents to retrieve RDFand XHTML representations of resources and to query non-RDF databases using theSPARQL query language over the SPARQL protocol. The generated representations arerichly interlinked on RDF and XHTML level in order to enable browsers and crawlers tonavigate database content.,Poster at the 5th international semantic web conference,2006,402
Executing SPARQL queries over the web of linked data,Olaf Hartig; Christian Bizer; Johann-Christoph Freytag,Abstract The Web of Linked Data forms a single; globally distributed dataspace. Due to theopenness of this dataspace; it is not possible to know in advance all data sources that mightbe relevant for query answering. This openness poses a new challenge that is notaddressed by traditional research on federated query processing. In this paper we presentan approach to execute SPARQL queries over the Web of Linked Data. The main idea of ourapproach is to discover data that might be relevant for answering a query during the queryexecution itself. This discovery is driven by following RDF links between data sources basedon URIs in the query and in partial results. The URIs are resolved over the HTTP protocolinto RDF data which is continuously added to the queried dataset. This paper describesconcepts and algorithms to implement our approach using an iterator-based pipeline. We …,International Semantic Web Conference,2009,366
Discovering and maintaining links on the web of data,Julius Volz; Christian Bizer; Martin Gaedke; Georgi Kobilarov,Abstract The Web of Data is built upon two simple ideas: Employ the RDF data model topublish structured data on the Web and to create explicit data links between entities withindifferent data sources. This paper presents the Silk–Linking Framework; a toolkit fordiscovering and maintaining data links between Web data sources. Silk consists of threecomponents: 1. A link discovery engine; which computes links between data sources basedon a declarative specification of the conditions that entities must fulfill in order to beinterlinked; 2. A tool for evaluating the generated data links in order to fine-tune the linkingspecification; 3. A protocol for maintaining data links between continuously changing datasources. The protocol allows data sources to exchange both linksets as well as detailedchange information and enables continuous link recomputation. The interplay of all the …,International Semantic Web Conference,2009,361
D2r map-a database to rdf mapping language,Christian Bizer,ABSTRACT The vision of the Semantic Web is to give data on the web a well-definedmeaning by representing it in RDF and linking it to commonly accepted ontologies. Mostformatted data today is stored in relational databases. To be able to use this data on theSemantic Web we need a flexible but easy to use mechanism to map relational data to RDF.The poster presents D2R MAP; a declarative language to describe mappings betweenrelational database schemata and OWL ontologies.,*,2003,322
Media meets semantic web–how the bbc uses dbpedia and linked data to make connections,Georgi Kobilarov; Tom Scott; Yves Raimond; Silver Oliver; Chris Sizemore; Michael Smethurst; Christian Bizer; Robert Lee,Abstract In this paper; we describe how the BBC is working to integrate data and linkingdocuments across BBC domains by using Semantic Web technology; in particular LinkedData; MusicBrainz and DBpedia. We cover the work of BBC Programmes and BBC Musicbuilding Linked Data sites for all music and programmes related brands; and we describeexisting projects; ongoing development; and further research we are doing in a jointcollaboration between the BBC; Freie Universität Berlin and Rattle Research in order to useDBpedia as the controlled vocabulary and semantic backbone for the whole BBC.,European Semantic Web Conference,2009,315
The emerging web of linked data,Christian Bizer,The paper discusses the semantic Web and Linked Data. The classic World Wide Web isbuilt upon the idea of setting hyperlinks between Web documents. These hyperlinks are thebasis for navigating and crawling the Web. Technologically; the core idea of Linked Data isto use HTTP URLs not only to identify Web documents; but also to identify arbitrary realworld entities. Data about these entities is represented using the Resource DescriptionFramework (RDF). Whenever a Web client resolves one of these URLs; the correspondingWeb server provides an RDF/XML or RDFa description of the identified entity. Thesedescriptions can contain links to entities described by other data sources. The Web of LinkedData can be seen as an additional layer that is tightly interwoven with the classic documentWeb. The author mentions the application of Linked Data in media; publications; life …,IEEE intelligent systems,2009,312
Adoption of the linked data best practices in different topical domains,Max Schmachtenberg; Christian Bizer; Heiko Paulheim,Abstract The central idea of Linked Data is that data publishers support applications indiscovering and integrating data by complying to a set of best practices in the areas oflinking; vocabulary usage; and metadata provision. In 2011; the State of the LOD Cloudreport analyzed the adoption of these best practices by linked datasets within differenttopical domains. The report was based on information that was provided by the datasetpublishers themselves via the datahub. io Linked Data catalog. In this paper; we revisit andupdate the findings of the 2011 State of the LOD Cloud report based on a crawl of the Webof Linked Data conducted in April 2014. We analyze how the adoption of the different bestpractices has changed and present an overview of the linkage relationships betweendatasets in the form of an updated LOD cloud diagram; this time not based on information …,International Semantic Web Conference,2014,293
