Classification; subtype discovery; and prediction of outcome in pediatric acute lymphoblastic leukemia by gene expression profiling,Eng-Juh Yeoh; Mary E Ross; Sheila A Shurtleff; W Kent Williams; Divyen Patel; Rami Mahfouz; Fred G Behm; Susana C Raimondi; Mary V Relling; Anami Patel; Cheng Cheng; Dario Campana; Dawn Wilkins; Xiaodong Zhou; Jinyan Li,Abstract Treatment of pediatric acute lymphoblastic leukemia (ALL) is based on the conceptof tailoring the intensity of therapy to a patient's risk of relapse. To determine whether geneexpression profiling could enhance risk assignment; we used oligonucleotide microarrays toanalyze the pattern of genes expressed in leukemic blasts from 360 pediatric ALL patients.Distinct expression profiles identified each of the prognostically important leukemiasubtypes; including T-ALL; E2A-PBX1; BCR-ABL; TEL-AML1; MLL rearrangement; andhyperdiploid> 50 chromosomes. In addition; another ALL subgroup was identified based onits unique expression profile. Examination of the genes comprising the expressionsignatures provided important insights into the biology of these leukemia subgroups.Further; within some genetic subgroups; expression profiles identified those patients that …,Cancer cell,2002,1979
Exploiting indirect neighbours and topological weight to predict protein function from protein–protein interactions,Hon Nian Chua; Wing-Kin Sung; Limsoon Wong,Abstract Motivation: Most approaches in predicting protein function from protein–proteininteraction data utilize the observation that a protein often share functions with proteins thatinteracts with it (its level-1 neighbours). However; proteins that interact with the sameproteins (ie level-2 neighbours) may also have a greater likelihood of sharing similarphysical or biochemical characteristics. We speculate that functional similarity between aprotein and its neighbours from the two different levels arise from two distinct forms offunctional association; and a protein is likely to share functions with its level-1 and/or level-2neighbours. We are interested in finding out how significant is functional associationbetween level-2 neighbours and how they can be exploited for protein function prediction.Results: We made a statistical study on recent interaction data and observed that …,Bioinformatics,2006,510
CAEP: Classification by aggregating emerging patterns,Guozhu Dong; Xiuzhen Zhang; Limsoon Wong; Jinyan Li,Abstract Emerging patterns (EPs) are itemsets whose supports change significantly from onedataset to another; they were recently proposed to capture multi-attribute contrasts betweendata classes; or trends over time. In this paper we propose a new classifier; CAEP; using thefollowing main ideas based on EPs:(i) Each EP can sharply differentiate the classmembership of a (possibly small) fraction of instances containing the EP; due to the bigdifference between its supports in the opposing classes; we define the differentiating powerof the EP in terms of the supports and their ratio; on instances containing the EP.(ii) For eachinstance t; by aggregating the differentiating power of a fixed; automatically selected set ofEPs; a score is obtained for each class. The scores for all classes are normalized and thelargest score determines t's class. CAEP is suitable for many applications; even those …,2nd International Conference on Discovery Science; Tokyo; Japan; December 1999,1999,496
A comparative study on feature selection and classification methods using a large set of gene expression profiles,Huiqing Liu; Jinyan Li; Limsoon Wong,*,13th International Conference on Genome Informatics (GIW); Tokyo; Japan; December 2002,2002,482
Accomplishments and challenges in literature data mining for biology,Lynette Hirschman; Jong C Park; Junichi Tsujii; Limsoon Wong; Cathy H Wu,Abstract We review recent results in literature data mining for biology and discuss the needand the steps for a challenge evaluation for this field. Literature data mining has progressedfrom simple recognition of terms to extraction of interaction relationships from complexsentences; and has broadened from recognition of protein interactions to a range ofproblems such as improving homology search; identifying cellular location; and so on. Toencourage participation and accelerate progress in this expanding field; we proposecreating challenge evaluations; and we describe two specific applications in this context.Contact: wuc@ georgetown. edu tsujii@ is. su-tokyo. ac. jp park@ nlp. kaist. ac. kr lynette@mitre. org limsoon@ lit. org. sg,*,2002,358
Principles of programming with complex objects and collection types,Peter Buneman; Shamim Naqvi; Val Tannen; Limsson Wong,Abstract We present a new principle for the development of database query languages thatthe primitive operations should be organized around types. Viewing a relational database asconsisting of sets of records; this principle dectates that we should investigate separatelyoperations for records and sets. There are two immediate advantages of this approach;which is partly inspired by basic ideas from category theoryl. First; it provides a language forstructures in which record and set types may be freely combined: nested relations orcomplex objects. Second; the fundamental operations for sets are closely related to those forother “collection types” such as bags or lists; and this suggests how database languagesmay be uniformly extended to these new types. the most general operation on sets; that ofstructural recursion; is one in which not all programs are well-defined. In looking for …,Theoretical Computer Science,1995,314
Complex discovery from weighted PPI networks,Guimei Liu; Limsoon Wong; Hon Nian Chua,Abstract Motivation: Protein complexes are important for understanding principles of cellularorganization and function. High-throughput experimental techniques have produced a largeamount of protein interactions; which makes it possible to predict protein complexes fromprotein–protein interaction (PPI) networks. However; protein interaction data produced byhigh-throughput experiments are often associated with high false positive and false negativerates; which makes it difficult to predict complexes accurately. Results: We use an iterativescoring method to assign weight to protein pairs; and the weight of a protein pair indicatesthe reliability of the interaction between the two proteins. We develop an algorithm calledCMC (clustering-based on maximal cliques) to discover complexes from the weighted PPInetwork. CMC first generates all the maximal cliques from the PPI networks; and then …,Bioinformatics,2009,299
Comprehension syntax,Peter Buneman; Leonid Libkin; Dan Suciu; Val Tannen; Limsoon Wong,Abstract The syntax of comprehensions is very close to the syntax of a number of practicaldatabase query languages and is; we believe; a better starting point than first-order logic forthe development of database languages. We give an informal account of a language basedon comprehension syntax that deals uniformly with a variety of collection types; it alsoincludes pattern matching; variant types and function definition. We show; again informally;how comprehension syntax is a natural fragment of structural recursion; a much morepowerful programming paradigm for collection types. We also show that a very small"abstract syntax language" can serve as a basis for the implementation and optimization ofcomprehension syntax.,ACM Sigmod Record,1994,288
BioKleisli: A digital library for biomedical researchers,Susan B Davidson; Christian Overton; Val Tannen; Limsoon Wong,Data of interest to biomedical researchers associated with the Human Genome Project(HGP) is stored all over the world in a number of different electronic data formats andaccessible through a variety of interfaces and retrieval languages. These data sourcesinclude conventional relational databases with SQL interfaces; formatted text files on top ofwhich indexing is provided for efficient retrieval (ASN. 1-Entrez); and binary files that can beinterpreted textually or graphically via special purpose interfaces (ACeDB). Researcherswithin the HGP want to combine data from these different data sources; add value throughsophisticated data analysis techniques (such as the biosequence comparison softwareBLAST and FASTA); and view it using special purpose scientific visualization tools.However; currently there are no commercial tools for enabling such an integrated digital …,International Journal on Digital Libraries,1997,249
Naturally embedded query languages,Val Breazu-Tannen; Peter Buneman; Limsoon Wong,Abstract We investigate the properties of a simple programming language whose maincomputational engine is structural recursion on sets. We describe a progression ofsublanguages in this paradigm that (1) have increasing expressive power; and (2) illustraterobust conceptual restrictions thus exhibiting interesting additional properties. Theseproperties suggest that we consider our sublanguages as candidates for “query languages”.Viewing query languages as restrictions of our more general programming language hasseveral advantages. First; there is no “impedance mismatch” problem; the query languagesare already there; so they share common semantic foundation with the general language.Second; we suggest a uniform characterization of nested relational and complex-objectalgebras in terms of some surprisingly simple operators; and we can make comparisons …,4th International Conference on Database Theory; Berlin; Germany; October 1992,1992,218
