Provenance semirings,Todd J Green; Grigoris Karvounarakis; Val Tannen,Abstract We show that relational algebra calculations for incomplete databases; probabilisticdatabases; bag semantics and why-provenance are particular cases of the same generalalgorithms involving semirings. This further suggests a comprehensive provenancerepresentation that uses semirings of polynomials. We extend these considerations todatalog and semirings of formal power series. We give algorithms for datalog provenancecalculation as well as datalog evaluation for incomplete and probabilistic databases. Finally;we show that for some semirings containment of conjunctive queries is the same as forstandard set semantics.,Proceedings of the twenty-sixth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2007,595
Processing XML streams with deterministic automata,Todd J Green; Gerome Miklau; Makoto Onizuka; Dan Suciu,Abstract We consider the problem of evaluating a large number of XPath expressions on anXML stream. Our main contribution consists in showing that Deterministic Finite Automata(DFA) can be used effectively for this problem: in our experiments we achieve a throughputof about 5.4 MB/s; independent of the number of XPath expressions (up to 1;000;000 in ourtests). The major problem we face is that of the size of the DFA. Since the number of statesgrows exponentially with the number of XPath expressions; it was previously believed thatDFAs cannot be used to process large sets of expressions. We make a theoretical analysisof the number of states in the DFA resulting from XPath expressions; and consider both thecase when it is constructed eagerly; and when it is constructed lazily. Our analysis indicatesthat; when the automaton is constructed lazily; and under certain assumptions about the …,International Conference on Database Theory,2003,313
Processing XML streams with deterministic automata and stream indexes,Todd J Green; Ashish Gupta; Gerome Miklau; Makoto Onizuka; Dan Suciu,Abstract We consider the problem of evaluating a large number of XPath expressions on astream of XML packets. We contribute two novel techniques. The first is to use a singleDeterministic Finite Automaton (DFA). The contribution here is to show that the DFA can beused effectively for this problem: in our experiments we achieve a constant throughput;independently of the number of XPath expressions. The major issue is the size of the DFA;which; in theory; can be exponential in the number of XPath expressions. We provide aseries of theoretical results and experimental evaluations that show that the lazy DFA has asmall number of states; for all practical purposes. These results are of general interest inXPath processing; beyond stream processing. The second technique is the Streaming IndeX(SIX); which consists of adding a small amount of binary data to each XML packet that …,ACM Transactions on Database Systems (TODS),2004,259
Models for incomplete and probabilistic information,Todd J Green; Val Tannen,Abstract We discuss; compare and relate some old and some new models for incompleteand probabilistic databases. We characterize the expressive power of c-tables over infinitedomains and we introduce a new kind of result; algebraic completion; for studying lessexpressive models. By viewing probabilistic models as incompleteness models withadditional probability information; we define completeness and closure under querylanguages of general probabilistic database models and we introduce a new such model;probabilistic c-tables; that is shown to be complete and closed under the relational algebra.,International Conference on Extending Database Technology,2006,237
Update exchange with mappings and provenance,Todd J Green; Grigoris Karvounarakis; Zachary G Ives; Val Tannen,Abstract We consider systems for data sharing among heterogeneous peers related by anetwork of schema mappings. Each peer has a locally controlled and edited databaseinstance; but wants to ask queries over related data from other peers as well. To achievethis; every peer's updates propagate along the mappings to the other peers. However; thisupdate exchange is filtered by trust conditions---expressing what data and sources a peerjudges to be authoritative---which may cause a peer to reject another's updates. In order tosupport such filtering; updates carry provenance information. These systems target scientificdata sharing applications; and their general principles and architecture have beendescribed in [20]. In this paper we present methods for realizing such systems. Specifically;we extend techniques from data integration; data exchange; and incremental view …,Proceedings of the 33rd international conference on Very large data bases,2007,180
Structure/activity studies of the nephrotoxic and mutagenic action of cysteine conjugates of chlgro and fluoroalkenes,Tf Green; J Odum,Summary The cysteine conjugates of the nephrotoxins hexachlorobutadiene (HCBD);tetrafluoroethylene (TFE) and hexafluoropropene (HFP); together with those oftrichloroethylene and perchloroethylene; have been chemically synthesized and arelationship determined between their structures and their nephrotoxicity and mutagenicityin vitro. All of the conjugates had a marked effect on the uptake of both the organic anion p-aminohippuric acid (PAH) and the cation tetraethylammonium bromide (TEA) into rat kidneyslices; suggesting activation of the conjugates in the slices to a toxic species which interfereswith ion transport. This observation is consistent with the known nephrotoxicity of HCBD;TFE and HFP in vivo. Each of the conjugates was found to be metabolised by rat kidneyslices and by semi-purified rat kidney β-lyase to pyruvate; ammonia and an unidentified …,Chemico-biological interactions,1985,179
Method and system for clustering and grouping taskbar buttons,*,A method and system are provided for organizing; displaying; and accessingrepresentations of one or more running tasks on a graphical user interface in a computersystem. The system organizes like application files and clusters the corresponding taskbarbuttons and; upon reaching a threshold limit; creates and displays a group button thatcontains the like application files and removes the like taskbar buttons from the taskbar.Further; upon reaching a second threshold limit; the system ungroups the applicationtaskbar buttons; displays them on the taskbar and removes the group button from thetaskbar.,*,2004,134
The metabolism and nephrotoxicity of tetrafluoroethylene in the rat,J Odum; T Green,Abstract Exposure of rats to 6000 ppm tetrafluoroethylene for 6 hr produced marked damageto the proximal tubule of the kidney with no effect on the liver. The toxicity was characterizedby very high concentrations of urinary glucose and by marked increases in theconcentrations of several urinary enzymes. The no observed effect level for a 6-hr exposurewas 2000 ppm. Tetrafluoroethylene was metabolized to S-(1; 1; 2; 2-tetrafluoroethyl)glutathione by rat liver fractions in vitro; the reaction was catalyzed by both microsomal andcytosolic glutathione S-transferases. The rate with microsomes was four times that withcytosol fractions. Evidence for this metabolic pathway in vivo has been obtained by theidentification of the cysteinylglycine and cysteine conjugates of tetrafluoroethylene in rat bile.Cytochrome P-450 oxidation; a common metabolic route for haloalkenes; does not …,Toxicology and applied pharmacology,1984,124
Datalog and emerging applications: an interactive tutorial,Shan Shan Huang; Todd Jeffrey Green; Boon Thau Loo,Abstract We are witnessing an exciting revival of interest in recursive Datalog queries in avariety of emerging application domains such as data integration; information extraction;networking; program analysis; security; and cloud computing. This tutorial briefly reviews theDatalog language and recursive query processing and optimization techniques; thendiscusses applications of Datalog in three application domains: data integration; declarativenetworking; and program analysis. Throughout the tutorial; we use LogicBlox; a commercialDatalog engine for enterprise software systems; to allow the audience to walk through codeexamples presented in the tutorial.,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,103
Method and system for reducing notification area clutter,*,A method and system are provided for use in a computer system for organizing anddisplaying notification items associated with the system; applications or other components;within a notification area. The system monitors items that are placed in the notification;comparing the period of placement with a predetermined time threshold value; If the itemhas remained inactive for longer than the predetermined threshold period; the item is hiddenfrom the notification area. Additionally; the system monitors the hidden items for changes inicon appearance and will unhide the item upon a change in appearance or specificselection by a user. New items and unhidden items are arranged in the order of the mostrecent addition to the notification area. The system also allows a user to customize thebehavior associated with individual notification items.,*,2007,102
