LCARS: a location-content-aware recommender system,Hongzhi Yin; Yizhou Sun; Bin Cui; Zhiting Hu; Ling Chen,Abstract Newly emerging location-based and event-based social network services provideus with a new platform to understand users' preferences based on their activity history. Auser can only visit a limited number of venues/events and most of them are within a limiteddistance range; so the user-item matrix is very sparse; which creates a big challenge fortraditional collaborative filtering-based recommender systems. The problem becomes morechallenging when people travel to a new city where they have no activity history. In thispaper; we propose LCARS; a location-content-aware recommender system that offers aparticular user a set of venues (eg; restaurants) or events (eg; concerts and exhibitions) bygiving consideration to both personal interest and local preference. This recommendersystem can facilitate people's travel not only near the area in which they live; but also in a …,Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining,2013,215
Challenging the long tail recommendation,Hongzhi Yin; Bin Cui; Jing Li; Junjie Yao; Chen Chen,Abstract The success of" infinite-inventory" retailers such as Amazon. com and Netflix hasbeen largely attributed to a" long tail" phenomenon. Although the majority of their inventoryis not in high demand; these niche products; unavailable at limited-inventory competitors;generate a significant fraction of total revenue in aggregate. In addition; tail productavailability can boost head sales by offering consumers the convenience of" one-stopshopping" for both their mainstream and niche tastes. However; most of existingrecommender systems; especially collaborative filter based methods; can not recommendtail products due to the data sparsity issue. It has been widely acknowledged that torecommend popular products is easier yet more trivial while to recommend long tail productsadds more novelty yet it is also a more challenging task. In this paper; we propose a novel …,Proceedings of the VLDB Endowment,2012,100
A Temporal Context-Aware Model for User Behavior Modeling in Social Media Systems,Hongzhi Yin; Bin Cui; Ling Chen; Zhiting Hu; Zi Huang,Abstract Social media provides valuable resources to analyze user behaviors and captureuser preferences. This paper focuses on analyzing user behaviors in social media systemsand designing a latent class statistical mixture model; named temporal context-awaremixture model (TCAM); to account for the intentions and preferences behind user behaviors.Based on the observation that the behaviors of a user in social media systems are generallyinfluenced by intrinsic interest as well as the temporal context (eg; the public's attention atthat time); TCAM simultaneously models the topics related to users' intrinsic interests and thetopics related to temporal context and then combines the influences from the two factors tomodel user behaviors in a unified way. To further improve the performance of TCAM; an item-weighting scheme is proposed to enable TCAM to favor items that better represent topics …,the 2014 ACM SIGMOD international conference on Management of data,2014,73
LCARS: A Spatial Item Recommender System,Hongzhi Yin; Bin Cui; Yizhou Sun; Zhiting Hu; Ling Chen,Abstract Newly emerging location-based and event-based social network services provideus with a new platform to understand users' preferences based on their activity history. Auser can only visit a limited number of venues/events and most of them are within a limiteddistance range; so the user-item matrix is very sparse; which creates a big challenge to thetraditional collaborative filtering-based recommender systems. The problem becomes evenmore challenging when people travel to a new city where they have no activity information.In this article; we propose LCARS; a location-content-aware recommender system that offersa particular user a set of venues (eg; restaurants and shopping malls) or events (eg;concerts and exhibitions) by giving consideration to both personal interest and localpreference. This recommender system can facilitate people's travel not only near the area …,ACM Transactions on Information Systems (TOIS),2014,64
Dynamic User Modeling in Social Media Systems,Hongzhi Yin; Bin Cui; Ling Chen; Zhiting Hu; Xiaofang Zhou,Abstract Social media provides valuable resources to analyze user behaviors and captureuser preferences. This article focuses on analyzing user behaviors in social media systemsand designing a latent class statistical mixture model; named temporal context-awaremixture model (TCAM); to account for the intentions and preferences behind user behaviors.Based on the observation that the behaviors of a user in social media systems are generallyinfluenced by intrinsic interest as well as the temporal context (eg; the public's attention atthat time); TCAM simultaneously models the topics related to users' intrinsic interests and thetopics related to temporal context and then combines the influences from the two factors tomodel user behaviors in a unified way. Considering that users' interests are not alwaysstable and may change over time; we extend TCAM to a dynamic temporal context-aware …,ACM Transaction on Information Systems (TOIS),2015,56
Modeling Location-based User Rating Profiles for Personalized Recommendation,Hongzhi Yin; Bin Cui; Ling Chen; Zhiting Hu; Chengqi Zhang,Abstract This article proposes LA-LDA; a location-aware probabilistic generative model thatexploits location-based ratings to model user profiles and produce recommendations. Mostof the existing recommendation models do not consider the spatial information of users oritems; however; LA-LDA supports three classes of location-based ratings; namely spatialuser ratings for nonspatial items; nonspatial user ratings for spatial items; and spatial userratings for spatial items. LA-LDA consists of two components; ULA-LDA and ILA-LDA; whichare designed to take into account user and item location information; respectively. Thecomponent ULA-LDA explicitly incorporates and quantifies the influence from local publicpreferences to produce recommendations by considering user home locations; whereas thecomponent ILA-LDA recommends items that are closer in both taste and travel distance to …,Transactions on Knowledge Discovery from Data (TKDD),2015,55
A unified model for stable and temporal topic detection from social media data,Hongzhi Yin; Bin Cui; Hua Lu; Yuxin Huang; Junjie Yao,Web 2.0 users generate and spread huge amounts of messages in online social media.Such user-generated contents are mixture of temporal topics (eg; breaking events) andstable topics (eg; user interests). Due to their different natures; it is important and useful todistinguish temporal topics from stable topics in social media. However; such adiscrimination is very challenging because the user-generated texts in social media are veryshort in length and thus lack useful linguistic features for precise analysis using traditionalapproaches. In this paper; we propose a novel solution to detect both stable and temporaltopics simultaneously from social media data. Specifically; a unified user-temporal mixturemodel is proposed to distinguish temporal topics from stable topics. To improve this model'sperformance; we design a regularization framework that exploits prior spatial information …,Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,51
Geo-SAGE: A Geographical Sparse Additive Generative Model for Spatial Item Recommendation,Weiqing Wang; Hongzhi Yin; Ling Chen; Yizhou Sun; Shazia Sadiq; Xiaofang Zhou,Abstract With the rapid development of location-based social networks (LBSNs); spatial itemrecommendation has become an important means to help people discover attractive andinteresting venues and events; especially when users travel out of town. However; thisrecommendation is very challenging compared to the traditional recommender systems. Auser can visit only a limited number of spatial items; leading to a very sparse user-itemmatrix. Most of the items visited by a user are located within a short distance from wherehe/she lives; which makes it hard to recommend items when the user travels to a far awayplace. Moreover; user interests and behavior patterns may vary dramatically across differentgeographical regions. In light of this; we propose Geo-SAGE; a geographical sparse additivegenerative model for spatial item recommendation in this paper. Geo-SAGE considers …,Proceedings of the 21th ACM SIGKDD international conference on Knowledge discovery and data mining (KDD 15),2015,49
Joint Modeling of User Check-in Behaviors for Point-of-Interest Recommendation,Hongzhi Yin; Xiaofang Zhou; Yingxia Shao; Hao Wang; Shazia Sadiq,Abstract Point-of-Interest (POI) recommendation has become an important means to helppeople discover attractive and interesting locations; especially when users travel out of town.However; extreme sparsity of user-POI matrix creates a severe challenge. To cope with thischallenge; a growing line of research has exploited the temporal effect; geographical-socialinfluence; content effect and word-of-mouth effect. However; current research lacks anintegrated analysis of the joint effect of the above factors to deal with the issue of data-sparsity; especially in the out-of-town recommendation scenario which has been ignored bymost existing work. In light of the above; we propose a joint probabilistic generative model tomimic user check-in behaviors in a process of decision making; which strategicallyintegrates the above factors to effectively overcome the data sparsity; especially for out-of …,The 24th ACM International Conference on Information and Knowledge Management (CIKM'15),2015,44
Joint Modeling of Users’ Interests and Mobility Patterns for Point-of-Interest Recommendation,Hongzhi Yin; Bin Cui; Zi Huang; Weiqing Wang; Xian Wu; Xiaofang Zhou,Abstract Point-of-Interest (POI) recommendation has become an important means to helppeople discover interesting places; especially when users travel out of town. However;extreme sparsity of user-POI matrix creates a severe challenge. To cope with this challenge;we propose a unified probabilistic generative model; Topic-Region Model (TRM); tosimultaneously discover the semantic; temporal and spatial patterns of users' check-inactivities; and to model their joint effect on users' decision-making for POIs. We conductextensive experiments to evaluate the performance of our TRM on two real large-scaledatasets; and the experimental results clearly demonstrate that TRM outperforms the state-of-art methods.,The 2015 ACM Multimedia Conference(ACM-MM'15),2015,34
