Reconstruction and simulation of neocortical microcircuitry,Henry Markram; Eilif Muller; Srikanth Ramaswamy; Michael W Reimann; Marwan Abdellah; Carlos Aguado Sanchez; Anastasia Ailamaki; Lidia Alonso-Nanclares; Nicolas Antille; Selim Arsever; Guy Antoine Atenekeng Kahou; Thomas K Berger; Ahmet Bilgili; Nenad Buncic; Athanassia Chalimourda; Giuseppe Chindemi; Jean-Denis Courcol; Fabien Delalondre; Vincent Delattre; Shaul Druckmann; Raphael Dumusc; James Dynes; Stefan Eilemann; Eyal Gal; Michael Emiel Gevaert; Jean-Pierre Ghobril; Albert Gidon; Joe W Graham; Anirudh Gupta; Valentin Haenel; Etay Hay; Thomas Heinis; Juan B Hernando; Michael Hines; Lida Kanari; Daniel Keller; John Kenyon; Georges Khazen; Yihwa Kim; James G King; Zoltan Kisvarday; Pramod Kumbhar; Sébastien Lasserre; Jean-Vincent Le Bé; Bruno RC Magalhães; Angel Merchán-Pérez; Julie Meystre; Benjamin Roy Morrice; Jeffrey Muller; Alberto Muñoz-Céspedes; Shruti Muralidhar; Keerthan Muthurasa; Daniel Nachbaur; Taylor H Newton; Max Nolte; Aleksandr Ovcharenko; Juan Palacios; Luis Pastor; Rodrigo Perin; Rajnish Ranjan; Imad Riachi; José-Rodrigo Rodríguez; Juan Luis Riquelme; Christian Rössert; Konstantinos Sfyrakis; Ying Shi; Julian C Shillcock; Gilad Silberberg; Ricardo Silva; Farhan Tauheed; Martin Telefont; Maria Toledo-Rodriguez; Thomas Tränkler; Werner Van Geit; Jafet Villafranca Díaz; Richard Walker; Yun Wang; Stefano M Zaninetta; Javier DeFelipe; Sean L Hill; Idan Segev; Felix Schürmann,Summary We present a first-draft digital reconstruction of the microcircuitry of somatosensorycortex of juvenile rat. The reconstruction uses cellular and synaptic organizing principles toalgorithmically reconstruct detailed anatomy and physiology from sparse experimental data.An objective anatomical method defines a neocortical volume of 0.29±0.01 mm 3containing∼ 31;000 neurons; and patch-clamp studies identify 55 layer-specificmorphological and 207 morpho-electrical neuron subtypes. When digitally reconstructedneurons are positioned in the volume and synapse formation is restricted to biologicalbouton densities and numbers of synapses per connection; their overlapping arbors form∼8 million connections with∼ 37 million synapses. Simulations reproduce an array of in vitroand in vivo experiments without parameter tuning. Additionally; we find a spectrum of …,Cell,2015,296
TOUCH: in-memory spatial join by hierarchical data-oriented partitioning,Sadegh Nobari; Farhan Tauheed; Thomas Heinis; Panagiotis Karras; Stéphane Bressan; Anastasia Ailamaki,Abstract Efficient spatial joins are pivotal for many applications and particularly important forgeographical information systems or for the simulation sciences where scientists work withspatial models. Past research has primarily focused on disk-based spatial joins; efficient in-memory approaches; however; are important for two reasons: a) main memory has grown solarge that many datasets fit in it and b) the in-memory join is a very time-consuming part of alldisk-based spatial joins. In this paper we develop TOUCH; a novel in-memory spatial joinalgorithm that uses hierarchical data-oriented space partitioning; thereby keeping both itsmemory footprint and the number of comparisons low. Our results show that TOUCHoutperforms known in-memory spatial-join algorithms as well as in-memory implementationsof disk-based join approaches. In particular; it has a one order of magnitude advantage …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,35
Accelerating range queries for brain simulations,Farhan Tauheed; Laurynas Biveinis; Thomas Heinis; Felix Schurmann; Henry Markram; Anastasia Ailamaki,Neuroscientists increasingly use computational tools in building and simulating models ofthe brain. The amounts of data involved in these simulations are immense and efficientlymanaging this data is key. One particular problem in analyzing this data is the scalableexecution of range queries on spatial models of the brain. Known indexing approaches donot perform well even on today's small models which represent a small fraction of the brain;containing only few millions of densely packed spatial elements. The problem of currentapproaches is that with the increasing level of detail in the models; also the overlap in thetree structure increases; ultimately slowing down query execution. The neuroscientists' needto work with bigger and more detailed (denser) models thus motivates us to develop a newindexing approach. To this end we develop FLAT; a scalable indexing approach for …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,25
SCOUT: prefetching for latent structure following queries,Farhan Tauheed; Thomas Heinis; Felix Schürmann; Henry Markram; Anastasia Ailamaki,Abstract Today's scientists are quickly moving from in vitro to in silico experimentation: theyno longer analyze natural phenomena in a petri dish; but instead they build models andsimulate them. Managing and analyzing the massive amounts of data involved insimulations is a major task. Yet; they lack the tools to efficiently work with data of this size.One problem many scientists share is the analysis of the massive spatial models they build.For several types of analysis they need to interactively follow the structures in the spatialmodel; eg; the arterial tree; neuron fibers; etc.; and issue range queries along the way. Eachquery takes long to execute; and the total time for executing a sequence of queriessignificantly delays data analysis. Prefetching the spatial data reduces the response timeconsiderably; but known approaches do not prefetch with high accuracy.,Proceedings of the VLDB Endowment,2012,14
THERMAL-JOIN: A scalable spatial join for dynamic workloads,Farhan Tauheed; Thomas Heinis; Anastasia Ailamaki,Abstract Simulations have become ubiquitous in many domains of science. Today scientistsstudy natural phenomena by first building massive three-dimensional spatial models andthen by simulating the models at discrete intervals of time to mimic the behavior of naturalphenomena. One frequently occurring challenge during simulations is the repeatedcomputation of spatial self-joins of the model at each simulation time step. The join isperformed to access a group of neighboring spatial objects (groups of particles; moleculesor cosmological objects) so that scientists can calculate the cumulative effect (likegravitational force) on an object. Computing a self-join even in memory; soon becomes aperformance bottleneck in simulation applications. The problem becomes even worse asscientists continue to improve the precision of simulations by increasing the number as …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,8
Challenges and opportunities in self-managing scientific databases,Thomas Heinis; Miguel Branco; Ioannis Alagiannis; Renata Borovica; Farhan Tauheed; Anastasia Ailamaki,Abstract Advances in observation instruments and abundance of computational power forsimulations encourage scientists to gather and produce unprecedented amounts ofincreasingly complex data. Organizing data automatically to enable efficient andunobstructed access is pivotal for the scientists. Organizing these vast amounts of complexdata; however; is particularly difficult for scientists who have little experience in datamanagement; hence they spend considerable amounts of time dealing with data analysisand computing problems rather than answering scientific questions or developing newhypotheses. Therefore scientific experiments are in many ways ideal targets for research inself-managing database systems. In this paper; we describe challenges and opportunitiesfor research in automating scientific data management. We first discuss the problems …,Data Engineering Bulletin,2011,7
OCTOPUS: Efficient query execution on dynamic mesh datasets,Farhan Tauheed; Thomas Heinis; Felix Schurmann; Henry Markram; Anastasia Ailamaki,Scientists in many disciplines use spatial mesh models to study physical phenomena.Simulating natural phenomena by changing meshes over time helps to better understandthe phenomena. The higher the precision of the mesh models; the more insight do thescientists gain and they thus continuously increase the detail of the meshes and build themas detailed as their instruments and the simulation hardware allow. In the process; the datavolume also increases; slowing down the execution of spatial range queries needed tomonitor the simulation considerably. Indexing speeds up range query execution; but theoverhead to maintain the indexes is considerable because almost the entire mesh changesunpredictably at every simulation step. Using a simple linear scan; on the other hand;requires accessing the entire mesh and the performance deteriorates as the size of the …,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,5
BLOCK: Efficient Execution of Spatial Range Queries in Main-Memory,Matthaios Alexandros Olma; Farhan Tauheed; Thomas Heinis; Anastasia Ailamaki,ABSTRACT The execution of spatial range queries is at the core of many applications;particularly in the simulation sciences but also in many other domains. Although mainmemory in desktop and supercomputers alike has grown considerably in recent years; mostspatial indexes supporting the efficient execution of range queries are still only optimized fordisk access (minimizing disk page reads). Recent research has primarily focused on theoptimization of known disk-based approaches for memory (through cache alignment etc.)but has not fundamentally revisited index structures for memory. In this paper we developBLOCK; a novel approach to execute range queries on spatial data featuring volumetricobjects in main memory. Our approach is built on the key insight that in-memory approachesneed to be optimized to reduce the number of intersection tests (between objects and …,*,2017,4
GIPSY: joining spatial datasets with contrasting density,Mirjana Pavlovic; Farhan Tauheed; Thomas Heinis; Anastasia Ailamakit,Abstract Many scientific and geographical applications rely on the efficient execution ofspatial joins. Past research has produced several efficient spatial join approaches and whileeach of them can join two datasets; the problem of efficiently joining two datasets withcontrasting density; ie; with the same spatial extent but with a wildly different number ofspatial elements; has so far been overlooked. State-of-the-art data-oriented spatial joinapproaches (eg; based on the R-Tree) suffer from degraded performance due to overlap;whereas space-oriented approaches excessively read data from disk. In this paper wedevelop GIPSY; a novel approach for the spatial join of two datasets with contrasting density.GIPSY uses fine-grained data-oriented partitioning and thus only retrieves the data neededfor the join. At the same time it avoids the overlap related problems associated with data …,Proceedings of the 25th International Conference on Scientific and Statistical Database Management,2013,4
Data-driven neuroscience: enabling breakthroughs via innovative data management,Alexandros Stougiannis; Mirjana Pavlovic; Farhan Tauheed; Thomas Heinis; Anastasia Ailamaki,Abstract Scientists in all disciplines increasingly rely on simulations to develop a betterunderstanding of the subject they are studying. For example the neuroscientists wecollaborate with in the Blue Brain project have started to simulate the brain on asupercomputer. The level of detail of their models is unprecedented as they model details onthe subcellular level (eg; the neurotransmitter). This level of detail; however; also leads to atrue data deluge and the neuroscientists have only few tools to efficiently analyze the data.This demonstration showcases three innovative spatial management techniques that havesubstantial impact on computational neuroscience and other disciplines in that they allow tobuild; analyze and simulate bigger and more detailed models. More particularly; wedemonstrate a tool that integrates three spatial data management techniques that have …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,4
