MonetDB/XQuery: a fast XQuery processor powered by a relational engine,Peter Boncz; Torsten Grust; Maurice van Keulen; Stefan Manegold; Jan Rittinger; Jens Teubner,Abstract Relational XQuery systems try to re-use mature relational data managementinfrastructures to create fast and scalable XML database technology. This paper describesthe main features; key contributions; and lessons learned while implementing such asystem. Its architecture consists of (i) a range-based encoding of XML documents intorelational tables;(ii) a compilation technique that translates XQuery into a basic relationalalgebra;(iii) a restricted (order) property-aware peephole relational query optimizationstrategy; and (iv) a mapping from XML update statements into relational updates. Thus; thissystem implements all essential XML database functionalities (rather than a single feature)such that we can learn from the full consequences of our architectural decisions. Whileimplementing this system; we had to extend the state-of-the-art with a number of new …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,360
Staircase join: Teach a relational DBMS to watch its (axis) steps,Torsten Grust; Maurice van Keulen; Jens Teubner,Abstract Relational query processors derive much of their effectiveness from the awarenessof specific table properties like sort order; size; or absence of duplicate tuples. This textapplies (and adapts) this successful principle to database-supported XML and XPathprocessing: the relational system is made tree aware; ie; tree properties like subtree size;intersection of paths; inclusion or disjointness of subtrees are made explicit. We propose alocal change to the database kernel; the staircase join; which encapsulates the necessarytree knowledge needed to improve XPath performance. Staircase join operates on an XMLencoding which makes this knowledge available at the cost of simple integer operations(eg;+;≤). We finally report on quite promising experiments with a staircase join enhancedmain-memory database kernel.,Proceedings of the 29th international conference on Very large data bases-Volume 29,2003,224
Accelerating XPath evaluation in any RDBMS,Torsten Grust; Maurice van Keulen; Jens Teubner,Abstract This article is a proposal for a database index structure; the XPath accelerator; thathas been specifically designed to support the evaluation of XPath path expressions. Assuch; the index is capable to support all XPath axes (including ancestor; following;preceding-sibling; descendant-or-self; etc.). This feature lets the index stand out amongrelated work on XML indexing structures which had a focus on the child and descendantaxes only. The index has been designed with a close eye on the XPath semantics as well asthe desire to engineer its internals so that it can be supported well by existing relationaldatabase query processing technology: the index (a) permits set-oriented (or; rather;sequence-oriented) path evaluation; and (b) can be implemented and queried using well-established relational index structures; notably B-trees and R-trees. We discuss the …,ACM Transactions on Database Systems (TODS),2004,200
A probabilistic XML approach to data integration,Maurice Van Keulen; Ander De Keijzer; Wouter Alink,In mobile and ambient environments; devices need to become autonomous; managing andresolving problems without interference from a user. The database of a (mobile) device canbe seen as its knowledge about objects in the'real world'. Data exchange between smalland/or large computing devices can be used to supplement and update this knowledgewhenever a connection gets established. In many situations; however; data from differentdata sources referring to the same real world objects; may conflict. It is the task of the datamanagement system of the device to resolve such conflicts without interference from a user.In this paper; we take a first step in the development of a probabilistic XML DBMS. The mainidea is to drop the assumption that data in the database should be certain: subtrees in XMLdocuments may denote possible views on the real world. We formally define the notion of …,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,156
Pathfinder: XQuery---the relational way,Peter Boncz; Torsten Grust; Maurice van Keulen; Stefan Manegold; Jan Rittinger; Jens Teubner,Abstract Relational query processors are probably the best understood (as well as the bestengineered) query engines available today. Although carefully tuned to process instances ofthe relational model (tables of tuples); these processors can also provide a foundation forthe evaluation of" alien"(non-relational) query languages: if a relational encoding of the aliendata model and its associated query language is given; the RDBMS may act like a special-purpose processor for the new language.,Proceedings of the 31st international conference on Very large data bases,2005,59
Qualitative effects of knowledge rules and user feedback in probabilistic data integration,Maurice van Keulen; Ander de Keijzer,Abstract In data integration efforts; portal development in particular; much development timeis devoted to entity resolution. Often advanced similarity measurement techniques are usedto remove semantic duplicates or solve other semantic conflicts. It proves impossible;however; to automatically get rid of all semantic problems. An often-used rule of thumbstates that about 90% of the development effort is devoted to semi-automatically resolvingthe remaining 10% hard cases. In an attempt to significantly decrease human effort at dataintegration time; we have proposed an approach that strives for agood enough'initialintegration which stores any remaining semantic uncertainty and conflicts in a probabilisticdatabase. The remaining cases are to be resolved with user feedback during query time.The main contribution of this paper is an experimental investigation of the effects and …,The VLDB Journal,2009,57
Tree awareness for relational DBMS kernels: Staircase join,Torsten Grust; Maurice Van Keulen,Abstract Relational database management systems (RDBMSs) derive much of theirefficiency from the versatility of their core data structure: tables of tuples. Such tables aresimple enough to allow for an efficient representation on all levels of the memory hierarchy;yet sufficiently generic to host a wide range of data types. If one can devise mappings from adata type τ to tables and from operations on τ to relational queries; an RDBMS may be apremier implementation alternative. Temporal intervals; complex nested objects; and spatialdata are sample instances for such types τ.,*,2003,44
Using element clustering to increase the efficiency of xml schema matching,Marko Smiljanic; Maurice van Keulen; Willem Jonker,Schema matching attempts to discover semantic mappings between elements of twoschemas. Elements are cross compared using various heuristics (eg; name; data-type; andstructure similarity). Seen from a broader perspective; the schema matching problem is acombinatorial problem with an exponential complexity. This makes the naive matchingalgorithms for large schemas prohibitively inefficient. In this paper we propose a clusteringbased technique for improving the efficiency of large scale schema matching. The techniqueinserts clustering as an intermediate step into existing schema matching algorithms.Clustering partitions schemas and reduces the overall matching load; and creates apossibility to trade between the efficiency and effectiveness. The technique can be used inaddition to other optimization techniques. In the paper we describe the technique …,Data Engineering Workshops; 2006. Proceedings. 22nd International Conference on,2006,36
ROX: run-time optimization of XQueries,Riham Abdel Kader; Peter Boncz; Stefan Manegold; Maurice van Keulen,Abstract Optimization of complex XQueries combining many XPath steps and joins iscurrently hindered by the absence of good cardinality estimation and cost models forXQuery. Additionally; the state-of-the-art of even relational query optimization still strugglesto cope with cost model estimation errors that increase with plan size; as well as with theeffect of correlated joins and selections. In this research; we propose to radically depart fromthe traditional path of separating the query compilation and query execution phases; byhaving the optimizer execute; materialize partial results; and use sampling based estimationtechniques to observe the characteristics of intermediates. The proposed technique takes asinput a Join Graph where the edges are either equi-joins or XPath steps; and the executionenvironment provides value-and structural-join algorithms; as well as structural and value …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,35
Formalizing the XML schema matching problem as a constraint optimization problem,Marko Smiljanić; Maurice Van Keulen; Willem Jonker,Abstract The first step in finding an efficient way to solve any difficult problem is making acomplete; possibly formal; problem specification. This paper introduces a formalspecification for the problem of semantic XML schema matching. Semantic schemamatching has been extensively researched; and many matching systems have beendeveloped. However; formal specifications of problems being solved by these systems donot exist; or are partial. In this paper; we analyze the problem of semantic schema matching;identify its main components and deliver a formal specification based on the constraintoptimization problem formalism. Throughout the paper; we consider the schema matchingproblem as encountered in the context of a large scale XML schema matching application.,International Conference on Database and Expert Systems Applications,2005,32
Duplicate detection in probabilistic data,Fabian Panse; Maurice Van Keulen; Ander De Keijzer; Norbert Ritter,Collected data often contains uncertainties. Probabilistic databases have been proposed tomanage uncertain data. To combine data from multiple autonomous probabilistic databases;an integration of probabilistic data has to be performed. Until now; however; data integrationapproaches have focused on the integration of certain source data (relational or XML).There is no work on the integration of uncertain source data so far. In this paper; we presenta first step towards a concise consolidation of probabilistic data. We focus on duplicatedetection as a representative and essential step in an integration process. We presenttechniques for identifying multiple probabilistic representations of the same real-worldentities.,Data Engineering Workshops (ICDEW); 2010 IEEE 26th International Conference on,2010,23
