General match: a subsequence matching method in time-series databases based on generalized windows,Yang-Sae Moon; Kyu-Young Whang; Wook-Shin Han,Abstract We generalize the method of constructing windows in subsequence matching. Bythis generalization; we can explain earlier subsequence matching methods as special casesof a common framework. Based on the generalization; we propose a new subsequencematching method; General Match. The earlier work by Faloutsos et al.(called FRM forconvenience) causes a lot of false alarms due to lack of point-filtering effect. Dual Match;recently proposed as a dual approach of FRM; improves performance significantly over FRMby exploiting point filtering effect. However; it has the problem of having a smaller allowablewindow size---half that of FRM---given the minimum query length. A smaller windowincreases false alarms due to window size effect. General Match offers advantages of bothmethods: it can reduce window size effect by using large windows like FRM and; at the …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,207
TurboGraph: a fast parallel graph engine handling billion-scale graphs in a single PC,Wook-Shin Han; Sangyeon Lee; Kyungyeol Park; Jeong-Hoon Lee; Min-Soo Kim; Jinha Kim; Hwanjo Yu,Abstract Graphs are used to model many real objects such as social networks and webgraphs. Many real applications in various fields require efficient and effective managementof large-scale graph structured data. Although distributed graph engines such as GBase andPregel handle billion-scale graphs; the user needs to be skilled at managing and tuning adistributed system in a cluster; which is a nontrivial job for the ordinary user. Furthermore;these distributed systems need many machines in a cluster in order to provide reasonableperformance. In order to address this problem; a disk-based parallel graph engine calledGraph-Chi; has been recently proposed. Although Graph-Chi significantly outperforms allrepresentative (disk-based) distributed graph engines; we observe that Graph-Chi still hasserious performance problems for many important types of graph queries due to 1) limited …,Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining,2013,137
Inverted index storage structure using subindexes and large objects for tight coupling of information retrieval with database management systems,*,This invention relates to an inverted index storage structure that indexes keyword inputs intothe storage space for the corresponding posting lists. In particular; the invention relates tothe index structure that enables fast retrieval of the posting of the specific document from theposting list and enables efficient arrangement and maintenance of the posting list indocument identifier (docID) order; so that fast addition; deletion; modification; and retrieval ofdocuments are possible in environments where a database management system is tightlycoupled with information retrieval. The technical solution is to store the posting list in a largeobject and map to each posting list a subindex that indexes the docID into the postingscontaining the docID.,*,2002,134
An in-depth comparison of subgraph isomorphism algorithms in graph databases,Jinsoo Lee; Wook-Shin Han; Romans Kasperovics; Jeong-Hoon Lee,Abstract Finding subgraph isomorphisms is an important problem in many applicationswhich deal with data modeled as graphs. While this problem is NP-hard; in recent years;many algorithms have been proposed to solve it in a reasonable time for real datasets usingdifferent join orders; pruning rules; and auxiliary neighborhood information. However; sincethey have not been empirically compared one another in most research work; it is not clearwhether the later work outperforms the earlier work. Another problem is that reportedcomparisons were often done using the original authors' binaries which were written indifferent programming environments. In this paper; we address these serious problems by re-implementing five state-of-the-art subgraph isomorphism algorithms in a common code baseand by comparing them using many real-world datasets and their query loads. Through …,Proceedings of the VLDB Endowment,2012,131
Turbo iso: towards ultrafast and robust subgraph isomorphism search in large graph databases,Wook-Shin Han; Jinsoo Lee; Jeong-Hoon Lee,Abstract Given a query graph q and a data graph g; the subgraph isomorphism search findsall occurrences of q in g and is considered one of the most fundamental query types formany real applications. While this problem belongs to NP-hard; many algorithms have beenproposed to solve it in a reasonable time for real datasets. However; a recent study hasshown; through an extensive benchmark with various real datasets; that all existingalgorithms have serious problems in their matching order selection. Furthermore; allalgorithms blindly permutate all possible mappings for query vertices; often leading touseless computations. In this paper; we present an efficient and robust subgraph searchsolution; called Turbo ISO; which is turbo-charged with two novel concepts; candidate regionexploration and the combine and permute strategy (in short; Comb/Perm). The candidate …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,98
Ranked subsequence matching in time-series databases,Wook-Shin Han; Jinsoo Lee; Yang-Sae Moon; Haifeng Jiang,Abstract Existing work on similar sequence matching has focused on either whole matchingor range subsequence matching. In this paper; we present novel methods for rankedsubsequence matching under time warping; which finds top-k subsequences most similar toa query sequence from data sequences. To the best of our knowledge; this is the first andmost sophisticated subsequence matching solution mentioned in the literature. Specifically;we first provide a new notion of the minimum-distance matching-window pair (MDMWP) andformally define the mdmwp-distance; a lower bound between a data subsequence and aquery sequence. The mdmwp-distance can be computed prior to accessing the actualsubsequence. Based on the mdmwp-distance; we then develop a ranked subsequencematching algorithm to prune unnecessary subsequence accesses. Next; to reduce …,Proceedings of the 33rd international conference on Very large data bases,2007,88
iGraph: a framework for comparisons of disk-based graph indexing techniques,Wook-Shin Han; Jinsoo Lee; Minh-Duc Pham; Jeffrey Xu Yu,Abstract Graphs are of growing importance in modeling complex structures such aschemical compounds; proteins; images; and program dependence. Given a query graph Q;the subgraph isomorphism problem is to find a set of graphs containing Q from a graphdatabase; which is NP-complete. Recently; there have been a lot of research efforts to solvethe subgraph isomorphism problem for a large graph database by utilizing graph indexes.By using a graph index as a filter; we prune graphs that are not real answers at aninexpensive cost. Then; we need to use expensive subgraph isomorphism tests to verifyfiltered candidates only. This way; the number of disk I/Os and subgraph isomorphism testscan be significantly minimized. The current practice for experiments in graph indexingtechniques is that the author of a newly proposed technique does not implement existing …,Proceedings of the VLDB Endowment,2010,78
Mapping-driven XML transformation,Haifeng Jiang; Howard Ho; Lucian Popa; Wook-Shin Han,Abstract Clio is an existing schema-mapping tool that provides user-friendly means tomanage and facilitate the complex task of transformation and integration of heterogeneousdata such as XML over the Web or in XML databases. By means of mappings from source totarget schemas; Clio can help users conveniently establish the precise semantics of datatransformation and integration. In this paper we study the problem of how to efficientlyimplement such data transformation (ie; generating target data from the source data basedon schema mappings). We present a three-phase framework for high-performance XML-to-XML transformation based on schema mappings; and discuss methodologies andalgorithms for implementing these phases. In particular; we elaborate on novel techniquessuch as streamed extraction of mapped source values and scalable disk-based merging …,Proceedings of the 16th international conference on World Wide Web,2007,47
Parallelizing query optimization,Wook-Shin Han; Wooseong Kwak; Jinsoo Lee; Guy M Lohman; Volker Markl,Abstract Many commercial RDBMSs employ cost-based query optimization exploitingdynamic programming (DP) to efficiently generate the optimal query execution plan.However; optimization time increases rapidly for queries joining more than 10 tables.Randomized or heuristic search algorithms reduce query optimization time for large joinqueries by considering fewer plans; sacrificing plan optimality. Though commercial systemsexecuting query plans in parallel have existed for over a decade; the optimization of suchplans still occurs serially. While modern microprocessors employ multiple cores toaccelerate computations; parallelizing query optimization to exploit multi-core parallelism isnot as straightforward as it may seem. The DP used in join enumeration belongs to thechallenging nonserial polyadic DP class because of its non-uniform data dependencies …,Proceedings of the VLDB Endowment,2008,46
Odysseus: a high-performance ORDBMS tightly-coupled with IR features,Kyu-Young Whang; Min-Jae Lee; Jae-Gil Lee; Min-Soo Kim; Wook-Shin Han,We propose the notion of tight-coupling [K. Whang et al.;(1999)] to add new data types intothe DBMS engine. In this paper; we introduce the Odysseus ORDBMS and present its tightly-coupled IR features (US patented). We demonstrate a Web search engine capable ofmanaging 20 million Web pages in a non-parallel configuration using Odysseus.,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,41
