An introduction to duplicate detection,Felix Naumann; Melanie Herschel,Abstract With the ever increasing volume of data; data quality problems abound. Multiple; yetdifferent representations of the same real-world objects in data; duplicates; are one of themost intriguing data quality problems. The effects of such duplicates are detrimental; forinstance; bank customers can obtain duplicate identities; inventory levels are monitoredincorrectly; catalogs are mailed multiple times to the same household; etc. Automaticallydetecting duplicates is difficult: First; duplicate representations are usually not identical butslightly differ in their values. Second; in principle all pairs of records should be compared;which is infeasible for large volumes of data. This lecture examines closely the two maincomponents to overcome these difficulties:(i) Similarity measures are used to automaticallyidentify duplicates when comparing two records. Well-chosen similarity measures …,Synthesis Lectures on Data Management,2010,221
DogmatiX tracks down duplicates in XML,Melanie Weis; Felix Naumann,Abstract Duplicate detection is the problem of detecting different entries in a data sourcerepresenting the same real-world entity. While research abounds in the realm of duplicatedetection in relational data; there is yet little work for duplicates in other; more complex datamodels; such as XML. In this paper; we present a generalized framework for duplicatedetection; dividing the problem into three components: candidate definition defining whichobjects are to be compared; duplicate definition defining when two duplicate candidates arein fact duplicates; and duplicate detection specifying how to efficiently find those duplicates.Using this framework; we propose an XML duplicate detection method; DogmatiX; whichcompares XML elements based not only on their direct data values; but also on the similarityof their parents; children; structure; etc. We propose heuristics to determine which of these …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,179
Data fusion in three steps: Resolving schema; tuple; and value inconsistencies,Felix Naumann; Alexander Bilke; Jens Bleiholder; Melanie Weis,Abstract Heterogeneous and dirty data is abundant. It is stored under different; often opaqueschemata; it represents identical real-world objects multiple times; causing duplicates; and ithas missing values and conflicting values. Without suitable techniques for integrating andfusing such data; the data quality of an integrated system remains low. We present a suite ofmethods; combined in a single tool; that allows ad-hoc; declarative fusion of such data byemploying schema matching; duplicate detection and data fusion. Guided by a SQL-likequery against one or more tables; we proceed in three fully automated steps: First; instance-based schema matching bridges schematic heterogeneity of the tables by aligningcorresponding attributes. Next; duplicate detection techniques find multiple representationsof identical real-world objects. Finally; data fusion and conflict resolution merges each …,IEEE Data Eng. Bull,2006,103
Detecting duplicate objects in XML documents,Melanie Weis; Felix Naumann,Abstract The problem of detecting duplicate entities that describe the same real-world object(and purging them) is an important data cleansing task; necessary to improve data quality.For data stored in a flat relation; numerous solutions to this problem exist. As XML becomesincreasingly popular for data representation; algorithms to detect duplicates in nested XMLdocuments are required. In this paper; we present a domain-independent algorithm thateffectively identifies duplicates in an XML document. The solution adopts a top-downtraversal of the XML tree structure to identify duplicate elements on each level. Pairs ofduplicate elements are detected using a thresholded similarity function; and are thenclustered by computing the transitive closure. To minimize the number of pairwise elementcomparisons; an appropriate filter function is used. The similarity measure involves string …,Proceedings of the 2004 international workshop on Information quality in information systems,2004,96
Explaining missing answers to SPJUA queries,Melanie Herschel; Mauricio A Hernández,Abstract This paper addresses the problem of explaining missing answers in queries thatinclude selection; projection; join; union; aggregation and grouping (SPJUA). Explainingmissing answers of queries is useful in various scenarios; including query understandingand debugging. We present a general framework for the generation of these explanationsbased on source data. We describe the algorithms used to generate a correct; finite; and;when possible; minimal set of explanations. These algorithms are part of Artemis; a systemthat assists query developers in analyzing queries by; for instance; allowing them to ask whycertain tuples are not in the query results. Experimental results demonstrate that Artemisgenerates explanations of missing tuples at a pace that allows developers to effectively usethem for query analysis.,Proceedings of the VLDB Endowment,2010,86
XStruct: efficient schema extraction from multiple and large XML documents,Jan Hegewald; Felix Naumann; Melanie Weis,XML is the de facto standard format for data exchange on the Web. While it is fairly simple togenerate XML data; it is a complex task to design a schema and then guarantee that thegenerated data is valid according to that schema. As a consequence much XML data doesnot have a schema or is not accompanied by its schema. In order to gain the benefits ofhaving a schema-efficient querying and storage of XML data; semantic verification; dataintegration; etc.-this schema must be extracted. In this paper we present an automatictechnique; XStruct; for XML Schema extraction. Based on ideas of [5]; XStruct extracts aschema for XML data by applying several heuristics to deduce regular expressions that are1-unambiguous and describe each element's contents correctly but generalized to areasonable degree. Our approach features several advantages over known techniques …,Data Engineering Workshops; 2006. Proceedings. 22nd International Conference on,2006,81
Automatic data fusion with HumMer,Alexander Bilke; Jens Bleiholder; Felix Naumann; Christoph Böhm; Karsten Draba; Melanie Weis,Abstract Heterogeneous and dirty data is abundant. It is stored under different; often opaqueschemata; it represents identical real-world objects multiple times; causing duplicates; and ithas missing values and conflicting values. The Humboldt Merger (HumMer) is a tool thatallows ad-hoc; declarative fusion of such data using a simple extension to SQL. Guided by aquery against multiple tables; HumMer proceeds in three fully automated steps: First;instance-based schema matching bridges schematic heterogeneity of the tables by aligningcorresponding attributes. Next; duplicate detection techniques find multiple representationsof identical real-world objects. Finally; data fusion and conflict resolution merges duplicatesinto a single; consistent; and clean representation.,Proceedings of the 31st international conference on Very large data bases,2005,72
Structure-based inference of XML similarity for fuzzy duplicate detection,Luís Leitão; Pável Calado; Melanie Weis,Abstract Fuzzy duplicate detection aims at identifying multiple representations of real-worldobjects stored in a data source; and is a task of critical practical relevance in data cleaning;data mining; or data integration. It has a long history for relational data stored in a singletable (or in multiple tables with equal schema). Algorithms for fuzzy duplicate detection inmore complex structures; eg; hierarchies of a data warehouse; XML data; or graph datahave only recently emerged. These algorithms use similarity measures that consider theduplicate status of their direct neighbors; eg; children in hierarchical data; to improveduplicate detection effectiveness. In this paper; we propose a novel method for fuzzyduplicate detection in hierarchical and semi-structured XML data. Unlike previousapproaches; it not only considers the duplicate status of children; but rather the probability …,Proceedings of the sixteenth ACM conference on Conference on information and knowledge management,2007,60
Industry-scale duplicate detection,Melanie Weis; Felix Naumann; Ulrich Jehle; Jens Lufter; Holger Schuster,Abstract Duplicate detection is the process of identifying multiple representations of a samereal-world object in a data source. Duplicate detection is a problem of critical importance inmany applications; including customer relationship management; personal informationmanagement; or data mining. In this paper; we present how a research prototype; namelyDogmatiX; which was designed to detect duplicates in hierarchical XML data; wassuccessfully extended and applied on a large scale industrial relational database incooperation with Schufa Holding AG. Schufa's main business line is to store and retrievecredit histories of over 60 million individuals. Here; correctly identifying duplicates is criticalboth for individuals and companies: On the one hand; an incorrectly identified duplicatepotentially results in a false negative credit history for an individual; who will then not be …,Proceedings of the VLDB Endowment,2008,56
XML duplicate detection using sorted neighborhoods,Sven Puhlmann; Melanie Weis; Felix Naumann,Abstract Detecting duplicates is a problem with a long tradition in many domains; such ascustomer relationship management and data warehousing. The problem is twofold: Firstdefine a suitable similarity measure; and second efficiently apply the measure to all pairs ofobjects. With the advent and pervasion of the XML data model; it is necessary to find newsimilarity measures and to develop efficient methods to detect duplicate elements in nestedXML data. A classical approach to duplicate detection in flat relational data is the sortedneighborhood method; which draws its efficiency from sliding a window over the relation andcomparing only tuples within that window. We extend the algorithm to cover not only a singlerelation but nested XML elements. To compare objects we make use of XML parent andchild relationships. For efficiency; we apply the windowing technique in a bottom-up …,International Conference on Extending Database Technology,2006,53
Artemis: A system for analyzing missing answers,Melanie Herschel; Mauricio A Hernández; Wang-Chiew Tan,Abstract A central feature of relational database management systems is the ability to definemultiple different views over an underlying database schema. Views provide a method ofdefining access control to the underlying database; since a view exposes a part of thedatabase and hides the rest. Views also provide logical data independence to applicationprograms that access the database. For most cases; the process of specifying the desiredviews in SQL is typically tedious and error-prone. While numerous tools exist to supportdevelopers in debugging program code; we are not aware of any tool that supportsdevelopers in verifying the correctness of their views defined in SQL.,Proceedings of the VLDB Endowment,2009,46
Query-Based Why-Not Provenance with NedExplain,Nicole Bidoit; Melanie Herschel; Katerina Tzompanaki,With the increasing amount of available data and transformations manipulating the data; ithas become essential to analyze and debug data transformations. A sub-problem of datatransformation analysis is to understand why some data are not part of the result of arelational query. One possibility to explain the lack of data in a query result is to identifywhere in the query we lost data pertinent to the expected outcome. A first approach to this socalled why-not provenance has been recently proposed; but we show that this first approachhas some shortcomings. To overcome these shortcomings; we propose\ned; an algorithm toexplain data missing from a query result. NedExplain computes the why-not provenance formonotone relational queries with aggregation. After providing necessary definitions; thispaper contributes a detailed description of the algorithm. A comparative evaluation shows …,Extending Database Technology (EDBT),2014,39
A duplicate detection benchmark for XML (and relational) data,Melanie Weis; Felix Naumann; Franziska Brosy,Abstract Duplicate detection; which is an important subtask of data cleaning; is the task ofidentifying multiple representations of a same real-world object. Numerous approaches bothfor relational and XML data exist. Their goals are either on improving the quality of thedetected duplicates (effectiveness) or on saving computation time (efficiency). In particularfor the first goal; the “goodness” of an approach is usually evaluated based on experimentalstudies. Although some methods and data sets have gained popularity; it is still difficult tocompare different approaches or to assess the quality of one own's approach. This difficultyof comparison is mainly due to lack of documentation of algorithms and the data; softwareand hardware used and/or limited resources not allowing to rebuild systems described byothers. In this paper; we propose a benchmark for duplicate detection; specialized to XML …,Proc. of Workshop on Information Quality for Information Systems (IQIS),2006,39
Detecting duplicates in complex XML data,Melanie Weis; Felix Naumann,Recent work both in the relational and the XML world have shown that the efficacy andefficiency of duplicate detection is enhanced by regarding relationships between entities.However; most approaches for XML data rely on 1: n parent/child relationships; and do notapply to XML data that represents m: n relationships. We present a novel comparisonstrategy; which performs duplicate detection effectively for all kinds of parent/childrelationships; given dependencies between different XML elements. Due to cyclicdependencies; it is possible that a pairwise classification is performed more than once;which compromises efficiency. We propose an order that reduces the number of suchreclassifications and apply it to two algorithms. The first algorithm performs reclassifications;and efficiency is increased by using the order reducing the number of reclassifications …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,36
Efficient and Effective Duplicate Detection in Hierarchical Data,Luis Leitão; Pável Calado; Melanie Herschel,Although there is a long line of work on identifying duplicates in relational data; only a fewsolutions focus on duplicate detection in more complex hierarchical structures; like XMLdata. In this paper; we present a novel method for XML duplicate detection; called XMLDup.XMLDup uses a Bayesian network to determine the probability of two XML elements beingduplicates; considering not only the information within the elements; but also the way thatinformation is structured. In addition; to improve the efficiency of the network evaluation; anovel pruning strategy; capable of significant gains over the unoptimized version of thealgorithm; is presented. Through experiments; we show that our algorithm is able to achievehigh precision and recall scores in several data sets. XMLDup is also able to outperformanother state-of-the-art duplicate detection solution; both in terms of efficiency and of …,IEEE Transaction On Knowledge and Data Engineering,2013,33
Efficient and Effective Duplicate Detection in Hierarchical Data,Melanie Herschel; Pável Calado; Luís Leitão,*,IEEE Transactions on Knowledge and Data Engineering,2012,31
Scalable Iterative Graph Duplicate Detection,Melanie Herschel; Felix Naumann; Sascha Szott; Maik Taubert,Duplicate detection determines different representations of real-world objects in a database.Recent research has considered the use of relationships among object representations toimprove duplicate detection. In the general case where relationships form a graph; researchhas mainly focused on duplicate detection quality/effectiveness. Scalability has beenneglected so far; even though it is crucial for large real-world duplicate detection tasks. Wescale-up duplicate detection in graph data (DDG) to large amounts of data and pairwisecomparisons; using the support of a relational database management system. To this end;we first present a framework that generalizes the DDG process. We then present algorithmsto scale DDG in space (amount of data processed with bounded main memory) and in time.Finally; we extend our framework to allow batched and parallel DDG; thus further …,Knowledge and Data Engineering; IEEE Transactions on,2011,31
Subsumption and complementation as data fusion operators,Jens Bleiholder; Sascha Szott; Melanie Herschel; Frank Kaufer; Felix Naumann,Abstract The goal of data fusion is to combine several representations of one real worldobject into a single; consistent representation; eg; in data integration. A very popularoperator to perform data fusion is the minimum union operator. It is defined as the outerunion and the subsequent removal of subsumed tuples. Minimum union is used in otherapplications as well; for instance in database query optimization to rewrite outer join queries;in the semantic web community in implementing Sparql's optional operator; etc. Despite itswide applicability; there are only few efficient implementations; and until now; minimumunion is not a relational database primitive. This paper fills this gap as we presentimplementations of subsumption that serve as a building block for minimum union.Furthermore; we consider this operator as database primitive and show how to perform …,Proceedings of the 13th International Conference on Extending Database Technology,2010,25
Declarative XML data cleaning with XClean,Melanie Weis; Ioana Manolescu,Abstract Data cleaning is the process of correcting anomalies in a data source; that may forinstance be due to typographical errors; or duplicate representations of an entity. It is acrucial task in customer relationship management; data mining; and data integration. Withthe growing amount of XML data; approaches to effectively and efficiently clean XML areneeded; an issue not addressed by existing data cleaning systems that mostly specialize onrelational data. We present XClean; a data cleaning framework specifically geared towardscleaning XML data. XClean's approach is based on a set of cleaning operators; whosesemantics is well-defined in terms of XML algebraic operators. Users may specify cleaningprograms by combining operators by means of a declarative XClean/PL program; which isthen compiled into XQuery. We describe XClean's operators; language; and compilation …,Proceedings of the 19th international conference on Advanced information systems engineering,2007,25
Wondering why data are missing from query results?: ask conseil why-not,Melanie Herschel,Abstract In analyzing and debugging data transformations; or more specifically relationalqueries; a subproblem is to understand why some data are not part of the query result. Thisproblem has recently been addressed from different perspectives for various fragments ofrelational queries. The different perspectives yield different; yet complementary explanationsof such missing-answers. This paper first aims at unifying the different approaches bydefining a new type of explanation; called hybrid explanation; that encompasses the varietyof previously defined types of explanations. This solution goes beyond simply forming theunion of explanations produced by different algorithms and is shown to be able to explain alarger set of missing-answers. Second; we present Conseil; an algorithm to generate hybridexplanations. Conseil is also the first algorithm to handle non-monotonic queries …,Proceedings of the 22nd ACM international conference on Information & Knowledge Management,2013,21
Scaling up duplicate detection in graph data,Melanie Herschel; Felix Naumann,Abstract Duplicate detection determines different representations of real-world objects in adatabase. Recent research has considered the use of relationships among objectrepresentations to improve duplicate detection. In the general case where relationships forma graph; research has mainly focused on duplicate detection quality/effectiveness.Scalability has been neglected so far; even though it is crucial for large real-world duplicatedetection tasks. We scale up duplicate detection in graph data (DDG) to large amounts ofdata using the support of a relational database system. We first generalize the process ofDDG and then present how to scale DDG in space (amount of data processed with limitedmain memory) and in time. Finally; we explore how complex similarity computation can beperformed efficiently. Experiments on data an order of magnitude larger than data …,Proceedings of the 17th ACM conference on Information and knowledge management,2008,16
EFQ: Why-not answer polynomials in action,Nicole Bidoit; Melanie Herschel; Katerina Tzompanaki,Abstract One important issue in modern database applications is supporting the user withefficient tools to debug and fix queries because such tasks are both time and skilldemanding. One particular problem is known as Why-Not question and focusses on thereasons for missing tuples from query results. The EFQ platform demonstrated here hasbeen designed in this context to efficiently leverage Why-Not Answers polynomials; a novelapproach that provides the user with complete explanations to Why-Not questions andallows for automatic; relevant query refinements.,Proceedings of the VLDB Endowment,2015,15
