Comparative epidemiology of human infections with avian influenza A H7N9 and H5N1 viruses in China: a population-based study of laboratory-confirmed cases,Benjamin J Cowling; Lianmei Jin; Eric HY Lau; Qiaohong Liao; Peng Wu; Hui Jiang; Tim K Tsang; Jiandong Zheng; Vicky J Fang; Zhaorui Chang; Michael Y Ni; Qian Zhang; Dennis KM Ip; Jianxing Yu; Yu Li; Liping Wang; Wenxiao Tu; Ling Meng; Joseph T Wu; Huiming Luo; Qun Li; Yuelong Shu; Zhongjie Li; Zijian Feng; Weizhong Yang; Yu Wang; Gabriel M Leung; Hongjie Yu,Summary Background The novel influenza A H7N9 virus emerged recently in mainlandChina; whereas the influenza A H5N1 virus has infected people in China since 2003. Bothinfections are thought to be mainly zoonotic. We aimed to compare the epidemiologicalcharacteristics of the complete series of laboratory-confirmed cases of both viruses inmainland China so far. Methods An integrated database was constructed with informationabout demographic; epidemiological; and clinical variables of laboratory-confirmed cases ofH7N9 (130 patients) and H5N1 (43 patients) that were reported to the Chinese Centre forDisease Control and Prevention until May 24; 2013. We described disease occurrence byage; sex; and geography; and estimated key epidemiological variables. We used survivalanalysis techniques to estimate the following distributions: infection to onset; onset to …,The Lancet,2013,261
Effect of closure of live poultry markets on poultry-to-person transmission of avian influenza A H7N9 virus: an ecological study,Hongjie Yu; Joseph T Wu; Benjamin J Cowling; Qiaohong Liao; Vicky J Fang; Sheng Zhou; Peng Wu; Hang Zhou; Eric HY Lau; Danhuai Guo; Michael Y Ni; Zhibin Peng; Luzhao Feng; Hui Jiang; Huiming Luo; Qun Li; Zijian Feng; Yu Wang; Weizhong Yang; Gabriel M Leung,Summary Background Transmission of the novel avian influenza A H7N9 virus seems to bepredominantly between poultry and people. In the major Chinese cities of Shanghai;Hangzhou; Huzhou; and Nanjing—where most human cases of infection have occurred—live poultry markets (LPMs) were closed in April; 2013; soon after the initial outbreak; as aprecautionary public health measure. Our objective was to quantify the effect of LPM closurein these cities on poultry-to-person transmission of avian influenza A H7N9 virus. MethodsWe obtained information about every laboratory-confirmed human case of avian influenza AH7N9 virus infection reported in the four cities by June 7; 2013; from a database built by theChinese Center for Disease Control and Prevention. We used data for age; sex; location;residence type (rural or urban area); and dates of illness onset. We obtained information …,The Lancet,2014,211
Human infection with avian influenza A H7N9 virus: an assessment of clinical severity,Hongjie Yu; Benjamin J Cowling; Luzhao Feng; Eric HY Lau; Qiaohong Liao; Tim K Tsang; Zhibin Peng; Peng Wu; Fengfeng Liu; Vicky J Fang; Honglong Zhang; Ming Li; Lingjia Zeng; Zhen Xu; Zhongjie Li; Huiming Luo; Qun Li; Zijian Feng; Bin Cao; Weizhong Yang; Joseph T Wu; Yu Wang; Gabriel M Leung,Summary Background Characterisation of the severity profile of human infections withinfluenza viruses of animal origin is a part of pandemic risk assessment; and an importantpart of the assessment of disease epidemiology. Our objective was to assess the clinicalseverity of human infections with avian influenza A H7N9 virus; which emerged in China inearly 2013. Methods We obtained information about laboratory-confirmed cases of avianinfluenza A H7N9 virus infection reported as of May 28; 2013; from an integrated databasebuilt by the Chinese Center for Disease Control and Prevention. We estimated the risk offatality; mechanical ventilation; and admission to the intensive care unit for patients whorequired hospital admission for medical reasons. We also used information about laboratory-confirmed cases detected through sentinel influenza-like illness surveillance to estimate …,The Lancet,2013,201
Viral shedding and clinical illness in naturally acquired influenza virus infections,Lincoln LH Lau; Benjamin J Cowling; Vicky J Fang; Kwok-Hung Chan; Eric HY Lau; Marc Lipsitch; Calvin KY Cheng; Peter M Houck; Timothy M Uyeki; JS Malik Peiris; Gabriel M Leung,Abstract Background. Volunteer challenge studies have provided detailed data on viralshedding from the respiratory tract before and through the course of experimental influenzavirus infection. There are no comparable quantitative data to our knowledge on naturallyacquired infections. Methods. In a community-based study in Hong Kong in 2008; wefollowed up initially healthy individuals to quantify trends in viral shedding on the basis ofcultures and reverse-transcription polymerase chain reaction (RT-PCR) through the courseof illness associated with seasonal influenza A and B virus infection. Results. Trends insymptom scores more closely matched changes in molecular viral loads measured with RT-PCR for influenza A than for influenza B. For influenza A virus infections; the replicating viralloads determined with cultures decreased to undetectable levels earlier after illness onset …,The Journal of infectious diseases,2010,183
School closure and mitigation of pandemic (H1N1) 2009; Hong Kong,Joseph T Wu; Benjamin J Cowling; Eric HY Lau; Dennis KM Ip; Lai-Ming Ho; Thomas Tsang; Shuk-Kwan Chuang; Pak-Yin Leung; Su-Vui Lo; Shao-Haei Liu; Steven Riley,Abstract In Hong Kong; kindergartens and primary schools were closed when localtransmission of pandemic (H1N1) 2009 was identified. Secondary schools closed forsummer vacation shortly afterwards. By fitting a model of reporting and transmission to casedata; we estimated that transmission was reduced≈ 25% when secondary schools closed.,Emerging infectious diseases,2010,161
Effects of school closures; 2008 winter influenza season; Hong Kong,Benjamin J Cowling; Eric HY Lau; Conrad LH Lam; Calvin KY Cheng; Jana Kovar; Kwok Hung Chan; JS Malik Peiris; Gabriel M Leung,Abstract In winter 2008; kindergartens and primary schools in Hong Kong were closed for 2weeks after media coverage indicated that 3 children had died; apparently from influenza.We examined prospective influenza surveillance data before; during; and after the closure.We did not find a substantial effect on community transmission.,Emerging infectious diseases,2008,98
Vancomycin MIC creep in MRSA isolates from 1997 to 2008 in a healthcare region in Hong Kong,Pak-Leung Ho; Pui-Ying Lo; Kin-Hung Chow; Eric HY Lau; Eileen L Lai; Vincent CC Cheng; Richard Y Kao,Summary Objectives To assess whether vancomycin MIC creeps among blood methicillin-resistant Staphylococcus aureus (MRSA) isolates recovered from 5 hospitals in Hong Kongfrom 1997 to 2008. Methods Blood cultures MRSA isolates from 1997 to 1999 (period 1);2004 (period 2) and 2006–2008 (period 3) were retrieved. Etest method was used todetermine their vancomycin MIC. The genotypic features were determined by PCR andsequencing. Results 247 blood MRSA isolates were studied. The vancomycin MIC were0.375; 0.5; 0.75 and 1 mg/L for 15 (6.1%); 68 (27.5%); 89 (36%) and 75 (30.4%) isolates;respectively. There was an increase in the percentage of isolates with an MIC= 1mg/L from10.4%(5/48) during period 1 to 21.6%(8/37) during period 2 and 38.3%(62/162) duringperiod 3 (period 1 vs. period 3; P< 0.001). Molecular typing showed that this was due to …,Journal of Infection,2010,78
Synchrony of clinical and laboratory surveillance for influenza in Hong Kong,Lin Yang; Chit Ming Wong; Eric HY Lau; King Pan Chan; Chun Quan Ou; Joseph SM Peiris,Background Consultation rates of influenza-like illness (ILI) in an outpatient setting havebeen regarded as a good indicator of influenza virus activity in the community. As ILI-likesymptoms may be caused by etiologies other than influenza; and influenza virus activity inthe tropics and subtropics is less predictable than in temperate regions; the correlationbetween of ILI and influenza virus activity in tropical and subtropical regions is less welldefined. Methodology and Principal Findings In this study; we used wavelet analysis toinvestigate the relationship between seasonality of influenza virus activity and consultationrates of ILI reported separately by General Out-patient Clinics (GOPC) and GeneralPractitioners (GP). During the periods 1998–2000 and 2002–2003; influenza virus activityexhibited both annual and semiannual cycles; with one peak in the winter and another in …,PloS one,2008,78
Effect of interventions on influenza A (H9N2) isolation in Hong Kong’s live poultry markets; 1999–2005,E Lau,Abstract Live poultry markets (LPMs) are a recognized source of influenza viruses. Since2001 and 2003; respectively; a first and second monthly “rest-day” has been implemented inHong Kong's LPMs; when stalls are cleared of unsold poultry and disinfected. We assessedthe incremental effectiveness of each rest-day and the banning of live quail sales in 2002 inreducing (H9N2) subtype isolation rates for chickens and minor poultry; by using amultivariable Poisson generalized linear model. There was a 58% reduction (p= 0.001) invirus isolation after 1 monthly rest-day in minor poultry compared with 27%(p= 0.22) inchickens. Combining 1 rest-day with the removal of quails further reduced virus isolation inchickens but not in minor poultry. However; an additional rest-day each month did notappear to affect isolation rates for either species.,*,2007,68
Sequential introduction of single room isolation and hand hygiene campaign in the control of methicillin-resistant Staphylococcus aureus in intensive care unit,Vincent CC Cheng; Josepha WM Tai; WM Chan; Eric HY Lau; Jasper FW Chan; Kelvin KW To; Iris WS Li; PL Ho; KY Yuen,After renovation of the adult intensive care unit (ICU) with installation of ten single rooms; anenhanced infection control program was conducted to control the spread of methicillin-resistant Staphylococcus aureus (MRSA) in our hospital. Since the ICU renovation; allpatients colonized or infected with MRSA were nursed in single rooms with contactprecautions. The incidence of MRSA infection in the ICU was monitored during 3 differentphases: the baseline period (phase 1); after ICU renovation (phase 2) and afterimplementation of a hand hygiene campaign with alcohol-based hand rub (phase 3).Patients infected with extended spectrum beta-lactamase (ESBL)-producing Escherichia coliand Klebsiella species were chosen as controls because they were managed in opencubicles with standard precautions. Without a major change in bed occupancy rate …,BMC infectious diseases,2010,60
