A brief survey of web data extraction tools,Alberto HF Laender; Berthier A Ribeiro-Neto; Altigran S Da Silva; Juliana S Teixeira,Abstract In the last few years; several works in the literature have addressed the problem ofdata extraction from Web pages. The importance of this problem derives from the fact that;once extracted; the data can be handled in a way similar to instances of a traditionaldatabase. The approaches proposed in the literature to address the problem of Web dataextraction use techniques borrowed from areas such as natural language processing;languages and grammars; machine learning; information retrieval; databases; andontologies. As a consequence; they present very distinct features and capabilities whichmake a direct comparison difficult to be done. In this paper; we propose a taxonomy forcharacterizing Web data extraction fools; briefly survey major Web data extraction toolsdescribed in the literature; and provide a qualitative analysis of them. Hopefully; this work …,ACM Sigmod Record,2002,940
Automatic web news extraction using tree edit distance,Davi de Castro Reis; Paulo Braz Golgher; Altigran Soares Silva; AlbertoF Laender,Abstract The Web poses itself as the largest data repository ever available in the history ofhumankind. Major efforts have been made in order to provide efficient access to relevantinformation within this huge repository of data. Although several techniques have beendeveloped to the problem of Web data extraction; their use is still not spread; mostlybecause of the need for high human intervention and the low quality of the extraction results.In this paper; we present a domain-oriented approach to Web data extraction and discuss itsapplication to automatically extracting news from Web sites. Our approach is based on ahighly efficient tree structure analysis that produces very effective results. We have testedour approach with several important Brazilian on-line news sites and achieved very preciseresults; correctly extracting 87.71% of the news in a set of 4088 pages distributed among …,Proceedings of the 13th international conference on World Wide Web,2004,414
DEByE–data extraction by example,Alberto HF Laender; Berthier Ribeiro-Neto; Altigran S Da Silva,Abstract In this paper we present DEByE (Data Extraction By Example); an approach toextracting data from Web sources; based on a small set of examples specified by the user.The novelty is in the fact that the user specifies examples according to a structure of hisliking and that this structure is described at example specification time. For the specificationof the examples; the user interacts with a tool we developed which adopts nested tables asits visual paradigm. Nested tables are simple; intuitive; and allow shielding the user fromtechnical details (such as HTML tags; formatting operators; and learning automata) relatedto the extraction problem. The examples provided by the user are then used to generatepatterns which allow extracting data from new documents. For the extraction; DEByE adoptsa new bottom-up procedure we proposed which is very effective with various Web …,Data & Knowledge Engineering,2002,241
Automatic generation of agents for collecting hidden web pages for data extraction,Juliano Palmieri Lage; Altigran S da Silva; Paulo B Golgher; Alberto HF Laender,Abstract As the Web grows; more and more data has become available under dynamicforms of publication; such as legacy databases accessed by an HTML form (the so calledhidden Web). In situations such as this; integration of this data relies more and more on thefast generation of agents that can automatically fetch pages for further processing. As aresult; there is an increasing need for tools that can help users generate such agents. In thispaper; we describe a method for automatically generating agents to collect hidden Webpages. This method uses a pre-existing data repository for identifying the contents of thesepages and takes the advantage of some patterns that can be found among Web sites toidentify the navigation paths to follow. To demonstrate the accuracy of our method; wediscuss the results of a number of experiments carried out with sites from different …,Data & Knowledge Engineering,2004,112
A fast and robust method for web page template detection and removal,Karane Vieira; Altigran S Da Silva; Nick Pinto; Edleno S De Moura; Joao Cavalcanti; Juliana Freire,Abstract The widespread use of templates on the Web is considered harmful for two mainreasons. Not only do they compromise the relevance judgment of many web IR and webmining methods such as clustering and classification; but they also negatively impact theperformance and resource usage of tools that process web pages. In this paper we presenta new method that efficiently and accurately removes templates found in collections of webpages. Our method works in two steps. First; the costly process of template detection isperformed over a small set of sample pages. Then; the derived template is removed from theremaining pages in the collection. This leads to substantial performance gains whencompared to previous approaches that combine template detection and removal. We show;through an experimental evaluation; that our approach is effective for identifying terms …,Proceedings of the 15th ACM international conference on Information and knowledge management,2006,100
Extracting semi-structured data through examples,Berthier Ribeiro-Neto; Alberto HF Laender; Altigran S Da Silva,Abstract In this paper; we describe an innovative approach to extracting semi-structured datafrom Web sources. The idea is to collect a couple of example objects from the user and touse this information to extract new objects from new pages or texts. To perform the extractionof new objects; we introduce a bottom-up extration strategy and; through experimentation;demonstrate that it works quite effectively with distinct Web sources; even if only a fewexamples are provided by the user.,Proceedings of the eighth international conference on Information and knowledge management,1999,88
Organizing hidden-web databases by clustering visible web documents,Luciano Barbosa; Juliana Freire; Altigran Silva,In this paper we address the problem of organizing hidden-Web databases. Given aheterogeneous set of Web forms that serve as entry points to hidden-Web databases; ourgoal is to cluster the forms according to the database domains to which they belong. Wepropose a new clustering approach that models Web forms as a set of hyperlinked objectsand considers visible information in the form context-both within and in the neighborhood offorms-as the basis for similarity comparison. Since the clustering is performed over featuresthat can be automatically extracted; the process is scalable. In addition; because it uses arich set of metadata; our approach is able to handle a wide range of forms; including content-rich forms that contain multiple attributes; as well as simple keyword-based searchinterfaces. An experimental evaluation over real Web data shows that our strategy …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,78
FLUX-CIM: flexible unsupervised extraction of citation metadata,Eli Cortez; Altigran S da Silva; Marcos André Gonçalves; Filipe Mesquita; Edleno S de Moura,Abstract In this paper we propose a knowledge-base approach to help extracting the correctcomponents of citations in any given format. Differently from related approaches that rely onmanually built knowledge-bases (KBs) for recognizing the components of a citation; in ourcase; such a KB is automatically constructed from an existing set of sample metadatarecords from a given area (eg; computer science or health sciences). Our approach does notrely on patterns encoding specific delimitators of a particular citation style. It is alsounsupervised; in the sense that it does not rely on a learning method that requires a trainingphase. These features assign to our technique a high degree of automation and flexibility.To demonstrate the effectiveness and applicability of our proposed approach we have runexperiments in which we applied it to extract information from citations in papers of two …,Proceedings of the 7th ACM/IEEE-CS joint conference on Digital libraries,2007,75
A source independent framework for research paper recommendation,Cristiano Nascimento; Alberto HF Laender; Altigran S da Silva; Marcos André Gonçalves,Abstract As the number of research papers available on the Web has increased enormouslyover the years; paper recommender systems have been proposed to help researchers onautomatically finding works of interest. The main problem with the current approaches is thatthey assume that recommending algorithms are provided with a rich set of evidence (eg;document collections; citations; profiles) which is normally not widely available. In this paperwe propose a novel source independent framework for research paper recommendation.The framework requires as input only a single research paper and generates severalpotential queries by using terms in that paper; which are then submitted to existing Webinformation sources that hold research papers. Once a set of candidate papers forrecommendation is generated; the framework applies content-based recommending …,Proceedings of the 11th annual international ACM/IEEE joint conference on Digital libraries,2011,71
A genetic programming approach to record deduplication,Moisés G de Carvalho; Alberto HF Laender; Marcos André Gonçalves; Altigran S da Silva,Several systems that rely on consistent data to offer high-quality services; such as digitallibraries and e-commerce brokers; may be affected by the existence of duplicates; quasireplicas; or near-duplicate entries in their repositories. Because of that; there have beensignificant investments from private and government organizations for developing methodsfor removing replicas from its data repositories. This is due to the fact that clean and replica-free repositories not only allow the retrieval of higher quality information but also lead tomore concise data and to potential savings in computational time and resources to processthis data. In this paper; we propose a genetic programming approach to recorddeduplication that combines several different pieces of evidence extracted from the datacontent to find a deduplication function that is able to identify whether two entries in a …,IEEE Transactions on Knowledge and Data Engineering,2012,70
Finding similar identities among objects from multiple web sources,Joyce CP Carvalho; Altigran S da Silva,Abstract When integrating data from multiple Web sources; objects can exist in differentformats and structures; making it difficult to identify those that can be matched together. Inthis paper; we propose an identification approach to finding similar identities among objectsfrom multiple Web sources. In this approach; object identification works like the relationaljoin operation where a similarity function takes the place of the equality condition. Thissimilarity function is based on information retrieval techniques. Our approach differs fromothers in the literature since it can be used to identify objects more complexly structured (eg;XML documents) and not only objects with a flat structure such as relations. Theeffectiveness of our approach is demonstrated by experimental results with real Web datasources from different domains; that reach precision levels above 75%.,Proceedings of the 5th ACM international workshop on Web information and data management,2003,66
