A unified framework for hybrid control: Model and optimal control theory,Michael S Branicky; Vivek S Borkar; Sanjoy K Mitter,We propose a very general framework that systematizes the notion of a hybrid system;combining differential equations and automata; governed by a hybrid controller that issuescontinuous-variable commands and makes logical decisions. We first identify thephenomena that arise in real-world hybrid systems. Then; we introduce a mathematicalmodel of hybrid systems as interacting collections of dynamical systems; evolving oncontinuous-variable state spaces and subject to continuous controls and discrete transitions.The model captures the identified phenomena; subsumes previous models; yet retainsenough structure to pose and solve meaningful control problems. We develop a theory forsynthesizing hybrid controllers for hybrid plants in all optimal control framework. In particular;we demonstrate the existence of optimal (relaxed) and near-optimal (precise) controls …,IEEE transactions on automatic control,1998,1528
Stochastic approximation: a dynamical systems viewpoint,Vivek S Borkar,*,*,2008,604
Discrete-time controlled Markov processes with average cost criterion: a survey,Aristotle Arapostathis; Vivek S Borkar; Emmanuel Fernández-Gaucherand; Mrinal K Ghosh; Steven I Marcus,This work is a survey of the average cost control problem for discrete-time Markovprocesses. The authors have attempted to put together a comprehensive account of theconsiderable research on this problem over the past three decades. The exposition rangesfrom finite to Borel state and action spaces and includes a variety of methodologies to findand characterize optimal policies. The authors have included a brief historical perspective ofthe research efforts in this area and have compiled a substantial yet not exhaustivebibliography. The authors have also identified several important questions that are still opento investigation.,SIAM Journal on Control and Optimization,1993,519
A unified framework for hybrid control,Michael Stephen Branicky; Vivek S Borkar; Sanjoy K Mitter,We propose a very general framework for hybrid control problems that encompasses severaltypes of hybrid phenomena considered in the literature. A specific control problem is studiedin this framework; leading to an existence result for optimal controls. The" value function"associated with this problem is expected to satisfy a set of" generalized quasi-variationalinequalities".,Decision and Control; 1994.; Proceedings of the 33rd IEEE Conference on,1994,302
The ODE method for convergence of stochastic approximation and reinforcement learning,Vivek S Borkar; Sean P Meyn,It is shown here that stability of the stochastic approximation algorithm is implied by theasymptotic stability of the origin for an associated ODE. This in turn implies convergence ofthe algorithm. Several specific classes of algorithms are considered as applications. It isfound that the results provide (i) a simpler derivation of known results for reinforcementlearning algorithms;(ii) a proof for the first time that a class of asynchronous stochasticapproximation algorithms are convergent without using any a priori assumption ofstability;(iii) a proof for the first time that asynchronous adaptive critic and Q-learningalgorithms are convergent for the average cost optimal control problem.,SIAM Journal on Control and Optimization,2000,285
Asymptotic agreement in distributed estimation,Vivek Borkar; Pravin Varaiya,Each of several agents updates his estimate of the same random variable whenever hemakes a new observation or receives the estimate made by another agent. In turn; eachagent transmits his estimate to a randomly chosen subset of the other agents. A subset ofagents forms a communicating ring if for every pair\underline {m};\underline {p} of ringmembers; there is a sequence of ring members\underline {m}=\underline {m} _ {1};\underline{m} _ {2};...;\underline {m} _ {n+ 1}=\underline {p} such that\underline {m} _ {i} sends hisestimate to\underline {m} _ {i+ 1} infinitely often. If each ring member knows that he is a ringmember; then the estimates of all the ring members asymptotically agree. However; thiscommon limit can depend upon the order in which estimates are transmitted.,IEEE Transactions on Automatic Control,1982,271
Stochastic approximation with two time scales,Vivek S Borkar,Page 1. • .;'7 ELSEVIER Systems & Control Letters 29 (1997) 291-294 S} TQLS & ¢Oli1110LLI[TTIIIS Stochastic approximation with two time scales Vivek S. Borkar* Department of ComputerScience and Automation; Indian Institute of Science; Bangalore 560012; India Received 22 April1996; revised 3 July 1996 Abstract Asymptotic behaviour of a two time scale stochasticapproximation algorithm is analysed in terms of a related singular ordinary differential equation.Keywords: Stochastic approximation; Two time scales; Ode limit; Singular differential equations1. Introduction The classical stochastic approximation algorithm involves the d-dimensionalrecursion (d ~> 1 ) X(n + 1 =X(n) + a(n)(F(X(n)) +M(n + 1)); n/>0; (1.1) where (i) FR d ~ R …,Systems & Control Letters,1997,256
A new distributed time synchronization protocol for multihop wireless networks,Roberto Solis; Vivek S Borkar; PR Kumar,A distributed algorithm to achieve accurate time synchronization in large multihop wirelessnetworks is presented. The central idea is to exploit the large number of global constraintsthat have to be satisfied by a common notion of time in a multihop network. If; at a certaininstant; O ij is the clock offset between two neighboring nodes i and j; then for any loop i 1; i2; i 3;...; in; i n+ 1-i 1 in the multihop network; these offsets must satisfy the global constraintSigma k= 1 n O ik; i k+ 1= 0. Noisy estimates Ocirc ij of O ij are usually arrived at by bilateralexchanges of timestamped messages or local broadcasts. By imposing the large number ofglobal constraints for all the loops in the multihop network; these estimates can be smoothedand made more accurate. A fully distributed and asynchronous algorithm which functions bysimple local broadcasts is designed. Changing the time reference node for …,Decision and Control; 2006 45th IEEE Conference on,2006,209
Optimal control of diffusion processes,Vivek S Borkar,Abstract: This article gives an overview of the developments in controlled diffusionprocesses; emphasizing key results regarding existence of optimal controls and theircharacterization via dynamic programming for a variety of cost criteria and structuralassumptions. Stochastic maximum principle and control under partial observations(equivalently; control of nonlinear filters) are also discussed. Several other related topics arebriefly sketched.,Pitman Research Notes in Math.; 203. 36 Borkar V.(2005):“Controlled diffusion processes”; Probability surveys,1989,195
A theory of QoS for wireless,I-H Hou; Vivek Borkar; PR Kumar,Wireless networks are increasingly used to carry applications with QoS constraints. Twoproblems arise when dealing with traffic with QoS constraints. One is admission control;which consists of determining whether it is possible to fulfill the demands of a set of clients.The other is finding an optimal scheduling policy to meet the demands of all clients. In thispaper; we propose a framework for jointly addressing three QoS criteria: delay; deliveryratio; and channel reliability. We analytically prove the necessary and sufficient condition fora set of clients to be feasible with respect to the above three criteria. We then establish anefficient algorithm for admission control to decide whether a set of clients is feasible. Wefurther propose two scheduling policies and prove that they are feasibility optimal in thesense that they can meet the demands of every feasible set of clients. In addition; we …,INFOCOM 2009; IEEE,2009,189
