XMark: A benchmark for XML data management,Albrecht Schmidt; Florian Waas; Martin Kersten; Michael J Carey; Ioana Manolescu; Ralph Busse,This chapter presents the benchmark specifications developed for XMark; a set of queriesand lessons learned while executing the workload specification on a number of platforms.The benchmark was designed top–down; taking the standardization issues around XML asa starting point. The data exchange format XML has been penetrating virtually all areas ofInternet application programming. Thus; electronic commerce sites and content providerswho rely heavily on the new technology are increasingly interested in deploying advanceddata management systems for sites whose data volume exceeds toy sizes. The complexity ofthe challenge has also attracted the attention of the database research community. Earlyefforts mainly concentrated on schema issues and the theory of organizing data without afixed schema; which first seemed incompatible with existing technology. However; as …,*,2002,994
A graph-oriented model for articulation of ontology interdependencies,Prasenjit Mitra; Gio Wiederhold; Martin Kersten,Abstract Ontologies explicate the contents; essential properties; and relationships betweenterms in a knowledge base. Many sources are now accessible with associated ontologies.Most prior work on the use of ontologies relies on the construction of a single globalontology covering all sources. Such an approach is not scalable and maintainableespecially when the sources change frequently. We propose a scalable and easilymaintainable approach based on the interoperation of ontologies. To handle user queriescrossing the boundaries of the underlying information systems; the interoperation betweenthe ontologies should be precisely defined. Our approach is to use rules that cross thesemantic gap by creating an articulation or linkage between the systems. The rules aregenerated using a semi-automatic articulation tool with the help of a domain expert. To …,Advances in Database Technology—EDBT 2000,2000,531
Database architecture optimized for the new bottleneck: Memory access,Peter Boncz; Stefan Manegold; Martin Kersten,Abstract In the past decade; advances in speed of commodity CPUs have far out-pacedadvances in memory latency. Main-memory access is therefore increasingly a performancebottleneck for many computer applications; including database systems. In this article; weuse a simple scan test to show the severe impact of this bottleneck. The insights gained aretranslated into guidelines for database architecture; in terms of both data structures andalgorithms. We discuss how vertically fragmented data structures optimize cacheperformance on sequential data access. We then focus on equi-join; typically a random-access operation; and introduce radix algorithms for partitioned hash-join. The performanceof these algorithms is quantified using a detailed analytical model that incorporates memoryaccess cost. Experiments that validate this model were performed on the Monet database …,PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE DATA BASES,1999,410
Efficient relational storage and retrieval of XML documents,Albrecht Schmidt; Martin Kersten; Menzo Windhouwer; Florian Waas,Abstract In this paper; we present a data and an execution model that allow for efficientstorage and retrieval of XML documents in a relational database. The data model is strictlybased on the notion of binary associations: by decomposing XML documents into small;flexible and semantically homogeneous units we are able to exploit the performancepotential of vertical fragmentation. Moreover; our approach provides clear and intuitivesemantics; which facilitates the definition of a declarative query algebra. Our experimentalresults with large collections of XML documents demonstrate the effectiveness of thetechniques proposed.,The World Wide Web and Databases,2001,350
The XML benchmark project,Albrecht R Schmidt; Florian Waas; Martin L Kersten; Daniela Florescu; Ioana Manolescu; Michael J Carey; Ralph Busse,Abstract With standardization efforts of a query language for XML documents drawing to aclose; researchers and users increasingly focus their attention on the database technologythat has to deliver on the new challenges that the sheer amount of XML documentsproduced by applications pose to data management: validation; performance evaluation andoptimization of XML query processors are the upcoming issues. Following a long tradition indatabase research; the XML Store Benchmark Project provides a framework to assess anXML database''s abilities to cope with a broad spectrum of different queries; typically posedin real-world application scenarios. The benchmark is intended to help both implementorsand users to compare XML databases independent of their own; specific applicationscenario. To this end; the benchmark offers a set queries each of which is intended to …,*,2001,347
Database cracking,Stratos Idreos; Martin L Kersten; Stefan Manegold,ABSTRACT Database indices provide a non-discriminative navigational infrastructure tolocalize tuples of interest. Their maintenance cost is taken during database updates. In thispaper; we study the complementary approach; addressing index maintenance as part ofquery processing using continuous physical reorganization; ie; cracking the database intomanageable pieces. The motivation is that by automatically organizing data the way usersrequest it; we can achieve fast access and the much desired self-organized behavior. Wepresent the first mature cracking architecture and report on our implementation of cracking inthe context of a full fledged relational system. It led to a minor enhancement to its relationalalgebra kernel; such that cracking could be piggy-backed without incurring too muchprocessing overhead. Furthermore; we illustrate the ripple effect of dynamic …,Proceedings of CIDR,2007,243
Column-store support for RDF data management: not all swans are white,Lefteris Sidirourgos; Romulo Goncalves; Martin Kersten; Niels Nes; Stefan Manegold,Abstract This paper reports on the results of an independent evaluation of the techniquespresented in the VLDB 2007 paper" Scalable Semantic Web Data Management UsingVertical Partitioning"; authored by D. Abadi; A. Marcus; SR Madden; and K. Hollenbach [1].We revisit the proposed benchmark and examine both the data and query space coverage.The benchmark is extended to cover a larger portion of the query space in a canonical way.Repeatability of the experiments is assessed using the code base obtained from the authors.Inspired by the proposed vertically-partitioned storage solution for RDF data and theperformance figures using a column-store; we conduct a complementary analysis of state-of-the-art RDF storage solutions. To this end; we employ MonetDB/SQL; a fully-functional opensource column-store; and a well-known--for its performance--commercial row-store DBMS …,Proceedings of the VLDB Endowment,2008,223
Breaking the memory wall in MonetDB,Peter A Boncz; Martin L Kersten; Stefan Manegold,Abstract In the past decades; advances in speed of commodity CPUs have far outpacedadvances in RAM latency. Main-memory access has therefore become a performancebottleneck for many computer applications; a phenomenon that is widely known as the"memory wall." In this paper; we report how research around the MonetDB database systemhas led to a redesign of database architecture in order to take advantage of modernhardware; and in particular to avoid hitting the memory wall. This encompasses (i) aredesign of the query execution model to better exploit pipelined CPU architectures andCPU instruction caches;(ii) the use of columnar rather than row-wise data storage to betterexploit CPU data caches;(iii) the design of new cache-conscious query processingalgorithms; and (iv) the design and automatic calibration of memory cost models to …,Communications of the ACM,2008,217
The Lowell database research self-assessment,Serge Abiteboul; Rakesh Agrawal; Phil Bernstein; Mike Carey; Stefano Ceri; Bruce Croft; David DeWitt; Mike Franklin; Hector Garcia Molina; Dieter Gawlick; Jim Gray; Laura Haas; Alon Halevy; Joe Hellerstein; Yannis Ioannidis; Martin Kersten; Michael Pazzani; Mike Lesk; David Maier; Jeff Naughton; Hans Schek; Timos Sellis; Avi Silberschatz; Mike Stonebraker; Rick Snodgrass; Jeff Ullman; Gerhard Weikum; Jennifer Widom; Stan Zdonik,A group of senior database researchers gathers every few years to assess the state of databaseresearch and to point out problem areas that deserve additional focus. This article summarizesthe discussion and conclusions of the sixth such meeting in Lowell; MA; in May 2003. It followsa number of earlier reports with similar goals; including [1; 2; 5-7] … Continuing thistradition; 25 senior database researchers representing a broad cross section of the field in termsof research interests; affiliations; and geography gathered in Lowell for two days of intensivediscussion on where the database field is and where it should be going … Several importantobservations came out of this meeting. Information management continues to be a critical componentof most complex software systems. We recommend that database researchers increase theirfocus on the integration of text; data; code; and streams; fusion of information from …,Communications of the ACM,2005,203
A perspective on databases and data mining,Marcel Holsheimer; Centrum voor Wiskunde en Informatica,*,*,1995,181
