Lightweight modular staging: a pragmatic approach to runtime code generation and compiled DSLs,Tiark Rompf; Martin Odersky,Abstract Software engineering demands generality and abstraction; performance demandsspecialization and concretization. Generative programming can provide both; but the effortrequired to develop high-quality program generators likely offsets their benefits; even if amulti-stage programming language is used. We present lightweight modular staging; alibrary-based multi-stage programming approach that breaks with the tradition of syntacticquasi-quotation and instead uses only types to distinguish between binding times. Throughextensive use of component technology; lightweight modular staging makes an optimizingcompiler framework available at the library level; allowing programmers to tightly integratedomain-specific abstractions and optimizations into the generation process.,Acm Sigplan Notices,2010,219
A heterogeneous parallel framework for domain-specific languages,Kevin J Brown; Arvind K Sujeeth; Hyouk Joong Lee; Tiark Rompf; Hassan Chafi; Martin Odersky; Kunle Olukotun,Computing systems are becoming increasingly parallel and heterogeneous; and thereforenew applications must be capable of exploiting parallelism in order to continue achievinghigh performance. However; targeting these emerging devices often requires using multipledisparate programming models and making decisions that can limit forward scalability. Inprevious work we proposed the use of domain-specific languages (DSLs) to provide high-level abstractions that enable transformations to high performance parallel code withoutdegrading programmer productivity. In this paper we present a new end-to-end system forbuilding; compiling; and executing DSL applications on parallel heterogeneous hardware;the Delite Compiler Framework and Runtime. The framework lifts embedded DSLapplications to an intermediate representation (IR); performs generic; parallel; and …,Parallel Architectures and Compilation Techniques (PACT); 2011 International Conference on,2011,172
OptiML: an implicitly parallel domain-specific language for machine learning,Arvind Sujeeth; HyoukJoong Lee; Kevin Brown; Tiark Rompf; Hassan Chafi; Michael Wu; Anand Atreya; Martin Odersky; Kunle Olukotun,Abstract As the size of datasets continues to grow; machine learning applications arebecoming increasingly limited by the amount of available computational power. Takingadvantage of modern hardware requires using multiple parallel programming modelstargeted at different devices (eg CPUs and GPUs). However; programming these devices torun efficiently and correctly is difficult; error-prone; and results in software that is harder toread and maintain. We present OptiML; a domain-specific language (DSL) for machinelearning. OptiML is an implicitly parallel; expressive and high performance alternative toMATLAB and C++. OptiML performs domain-specific analyses and optimizations andautomatically generates CUDA code for GPUs. We show that OptiML outperforms explicitlyparallelized MATLAB code in nearly all cases.,Proceedings of the 28th International Conference on Machine Learning (ICML-11),2011,148
Language virtualization for heterogeneous parallel computing,Hassan Chafi; Zach DeVito; Adriaan Moors; Tiark Rompf; Arvind K Sujeeth; Pat Hanrahan; Martin Odersky; Kunle Olukotun,Abstract As heterogeneous parallel systems become dominant; application developers arebeing forced to turn to an incompatiblemix of low level programming models (eg OpenMP;MPI; CUDA; OpenCL). However; these models do little to shield developers from the difficultproblems of parallelization; data decomposition and machine-specific details. Mostprogrammersare having a difficult time using these programming models effectively. Toprovide a programming modelthat addresses the productivity and performance requirementsfor the average programmer; we explore a domainspecificapproach to heterogeneousparallel programming. We propose language virtualization as a new principle that enablesthe construction of highly efficient parallel domain specific languages that are embedded ina common host language. We define criteria for language virtualization and present …,ACM Sigplan Notices,2010,117
Lightweight modular staging: a pragmatic approach to runtime code generation and compiled DSLs,Tiark Rompf; Martin Odersky,Abstract Good software engineering practice demands generalization and abstraction;whereas high performance demands specialization and concretization. These goals are atodds; and compilers can only rarely translate expressive high-level programs to modernhardware platforms in a way that makes best use of the available resources. Generativeprogramming is a promising alternative to fully automatic translation. Instead of writing downthe target program directly; developers write a program generator; which produces the targetprogram as its output. The generator can be written in a high-level; generic style and can stillproduce efficient; specialized target programs. In practice; however; developing high-qualityprogram generators requires a very large effort that is often hard to amortize.,Communications of the ACM,2012,92
Delite: A compiler architecture for performance-oriented embedded domain-specific languages,Arvind K Sujeeth; Kevin J Brown; Hyoukjoong Lee; Tiark Rompf; Hassan Chafi; Martin Odersky; Kunle Olukotun,Abstract Developing high-performance software is a difficult task that requires the use of low-level; architecture-specific programming models (eg; OpenMP for CMPs; CUDA for GPUs;MPI for clusters). It is typically not possible to write a single application that can run efficientlyin different environments; leading to multiple versions and increased complexity. Domain-Specific Languages (DSLs) are a promising avenue to enable programmers to use high-level abstractions and still achieve good performance on a variety of hardware. This ispossible because DSLs have higher-level semantics and restrictions than general-purposelanguages; so DSL compilers can perform higher-level optimization and translation.However; the cost of developing performance-oriented DSLs is a substantial roadblock totheir development and adoption. In this article; we present an overview of the Delite …,ACM Transactions on Embedded Computing Systems (TECS),2014,88
Optimizing data structures in high-level programs: New directions for extensible compilers based on staging,Tiark Rompf; Arvind K Sujeeth; Nada Amin; Kevin J Brown; Vojin Jovanovic; HyoukJoong Lee; Manohar Jonnalagedda; Kunle Olukotun; Martin Odersky,Abstract High level data structures are a cornerstone of modern programming and at thesame time stand in the way of compiler optimizations. In order to reason about user-or library-defined data structures compilers need to be extensible. Common mechanisms to extendcompilers fall into two categories. Frontend macros; staging or partial evaluation systemscan be used to programmatically remove abstraction and specialize programs before theyenter the compiler. Alternatively; some compilers allow extending the internal workings byadding new transformation passes at different points in the compile chain or adding newintermediate representation (IR) types. None of these mechanisms alone is sufficient tohandle the challenges posed by high level data structures. This paper shows a novel way tocombine them to yield benefits that are greater than the sum of the parts. Instead of using …,POPL,2013,88
Implementing first-class polymorphic delimited continuations by a type-directed selective CPS-transform,Tiark Rompf; Ingo Maier; Martin Odersky,Abstract We describe the implementation of first-class polymorphic delimited continuationsin the programming language Scala. We use Scala's pluggable typing architecture toimplement a simple type and effect system; which discriminates expressions with controleffects from those without and accurately tracks answer type modification incurred by controleffects. To tackle the problem of implementing first-class continuations under the adverseconditions brought upon by the Java VM; we employ a selective CPS transform; which isdriven entirely by effect-annotated types and leaves pure code in direct style. Benchmarksindicate that this high-level approach performs competitively.,ACM Sigplan Notices,2009,88
A generic parallel collection framework,Aleksandar Prokopec; Phil Bagwell; Tiark Rompf; Martin Odersky,Abstract Most applications manipulate structured data. Modern languages and platformsprovide collection frameworks with basic data structures like lists; hashtables and trees.These data structures have a range of predefined operations which include mapping;filtering or finding elements. Such bulk operations traverse the collection and process theelements sequentially. Their implementation relies on iterators; which are not applicable toparallel operations due to their sequential nature. We present an approach to parallelizingcollection operations in a generic way; used to factor out common parallel operations incollection libraries. Our framework is easy to use and straightforward to extend to newcollections. We show how to implement concrete parallel collections such as parallel arraysand parallel hash maps; proposing an efficient solution to parallel hash map construction …,European Conference on Parallel Processing,2011,80
Building efficient query engines in a high-level language,Yannis Klonatos; Christoph Koch; Tiark Rompf; Hassan Chafi,Abstract In this paper we advocate that it is time for a radical rethinking of database systemsdesign. Developers should be able to leverage high-level programming languages withouthaving to pay a price in efficiency. To realize our vision of abstraction without regret; wepresent LegoBase; a query engine written in the high-level programming language Scala.The key technique to regain efficiency is to apply generative programming: the Scala codethat constitutes the query engine; despite its high-level appearance; is actually a programgenerator that emits specialized; low-level C code. We show how the combination of high-level and generative programming allows to easily implement a wide spectrum ofoptimizations that are difficult to achieve with existing low-level query compilers; and how itcan continuously optimize the query engine. We evaluate our approach with the TPC-H …,Proceedings of the VLDB Endowment,2014,73
