Misconceptions about real-time computing: A serious problem for next-generation systems,John A.  Stankovic,The author defines real-time computing and states and dispels the most commonmisconceptions about it. He discusses the fundamental technical issues of real-timecomputing. He examines specification and verification; scheduling theory; operatingsystems; programming languages and design methodology; distributed databases; artificialintelligence; fault tolerance; architectures; and communication.,Computer,1988,1324
Deadline scheduling for real-time systems: EDF and related algorithms,John A Stankovic; Marco Spuri; Krithi Ramamritham; Giorgio C Buttazzo,Many real-time systems rely on static scheduling algorithms. This includes cyclic scheduling;rate monotonic scheduling and fixed schedules created by off-line scheduling techniquessuch as dynamic programming; heuristic search; and simulated annealing. However; formany real-time systems; static scheduling algorithms are quite restrictive and inflexible. Forexample; highly automated agile manufacturing; command; control and communications;and distributed real-time multimedia applications all operate over long lifetimes and in highlynon-deterministic environments. Dynamic real-time scheduling algorithms are moreappropriate for these systems and are used in such systems. Many of these algorithms arebased on earliest deadline first (EDF) policies. There exists a wealth of literature on EDF-based scheduling with many extensions to deal with sophisticated issues such as …,*,2012,775
Real-time databases,Krithi Ramamritham,Abstract Data in real-time databases has to be logically consistent as well as temporallyconsistent. The latter arises from the need to preserve the temporal validity of data items thatreflect the state of the environment that is being controlled by the system. Some of the timingconstraints on the transactions that process real-time data come from this need. Theseconstraints; in turn; necessitate time-cognizant transaction processing so that transactionscan be processed to meet their deadlines. This paper explores the issues in real-timedatabase systems and presents an overview of the state of the art. After introducing thecharacteristics of data and transactions in real-time databases; we discuss issues that relateto the processing of time-constrained transactions. Specifically; we examine differentapproaches to resolving contention over data and processing resources. We also explore …,Distributed and parallel databases,1993,767
Scheduling algorithms and operating systems support for real-time systems,Krithi Ramamritham; John A Stankovic,This paper summarizes the state of the real-time field in the areas of scheduling andoperating system kernels. Given the vast amount of work that has been done by both theoperations research and computer science communities in the scheduling area; we discussfour paradigms underlying the scheduling approaches and present several exemplars ofeach. The four paradigms are: static table-driven scheduling; static priority preemptivescheduling; dynamic planning-based scheduling; and dynamic best effort scheduling. In theoperating system context; we argue that most of the proprietary commercial kernels as wellas real-time extensions to time-sharing operating system kernels do not fit the needs ofpredictable realtime systems. We discuss several research kernels that are currently beingbuilt to explicitly meet the needs of real-time applications.,Proceedings of the IEEE,1994,579
Efficient scheduling algorithms for real-time multiprocessor systems,Krithi Ramamritham; John A.  Stankovic; P-F Shiah,Efficient scheduling algorithms based on heuristic functions are developed for scheduling aset of tasks on a multiprocessor system. The tasks are characterized by worst-casecomputation times; deadlines; and resources requirements. Starting with an empty partialschedule; each step of the search extends the current partial schedule by including one ofthe tasks yet to be scheduled. The heuristic functions used in the algorithm actively direct thesearch for a feasible schedule; ie they help choose the task that extends the current partialschedule. Two scheduling algorithms are evaluated by simulation. To extend the currentpartial schedule; one of the algorithms considers; at each step of the search; all the tasksthat are yet to be scheduled as candidates. The second focuses its attention on a smallsubset of tasks with the shortest deadlines. The second algorithm is shown to be very …,IEEE Transactions on Parallel and Distributed systems,1990,508
Distributed scheduling of tasks with deadlines and resource requirements,Krithi Ramamritham; John A.  Stankovic; Wei Zhao,A set of four heuristic algorithms is presented to schedule tasks that have headlines andresource requirements in a distributed system. When a task arrives at a node; the localscheduler at that node attempts to guarantee that the task will complete execution on thatnode before its deadline. If the attempt fails; the scheduling components on individual nodescooperate to determine which other node in the system has sufficient resource surplus toguarantee the task. Simulation studies are performed to compare the performance of thesealgorithms with respect to each other as well to two baselines. The first baseline is thenoncooperative algorithm where a task that cannot be guaranteed locally is not sent to anyother node. The second is an (ideal) algorithm that behaves exactly like the biddingalgorithm but incurs no communication overheads. The simulation studies examine how …,IEEE Transactions on Computers,1989,454
Hard Real-time Systems: Tutorial,Krithi Ramamritham; John A Stankovic,*,*,1988,448
The spring kernel: A new paradigm for real-time systems,John A.  Stankovic; Krithi Ramamritham,A real-time operating system kernel; called the Spring kernel; that provides some of thebasic support required for large; complex; next-generation real-time systems; especially inmeeting timing constraints; is presented. The approach meets the need to build predictableyet flexible real-time systems. Most current real-time operating systems contain the samebasic paradigms found in time-sharing operating systems and often use a basic priority-scheduling mechanism that provides no direct support for meeting timing constraints. Springuses two criteria to classify tasks' interaction with and effects on the environment: importanceand timing requirements. Implementation experience with Spring is described.,IEEE software,1991,379
Dynamic task scheduling in hard real-time distributed systems,Krithi Ramamritham; John A Stankovic,Our scheme for distributed dynamic scheduling requires one schedulerper node. The schedulersinteract todetermine assignment for a newly arriving task. Associated with a node ina distributedsystem is a set; possiblynull; of periodic tasks guaranteed toexecute on that node. We assumethatthe characteristics of periodic tasksare known in advance and that suchtasks must meet theirdeadlines. Theexistence of enough processing powerat a node for all periodic tasks to meettheirdeadlines is verified at system initialization time. In addition to theperiodic tasks; we allow forthe arrival of nonperiodic tasks at any timeand attempt to guarantee these tasksdynamically;in the presence ofperiodic tasks and on a network-widebasis … In a multiprocessingenvironment;optimal scheduling is an NP-hardproblem and thus computationallyintractable.12 The problem is evenharder for loosely coupled distributedsystems. Clearly; a practical …,IEEE software,1984,338
Synthesis of extended transaction models using ACTA,Panos K Chrysanthis; Krithi Ramamritham,Abstract ACTA is a comprehensive transaction framework that facilitates the formaldescription of properties of extended transaction models. Specifically; using ACTA; one canspecify and reason about (1) the effects of transactions on objects and (2) the interactionsbetween transactions. This article presents ACTA as a tool for the synthesis of extendedtransaction models; one which supports the development and analysis of new extendedtransaction models in a systematic manner. Here; this is demonstrated by deriving newtransaction definitions (1) by modifying the specifications of existing transaction models;(2)by combining the specifications of existing models; and (3) by starting from first principles. Toexemplify the first; new models are synthesized from atomic transactions and jointransactions. To illustrate the second; we synthesize a model that combines aspect of the …,ACM Transactions on Database Systems (TODS),1994,336
