Big data and cloud computing: current state and future opportunities,Divyakant Agrawal; Sudipto Das; Amr El Abbadi,Abstract Scalable database management systems (DBMS)---both for update intensiveapplication workloads as well as decision support systems for descriptive and deepanalytics---are a critical part of the cloud infrastructure and play an important role in ensuringthe smooth transition of applications from the traditional enterprise infrastructures to nextgeneration cloud infrastructures. Though scalable data management has been a vision formore than three decades and much research has focussed on large scale datamanagement in traditional enterprise setting; cloud computing brings its own set of novelchallenges that must be addressed to ensure the success of data management solutions inthe cloud environment. This tutorial presents an organized picture of the challenges faced byapplication developers and DBMS designers in developing and deploying internet scale …,Proceedings of the 14th International Conference on Extending Database Technology,2011,508
G-store: a scalable data store for transactional multi key access in the cloud,Sudipto Das; Divyakant Agrawal; Amr El Abbadi,Abstract Cloud computing has emerged as a preferred platform for deploying scalable web-applications. With the growing scale of these applications and the data associated withthem; scalable data management systems form a crucial part of the cloud infrastructure. Key-Value stores--such as Bigtable; PNUTS; Dynamo; and their open source analogues--havebeen the preferred data stores for applications in the cloud. In these systems; data isrepresented as Key-Value pairs; and atomic access is provided only at the granularity ofsingle keys. While these properties work well for current applications; they are insufficient forthe next generation web applications--such as online gaming; social networks; collaborativeediting; and many more--which emphasize collaboration. Since collaboration by definitionrequires consistent access to groups of keys; scalable and consistent multi key access is …,Proceedings of the 1st ACM symposium on Cloud computing,2010,263
Zephyr: live migration in shared nothing databases for elastic cloud platforms,Aaron J Elmore; Sudipto Das; Divyakant Agrawal; Amr El Abbadi,Abstract Multitenant data infrastructures for large cloud platforms hosting hundreds ofthousands of applications face the challenge of serving applications characterized by smalldata footprint and unpredictable load patterns. When such a platform is built on an elasticpay-per-use infrastructure; an added challenge is to minimize the system's operating costwhile guaranteeing the tenants' service level agreements (SLA). Elastic load balancing istherefore an important feature to enable scale-up during high load while scaling down whenthe load is low. Live migration; a technique to migrate tenants with minimal serviceinterruption and no downtime; is critical to allow lightweight elastic scaling. We focus on theproblem of live migration in the database layer. We propose Zephyr; a technique toefficiently migrate a live database in a shared nothing transactional database architecture …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,222
ElasTraS: An Elastic Transactional Data Store in the Cloud.,Sudipto Das; Amr El Abbadi; Divyakant Agrawal,Abstract Over the last couple of years;“Cloud Computing” or “Elastic Computing” hasemerged as a compelling and successful paradigm for internet scale computing. One of themajor contributing factors to this success is the elasticity of resources. In spite of the elasticityprovided by the infrastructure and the scalable design of the applications; the elephant (orthe underlying database); which drives most of these web-based applications; is not veryelastic and scalable; and hence limits scalability. In this paper; we propose ElasTraS whichaddresses this issue of scalability and elasticity of the data store in a cloud computingenvironment to leverage from the elastic nature of the underlying infrastructure; whileproviding scalable transactional data access. This paper aims at providing the design of asystem in progress; highlighting the major design choices; analyzing the different …,HotCloud,2009,222
Ricardo: integrating R and Hadoop,Sudipto Das; Yannis Sismanis; Kevin S Beyer; Rainer Gemulla; Peter J Haas; John McPherson,Abstract Many modern enterprises are collecting data at the most detailed level possible;creating data repositories ranging from terabytes to petabytes in size. The ability to applysophisticated statistical analysis methods to this data is becoming essential for marketplacecompetitiveness. This need to perform deep analysis over huge data repositories poses asignificant challenge to existing statistical software and data management systems. On theone hand; statistical software provides rich functionality for data analysis and modeling; butcan handle only limited amounts of data; eg; popular packages like R and SPSS operateentirely in main memory. On the other hand; data management systems-such asMapReduce-based systems-can scale to petabytes of data; but provide insufficient analyticalfunctionality. We report our experiences in building Ricardo; a scalable platform for deep …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,195
Albatross: lightweight elasticity in shared storage databases for the cloud using live data migration,Sudipto Das; Shoji Nishimura; Divyakant Agrawal; Amr El Abbadi,Abstract Database systems serving cloud platforms must serve large numbers ofapplications (or tenants). In addition to managing tenants with small data footprints; differentschemas; and variable load patterns; such multitenant data platforms must minimize theiroperating costs by efficient resource sharing. When deployed over a pay-per-useinfrastructure; elastic scaling and load balancing; enabled by low cost live migration oftenant databases; is critical to tolerate load variations while minimizing operating cost.However; existing databases---relational databases and Key-Value stores alike---lack lowcost live migration techniques; thus resulting in heavy performance impact during elasticscaling. We present Albatross; a technique for live migration in a multitenant databaseserving OLTP style workloads where the persistent database image is stored in a network …,Proceedings of the VLDB Endowment,2011,183
MD-HBase: A scalable multi-dimensional data infrastructure for location aware services,Shoji Nishimura; Sudipto Das; Divyakant Agrawal; Amr El Abbadi,The ubiquity of location enabled devices has resulted in a wide proliferation of locationbased applications and services. To handle the growing scale; database managementsystems driving such location based services (LBS) must cope with high insert rates forlocation updates of millions of devices; while supporting efficient real-time analysis on latestlocation. Traditional DBMSs; equipped with multi-dimensional index structures; canefficiently handle spatio-temporal data. However; popular open source relational databasesystems are overwhelmed by the high insertion rates; real-time querying requirements; andterabytes of data that these systems must handle. On the other hand; Key-value stores caneffectively support large scale operation; but do not natively support multi-attribute accessesneeded to support the rich querying functionality essential for the LBSs. We present MD …,Mobile Data Management (MDM); 2011 12th IEEE International Conference on,2011,148
Hyder-A Transactional Record Manager for Shared Flash.,Philip A Bernstein; Colin W Reid; Sudipto Das,Page 1. Hyder – A Transactional Record Manager for Shared Flash Philip A. Bernstein;Microsoft Corporation Colin Reid; Microsoft Corporation Sudipto Das; UC Santa Barbara ©2011 Microsoft Corporation CIDR 2011 January 10; 2011 Page 2. Hyder: The Big Picture •Goal: Enable scale-out without partitioning DB or app 2 • Store the whole DB in flash – whichis accessible to all servers – via a fast data center network • Main architectural features –Uses a log-structured DB in flash – Broadcast log to all servers – Roll forward log on allservers – Optimistic concurrency control Network Internet Hyder Log Server Hyder App ServerHyder App Server Hyder App • There's no cross-talk between servers – Hence; Hyderscales-out without partitioning Page 3. What is Hyder? 3 An incubation; ie research project.A software stack for transactional record management …,CIDR,2011,124
Data management challenges in cloud computing infrastructures,Divyakant Agrawal; Amr El Abbadi; Shyam Antony; Sudipto Das,Abstract The challenge of building consistent; available; and scalable data managementsystems capable of serving petabytes of data for millions of users has confronted the datamanagement research community as well as large internet enterprises. Current proposedsolutions to scalable data management; driven primarily by prevalent applicationrequirements; limit consistent access to only the granularity of single objects; rows; or keys;thereby trading off consistency for high scalability and availability. But the growing popularityof “cloud computing”; the resulting shift of a large number of internet applications to thecloud; and the quest towards providing data management services in the cloud; has openedup the challenge for designing data management systems that provide consistencyguarantees at a granularity larger than single rows and keys. In this paper; we analyze …,International Workshop on Databases in Networked Information Systems,2010,114
ElasTraS: An elastic; scalable; and self-managing transactional database for the cloud,Sudipto Das; Divyakant Agrawal; Amr El Abbadi,Abstract A database management system (DBMS) serving a cloud platform must handlelarge numbers of application databases (or tenants) that are characterized by diverseschemas; varying footprints; and unpredictable load patterns. Scaling out using clusters ofcommodity servers and sharing resources among tenants (ie; multitenancy) are importantfeatures of such systems. Moreover; when deployed on a pay-per-use infrastructure;minimizing the system's operating cost while ensuring good performance is also animportant goal. Traditional DBMSs were not designed for such scenarios and hence do notpossess the mentioned features critical for DBMSs in the cloud. We present ElasTraS; whichcombines three design principles to build an elastically-scalable multitenant DBMS fortransaction processing workloads. These design principles are gleaned from a careful …,ACM Transactions on Database Systems (TODS),2013,101
