Using a distributed quadtree index in peer-to-peer networks,Egemen Tanin; Aaron Harwood; Hanan Samet,Abstract Peer-to-peer (P2P) networks have become a powerful means for online dataexchange. Currently; users are primarily utilizing these networks to perform exact-matchqueries and retrieve complete files. However; future more data intensive applications; suchas P2P auction networks; P2P job-search networks; P2P multiplayer games; will require thecapability to respond to more complex queries such as range queries involving numerousdata types including those that have a spatial component. In this paper; a distributedquadtree index that adapts the MX-CIF quadtree is described that enables more powerfulaccesses to data in P2P networks. This index has been implemented for various prototypeP2P applications and results of experiments are presented. Our index is easy to use;scalable; and exhibits good load-balancing properties. Similar indices can be constructed …,The VLDB Journal—The International Journal on Very Large Data Bases,2007,190
The v*-diagram: a query-dependent approach to moving knn queries,Sarana Nutanong; Rui Zhang; Egemen Tanin; Lars Kulik,Abstract The moving k nearest neighbor (MkNN) query finds the k nearest neighbors of amoving query point continuously. The high potential of reducing the query processing costas well as the large spectrum of associated applications have attracted considerableattention to this query type from the database community. This paper presents anincremental safe-region-based technique for answering MkNN queries; called the V*-Diagram. In general; a safe region is a set of points where the query point can move withoutchanging the query answer. Traditional safe-region approaches compute a safe regionbased on the data objects but independent of the query location. Our approach exploits thecurrent knowledge of the query point and the search space in addition to the data objects. Asa result; the V*-Diagram has much smaller IO and computation costs than existing …,Proceedings of the VLDB Endowment,2008,126
A distributed quadtree index for peer-to-peer settings,Egemen Tanin; Aaron Harwood; Hanan Samet,We describe a distributed quadtree index for enabling more powerful access on complexdata over P2P networks. It is based on the Chord method. Methods such as Chord havebeen gaining usage in P2P settings to facilitate exact-match queries. The Chord methodmaps both the data keys and peer addresses. Our work can be applied to higherdimensions; to various data types; ie; other than spatial data; and to different types ofquadtrees. Finally; we can use other key-based methods than the Chord method as ourbase P2P routing protocol and index scale well. The index also benefits from the underlyingfault-tolerant hashing-based methods by achieving a nice load distribution among manypeers. We can seamlessly execute a single query on multiple branches of the index hostedby a dynamic set of peers.,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,80
Use of the SAND spatial browser for digital government applications,Hanan Samet; Houman Alborzi; František Brabec; Claudio Esperança; Gísli R Hjaltason; Frank Morgan; Egemen Tanin,Abstract Numerous federal agencies produce official statistics made accessible to ordinarycitizens for searching and data retrieval. This is frequently done via the Internet through aWeb browser interface. If this data is presented in textual format; it can often be searchedand retrieved by such attributes as topic; responsible agency; keywords; or press release.However; if the data is of spatial nature; for example; in the form of a map; then using text-based queries is often too cumbersome for the intended audience. We describe the use ofthe SAND Spatial Browser to provide more power to users of these databases by enablingthem to define and explore the specific spatial region of interest graphically. The SANDSpatial Browser allows users to form either purely spatial or mixed spatial/nonspatial queriesintuitively; which can present information to users that might have been missed if only a …,Communications of the ACM,2003,76
Enabling massively multi-player online gaming applications on a p2p architecture,Scott Douglas; Egemen Tanin; Aaron Harwood; Shanika Karunasekera,Abstract—Recent advances in Peer-to-Peer (P2P) technologies have enabled the use ofP2P architectures for developing complex applications such as; Massively Multi-PlayerOnline Games (MMOG). In this paper we address a challenging research problem related toP2P MMOGs; efficient entity maintenance and interaction. We have identified two opposingsoftware engineering approaches to address this problem. The first approach assumes thatthe entire virtual world and the game logic are implemented using database techniques; eg;with a distributed index over all the peers and the game semantics built into dataquery/update functions. The second approach is to separate the entities into completelyindependent processes; using agentoriented programming techniques. In our work; wepropose a combination of these two approaches; the use of a distributed spatial index to …,Proceedings of the IEEE international conference on information and automation,2005,61
Incremental evaluation of visible nearest neighbor queries,Sarana Nutanong; Egemen Tanin; Rui Zhang,In many applications involving spatial objects; we are only interested in objects that aredirectly visible from query points. In this paper; we formulate the visible k nearest neighbor(VkNN) query and present incremental algorithms as a solution; with two variants differing inhow to prune objects during the search process. One variant applies visibility pruning to onlyobjects; whereas the other variant applies visibility pruning to index nodes as well. Ourexperimental results show that the latter outperforms the former. We further propose theaggregate VkNN query that finds the visible k nearest objects to a set of query points basedon an aggregate distance function. We also propose two approaches to processing theaggregate VkNN query. One accesses the database via multiple VkNN queries; whereas theother issues an aggregate k nearest neighbor query to retrieve objects from the database …,IEEE Transactions on Knowledge and Data Engineering,2010,57
Gesture recognition using RFID technology,Parvin Asadzadeh; Lars Kulik; Egemen Tanin,Abstract We propose a gesture recognition technique based on RFID: cheap and unintrusivepassive RFID tags can be easily attached to or interweaved into user clothes; which are thenread by RFID antennas. These readings can be used to recognize hand gestures; whichenable interaction with applications in an RFID-enabled environment. For instance; it allowspeople to interact with large displays in public collaboration spaces without the need to carrya dedicated device. We propose the use of multiple hypothesis tracking and the use ofsubtag count information to track the motion patterns of passive RFID tags. To the best of ourknowledge; this work is the first on motion pattern tracking using passive RFID tags. Despitethe reading uncertainties inherent in passive RFID technology; our experiments show thatthe proposed gesture recognition technique has an accuracy of up to 93%.,Personal and Ubiquitous Computing,2012,53
Visible nearest neighbor queries,Sarana Nutanong; Egemen Tanin; Rui Zhang,Abstract We introduce the visible k nearest neighbor (VkNN) query; which finds the k nearestobjects that are visible to a query point. We also propose an algorithm to efficiently processthe VkNN query. We compute the visible neighbors incrementally as we enlarge the searchspace. Our algorithm dramatically reduces the search cost compared to existing methodsthat require the computation of the visibility of all objects in advance. With extensiveexperiments; we show that our algorithm to process the VkNN query outperform the existingalgorithms significantly.,International Conference on Database Systems for Advanced Applications,2007,51
Hashing spatial content over peer-to-peer networks,Dr Aaron Harwood; Dr Egemen Tanin,The Internet has become the common medium for contentdistribution. Searching contentusing keywords is well-known. Butthere are many shortcomings to it. Users cannot searchwithin thecontent and on many of the attributes of the content; ie; other thanits name. Contentis also becoming increasingly decentralized. Newmechanisms allowing access to complexdistributed content isneeded. We introduce a hashing-based method for accessingcomplexcontent over large dynamic networks such as peer-to-peer networks; which usesdistributed hash tables in a novel way. In particular; weare interested in spatial content thatis becoming popular indatabases. Our method is scalable; addressing the needs oftodaysnetworks.,*,2003,51
Analysis and evaluation of v*-knn: an efficient algorithm for moving knn queries,Sarana Nutanong; Rui Zhang; Egemen Tanin; Lars Kulik,Abstract The moving k nearest neighbor (M k NN) query continuously finds the k nearestneighbors of a moving query point. M k NN queries can be efficiently processed through theuse of safe regions. In general; a safe region is a region within which the query point canmove without changing the query answer. This paper presents an incremental safe-region-based technique for answering M k NN queries; called the V*-Diagram; as well as analysisand evaluation of its associated algorithm; V*-k NN. Traditional safe-region approachescompute a safe region based on the data objects but independent of the query location. Ourapproach exploits the knowledge of the query location and the boundary of the searchspace in addition to the data objects. As a result; V*-k NN has much smaller I/O andcomputation costs than existing methods. We further provide cost models to estimate the …,The VLDB Journal,2010,49
