Solving Big Data Challenges for Enterprise Application Performance Management,Tilmann Rabl; Mohammad Sadoghi; Hans-Arno Jacobsen; Sergio Gómez-Villamor; Victor Muntés-Mulero; Serge Mankovskii,Abstract As the complexity of enterprise systems increases; the need for monitoring andanalyzing such systems also grows. A number of companies have built sophisticatedmonitoring tools that go far beyond simple resource utilization reports. For example; basedon instrumentation and specialized APIs; it is now possible to monitor single methodinvocations and trace individual transactions across geographically distributed systems. Thishigh-level of detail enables more precise forms of analysis and prediction but comes at theprice of high data rates (ie; big data). To maximize the benefit of data monitoring; the datahas to be stored for an extended period of time for ulterior analysis. This new wave of bigdata analytics imposes new challenges especially for the application performancemonitoring systems. The monitoring data has to be stored in a system that can sustain the …,Proceedings of the VLDB Endowment,2012,209
Efficient event processing through reconfigurable hardware for algorithmic trading,Mohammad Sadoghi; Martin Labrecque; Harsh Singh; Warren Shum; Hans-Arno Jacobsen,Abstract In this demo; we present fpga-ToPSS (Toronto Publish/Subscribe System Family);an efficient event processing platform for high-frequency and low-latency algorithmic trading.Our event processing platform is built over reconfigurable hardware---FPGAs---to achieveline-rate processing. Furthermore; our event processing engine supports Booleanexpression matching with an expressive predicate language that models complex financialstrategies to autonomously buy and sell stocks based on real-time financial data.,Proceedings of the VLDB Endowment,2010,81
BE-Tree: An index structure to efficiently match boolean expressions over high-dimensional discrete space,Mohammad Sadoghi; Hans-Arno Jacobsen,Abstract BE-Tree is a novel dynamic tree data structure designed to efficiently index Booleanexpressions over a high-dimensional discrete space. BE-Tree copes with both high-dimensionality and expressiveness of Boolean expressions by introducing a novel two-phase space-cutting technique that specifically utilizes the discrete and finite domainproperties of the space. Furthermore; BE-Tree employs self-adjustment policies todynamically adapt the tree as the workload changes. We conduct a comprehensiveevaluation to demonstrate the superiority of BE-Tree in comparison with state-of-the-artindex structures designed for matching Boolean expressions.,Proceedings of the 2011 ACM SIGMOD international conference on Management of data,2011,79
Benchmarking declarative approximate selection predicates,Amit Chandel; Oktie Hassanzadeh; Nick Koudas; Mohammad Sadoghi; Divesh Srivastava,Abstract Declarative data quality has been an active research topic. The fundamentalprinciple behind a declarative approach to data quality is the use of declarative statementsto realize data quality primitives on top of any relational data source. A primary advantage ofsuch an approach is the ease of use and integration with existing applications. Over the lastfew years several similarity predicates have been proposed for common quality primitives(approximate selections; joins; etc) and have been fully expressed using declarative SQLstatements. In this paper we propose new similarity predicates along with their declarativerealization; based on notions of probabilistic information retrieval. In particular we show howlanguage models and hidden Markov models can be utilized as similarity predicates for dataquality and present their full declarative instantiation. We also show how other scoring …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,57
Multi-Query Stream Processing on FPGAs,Mohammad Sadoghi; Rija Javed; Naif Tarafdar; Harsh Singh; Rohan Palaniappan; Hans-Arno Jacobsen,We present an efficient multi-query event stream platform to support query processing overhigh-frequency event streams. Our platform is built over reconfigurable hardware--FPGAs--toachieve line-rate multi-query processing by exploiting unprecedented degrees of parallelismand potential for pipelining; only available through custom-built; application-specific and low-level logic design. Moreover; a multi-query event stream processing engine is at the core ofa wide range of applications including real-time data analytics; algorithmic trading; targetedadvertisement; and (complex) event processing.,Proceedings of 28th International Conference on Data Engineering (ICDE 2012),2012,33
Towards highly parallel event processing through reconfigurable hardware,Mohammad Sadoghi; Harsh Singh; Hans-Arno Jacobsen,Abstract We present fpga-ToPSS (Toronto Publish/Subscribe System); an efficient eventprocessing platform to support high-frequency and low-latency event matching. fpga-ToPSSis built over reconfigurable hardware---FPGAs---to achieve line-rate processing by exploringvarious degrees of parallelism. Furthermore; each of our proposed FPGA-based designs isgeared towards a unique application requirement; such as flexibility; adaptability; scalability;or pure performance; such that each solution is specifically optimized to attain a high level ofparallelism. Therefore; each solution is formulated as a design trade-off between the degreeof parallelism versus the desired application requirement. Moreover; our event processingengine supports Boolean expression matching with an expressive predicate languageapplicable to a wide range of applications including real-time data analysis; algorithmic …,Proceedings of the 7th International Workshop on Data Management on New Hardware (DaMoN 2011),2011,30
Accuracy of approximate string joins using grams,Oktie Hassanzadeh; Mohammad Sadoghi; Renée J Miller,ABSTRACT Approximate join is an important part of many data cleaning and integrationmethodologies. Various similarity measures have been proposed for accurate and efficientmatching of string attributes. The accuracy of the similarity measures highly depends on thecharacteristics of the data such as amount and type of the errors and length of the strings.Recently; there has been an increasing interest in using methods based on q-grams(substrings of length q) made out of the strings; mainly due to their high efficiency. In thiswork; we evaluate the accuracy of the similarity measures used in these methodologies. Wepresent an overview of several similarity measures based on q-grams. We then thoroughlycompare their accuracy on several datasets with different characteristics. Since the efficiencyof approximate joins depend on the similarity threshold they use; we study how the value …,Proceedings of the 5th International Workshop on Quality in Databases (QDB 2007),2007,25
Flexible query processor on FPGAs,Mohammadreza Najafi; Mohammad Sadoghi; Hans-Arno Jacobsen,Abstract In this work; we demonstrate Flexible Query Processor (FQP); an onlinereconfigurable event stream query processor. FQP is an FPGA-based query processor thatsupports select; project and join queries over event streams at line rate. While processingincoming events; FQP can accept new query expressions; a key distinguishing characteristicfrom related approaches employing FPGAs for acceleration. Our solution aims to addressperformance limitations experienced with general purpose processors needing to operate atline rate and lack of on the fly reconfigurability with custom designed hardware solutions onFPGAs.,Proceedings of the VLDB Endowment,2013,23
Relevance Matters: Capitalizing on Less (Top-k Matching in Publish/Subscribe),Mohammad Sadoghi; Hans-Arno Jacobsen,The efficient processing of large collections of Boolean expressions plays a central role inmajor data intensive applications ranging from user-centric processing and personalizationto real-time data analysis. Emerging applications such as computational advertising andselective information dissemination demand determining and presenting to an end-user onlythe most relevant content that is both user-consumable and suitable for limited screen realestate of target devices. To retrieve the most relevant content; we present BE*-Tree; a novelindexing data structure designed for effective hierarchical top-k pattern matching; which asits by-product also reduces the operational cost of processing millions of patterns. To furtherreduce processing cost; BE*-Tree employs an adaptive and non-rigid space-cuttingtechnique designed to efficiently index Boolean expressions over a high-dimensional …,2012 IEEE 28th International Conference on Data Engineering (ICDE),2012,23
Safe distribution and parallel execution of data-centric workflows over the publish/subscribe abstraction,Mohammad Sadoghi; Martin Jergler; Hans-Arno Jacobsen; Richard Hull; Roman Vaculin,In this work; we develop an approach for the safe distribution and parallel execution of data-centric workflows over the publish/subscribe abstraction. In essence; we design a uniquerepresentation of data-centric workflows; specifically designed to exploit the loosely coupledand distributed nature of publish/subscribe systems. Furthermore; we argue for thepracticality and expressiveness of our approach by mapping a standard and industry-strength data-centric workflow model; namely; IBM Business Artifacts with Guard-Stage-Milestone (GSM); into the publish/subscribe abstraction. In short; the contributions of thiswork are three-fold:(1) mapping of data-centric workflows into publish/subscribe to achievedistributed and parallel execution;(2) detailed theoretical analysis of the mapping; and (3)formulation of the complexity of the optimal workflow distribution over the publish …,IEEE Transactions on Knowledge and Data Engineering,2015,20
