Tree-pattern queries on a lightweight XML processor,Mirella M Moro; Zografoula Vagena; Vassilis J Tsotras,Abstract Popular XML languages; like XPath; use" tree-pattern" queries to select nodesbased on their structural characteristics. While many processing methods have already beenproposed for such queries; none of them has found its way to any of the existing" lightweight"XML engines (ie engines without optimization modules). The main reason is the lack of asystematic comparison of query methods under a common storage model. In this work; weaim to fill this gap and answer two important questions: what the relative similarities andimportant differences among the tree-pattern query methods are; and if there is a prominentmethod among them in terms of effectiveness and robustness that an XML processor shouldsupport. For the first question; we propose a novel classification of the methods according totheir matching process. We then describe a common storage model and demonstrate that …,Proceedings of the 31st international conference on Very large data bases,2005,67
Collaboration recommendation on academic social networks,Giseli Rabello Lopes; Mirella M Moro; Leandro Krug Wives; José Palazzo Moreira De Oliveira,Abstract In the academic context; scientific research works are often performed throughcollaboration and cooperation between researchers and research groups. Researcherswork in various subjects and in several research areas. Identifying new partners to executejoint research and analyzing the level of cooperation of the current partners can be verycomplex tasks. Recommendation of new collaborations may be a valuable tool forreinforcing and discovering such partners. This paper presents an innovative approach torecommend collaborations on the context of academic Social Networks. Specifically; weintroduce the architecture for such approach and the metrics involved in recommendingcollaborations. We also present an initial case study to validate our approach.,International Conference on Conceptual Modeling,2010,62
Preserving XML queries during schema evolution,Mirella M Moro; Susan Malaika; Lipyeow Lim,Abstract In XML databases; new schema versions may be released as frequently as onceevery two weeks. This poster describes a taxonomy of changes for XML schema evolution. Itexamines the impact of those changes on schema validation and query evaluation. Basedon that study; it proposes guidelines for XML schema evolution and for writing queries insuch a way that they continue to operate as expected across evolving schemas.,Proceedings of the 16th international conference on World Wide Web,2007,56
Twig query processing over graph-structured xml data,Zografoula Vagena; Mirella M Moro; Vassilis J Tsotras,Abstract XML and semi-structured data is usually modeled using graph structures. Structuralsummaries; which have been proposed to speedup XML query processing have graphforms as well. The existent approaches for evaluating queries over tree structured data (iedata whose underlying structure is a tree) are not directly applicable when the data ismodeled as a random graph. Moreover; they cannot be applied when structural summariesare employed and; to the best of our knowledge; no analogous techniques have beenreported for this case either. As a result; the potential of structural summaries is not fullyexploited. In this paper; we investigate query evaluation techniques applicable to graph-structured data. We propose efficient algorithms for the case of directed acyclic graphs;which appear in many real world situations. We then tailor our approaches to handle …,Proceedings of the 7th International Workshop on the Web and Databases: colocated with ACM SIGMOD/PODS 2004,2004,48
Early profile pruning on XML-aware publish-subscribe systems,Mirella M Moro; Petko Bakalov; Vassilis J Tsotras,Abstract Publish-subscribe applications are an important class of content-baseddissemination systems where the message transmission is defined by the message content;rather than its destination IP address. With the increasing use of XML as the standard formaton many Internet-based applications; XML aware pub-sub applications become necessary.In such systems; the messages (generated by publishers) are encoded as XML documents;and the profiles (defined by subscribers) as XML query statements. As the number ofdocuments and query requests grow; the performance and scalability of the matching phase(ie matching of queries to incoming documents) become vital. Current solutions have limitedor no flexibility to prune out queries in advance. In this paper; we overcome such limitationby proposing a novel early pruning approach called Bounding-based XML Filtering or …,Proceedings of the 33rd international conference on Very large data bases,2007,42
Sentiment-based influence detection on Twitter,Carolina Bigonha; Thiago NC Cardoso; Mirella M Moro; Marcos A Gonçalves; Virgílio AF Almeida,Abstract The user generated content available in online communities is easy to create andconsume. Lately; it also became strategically important to companies interested in obtainingpopulation feedback on products; merchandising; etc. One of the most important onlinecommunities is Twitter: recent statistics report 65 million new tweets each day. However;processing this amount of data is very costly and a big portion of the content is simply notuseful for strategic analysis. Thus; in order to filter the data to be analyzed; we propose anew method for ranking the most influential users in Twitter. Our approach is based on acombination of the user position in networks that emerge from Twitter relations; the polarityof her opinions and the textual quality of her tweets. Our experimental evaluation shows thatour approach can successfully identify some of the most influential users and that …,Journal of the Brazilian Computer Society,2012,33
Detecting evangelists and detractors on twitter,Carolina Bigonha; Thiago NC Cardoso; Mirella M Moro; Virgílio AF Almeida; Marcos A Gonçalves,ABSTRACT Social networking websites provide a suitable environment for interaction andtopic discussion. With the growing popularity of online communities; estimulated by theeasiness with which content can be created and consumed; some of this content becamestrategical for companies interested in obtaining population feedback for products;personalities; etc. One of the most important of such websites is Twitter: recent statisticsreport 50 million of new tweets each day. However; processing this amount of data is verycostly and a big part of it is simply not useful for strategic analysis. In this paper; we proposea new technique for ranking the most influential users in Twitter based on a combination ofthe user position in the network topology; the polarity of her opinions and the textual qualityof her tweets. In addition; we develop and compare two methods for calculating the …,18th Brazilian symposium on multimedia and the web,2010,32
Using link semantics to recommend collaborations in academic social networks,Michele A Brandão; Mirella M Moro; Giseli Rabello Lopes; José PM Oliveira,Abstract Social network analysis (SNA) has been explored in many contexts with differentgoals. Here; we use concepts from SNA for recommending collaborations in academicnetworks. Recent work shows that research groups with well connected academic networkstend to be more prolific. Hence; recommending collaborations is useful for increasing agroup's connections; then boosting the group research as a collateral advantage. In thiswork; we propose two new metrics for recommending new collaborations or intensification ofexisting ones. Each metric considers a social principle (homophily and proximity) that isrelevant within the academic context. The focus is to verify how these metrics influence in theresulting recommendations. We also propose new metrics for evaluating therecommendations based on social concepts (novelty; diversity and coverage) that have …,Proceedings of the 22nd International Conference on World Wide Web,2013,29
Ranking strategy for graduate programs evaluation,Giseli Rabello Lopes; Mirella M Moro; Roberto Da Silva; Eduardo M Barbosa; José Palazzo Moreira de Oliveira,Abstract—The demand for quality assessment criteria and associated evaluation methods inacademia is increasing and has been the focus of many studies in the last decade. Thisgrowth arises due to the pursuit of academic excellence and support for the decision makingof funding agencies. The high pressure from such scenario requires quality criteriaobjectively defined. In this paper; we develop an assessment procedure for graduateprograms evaluation based on the internal collaborations among their research groups.These collaborations are evaluated through analysis on co-authorships networks based onnovel metrics of social interaction. Furthermore; our procedure is easily reproduced and maybe customized for evaluating any set of research groups. Our experiments show that theranking provided by our metrics are according to the based (which is the official ranking …,Procs. of ICITA,2011,28
Roxsum: Leveraging data aggregation and batch processing for xml routing,Zografoula Vagena; Mirella M Moro; Vassilis J Tsotras,Content-based routing is the primary form of communication within publish/subscribesystems. In those systems data transmission is performed by sophisticated overlay networksof content-based routers; which match data messages against registered subscriptions andforward them based on this matching. Despite their inherent complexities; such systems areexpected to deliver information in a timely and scalable fashion. As a result; their successfuldeployment is a strenuous task. Relevant efforts have so far focused on the construction ofthe overlay network and the filtering of messages at each broker. However; the efficienttransmission of messages has received less attention. In this work; we propose a solutionthat gracefully handles the transmission task; while providing performance benefits for thematching task as well. Along those lines; we design RoXSum; a message representation …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,28
