A fast coarse filtering method for peptide identification by mass spectrometry,Smriti R Ramakrishnan; Rui Mao; Aleksey A Nakorchevskiy; John T Prince; Willard S Willard; Weijia Xu; Edward M Marcotte; Daniel P Miranker,Abstract Motivation: We reformulate the problem of comparing mass-spectra by mappingspectra to a vector space model. Our search method leverages a metric space indexingalgorithm to produce an initial candidate set; which can be followed by any fine rankingscheme. Results: We consider three distance measures integrated into a multi-vantage pointindex structure. Of these; a semi-metric fuzzy-cosine distance using peptide precursor massconstraints performs the best. The index acts as a coarse; lossless filter with respect to theSEQUEST and ProFound scoring schemes; reducing the number of distance computationsand returned candidates for fine filtering to about 0.5% and 0.02% of the databaserespectively. The fuzzy cosine distance term improves specificity over a peptide precursormass filter; reducing the number of returned candidates by an order of magnitude. Run …,Bioinformatics,2006,48
Overcoming the challenge of variety: big data abstraction; the next evolution of data management for AAL communication systems,Rui Mao; Honglong Xu; Wenbo Wu; Jianqiang Li; Yan Li; Minhua Lu,With the extensive use of information technology in AAL communication systems; a datamanagement model has recently embodied the 3-V characteristics of big data: volume;velocity; and variety. A lot of work has been done on volume and velocity; but not as muchhas been reported on variety. To handle the variety of data; universal solutions withacceptable performance are usually much more cost effective than customized solutions. Toachieve universality; a basic idea is to first define a universal abstraction that covers a widerange of data types; and then build a universal system for universal abstraction. Traditionaldatabase management systems commonly use a multidimensional data type; or featurevectors; as a universal abstraction. However; many new data types in AAL systems cannotbe abstracted into multidimensional space. To find a more universal data abstraction and …,IEEE Communications Magazine,2015,47
Influential community search in large networks,Rong-Hua Li; Lu Qin; Jeffrey Xu Yu; Rui Mao,Abstract Community search is a problem of finding densely connected subgraphs that satisfythe query conditions in a network; which has attracted much attention in recent years.However; all the previous studies on community search do not consider the influence of acommunity. In this paper; we introduce a novel community model called k-influentialcommunity based on the concept of k-core; which can capture the influence of a community.Based on the new community model; we propose a linear-time online search algorithm tofind the top-r k-influential communities in a network. To further speed up the influentialcommunity search algorithm; we devise a linear-space index structure which supportsefficient search of the top-r k-influential communities in optimal time. We also propose anefficient algorithm to maintain the index when the network is frequently updated. We …,Proceedings of the VLDB Endowment,2015,46
Efficient core maintenance in large dynamic graphs,Rong-Hua Li; Jeffrey Xu Yu; Rui Mao,The k-core decomposition in a graph is a fundamental problem for social network analysis.The problem of k-core decomposition is to calculate the core number for every node in agraph. Previous studies mainly focus on k-core decomposition in a static graph. There existsa linear time algorithm for k-core decomposition in a static graph. However; in many real-world applications such as online social networks and the Internet; the graph typicallyevolves overtime. In such applications; a key issue is to maintain the core numbers of nodeswhen the graph changes overtime. A simple implementation is to perform the linear timealgorithm to recompute the core number for every node after the graph is updated. Suchsimple implementation is expensive when the graph is very large. In this paper; we proposea new efficient algorithm to maintain the core number for every node in a dynamic graph …,IEEE Transactions on Knowledge and Data Engineering,2014,45
Fine-grained localization for multiple transceiver-free objects by using RF-based technologies,Dian Zhang; Kezhong Lu; Rui Mao; Yuhong Feng; Yunhuai Liu; Zhong Ming; Lionel M Ni,In traditional radio-based localization methods; the target object has to carry a transmitter(eg; active RFID); a receiver (eg; 802.11× detector); or a transceiver (eg; sensor node).However; in some applications; such as safe guard systems; it is not possible to meet thisprecondition. In this paper; we propose a model of signal dynamics to allow the tracking of atransceiver-free object. Based on radio signal strength indicator (RSSI); which is readilyavailable in wireless communication; three centralized tracking algorithms; and onedistributed tracking algorithm are proposed to eliminate noise behaviors and improveaccuracy. The midpoint and intersection algorithms can be applied to track a single objectwithout calibration; while the best-cover algorithm has higher tracking accuracy but requirescalibration. The probabilistic cover algorithm is based on distributed dynamic clustering. It …,IEEE Transactions on Parallel and Distributed Systems,2014,42
Relay node placement based on balancing power consumption in wireless sensor networks,Kezhong Lu; Gang Liu; Rui Mao; Yuchun Feng,To alleviate the traffic burden of sensor nodes and extend the network lifetime in wirelesssensor networks; one approach is to deploy a large number of low-cost micro-relay nodesfor routing data. The question is how to deploy a minimum number of relay nodes in thesensing field with network lifetime constraint. If relay nodes are uniformly placed; the issue ofuneven power consumption arises as relay nodes closer to the sink are required to relaymore data and thus will deplete their energy more quickly. Here; the authors study the relaynode deployment problem under the assumption that the relay node has the same energysupply as the sensor node. Based on balancing power consumption among all sensornodes and relay nodes; the authors deduce a relay node density function according to whichrelay nodes are placed in the sensing field. Simulation results show that the approach …,IET wireless sensor systems,2011,35
An assessment of a metric space database index to support sequence homology,Rui Mao; Weijia Xu; Neha Singh; Daniel P Miranker,Hierarchical metric-space clustering methods have been commonly used to organizeproteomes into taxonomies. Consequently; it is often anticipated that hierarchical clusteringcan be leveraged as a basis for scalable database index structures capable of managing thehyper-exponential growth of sequence data. M-tree is one such data structure specializedfor the management of large data sets on disk. We explore the application of M-trees to thestorage and retrieval of peptide sequence data. Exploiting a technique first suggested byMyers; we organize the database as records of fixed length substrings. Empirical results arepromising. However; metric-space indexes are subject to" the curse of dimensionality" andthe ultimate performance of an index is sensitive to the quality of the initial construction of theindex. We introduce new hierarchical bulk-load algorithm that alternates between top …,International Journal on Artificial Intelligence Tools,2005,32
Diversity-aware retrieval of medical records,Jianqiang Li; Chunchen Liu; Bo Liu; Rui Mao; Yongcai Wang; Shi Chen; Ji-Jiang Yang; Hui Pan; Qing Wang,Abstract The widely adoption of Electronic Medical Records (EMRs) causes an explosivegrowth of the medical and clinical data. It makes the medical search technologies becomecritical to find useful patient information in the large medical dataset. However; the highquality medical search is a challenging task; in particular due to the inherent complexity andambiguity of medical terminology. In this paper; by exploiting the uncertainty in ambiguousmedical queries; we propose a novel semantic-based approach to achieve the diversity-aware retrieval of EMRs; ie; both the relevance and novelty are considered for EMR ranking.With the support of medical domain ontologies; we first mine all the potential semantics(concepts and relations between them) from a user query and consume them to model themultiple query aspects. Then; we propose a novel diversification strategy; which …,Computers in Industry,2015,26
On optimizing distance-based similarity search for biological databases,Rui Mao; Weijia Xu; Smriti Ramakrishnan; Glen Nuckolls; Daniel P Miranker,Similarity search leveraging distance-based index structures is increasingly being used forboth multimedia and biological database applications. We consider distance-basedindexing for three important biological data types; protein k-mers with the metric PAM model;DNA k-mers with Hamming distance and peptide fragmentation spectra with a pseudo-metric derived from cosine distance. To date; the primary driver of this research has beenmultimedia applications; where similarity functions are often Euclidean norms on highdimensional feature vectors. We develop results showing that the character of thesebiological workloads is different from multimedia workloads. In particular; they are notintrinsically very high dimensional; and deserving different optimization heuristics. Based onMVP-trees; we develop a pivot selection heuristic seeking centers and show it …,Computational Systems Bioinformatics Conference; 2005. Proceedings. 2005 IEEE,2005,26
Pivot selection for metric-space indexing,Rui Mao; Peihan Zhang; Xingliang Li; Xi Liu; Minhua Lu,Abstract Metric-space indexing abstracts various data types into universal metric spaces andprunes data only exploiting the triangle inequality of the distance function in metric spaces.Since there is no coordinates in metric space; one usually first pick a number of referencepoints; pivots; and consider the distances from a data point to the pivots as its coordinates. Inthis paper; we first survey and discuss the state of the art of pivot selection for metric-spaceindexing from the perspectives of importance; objective function; number of pivots; andselection algorithm. Further; we propose a new objective function; a new method todetermine the number of pivots and an incremental sampling framework for pivot selection.Experimental results show that the new objective function is more consistent with the queryperformance; the new method to determine the number of pivots is more efficient; and the …,International Journal of Machine Learning and Cybernetics,2016,25
Mobios: a metric-space dbms to support biological discovery,Daniel Miranker; Weijia Xu; Rui Mao,MoBIoS is a specialized database management system whose storage manager is basedon metricspace indexing; and whose query language entails biological data types. Whenrelational database management systems are used to support biological data; importantdata types are relegated to blob and unstructured text fields. Thus; even simple; but criticalqueries are executed by sequentially dumping the data to utilities outside the database.MoBIoS provides O (log n) physical access to diverse biological data types as well asuniform logical and syntactic access. Consequently; MoBIoS provides a framework wherecomplex bioinformatic algorithms may be effectively expressed and executed as concisedeclarative SQL-like (Structured Query Language) queries.,Scientific and Statistical Database Management; 2003. 15th International Conference on,2003,25
Localization algorithm based on maximum a posteriori in wireless sensor networks,Kezhong Lu; Xiaohua Xiang; Dian Zhang; Rui Mao; Yuhong Feng,Many applications and protocols in wireless sensor networks need to know the locations ofsensor nodes. A low-cost method to localize sensor nodes is to use received signal strengthindication (RSSI) ranging technique together with the least-squares trilateration. However;the average localization error of this method is large due to the large ranging error of RSSIranging technique. To reduce the average localization error; we propose a localizationalgorithm based on maximum a posteriori. This algorithm uses the Baye's formula to deducethe probability density of each sensor node's distribution in the target region from RSSIvalues. Then; each sensor node takes the point with the maximum probability density as itsestimated location. Through simulation studies; we show that this algorithm outperforms theleast-squares trilateration with respect to the average localization error.,International Journal of Distributed Sensor Networks,2011,23
Pivot selection: Dimension reduction for distance-based indexing,Rui Mao; Willard L Miranker; Daniel P Miranker,Abstract Distance-based indexing exploits only the triangle inequality to answer similarityqueries in metric spaces. Lacking coordinate structure; mathematical tools in R n can onlybe applied indirectly; making it difficult to theoretically study metric-space indexing. Towardsolving this problem; a common algorithmic step is to select a small number of specialpoints; called pivots; and map the data objects to a low-dimensional space; one dimensionfor each pivot; where each dimension represents the distances of a pivot to the data objects.We formalize a “pivot space model” where all the data objects are used as pivots such thatdata is mapped from metric space to R n; preserving all the pairwise distances under L∞.With this model; it can be shown that the indexing problem in metric space can beequivalently studied in R n. Further; we show the necessity of dimension reduction for R n …,Journal of Discrete Algorithms,2012,22
On random walk based graph sampling,Rong-Hua Li; Jeffrey Xu Yu; Lu Qin; Rui Mao; Tan Jin,Random walk based graph sampling has been recognized as a fundamental technique tocollect uniform node samples from a large graph. In this paper; we first present acomprehensive analysis of the drawbacks of three widely-used random walk based graphsampling algorithms; called re-weighted random walk (RW) algorithm; Metropolis-Hastingsrandom walk (MH) algorithm and maximum-degree random walk (MD) algorithm. Then; toaddress the limitations of these algorithms; we propose two general random walk basedalgorithms; named rejection-controlled Metropolis-Hastings (RCMH) algorithm andgeneralized maximum-degree random walk (GMD) algorithm. We show that RCMHbalances the tradeoff between the limitations of RW and MH; and GMD balances the tradeoffbetween the drawbacks of RW and MD. To further improve the performance of our …,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,15
