Tensor decompositions for learning latent variable models,Animashree Anandkumar; Rong Ge; Daniel Hsu; Sham M Kakade; Matus Telgarsky,Abstract This work considers a computationally and statistically efficient parameterestimation method for a wide class of latent variable models—including Gaussian mixturemodels; hidden Markov models; and latent Dirichlet allocation—which exploits a certaintensor structure in their low-order observable moments (typically; of second-and third-order).Specifically; parameter estimation is reduced to the problem of extracting a certain(orthogonal) decomposition of a symmetric tensor derived from the moments; thisdecomposition can be viewed as a natural generalization of the singular valuedecomposition for matrices. Although tensor decompositions are generally intractable tocompute; the decomposition of these specially structured tensors can be efficiently obtainedby a variety of approaches; including power iterations and maximization approaches …,The Journal of Machine Learning Research,2014,464
Computing a nonnegative matrix factorization--provably,Sanjeev Arora; Rong Ge; Ravindran Kannan; Ankur Moitra,Abstract The Nonnegative Matrix Factorization (NMF) problem has a rich history spanningquantum mechanics; probability theory; data analysis; polyhedral combinatorics;communication complexity; demography; chemometrics; etc. In the past decade NMF hasbecome enormously popular in machine learning; where the factorization is computed usinga variety of local search heuristics. Vavasis recently proved that this problem is NP-complete. We initiate a study of when this problem is solvable in polynomial time. Consider anonnegative mxn matrix $ M $ and a target inner-dimension r. Our results are the following:-We give a polynomial-time algorithm for exact and approximate NMF for every constant r.Indeed NMF is most interesting in applications precisely when r is small. We complementthis with a hardness result; that if exact NMF can be solved in time (nm) o (r); 3-SAT has a …,Proceedings of the forty-fourth annual ACM symposium on Theory of computing,2012,244
Learning topic models--going beyond SVD,Sanjeev Arora; Rong Ge; Ankur Moitra,Topic Modeling is an approach used for automatic comprehension and classification of datain a variety of settings; and perhaps the canonical application is in uncovering thematicstructure in a corpus of documents. A number of foundational works both in machinelearning and in theory have suggested a probabilistic model for documents; wherebydocuments arise as a convex combination of (ie distribution on) a small number of topicvectors; each topic vector being a distribution on words (ie a vector of word-frequencies).Similar models have since been used in a variety of application areas; the Latent DirichletAllocation or LDA model of Blei et al. is especially popular. Theoretical studies of topicmodeling focus on learning the model's parameters assuming the data is actually generatedfrom it. Existing approaches for the most part rely on Singular Value Decomposition (SVD) …,Foundations of Computer Science (FOCS); 2012 IEEE 53rd Annual Symposium on,2012,239
A practical algorithm for topic modeling with provable guarantees,Sanjeev Arora; Rong Ge; Yonatan Halpern; David Mimno; Ankur Moitra; David Sontag; Yichen Wu; Michael Zhu,Abstract Topic models provide a useful method for dimensionality reduction and exploratorydata analysis in large text corpora. Most approaches to topic model learning have beenbased on a maximum likelihood objective. Efficient algorithms exist that attempt toapproximate this objective; but they have no provable guarantees. Recently; algorithmshave been introduced that provide provable bounds; but these algorithms are not practicalbecause they are inefficient and not robust to violations of model assumptions. In this paperwe present an algorithm for learning topic models that is both provable and practical. Thealgorithm produces results comparable to the best MCMC implementations while runningorders of magnitude faster.,International Conference on Machine Learning,2013,206
Escaping from saddle points—online stochastic gradient for tensor decomposition,Rong Ge; Furong Huang; Chi Jin; Yang Yuan,Abstract We analyze stochastic gradient descent for optimizing non-convex functions. Inmany cases for non-convex functions the goal is to find a reasonable local minimum; and themain concern is that gradient updates are trapped in\em saddle points. In this paper weidentify\em strict saddle property for non-convex problem that allows for efficientoptimization. Using this property we show that from an\em arbitrary starting point; stochasticgradient descent converges to a local minimum in a polynomial number of iterations. To thebest of our knowledge this is the first work that gives\em global convergence guarantees forstochastic gradient descent on non-convex functions with exponentially many local minimaand saddle points. Our analysis can be applied to orthogonal tensor decomposition; which iswidely used in learning a rich class of latent variable models. We propose a new …,Conference on Learning Theory,2015,205
A tensor spectral approach to learning mixed membership community models,Animashree Anandkumar; Rong Ge; Daniel Hsu; Sham Kakade,Abstract Modeling community formation and detecting hidden communities in networks is awell studied problem. However; theoretical analysis of community detection has been mostlylimited to models with non-overlapping communities such as the stochastic block model. Inthis paper; we remove this restriction; and consider a family of probabilistic network modelswith overlapping communities; termed as the mixed membership Dirichlet model; firstintroduced in Aioroldi et. al (2008). This model allows for nodes to have fractionalmemberships in multiple communities and assumes that the community memberships aredrawn from a Dirichlet distribution. We propose a unified approach to learning these modelsvia a tensor spectral decomposition method. Our estimator is based on low-order momenttensor of the observed network; consisting of 3-star counts. Our learning method is fast …,Conference on Learning Theory,2013,164
Provable bounds for learning some deep representations,Sanjeev Arora; Aditya Bhaskara; Rong Ge; Tengyu Ma,Abstract We give algorithms with provable guarantees that learn a class of deep nets in thegenerative model view popularized by Hinton and others. Our generative model is an nnode multilayer network that has degree at most nγ for some γ< 1 and each edge has arandom edge weight in [− 1; 1]. Our algorithm learns almost all networks in this class withpolynomial running time. The sample complexity is quadratic or cubic depending upon thedetails of the model. The algorithm uses layerwise learning. It is based upon a novel idea ofobserving correlations among features and using these to infer the underlying edgestructure via a global graph recovery procedure. The analysis of the algorithm revealsinteresting structure of neural nets with random edge weights.,International Conference on Machine Learning,2014,152
New algorithms for learning in presence of errors,Sanjeev Arora; Rong Ge,Abstract We give new algorithms for a variety of randomly-generated instances ofcomputational problems using a linearization technique that reduces to solving a system oflinear equations. These algorithms are derived in the context of learning with structurednoise; a notion introduced in this paper. This notion is best illustrated with the learningparities with noise (LPN) problem—well-studied in learning theory and cryptography. In thestandard version; we have access to an oracle that; each time we press a button; returns arandom vector a∈GF(2)^n together with a bit b∈GF(2) that was computed as a· u+ η; whereu∈GF(2)^n is a secret vector; and η∈GF(2) is a noise bit that is 1 with some probability p.Say p= 1/3. The goal is to recover u. This task is conjectured to be intractable. In thestructured noise setting we introduce a slight (?) variation of the model: upon pressing a …,Automata; Languages and Programming,2011,141
New algorithms for learning incoherent and overcomplete dictionaries,Sanjeev Arora; Rong Ge; Ankur Moitra,Abstract In\em sparse recovery we are given a matrix A∈\mathbbR^ n\times m (“thedictionary”) and a vector of the form AX where X is\em sparse; and the goal is to recover X.This is a central notion in signal processing; statistics and machine learning. But inapplications such as\em sparse coding; edge detection; compression and super resolution;the dictionary A is unknown and has to be learned from random examples of the form Y= AXwhere X is drawn from an appropriate distribution—this is the\em dictionary learningproblem. In most settings; A is\em overcomplete: it has more columns than rows. This paperpresents a polynomial-time algorithm for learning overcomplete dictionaries; the onlypreviously known algorithm with provable guarantees is the recent work of Spielman etal.(2012) who who gave an algorithm for the undercomplete case; which is rarely the …,Conference on Learning Theory,2014,118
Matrix completion has no spurious local minimum,Rong Ge; Jason D Lee; Tengyu Ma,Abstract Matrix completion is a basic machine learning problem that has wide applications;especially in collaborative filtering and recommender systems. Simple non-convexoptimization algorithms are popular and effective in practice. Despite recent progress inproving various non-convex algorithms converge from a good initial point; it remains unclearwhy random or arbitrary initialization suffices in practice. We prove that the commonly usednon-convex objective function for matrix completion has no spurious local minima\---all localminima must also be global. Therefore; many popular optimization algorithms such as(stochastic) gradient descent can provably solve matrix completion with\textit {arbitrary}initialization in polynomial time.,Advances in Neural Information Processing Systems,2016,115
