Strabon: a semantic geospatial DBMS,Kostis Kyzirakos; Manos Karpathiotakis; Manolis Koubarakis,Abstract We present Strabon; a new RDF store that supports the state of the art semanticgeospatial query languages stSPARQL and GeoSPARQL. To illustrate the expressive poweroffered by these query languages and their implementation in Strabon; we concentrate onthe new version of the data model stRDF and the query language stSPARQL that we havedeveloped ourselves. Like GeoSPARQL; these new versions use OGC standards torepresent geometries where the original versions used linear constraints. We study theperformance of Strabon experimentally and show that it scales to very large data volumesand performs; most of the times; better than all other geospatial RDF stores it has beencompared with.,International Semantic Web Conference,2012,103
Modeling and querying metadata in the semantic sensor web: The model stRDF and the query language stSPARQL,Manolis Koubarakis; Kostis Kyzirakos,Abstract RDF will often be the metadata model of choice in the Semantic Sensor Web.However; RDF can only represent thematic metadata and needs to be extended if we wantto model spatial and temporal information. For this purpose; we develop the data modelstRDF and the query language stSPARQL. stRDF is a constraint data model that extendsRDF with the ability to represent spatial and temporal data. stSPARQL extends SPARQL forquerying stRDF data. In our extension to RDF; we follow the main ideas of constraintdatabases and represent spatial and temporal objects as quantifier-free formulas in a first-order logic of linear constraints. Thus an important contribution of stRDF is to bring to theRDF world the benefits of constraint databases and constraint-based reasoning so thatspatial and temporal data can be represented in RDF using constraints.,Extended Semantic Web Conference,2010,95
A semantically enabled service architecture for mashups over streaming and stored data,Alasdair JG Gray; Raúl García-Castro; Kostis Kyzirakos; Manos Karpathiotakis; Jean-Paul Calbimonte; Kevin Page; Jason Sadler; Alex Frazer; Ixent Galpin; Alvaro AA Fernandes; Norman W Paton; Oscar Corcho; Manolis Koubarakis; David De Roure; Kirk Martinez; Asunción Gómez-Pérez,Abstract Sensing devices are increasingly being deployed to monitor the physical worldaround us. One class of application for which sensor data is pertinent is environmentaldecision support systems; eg flood emergency response. However; in order to interpret thereadings from the sensors; the data needs to be put in context through correlation with othersensor readings; sensor data histories; and stored data; as well as juxtaposing with mapsand forecast models. In this paper we use a flood emergency response planning applicationto identify requirements for a semantic sensor web. We propose a generic servicearchitecture to satisfy the requirements that uses semantic annotations to support well-informed interactions between the services. We present the SemSor-Grid4Env realisation ofthe architecture and illustrate its capabilities in the context of the example application.,Extended Semantic Web Conference,2011,59
SPARQL query optimization on top of DHTs,Zoi Kaoudi; Kostis Kyzirakos; Manolis Koubarakis,Abstract We study the problem of SPARQL query optimization on top of distributed hashtables. Existing works on SPARQL query processing in such environments have never beenimplemented in a real system; or do not utilize any optimization techniques and thus exhibitpoor performance. Our goal in this paper is to propose efficient and scalable algorithms foroptimizing SPARQL basic graph pattern queries. We augment a known distributed queryprocessing algorithm with query optimization strategies that improve performance in terms ofquery response time and bandwidth usage. We implement our techniques in the systemAtlas and study their performance experimentally in a local cluster.,International Semantic Web Conference,2010,49
Atlas: Storing; updating and querying RDF (S) data on top of DHTs,Zoi Kaoudi; Manolis Koubarakis; Kostis Kyzirakos; Iris Miliaraki; Matoula Magiridou; Antonios Papadakis-Pesaresi,Abstract The RDF (S) data model has been proposed for encoding metadata about Webresources. As more and more Web resources are annotated using RDF (S); there is anurgent need for efficiently dealing with this large volume of data. In this paper; we presentAtlas; a peer-to-peer system for storing; updating and querying RDF (S) data. The Atlassystem has been built using the distributed hash table Bamboo. Atlas was developed in thecontext of project OntoGrid; where it was used as a distributed repository for RDF (S)metadata describing Grid services and resources. The development of Atlas continues inother projects that our group participates currently. This paper gives an overview of the mostrecent version of Atlas and discusses a representative application.,Web Semantics: Science; Services and Agents on the World Wide Web,2010,42
Data models and query languages for linked geospatial data,Manolis Koubarakis; Manos Karpathiotakis; Kostis Kyzirakos; Charalampos Nikolaou; Michael Sioutis,Abstract The recent availability of geospatial information as linked open data has generatednew interest in geospatial query processing and reasoning; a topic with a long tradition ofresearch in the areas of databases and artificial intelligence. In this paper we survey recentadvances in this important research topic; concentrating on issues of data modeling andquerying.,Reasoning Web International Summer School,2012,39
Geographica: A benchmark for geospatial rdf stores (long version),George Garbis; Kostis Kyzirakos; Manolis Koubarakis,Abstract Geospatial extensions of SPARQL like GeoSPARQL and stSPARQL have recentlybeen defined and corresponding geospatial RDF stores have been implemented. However;there is no widely used benchmark for evaluating geospatial RDF stores which takes intoaccount recent advances to the state of the art in this area. In this paper; we develop abenchmark; called Geographica; which uses both real-world and synthetic data to test theoffered functionality and the performance of some prominent geospatial RDF stores.,International Semantic Web Conference,2013,34
A semantic sensor web for environmental decision support applications,Alasdair JG Gray; Jason Sadler; Oles Kit; Kostis Kyzirakos; Manos Karpathiotakis; Jean-Paul Calbimonte; Kevin Page; Raúl García-Castro; Alex Frazer; Ixent Galpin; Alvaro AA Fernandes; Norman W Paton; Oscar Corcho; Manolis Koubarakis; David De Roure; Kirk Martinez; Asunción Gómez-Pérez,Abstract: Sensing devices are increasingly being deployed to monitor the physical worldaround us. One class of application for which sensor data is pertinent is environmentaldecision support systems; eg; flood emergency response. For these applications; the sensorreadings need to be put in context by integrating them with other sources of data about thesurrounding environment. Traditional systems for predicting and detecting floods rely onmethods that need significant human resources. In this paper we describe a semanticsensor web architecture for integrating multiple heterogeneous datasets; including live andhistoric sensor data; databases; and map layers. The architecture provides mechanisms fordiscovering datasets; defining integrated views over them; continuously receiving data inreal-time; and visualising on screen and interacting with the data. Our approach makes …,Sensors,2011,32
SexTant: Visualizing Time-Evolving Linked Geospatial Data.,Konstantina Bereta; Charalampos Nikolaou; Manos Karpathiotakis; Kostis Kyzirakos; Manolis Koubarakis,Abstract. We present SexTant; a Web-based system for the visualization and exploration oftime-evolving linked geospatial data and the creation; sharing; and collaborative editing of“temporally-enriched” thematic maps which are produced by combining different sources ofsuch data.,International Semantic Web Conference (Posters & Demos),2013,22
Challenges for qualitative spatial reasoning in linked geospatial data,Manolis Koubarakis; Kostis Kyzirakos; Manos Karpathiotakis; Charalampos Nikolaou; Michael Sioutis; Stavros Vassos; Dimitrios Michail; Themistoklis Herekakis; Charalampos Kontoes; Ioannis Papoutsis,Abstract Linked geospatial data has recently received attention; as researchers andpractitioners have started tapping the wealth of geospatial information available on the Web.We discuss some core research problems that arise when querying linked geospatial data;and explain why these are relevant for the qualitative spatial reasoning community. Theproblems are presented in the context of our recent work on the models stRDF andstSPARQL and their extensions with indefinite geospatial information.,IJCAI 2011 Workshop on Benchmarks and Applications of Spatial Reasoning (BASR-11),2011,22
Building virtual earth observatories using ontologies; linked geospatial data and knowledge discovery algorithms,Manolis Koubarakis; Michael Sioutis; George Garbis; Manos Karpathiotakis; Kostis Kyzirakos; Charalampos Nikolaou; Konstantina Bereta; Stavros Vassos; Corneliu Octavian Dumitru; Daniela Espinoza-Molina; Katrin Molch; Gottfried Schwarz; Mihai Datcu,Abstract Advances in remote sensing technologies have allowed us to send an ever-increasing number of satellites in orbit around Earth. As a result; satellite image archiveshave been constantly increasing in size in the last few years (now reaching petabyte sizes);and have become a valuable source of information for many science and applicationdomains (environment; oceanography; geology; archaeology; security; etc.). TELEIOS is arecent European project that addresses the need for scalable access to petabytes of EarthObservation data and the discovery of knowledge that can be used in applications. Toachieve this; TELEIOS builds on scientific databases; linked geospatial data; ontologies andtechniques for discovering knowledge from satellite images and auxiliary data sets. In thispaper we outline the vision of TELEIOS (now in its second year); and give details of its …,OTM Confederated International Conferences" On the Move to Meaningful Internet Systems",2012,16
