Bidirectional transformations: A cross-discipline perspective,Krzysztof Czarnecki; J Nathan Foster; Zhenjiang Hu; Ralf Lämmel; Andy Schürr; James F Terwilliger,Abstract The GRACE International Meeting on Bidirectional Transformations was held inDecember 2008 near Tokyo; Japan. The meeting brought together researchers andpractitioners from a variety of sub-disciplines of computer science to share research effortsand help create a new community. In this report; we survey the state of the art andsummarize the technical presentations delivered at the meeting. We also describe someinsights gathered from our discussions and introduce a new effort to establish a benchmarkfor bidirectional transformations.,International Conference on Theory and Practice of Model Transformations,2009,255
Towards automatic model synchronization from model transformations,Yingfei Xiong; Dongxi Liu; Zhenjiang Hu; Haiyan Zhao; Masato Takeichi; Hong Mei,Abstract The metamodel techniques and model transformation techniques provide astandard way to represent and transform data; especially the software artifacts in softwaredevelopment. However; after a transformation is applied; the source model and the targetmodel usually co-exist and evolve independently. How to propagate modifications acrossmodels in different formats still remains as an open problem. In this paper we propose anautomatic approach to synchronizing models that are related by model transformations.Given a unidirectional transformation between metamodels; we can automaticallysynchronize models in the metamodels by propagating modifications across the models. Wehave implemented a model synchronization system supporting the Atlas TransformationLanguage (ATL) and have successfully tested our implementation on several ATL …,Proceedings of the twenty-second IEEE/ACM international conference on Automated software engineering,2007,176
Deriving structural hylomorphisms from recursive definitions,Zhenjiang Hu; Hideya Iwasaki; Masato Takeichi,Abstract In functional programming; small programs are often glued together to construct acomplex program. Program fusion is an optimizing process whereby these small programsare fused into a single one and intermediate data structures are removed. Recent work hasmade it clear that this process is especially successful if the recursive definitions areexpressed in terms of hylomorphisms. In this paper; we propose an algorithm which canautomatically turn all practical recursive definitions into structural hylomorphisms makingprogram fusion be easily applied.,ACM Sigplan Notices,1996,122
Bidirectionalization transformation based on automatic derivation of view complement functions,Kazutaka Matsuda; Zhenjiang Hu; Keisuke Nakano; Makoto Hamana; Masato Takeichi,Abstract Bidirectional transformation is a pair of transformations: a view function and abackward transformation. A view function maps one data structure called source ontoanother called view. The corresponding backward transformation reflects changes in theview to the source. Its practically useful applications include replicated data synchronization;presentation-oriented editor development; tracing software development; and view updatingin the database community. However; developing a bidirectional transformation is hard;because one has to give two mappings that satisfy the bidirectional properties for systemconsistency. In this paper; we propose a new framework for bidirectionalization that canautomatically generate a useful backward transformation from a view function whileguaranteeing that the two transformations satisfy the bidirectional properties. Our …,ACM SIGPLAN Notices,2007,116
Tupling calculation eliminates multiple data traversals,Zhenjiang Hu; Hideya Iwasaki; Masato Takeichi; Akihiko Takano,Abstract Tupling is a well-known transformation tactic to obtain new efficient recursivefunctions by grouping some recursive functions into a tuple. It may be applied to eliminatemultiple traversals over the common data structure. The major difficulty in tuplingtransformation is to find what functions are to be tupled and how to transform the tupledfunction into an efficient one. Previous approaches to tupling transformation are essentiallybased on fold/unfold transformation. Though general; they suffer from the high cost ofkeeping track of function calls to avoid infinite unfolding; which prevents them from beingused in a compiler. To remedy this situation; we propose a new method to expose recursivestructures in recursive definitions and show how this structural information can be exploredfor calculating out efficient programs by means of tupling. Our new tupling calculation …,ACM Sigplan Notices,1997,112
A calculational fusion system HYLO,Yoshiyuki Onoue; Zhenjiang Hu; Hideya Iwasaki; Masato Takeichi,Abstract Fusion; one of the most useful transformation tactics for deriving efficient programs;is the process whereby separate pieces of programs are fused into a single one; leading toan efficient program without intermediate data structures produced. In this paper; we reportour on-going investigation on the design and implementation of an automatic transformationsystem HYLO which performs fusion transformation in a more systematic and more generalway than any other systems. The distinguished point of our system is its calculational featurebased on simple application of transformation laws rather than traditional search-basedtransformations.,*,1997,102
Bidirectionalizing graph transformations,Soichiro Hidaka; Zhenjiang Hu; Kazuhiro Inaba; Hiroyuki Kato; Kazutaka Matsuda; Keisuke Nakano,Abstract Bidirectional transformations provide a novel mechanism for synchronizing andmaintaining the consistency of information between input and output. Despite manypromising results on bidirectional transformations; these have been limited to the context ofrelational or XML (tree-like) databases. We challenge the problem of bidirectionaltransformations within the context of graphs; by proposing a formal definition of a well-behaved bidirectional semantics for UnCAL; ie; a graph algebra for the known UnQL graphquery language. The key to our successful formalization is full utilization of both therecursive and bulk semantics of structural recursion on graphs. We carefully refine theexisting forward evaluation of structural recursion so that it can produce sufficient traceinformation for later backward evaluation. We use the trace information for backward …,ACM Sigplan Notices,2010,100
A library of constructive skeletons for sequential style of parallel programming,Kiminori Matsuzaki; Hideya Iwasaki; Kento Emoto; Zhenjiang Hu,Abstract With the increasing popularity of parallel programming environments such as PCclusters; more and more sequential programmers; with little knowledge about parallelarchitectures and parallel programming; are hoping to write parallel programs. Numerousattempts have been made to develop high-level parallel programming libraries that useabstraction to hide low-level concerns and reduce difficulties in parallel programming.Among them; libraries of parallel skeletons have emerged as a promising way towards thisdirection. Unfortunately; these libraries are not well accepted by sequential programmers;because of incomplete elimination of lower-level details; ad-hoc selection of libraryfunctions; unsatisfactory performance; or lack of convincing application examples. Thispaper addresses principle of designing skeleton libraries of parallel programming and …,Proceedings of the 1st international conference on Scalable information systems,2006,99
A programmable editor for developing structured documents based on bidirectional transformations,Zhenjiang Hu; Shin-Cheng Mu; Masato Takeichi,Abstract This paper presents a novel editor supporting interactive refinement in thedevelopment of structured documents. The user performs a sequence of editing operationson the document view; and the editor automatically derives an efficient and reliabledocument source and a transformation that produces the document view. The editor isunique in its programmability; in the sense that the transformation can be obtained throughediting operations. The main tricks behind are the utilization of the view-updating techniquedeveloped in the database community; and a new bidirectional transformation language thatcannot only describe the relationship between the document source and its view; but alsodata dependency in the view.,Proceedings of the 2004 ACM SIGPLAN symposium on Partial evaluation and semantics-based program manipulation,2004,97
An algebraic approach to bi-directional updating,Shin-Cheng Mu; Zhenjiang Hu; Masato Takeichi,Abstract In many occasions would one encounter the task of maintaining the consistency oftwo pieces of structured data that are related by some transform—synchronising bookmarksin different web browsers; the source and the view in an editor; or views in databases; toname a few. This paper proposes a formal model of such tasks; basing on a programminglanguage allowing injective functions only. The programmer designs the transformation as ifshe is writing a functional program; while the synchronisation behaviour is automaticallyderived by algebraic reasoning. The main advantage is being able to deal with duplicationand structural changes. The result will be integrated to our structure XML editor in theProgrammable Structured Document project.,Asian Symposium on Programming Languages and Systems,2004,93
