A generic framework for monitoring continuous spatial queries over moving objects,Haibo Hu; Jianliang Xu; Dik Lun Lee,Abstract This paper proposes a generic framework for monitoring continuous spatial queriesover moving objects. The framework distinguishes itself from existing work by being the firstto address the location update issue and to provide a common interface for monitoringmixed types of queries. Based on the notion of safe region; the client location updatestrategy is developed based on the queries being monitored. Thus; it significantly reducesthe wireless communication and query reevaluation costs required to maintain the up-to-date query results. We propose algorithms for query evaluation/reevaluation and for saferegion computation in this framework. Enhancements are also proposed to take advantageof two practical mobility assumptions: maximum speed and steady movement. Theexperimental results show that our framework substantially outperforms the traditional …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,336
Processing private queries over untrusted data cloud through privacy homomorphism,Haibo Hu; Jianliang Xu; Chushi Ren; Byron Choi,Query processing that preserves both the data privacy of the owner and the query privacy ofthe client is a new research problem. It shows increasing importance as cloud computingdrives more businesses to outsource their data and querying services. However; mostexisting studies; including those on data outsourcing; address the data privacy and queryprivacy separately and cannot be applied to this problem. In this paper; we propose aholistic and efficient solution that comprises a secure traversal framework and an encryptionscheme based on privacy homomorphism. The framework is scalable to large datasets byleveraging an index-based approach. Based on this framework; we devise secure protocolsfor processing typical queries such as k-nearest-neighbor queries (kNN) on R-tree index.Moreover; several optimization techniques are presented to improve the efficiency of the …,2011 IEEE 27th International Conference on Data Engineering,2011,188
Range nearest-neighbor query,Haibo Hu; Dik Lun Lee,A range nearest-neighbor (RNN) query retrieves the nearest neighbor (NN) for every point ina range. It is a natural generalization of point and continuous nearest-neighbor queries andhas many applications. In this paper; we consider the ranges as (hyper) rectangles andpropose efficient in-memory processing and secondary memory pruning techniques for RNNqueries in both 2D and high-dimensional spaces. These techniques are generalized forkRNN queries; which return the k nearest neighbors for every point in the range. In addition;we devise an auxiliary solution-based index EXO-tree to speed up any type of NN query.EXO-tree is orthogonal to any existing NN processing algorithm and; thus; can betransparently integrated. An extensive empirical study was conducted to evaluate the CPUand I/O performance of these techniques; and the study showed that they are efficient and …,IEEE Transactions on Knowledge and Data Engineering,2006,153
Privacy-conscious location-based queries in mobile environments,Jianliang Xu; Xueyan Tang; Haibo Hu; Jing Du,In location-based services; users with location-aware mobile devices are able to makequeries about their surroundings anywhere and at any time. While this ubiquitous computingparadigm brings great convenience for information access; it also raises concerns overpotential intrusion into user location privacy. To protect location privacy; one typicalapproach is to cloak user locations into spatial regions based on user-specified privacyrequirements; and to transform location-based queries into region-based queries. In thispaper; we identify and address three new issues concerning this location cloakingapproach. First; we study the representation of cloaking regions and show that a circularregion generally leads to a small result size for region-based queries. Second; we develop amobility-aware location cloaking technique to resist trace analysis attacks. Two cloaking …,IEEE Transactions on Parallel and Distributed Systems,2010,112
Distance indexing on road networks,Haibo Hu; Dik Lun Lee; Victor Lee,Abstract The processing of kNN and continuous kNN queries on spatial network databases(SNDB) has been intensively studied recently. However; there is a lack of systematic studyon the computation of network distances; which is the most fundamental difference betweena road network and a Euclidean space. Since the online Dijkstra's algorithm has beenshown to be efficient only for short distances; we propose an efficient index; called distancesignature; for distance computation and query processing over long distances. Distancesignature discretizes the distances between objects and network nodes into categories andthen encodes these categories. To minimize the storage and search costs; we present theoptimal category partition; and the encoding and compression algorithms for the signatures;based on a simplified network topology. By mathematical analysis and experimental …,Proceedings of the 32nd international conference on Very large data bases,2006,111
Semantic location modeling for location navigation in mobile environment,Haibo Hu; Dik-Lun Lee,Location-based applications require a well-formed representation of spatial knowledge.Current location models can be classified into symbolic or geometric models. The formerattempts to represent logical entities and their semantics; but requires a large amount ofmanual effort for describing them. On the other hand; the latter represents the geometriccoordinates but not the semantics. In this paper; we present a semantic location modelwhich preserves topology and distance semantics to support location navigation but at thesame time facilitates programmatic model construction and maintenance. The model isbased on a sound location theory. It is mainly composed of two hierarchies: a locationhierarchy and an exit hierarchy; which can be derived from spatial maps; such as floor plans;without manual intervention. Through a series of model construction algorithms and a real …,Mobile Data Management; 2004. Proceedings. 2004 IEEE International Conference on,2004,107
Fast nearest neighbor search on road networks,Haibo Hu; Dik Lun Lee; Jianliang Xu,Abstract Nearest neighbor (NN) queries have been extended from Euclidean spaces to roadnetworks. Existing approaches are either based on Dijkstra-like network expansion orNN/distance precomputation. The former may cause an explosive number of node accessesfor sparse datasets because all nodes closer than the NN to the query must be visited. Thelatter; eg; the Voronoi Network Nearest Neighbor (VN 3) approach; can handle sparsedatasets but is inappropriate for medium and dense datasets due to its high precomputationand storage overhead. In this paper; we propose a new approach that indexes the networktopology based on a novel network reduction technique. It simplifies the network byreplacing the graph topology with a set of interconnected tree-based structures calledSPIE's. An nd index is developed for each SPIE and our new (k) NN search algorithms on …,International Conference on Extending Database Technology,2006,98
Non-exposure location anonymity,Haibo Hu; Jianliang Xu,Location cloaking has been proposed and well studied to protect user privacy. It blurs theaccurate user location (ie; a point withcoordinates) and replaces it with a well-shapedcloaked region (usually a circle or a rectangle). However; to obtain such a cloaked region;all existing cloaking algorithms require to know the accurate locations of all users. Sincesuch information is exactly what the user wants to hide; these algorithms can work only if allparties involved in the cloaking process are trusted. However; in practice this assumptionrarely holds as any of these parties could be malicious. Therefore; location cloaking withoutexposing the accurate user location to any party is urgently needed. In this paper; wepresent such a non-exposure cloaking algorithm. It is designed for k-anonymity and cloakingis performed based on the proximity information among mobile users; instead of directly …,2009 IEEE 25th International Conference on Data Engineering,2009,85
Proactive caching for spatial queries in mobile environments,Haibo Hu; Jianliang Xu; Wing Sing Wong; Baihua Zheng; Dik Lun Lee; W-C Lee,Semantic caching enables mobile clients to answer spatial queries locally by storing thequery descriptions together with the results. However; it supports only a limited number ofquery types; and sharing results among these types is difficult. To address these issues; wepropose a proactive caching model which caches the result objects as well as the index thatsupports these objects as the results. The cached index enables the objects to be reused forall common types of queries. We also propose an adaptive scheme to cache such an index;which further optimizes the query response time for the best user experience. Simulationresults show that proactive caching achieves a significant performance gain over pagecaching and semantic caching in mobile environments where wireless bandwidth andbattery are precious resources.,21st International Conference on Data Engineering (ICDE'05),2005,75
When location-based services meet databases,Dik Lun Lee; Manli Zhu; Haibo Hu,Abstract As location-based services (LBSs) grow to support a larger and larger usercommunity and to provide more and more intelligent services; they must face a fewfundamental challenges; including the ability to not only accept coordinates as location databut also manipulate high-level semantics of the physical environment. They must alsohandle a large amount of location updates and client requests and be able to scale up astheir coverage increases. This paper describes some of our research in location modelingand updates and techniques for enhancing system performance by caching and batchprocessing. It can be observed that the challenges facing LBSs share a lot of similarity withtraditional database research (ie; data modeling; indexing; caching; and query optimization)but the fact that LBSs are built into the physical space and the opportunity to exploit …,Mobile Information Systems,2005,55
