The R*-tree: an efficient and robust access method for points and rectangles,Norbert Beckmann; Hans-Peter Kriegel; Ralf Schneider; Bernhard Seeger,Abstract The R-tree; one of the most popular access methods for rectangles; is based on theheuristic optimization of the area of the enclosing rectangle in each inner node. By runningnumerous experiments in a standardized testbed under highly varying data; queries andoperations; we were able to design the R*-tree which incorporates a combined optimizationof area; margin and overlap of each enclosing rectangle in the directory. Using ourstandardized testbed in an exhaustive performance comparison; it turned out that the R*-treeclearly outperforms the existing R-tree variants. Guttman's linear and quadratic R-tree andGreene's variant of the R-tree. This superiority of the R*-tree holds for different types ofqueries and operations; such as map overlay; for both rectangles and multidimensionalpoints in all experiments. From a practical point of view the R*-tree is very attractive …,Acm Sigmod Record,1990,5817
Progressive skyline computation in database systems,Dimitris Papadias; Yufei Tao; Greg Fu; Bernhard Seeger,Abstract The skyline of a d-dimensional dataset contains the points that are not dominatedby any other point on all dimensions. Skyline computation has recently receivedconsiderable attention in the database community; especially for progressive methods thatcan quickly return the initial results without reading the entire database. All the existingalgorithms; however; have some serious shortcomings which limit their applicability inpractice. In this article we develop branch-and-bound skyline (BBS); an algorithm based onnearest-neighbor search; which is I/O optimal; that is; it performs a single access only tothose nodes that may contain skyline points. BBS is simple to implement and supports alltypes of progressive processing (eg; user preferences; arbitrary dimensionality; etc).Furthermore; we propose several interesting variations of skyline computation; and show …,ACM Transactions on Database Systems (TODS),2005,865
An optimal and progressive algorithm for skyline queries,Dimitris Papadias; Yufei Tao; Greg Fu; Bernhard Seeger,Abstract The skyline of a set of d-dimensional points contains the points that are notdominated by any other point on all dimensions. Skyline computation has recently receivedconsiderable attention in the database community; especially for progressive (or online)algorithms that can quickly return the first skyline points without having to read the entiredata file. Currently; the most efficient algorithm is NN (< u> n</u> earest< u> n</u>eighbors); which applies the divide-and-conquer framework on datasets indexed by R-trees.Although NN has some desirable features (such as high speed for returning the initialskyline points; applicability to arbitrary data distributions and dimensions); it also presentsseveral inherent disadvantages (need for duplicate elimination if d> 2; multiple accesses ofthe same node; large space overhead). In this paper we develop BBS (< u> b</u> ranch …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,858
Efficient processing of spatial joins using R-trees,Thomas Brinkhoff; Hans-Peter Kriegel; Bernhard Seeger,Abstract Spatial joins are one of the most important operations for combining spatial objectsof several relations. The efficient processing of a spatial join is extremely important since itsexecution time is superlinear in the number of spatial objects of the participating relations;and this number of objects may be very high. In this paper; we present a first detailed studyof spatial join processing using R-trees; particularly R*-trees. R-trees are very suitable forsupporting spatial queries and the R*-tree is one of the most efficient members of the R-treefamily. Starting from a straightforward approach; we present several techniques forimproving its execution time with respect to both; CPU-and I/O-time. Eventually; we end upwith an algorithm whose total execution time is improved over the first approach by an orderof magnitude. Using a buffer of reasonable size; I/O-time is almost optimal; ie it almost …,ACM SIGMOD Record,1993,852
An asymptotically optimal multiversion B-tree,Bruno Becker; Stephan Gschwind; Thomas Ohler; Bernhard Seeger; Peter Widmayer,Abstract In a variety of applications; we need to keep track of the development of a data setover time. For maintaining and querying these multiversion data efficiently; external storagestructures are an absolute necessity. We propose a multiversion B-tree that supportsinsertions and deletions of data items at the current version and range queries and exactmatch queries for any version; current or past. Our multiversion B-tree is asymptoticallyoptimal in the sense that the time and space bounds are asymptotically the same as those ofthe (single-version) B-tree in the worst case. The technique we present for transforming a(single-version) B-tree into a multiversion B-tree is quite general: it applies to a number ofhierarchical external access structures with certain properties directly; and it can be modifiedfor others.,The VLDB Journal—The International Journal on Very Large Data Bases,1996,423
Multi-step processing of spatial joins,Thomas Brinkhoff; Hans-Peter Kriegel; Ralf Schneider; Bernhard Seeger,Abstract Spatial joins are one of the most important operations for combining spatial objectsof several relations. In this paper; spatial join processing is studied in detail for extendedspatial objects in two-dimensional data space. We present an approach for spatial joinprocessing that is based on three steps. First; a spatial join is performed on the minimumbounding rectangles of the objects returning a set of candidates. Various approaches foraccelerating this step of join processing have been examined at the last year's conference[BKS 93a]. In this paper; we focus on the problem how to compute the answers from the setof candidate which is handled by the following two steps. First of all; sophisticatedapproximations are used to identify answers as well as to filter out false hits from the set ofcandidates. For this purpose; we investigate various types of conservative and …,ACM SIGMOD Record,1994,344
Slim-trees: High performance metric trees minimizing overlap between nodes,Caetano Traina; Agma Traina; Bernhard Seeger; Christos Faloutsos,Abstract In this paper we present the Slim-tree; a dynamic tree for organizing metric datasetsin pages of fixed size. The Slim-tree uses the “fat-factor” which provides a simple way toquantify the degree of overlap between the nodes in a metric tree. It is well-known that thedegree of overlap directly affects the query performance of index structures. There are manysuggestions to reduce overlap in multidimensional index structures; but the Slim-tree is thefirst metric structure explicitly designed to reduce the degree of overlap. Moreover; wepresent new algorithms for inserting objects and splitting nodes. The new insertion algorithmleads to a tree with high storage utilization and improved query performance; whereas thenew split algorithm runs considerably faster than previous ones; generally without sacrificingsearch performance. Results obtained from experiments with real-world data sets show …,International Conference on Extending Database Technology,2000,339
Efficient computation of reverse skyline queries,Evangelos Dellis; Bernhard Seeger,Abstract In this paper; for the first time; we introduce the concept of Reverse Skyline Queries.At first; we consider for a multidimensional data set P the problem of dynamic skyline queriesaccording to a query point q. This kind of dynamic skyline corresponds to the skyline of atransformed data space where point q becomes the origin and all points of P arerepresented by their distance vector to q. The reverse skyline query returns the objectswhose dynamic skyline contains the query object q. In order to compute the reverse skylineof an arbitrary query point; we first propose a Branch and Bound algorithm (called BBRS);which is an improved customization of the original BBS algorithm. Furthermore; we identify asuper set of the reverse skyline that is used to bound the search space while computing thereverse skyline. To further reduce the computational cost of determining if a point belongs …,Proceedings of the 33rd international conference on Very large data bases,2007,278
The Buddy Effect: An efficient and robust access method for spatial data base systems,Bernhard Seeger; Hans-Peter Kriegel,In this paper; we propose a new multidimensional access method; called the buddy-tree; tosupport point as well as spatial data in a dynamic environment. The buddy-tree can be seenas a compromise of the R-tree and the grid file; but it is fundamentally different from each ofthem. Because grid files loose performance for highly correlated data; the buddy-tree isdesigned to organize such data very efficiently; partitioning only such parts of the data spacewhich contain data and not partitioning empty data space. The directory consists of a veryflexible partitioning and reorganization scheme based on a generalization of the buddy-system. As for B-trees; the buddy-tree fulfills the property that insertions and deletions arerestricted to exactly one path of the directory. Additional important properties which are notfulfilled in this combination by any other multidimensional tree-based access method are …,*,1990,271
Fast indexing and visualization of metric data sets using slim-trees,Caetano Traina; Agma Traina; Christos Faloutsos; Bernhard Seeger,Many recent database applications need to deal with similarity queries. For suchapplications; it is important to measure the similarity between two objects using the distancebetween them. Focusing on this problem; this paper proposes the slim-tree; a new dynamictree for organizing metric data sets in pages of fixed size. The slim-tree uses the triangleinequality to prune the distance calculations that are needed to answer similarity queriesover objects in metric spaces. The proposed insertion algorithm uses new policies to selectthe nodes where incoming objects are stored. When a node overflows; the slim-tree uses aminimal spanning tree to help with the splitting. The new insertion algorithm leads to a treewith high storage utilization and improved query performance. The slim-tree is a metricaccess method that tackles the problem of overlaps between nodes in metric spaces and …,IEEE Transactions on Knowledge and Data Engineering,2002,230
A generic approach to bulk loading multidimensional index structures,Jochen Van den Bercken; Bernhard Seeger; Peter Widmayer,Abstract: Recently there has been an increasing interest in supporting bulk operations onmultidimensional index structures. Bulk loading refers to the process of creating an initialindex structure for a presumably very large data set. In this paper; we present a genericalgorithm for bulk loading which is applicable to a broad class of index structures. Ourapproach differs completely from previous ones for the following reasons. First; sortingmultidimensional data according to a predefined global ordering is completely avoided.Instead; our approach is based on the standard routines for splitting and merging pageswhich are already fully implemented in the corresponding index structure. Second; incontrast to inserting records one by one; our approach is based on the idea of insertingmultiple records simultaneously. As an example we demonstrate in this paper how to …,VLDB,1997,170
Parallel processing of spatial joins using R-trees,Thomas Brinkhoff; H-P Kriegel; Bernhard Seeger,We show that spatial joins are very suitable to be processed on a parallel hardware platform.The parallel system is equipped with a so called shared virtual memory which is well suitedfor the design and implementation of parallel spatial join algorithms. We start with analgorithm that consists of three phases: task creation; task assignment and parallel taskexecution. In order to reduce CPU and I/O cost; the three phases are processed in a fashionthat preserves spatial locality. Dynamic load balancing is achieved by splitting tasks intosmaller ones and reassigning some of the smaller tasks to idle processors. In anexperimental performance comparison; we identify the advantages and disadvantages ofseveral variants of our algorithm. The most efficient one shows an almost optimal speed upunder the assumption that the number of disks is sufficiently large.,Data Engineering; 1996. Proceedings of the Twelfth International Conference on,1996,165
Techniques for design and implementation of efficient spatial access methods,H Kriegel; B Seeger,Abstract In order to handle spatial data efficiently; as required in computer aided design andgeo-data applications; a database management system (DBMS) needs an access methodthat will help it retrieve data items quickly according to their spatial location. In this paper wepresent a classification of existing spatial access methods and show that they use one of thefollowing three techniques: clipping; overlapping regions; and transformation. From apractical point of view we provide a tool box supporting simple design of a spatial accessmethod for a given point access method using one of the above techniques. We analyze thetechnique of transformation in more detail and show that our new concept of asymmetricpartitioning is more retrieval efficient than the traditional symmetric approach. Furthermorewe suggest a hybrid method combining the techniques of overlapping regions and …,Proceedings of the 14th VLDB Conference,1988,160
Semantics and implementation of continuous sliding window queries over data streams,Jürgen Krämer; Bernhard Seeger,Abstract In recent years the processing of continuous queries over potentially infinite datastreams has attracted a lot of research attention. We observed that the majority of workaddresses individual stream operations and system-related issues rather than thedevelopment of a general-purpose basis for stream processing systems. Furthermore;example continuous queries are often formulated in some declarative query languagewithout specifying the underlying semantics precisely enough. To overcome thesedeficiencies; this article presents a consistent and powerful operator algebra for datastreams which ensures that continuous queries have well-defined; deterministic results. Inanalogy to traditional database systems; we distinguish between a logical and a physicaloperator algebra. While the logical algebra specifies the semantics of the individual …,ACM Transactions on Database Systems (TODS),2009,155
PIPES: a public infrastructure for processing and exploring streams,Jürgen Krämer; Bernhard Seeger,Abstract PIPES is a flexible and extensible infrastructure providing fundamental buildingblocks to implement a data stream management system (DSMS). It is seamlessly integratedinto the Java library XXL [1; 2; 3] for advanced query processing and extends XXL's scopetowards continuous data-driven query processing over autonomous data sources.,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,124
Progressive Merge Join: A Generic and Non-Blocking Sort-Based Join Algorithm** This work has been supported by grant no. SE 553/2-2 from DFG.,Jens-Peter Dittrich; Bernhard Seeger; David Scot Taylor; Peter Widmayer,This chapter presents a generic technique called progressive merge join (PMJ) thateliminates the blocking behavior of sort-based join algorithms. The basic idea behind PMJ isto have the join produce results; as early as the external mergesort generates initial runs.Many state-of-the-art join techniques require the input relations to be almost fully sortedbefore the actual join processing starts. Thus; these techniques start producing first resultsonly after a considerable time has passed. This blocking behavior is a serious problemwhen consequent operators have to stop processing in order to wait for first results of thejoin. Furthermore; this behavior is not acceptable if the result of the join is visualized or/andrequires user interaction. These are typical scenarios for data mining applications. The off-time of existing techniques even increases with growing problem sizes.Progressive …,*,2002,124
Design and Implementation of a Geographic Search Engine.,Alexander Markowetz; Yen-Yu Chen; Torsten Suel; Xiaohui Long; Bernhard Seeger,ABSTRACT In this paper; we describe the design and initial implementation of a geographicsearch engine prototype for Germany; based on a large crawl of the de domain. Geographicsearch engines provide a flexible interface to the Web that allows users to constrain andorder search results in an intuitive manner; by focusing a query on a particular geographicregion. Geographic search technology has recently received significant commercial interest;but there has been only a limited amount of academic work. Our prototype performs massiveextraction of geographic features from crawled data; which are then mapped to coordinatesand aggregated across link and site structure. This assigns to each web page a set ofrelevant locations; called the geographic footprint of the page. The resulting footprint data isthen integrated into a high-performance query processor on a cluster-based architecture …,WebDB,2005,119
XXL-a library approach to supporting efficient implementations of advanced database queries,J v Bercken; Björn Blohsfeld; Jens-Peter Dittrich; Jürgen Krämer; Tobias Schäfer; Martin Schneider; Bernhard Seeger,Abstract Today's DBMS are still too inflexible to adapt fast enough to the query processingneeds of new applications [CW00]. Instead of using the cumbersome functionality of amonolithic DBMS; it is not uncommon that users implement their own functionality on top ofthe system. For such a scenario; the implementation would be substantially facilitatedthrough a powerful library. This paper introduces XXL (eXtensible and fleX-ible Library); ahigh-level; easy-to-use; platform independent Java library supporting the implementation ofnew query functionality. XXL provides framework implementations as well as toolboxeswhose applications are independent from the underlying data types and data structures. Weintroduce the most important concepts of XXL and discuss different application scenarioswhere XXL has been used recently. In particular; we show how an implementation of an …,Proc. of the Conf. on Very Large Databases (VLDB),2001,112
Performance comparison of point and spatial access methods,Hans-Peter Kriegel; Michael Schiwietz; Ralf Schneider; Bernhard Seeger,Abstract In the past few years a large number of multidimensional point access methods;also called multiattribute index structures; has been suggested; all of them claiming goodperformance. Since no performance comparison of these structures under arbitrary (stronglycorrelated nonuniform; short" ugly") data distributions and under various types of querieshas been performed; database researchers and designers were hesitant to use any of thesenew point access methods. As shown in a recent paper; such point access methods are notonly important in traditional database applications. In new applications such as CAD/CIMand geographic or environmental information systems; access methods for spatial objectsare needed. As recently shown such access methods are based on point access methods interms of functionality and performance. Our performance comparison naturally consists of …,Symposium on Large Spatial Databases,1989,108
Spatial join selectivity using power laws,Christos Faloutsos; Bernhard Seeger; Agma Traina; Caetano Traina Jr,Abstract We discovered a surprising law governing the spatial join selectivity across two setsof points. An example of such a spatial join is “find the libraries that are within 10 miles ofschools”. Our law dictates that the number of such qualifying pairs follows a power law;whose exponent we call “pair-count exponent”(PC). We show that this law also holds for self-spatial-joins (“find schools within 5 miles of other schools”) in addition to the general casethat the two point-sets are distinct. Our law holds for many real datasets; including diverseenvironments (geographic datasets; feature vectors from biology data; galaxy data fromastronomy). In addition; we introduce the concept of the Box-Occupancy-Product-Sum(BOPS) plot; and we show that it can compute the pair-count exponent in a timely manner;reducing the run time by orders of magnitude; from quadratic to linear. Due to the pair …,ACM SIGMOD Record,2000,105
Data redundancy and duplicate detection in spatial join processing,J-P Dittrich; Bernhard Seeger,The partition-based spatial-merge join (PBSM) of JM Patel and DJ DeWitt (1996) and thesize separation spatial join (S/sup 3/J) of N. Koudas and KC Sevcik (1997) are considered tobe among the most efficient methods for processing spatial (intersection) joins on two ormore spatial relations. Neither method assumes the presence of pre-existing spatial indiceson the relations. In this paper; we propose several improvements to these join algorithms. Inparticular; we deal with the impact of data redundancy and duplicate detection on theperformance of these methods. For PBSM; we present a simple and inexpensive onlinemethod to detect duplicates in the response set. There is no longer any need to eliminateduplicates in a final sorting phase; as was originally suggested. We also investigate theimpact of different internal algorithms on the total run-time of PBSM. For S/sup 3/J; we …,Data Engineering; 2000. Proceedings. 16th International Conference on,2000,100
Multi-disk B-trees,Bernhard Seeger; Per-Åke Larson,Dept. of Computer Science; University of Waterloo Waterloo; Ontario; Canada; N2L 3G1 weconsider how to exploit multiple disks to improve the performance of B-tree structured files.Attention is paid both to the response time of individual operations and to the throughput ofthe system in a multi-user environment. We begin with a survey of three different approachesto designing multi-disk B-trees: distributing records among disks; using large multi-diskpages; and distributing pages among disks. For each approach; several alternatives arediscussed and their main advantages and disadvantages are identified. We then propose anew scheme; based on page distribution; that is intended to provide a better local balancingof the request load than previous schemes. Preliminary performance results confirm that thisirrproves both response time and throughput.,ACM SIGMOD Record,1991,95
Efficient computation of temporal aggregates with range predicates,Donhui Zhang; Alexander Markowetz; Vassilis Tsotras; Dimitrios Gunopulos; Bernhard Seeger,Abstract A temporal aggregation query is an important but costly operation for applicationsthat maintain time-evolving data (data warehouses; temporal databases; etc.). Due to thelarge volume of such data; performance improvements for temporal aggregation queries arecritical. In this paper we examine techniques to compute temporal aggregates that includekey-range predicates (range temporal aggregates). In particular we concentrate on SUM;COUNT and AVG aggregates. This problem is novel; to handle arbitrary key ranges;previous methods would need to keep a separate index for every possible key range. Wepropose an approach based on a new index structure called the Multiversion SB-Tree;which incorporates features from both the SB-Tree and the Multiversion B-Tree; to handlearbitrary key-range temporal SUM; COUNT and AVG queries. We analyze the …,Proceedings of the twentieth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2001,90
A temporal foundation for continuous queries over data streams,Jürgen Krämer; Bernhard Seeger,ABSTRACT Despite the surge of research in continuous stream processing; there is still asemantical gap. In many cases; continuous queries are formulated in an enriched SQL-likequery language without specifying the semantics of such a query precisely enough. Toovercome this problem; we present a sound and well defined temporal operator algebraover data streams ensuring deterministic query results of continuous queries. In analogy totraditional database systems; we distinguish between a logical and physical operatoralgebra. While our logical operator algebra specifies the semantics of each operation in adescriptive way over temporal multisets; the physical operator algebra provides adequateimplementations in form of stream-to-stream operators. We show that query plans built witheither the logical or the physical algebra produce snapshot-equivalent results. Moreover …,*,2004,84
Multidimensional order preserving linear hashing with partial expansions,Hans-Peter Kriegel; Bernhard Seeger,Abstract We present a new multidimensional dynamic hashing scheme without directoryintended for files which grow and shrink dynamically. For previous schemes; the retrievalperformance either suffers from a superlinearly growing directory or from an unevendistribution of the records over the pages of a file even for uniform record distribution. Ourscheme is a multidimensional order preserving extension of (one-dimensional) linearhashing with partial expansions and thus overcomes these disadvantages. For uniformdistribution our scheme performs better than its competitors which is underligned byexperimental runs with an implementation of our scheme. In the last section we give a briefoutline of the quantile method which guarantees that our scheme performs for a non-uniformdistribution practically as well as for a uniform distribution. In addition to its excellent …,International Conference on Database Theory,1986,83
An evaluation of generic bulk loading techniques,J Bercken; Bernhard Seeger,Abstract Bulk loading refers to the process of creating an index from scratch for a given dataset. This problem is well understood for B-trees; but so far; non-traditional index structuresreceived modest attention. We are particularly interested in fast generic bulk loadingtechniques whose implementations only employ a small interface that is satisfied by a broadclass of index structures. Generic techniques are very attractive to extensible databasesystems since different user-implemented index structures implementing that small interfacecan be bulk-loaded without any modification of the generic code. The main contribution ofthe paper is the proposal of two new generic and conceptually simple bulk loadingalgorithms. These algorithms recursively partition the input by using a main-memory index ofthe same type as the target index to be build. In contrast to previous generic bulk loading …,Proc. of VLDB,2001,81
Plop-hashing: A grid file without directory,H-P Kriegel; Bernhard Seeger,The authors consider the case of nonuniform weakly correlated or independentmultidimensional record distributions. After demonstrating the advantages ofmultidimensional hashing schemes without directory; they suggest using piecewise linearexpansions to distribute the load more evenly over the pages of the file. The resultingpiecewise linear order preserving hashing scheme (PLOP-hashing) is then compared to thetwo-level grid file; which turned out to be the most popular scheme in practical applications.,Data Engineering; 1988. Proceedings. Fourth International Conference on,1988,78
Temporal and spatio-temporal aggregations over data streams using multiple time granularities,Donghui Zhang; Dimitrios Gunopulos; Vassilis J Tsotras; Bernhard Seeger,Abstract Temporal and spatio-temporal aggregations are important but costly operations forapplications that maintain time-evolving data (data warehouses; temporal databases; etc.).In this paper; we examine the problem of computing such aggregates over data streams.The aggregates are maintained using multiple levels of temporal granularities: older data isaggregated using coarser granularities while more recent data is aggregated with finerdetail. We present specialized indexing schemes for dynamically and progressivelymaintaining temporal and spatio-temporal aggregates. Moreover; these schemes can beparameterized. The levels of granularity as well as their corresponding index sizes (orvalidity lengths) can be dynamically adjusted. This provides a useful trade-off betweenaggregation detail and storage space. Analytical and experimental results show the …,Information Systems,2003,68
A comparison of selectivity estimators for range queries on metric attributes,Björn Blohsfeld; Dieter Korus; Bernhard Seeger,Abstract In this paper; we present a comparison of nonparametric estimation methods forcomputing approximations of the selectivities of queries; in particular range queries. Incontrast to previous studies; the focus of our comparison is on metric attributes with largedomains which occur for example in spatial and temporal databases. We also assume thatonly small sample sets of the required relations are available for estimating the selectivity. Inaddition to the popular histogram estimators; our comparison includes so-called kernelestimation methods. Although these methods have been proven to be among the mostaccurate estimators known in statistics; they have not been considered for selectivityestimation of database queries; so far. We first show how to generate kernel estimators thatdeliver accurate approximate selectivities of queries. Thereafter; we reveal that two …,ACM SIGMOD Record,1999,68
Temporal aggregation over data streams using multiple granularities,Donghui Zhang; Dimitrios Gunopulos; Vassilis J Tsotras; Bernhard Seeger,Abstract Temporal aggregation is an important but costly operation for applications thatmaintain time-evolving data (data warehouses; temporal databases; etc.). In this paper weexamine the problem of computing temporal aggregates over data streams. Suchaggregates are maintained using multiple levels of temporal granularities: older data isaggregated using coarser granularities while more recent data is aggregated with finerdetail. We present specialized indexing schemes for dynamically and progressivelymaintaining temporal aggregates. Moreover; these schemes can be parameterized. Thelevels of granularity as well as their corresponding index sizes (or validity lengths) can bedynamically adjusted. This provides a useful trade-o. between aggregation detail andstorage space. Analytical and experimental results show the efficiency of the proposed …,International Conference on Extending Database Technology,2002,67
GESS: a scalable similarity-join algorithm for mining large data sets in high dimensional spaces,Jens-Peter Dittrich; Bernhard Seeger,Abstract The similarity join is an important operation for mining high-dimensional featurespaces. Given two data sets; the similarity join computes all tuples (x; y) that are within adistance &egr;. One of the most efficient algorithms for processing similarity-joins is theMultidimensional-Spatial Join (MSJ) by Koudas and Sevcik. In our previous work---pursuedfor the two-dimensional case---we found however that MSJ has several performanceshortcomings in terms of CPU and I/O cost as well as memory-requirements. Therefore; MSJis not generally applicable to high-dimensional data. In this paper; we propose a newalgorithm named Generic External Space Sweep (GESS). GESS introduces a modest rate ofdata replication to reduce the number of expensive distance computations. We present anew cost-model for replication; an I/O model; and an inexpensive method for duplicate …,Proceedings of the seventh ACM SIGKDD international conference on Knowledge discovery and data mining,2001,66
The user's view on biodiversity data sharing—Investigating facts of acceptance and requirements to realize a sustainable use of research data—,Neela Enke; Anne Thessen; Kerstin Bach; Jörg Bendix; Bernhard Seeger; Birgit Gemeinholzer,Abstract Data sharing has become an important issue in modern biodiversity research toaddress large scale questions. Despite the steadily growing scientific demand; data are noteasily accessed. Why is this the case? This study explores the reasons for the reluctance toshare data on the one hand and the motivations for sharing on the other by summarisingresults from> 60 interviews and> 700 survey participants within the biodiversity sciencecommunity. As result; there is a clear commitment to share biodiversity data; but also areluctance to actually do so due to a mixture of social and technical impediments; such asloss of control over data and lack of professional reward for sharing. This exploratory studysummarises the formal and technical requirements for data sharing and reuse; stated byvoluntarily participating scientists worldwide. To ensure sustainable data use; user …,Ecological Informatics,2012,65
On optimal multiversion access structures,Bruno Becker; Stephan Gschwind; Thomas Ohler; Bernhard Seeger; Peter Widmayer,Abstract We propose an asymptotically optimal multiversion B-tree. In our setting; insertionsand deletions of data items are allowed only for the present version; whereas range queriesand exact match queries are allowed for any version; present or past. The technique wepresent for transforming a (usual single version) B-tree into a multiversion B-tree is moregeneral: it applies to a number of spatial and non-spatial hierarchical external accessstructures with certain properties directly; and it can be modified for others. For the B-treeand several other hierarchical external access structures; multiversion capabilities come atno extra cost; neither for storage space nor for runtime; asymptotically in the worst case. Theanalysis of the behavior of the multiversion B-tree shows that the constant loss of efficiencyis low enough to make our suggestion not only a theoretical; but also a practical one.,International Symposium on Spatial Databases,1993,65
Efficient temporal join processing using indices,Donghui Zhang; Vassilis J Tsotras; Bernhard Seeger,We examine the problem of processing temporal joins in the presence of indexing schemes.Previous work on temporal joins has concentrated on non-indexed relations which were fullyscanned. Given the large data volumes created by the ever increasing time dimension;sequential scanning is prohibitive. This is especially true when the temporal join involvesonly parts of the joining relations (eg; a given time interval instead of the whole timeline).Utilizing an index becomes then beneficial as it directs the join to the data of interest. Weconsider temporal join algorithms for three representative indexing schemes; namely a B+-tree; an R*-tree and a temporal index; the Multiversion B+-tree (MVBT). Both the B+-tree andR*-tree result in simple but not efficient join algorithms because neither index achieves goodtemporal data clustering. Better clustering is maintained by the MVBT through record …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,63
Reading a set of disk pages,Bernhard Seeger; Per-Ake Larson; Ron McFadyen,Abstract The problem studied in this paper is as follows. Consider a file stored in contiguousspace on disk. Given a list of pages to be retrieved from the file; what is the fastest way ofretrieving them? It is assumed that adjacent pages on disk can be read with a single readrequest. The straightforward solution is to read the desired pages one by one. However; iftwo or more pages are located close to each other it may be faster to read them with a singleread request; possibly even reading some intervening\empty" pages. It is shown that findingan optimal read schedule is equivalent to finding the shortest path in a certain graph. A verysimple approximate algorithm is then introduced and (experimentally) shown to produceschedules that are close to optimal. The expected cost of schedules produced by thisalgorithm is derived. It is found that significant speed-up can be achieved by the simple …,VLDB,1993,62
A revised r*-tree in comparison with related index structures,Norbert Beckmann; Bernhard Seeger,Abstract In this paper we present an improved redesign of the R*-tree that is entirely suitablefor running within a DBMS. Most importantly; an insertion is guaranteed to be restricted to asingle path because re-insertion could be abandoned. We re-engineered both; subtreechoice and split algorithm; to be more robust against specific data distributions and insertionorders; as well as peculiarities often found in real multidimensional data sets. This comesalong with a substantial reduction in CPU-time. Our experimental setup covers a wide rangeof different artificial and real data sets. The experimental comparison shows that the searchperformance of our revised R*-tree is superior to that of its three most important competitors.In comparison to its predecessor; the original R*-tree; the creation of a tree is substantiallyfaster; while the I/O cost required for processing queries is improved by more than 30 …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,54
Hybmig: A hybrid approach to dynamic plan migration for continuous queries,Yin Yang; Jurgen Kramer; Dimitris Papadias; Bernhard Seeger,In data stream environments; the initial plan of a long-running query may gradually becomeinefficient due to changes of the data characteristics. In this case; the query optimizergenerates a more efficient plan based on the current statistics. The online transition from theold to the new plan is called dynamic plan migration. In addition to correctness; an effectivetechnique for dynamic plan migration should achieve the following objectives: 1) minimizethe memory and CPU overhead of the migration; 2) reduce the duration of the transition; and3) maintain a steady output rate. The only known solutions for this problem are the movingstates (MS) and parallel track (PT) strategies; which have some serious shortcomingsrelated to the above objectives. Motivated by these shortcomings; we first propose HybMig;which combines the merits of MS and PT and outperforms both in every aspect. As a …,IEEE Transactions on Knowledge and Data Engineering,2007,44
Constrained subspace skyline computation,Evangelos Dellis; Akrivi Vlachou; Ilya Vladimirskiy; Bernhard Seeger; Yannis Theodoridis,Abstract In this paper we introduce the problem of Constrained Subspace Skyline Queries.This class of queries can be thought of as a generalization of subspace skyline queriesusing range constraints. Although both constrained skyline queries and subspace skylinequeries have been addressed previously; the implications of constrained subspace skylinequeries has not been examined so far. Constrained skyline queries are usually moreexpensive than regular skylines. In case of constrained subspace skyline queries additionalperformance degradation is caused through the projection. In order to support constrainedskylines for arbitrary subspaces; we present approaches exploiting multiple low-dimensionalindexes instead of relying on a single high-dimensional index. Effective pruning strategiesare applied to discard points from dominated regions. An important ingredient of our …,Proceedings of the 15th ACM international conference on Information and knowledge management,2006,44
Query processing techniques for multiversion access methods,Jochen Van den Bercken; Bernhard Seeger,Abstract Multiversion access methods have been emerged in the literature primarily tosupport queries on a transaction-time database where records are never physically deleted.For a popular class of efficient methods (including the multiversion B-tree); data records andindex entries are occasionally duplicated to separate data according to time. In this paper;we present techniques for improving query processing in multiversion access methods. Inparticular; we address the problem of avoiding duplicates in the response sets. We firstdiscuss traditional approaches that eliminate duplicates using hashing and sorting. Next; wepropose two new algorithms for avoiding duplicates without using additional data structures.The one performs queries in a depth-first order starting from a root; whereas the otherexploits links between data pages. These methods are discussed in full details and their …,*,1996,38
A cost-based approach to adaptive resource management in data stream systems,Michael Cammert; Jurgen Kramer; Bernhard Seeger; Sonny Vaupel,Data stream management systems need to adaptively control their resources; since streamcharacteristics and query workload may vary over time. In this paper; we investigate anapproach to adaptive resource management for continuous sliding-window queries thatadjusts window sizes and time granularities to keep resource usage within bounds. Thesetwo novel techniques differ from standard load shedding approaches based on sampling; asthey ensure exact query answers for given user-defined quality of service specifications;even under query reoptimization. In order to quantify the effects of both techniques on thevarious operations in a query plan; we develop an appropriate cost model for estimatingoperator resource allocation in terms of memory usage and processing costs. A thoroughexperimental study not only validates the accuracy of our cost model but also …,IEEE Transactions on Knowledge and Data Engineering,2008,35
