Don't Scrap It; Wrap It! A Wrapper Architecture for Legacy Data Sources.,Mary Tork Roth; Peter M Schwarz,Abstract Garlic is a middleware system that provides an integrated view of a variety of legacydata sources; without changing how or where data is stored. In this paper; we describe ourarchitecture for wrappers; key components of Garlic that encapsulate data sources andmediate between them and the middleware. Garlic wrappers model legacy data as objects;participate in query planning and provide standard interfaces for method invocation andquery execution. To date; we have built wrappers for 10 data sources. Our experienceshows that Garlic wrappers can be written quickly and that our architecture is flexibleenough to accommodate data sources with a variety of data models and a broad range oftraditional and non-traditional query processing capabilities.,VLDB,1997,582
Clio grows up: from research prototype to industrial tool,Laura M Haas; Mauricio A Hernández; Howard Ho; Lucian Popa; Mary Roth,Abstract Clio; the IBM Research system for expressing declarative schema mappings; hasprogressed in the past few years from a research prototype into a technology that is behindsome of IBM's mapping technology. Clio provides a declarative way of specifying schemamappings between either XML or relational schemas. Mappings are compiled into anabstract query graph representation that captures the transformation semantics of themappings. The query graph can then be serialized into different query languages;depending on the kind of schemas and systems involved in the mapping. Clio currentlyproduces XQuery; XSLT; SQL; and SQL/XML queries. In this paper; we revisit thearchitecture and algorithms behind Clio. We then discuss some implementation issues;optimizations needed for scalability; and general lessons learned in the road towards …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,317
Transforming heterogeneous data with database middleware: Beyond integration,LHRMB Niswonger; M Tork Roth; PM Schwarz; EL Wimmers,Many applications today need information from diverse data sources; in which related datamay be represented quite differently. In one common scenario; a DBA wants to add datafrom a new source to an existing warehouse. The data in the new source may not match theexisting warehouse schema. The new data may also be partially redundant with that in theexisting warehouse; or formatted differently. Other applications may need to integrate datamore dynamically; in response to user queries. Even applications using data from a singlesource often want to present it in a form other than that it is stored in. For example; a usermay want to publish some information using a particular XML DTD; though the data is notstored in that form. In each of these scenarios; one or more data sets must be mapped into asingle target representation. Needed transformations may include schema …,Data Engineering,1999,266
Data integration through database federation,Laura M Haas; Eileen Tien Lin; Mary A Roth,In a large modern enterprise; it is almost inevitable that different portions of the organizationwill use different systems to produce; store and search their critical data. Yet; it is only bycombining the information from these various systems that the enterprise can realize the fullvalue of the data they contain. Information integration is a ubiquitous need for today'sbusinesses. Database federation is one approach to information integration in which arelational database management system serves as middleware providing transparentaccess to a number of heterogeneous data sources. The goal of this paper is to demonstratethat database federation is a fundamental tool for information integration. While otherapproaches to information integration may be useful for particular integration problems;database federation has some unique characteristics that make it suitable for a broad …,IBM Systems Journal,2002,192
The garlic project,Mary Tork Roth; Manish Arya; Laura M Haas; Michael J Carey; William Cody; Ronald Fagin; Peter M Schwarz; John Thomas; Edward L Wimmers,The goal of the Garlic [1] project is to build a multimedia information system capable of integratingdata that resides in different database systems as well as in a variety of non-data- base dataservers. This integration must be enabled while maintaining the independence of the dataservers; and without creating copies of their data. “Multimedia” should be inter- preted broadlyto mean not only images; video; and audio; but also text and application specific data types(eg; CAD draw- ings; medical objects; ...). Since much of this data is naturally modeled byobjects; Garlic provides an object-oriented schema to applications; interprets object queries;creates exe- cution plans for sending pieces of queries to the appropriate data servers; and assemblesquery results for delivery back to the applications. A significant focus of the project is supportfor “intelligent” data servers; ie; servers that provide media- specific indexing and query …,Sigmod Record,1996,162
Cost models do matter: Providing cost information for diverse data sources in a federated system,Mary Tork Roth; Laura M Haas; Fatma Ozcan,Abstract An important issue for federated systems of diverse data sources is how to optimizecross-source queries; without building knowledge of individual sources into the optimizer.Garlic is a federated system with an emphasis on extensibility and diverse sources. Toachieve these goals; data sources are attached to Garlic by means of a wrapper. Wrappersparticipate in query planning; telling Garlic what parts of a query a data source can do andhow much it will cost. This paper describes a framework through which wrappers provide thenecessary cost and cardinality information for optimization; and the facilities Garlic providesto make this task easier. Our framework makes it easy for wrappers to provide costinformation; requires few changes to a conventional bottomup optimizer and is easilyextensible to a broad range of sources. We believe that our framework for costing is the …,*,1999,141
Querying multimedia data from multiple repositories by content: the Garlic project,William F Cody; Laura M Haas; Wayne Niblack; Manish Arya; Michael J Carey; Ronald Fagin; Myron Flickner; Denis Lee; Dragutin Petkovic; Peter M Schwarz; Joachim Thomas; M Tork Roth; John H Williams; Edward L Wimmers,Abstract We describe Garlic; an object-oriented multimedia middleware query system. Garlicenables existing data management components; such as a relational database or a full textsearch engine; to be integrated into an extensible information management system thatpresents a common interface and user access tools. We focus in this paper on how QBIC; animage retrieval system that provides content-based image queries; can be integrated intoGarlic. This results in a system in which a single query can combine visual and nonvisualdata using type-specific search techniques; enabling a new breed of multimediaapplications,*,1995,102
Tolerant and extensible discovery of relationships in data using structural information and data analysis,*,Various embodiments of a method; system and article of manufacture to discoverrelationships among a first set of elements and a second set of elements are provided. Atleast one metric algorithm is identified based on a metric selection parameter. A raw result isdetermined based on the at least one metric algorithm; a first specified structural descriptionof the first set of elements and a second specified structural description of the second set ofelements. The raw result comprises a plurality of relationship measurements and the rawresult is ordered. In some embodiments; a balanced result is produced based on the rawresult and a matching strategy algorithm. In other embodiments; the matching strategyalgorithm is identified based on a matching strategy selection parameter.,*,2017,89
Information integration: A new generation of information technology,Mary A Roth; Daniel C Wolfson; JC Kleewein; Constance J Nelin,The explosion of the Internet and e-business in recent years has caused a secondaryexplosion in the amounts and types of information available to enterprise applications.Industry analysts predict that more data will be generated in the next three years than in allof recorded history. Because the adoption of Internet-based business transaction modelshas significantly outpaced the development of tools and technologies to deal with theinformation explosion; many businesses find their systems breaking under the sheer volumeand diversity of data being directed at them. The challenge facing businesses today isinformation integration. Enterprise applications must interact with databases; applicationservers; content management systems; data warehouses; workflow systems; searchengines; message queues; Web crawlers; mining and analysis packages; and other …,IBM systems journal,2002,83
Common interface to access catalog information from heterogeneous databases,*,Various embodiments of a system and computer program product to access metadata from aplurality of data servers from a federated database management system are provided. In oneembodiment; a request for metadata; from a client application; is received by the federateddatabase management system. Data servers which are accessible from the federateddatabase management system are identified. For each data server; metadata describingdata of a data source of that data server is retrieved in accordance with the applicationrequest. The retrieved metadata from each of the data servers is aggregated to produce anaggregated result in a uniform format. The aggregated result is provided. In anotherembodiment; for each data server; a source metadata request for metadata of that dataserver is generated in accordance with the application request and a source metadata …,*,2011,77
Technique for relationship discovery in schemas using semantic name indexing,*,Techniques are provided for semantic matching. A semantic index is created for one or moreschemas; wherein each of the one or more schemas includes one or more word attributes;and wherein each of the one or more word attributes includes one or more tokens; whereinthe semantic index identifies one or more keys and one or more values for each key;wherein each value specifies one of the one or more schemas; a word attribute from thespecified schema; and a token of the specified word attribute; and wherein the specifiedtoken is a synonym of the key. For a source word attribute from one of the one or moreschemas; the source word attribute is used as a key to index the semantic index to identifyone or more matching word attributes.,*,2006,57
Data Wrangling: The Challenging Yourney from the Wild to the Lake.,Ignacio G Terrizzano; Peter M Schwarz; Mary Roth; John E Colino,ABSTRACT Much has been written about the explosion of data; also known as the “datadeluge”. Similarly; much of today's research and decision making are based on the de factoacceptance that knowledge and insight can be gained from analyzing and contextualizingthe vast (and growing) amount of “open” or “raw” data. The concept that the large number ofdata sources available today facilitates analyses on combinations of heterogeneousinformation that would not be achievable via “siloed” data maintained in warehouses is verypowerful. The term data lake has been coined to convey the concept of a centralizedrepository containing virtually inexhaustible amounts of raw (or minimally curated) data thatis readily made available anytime to anyone authorized to perform analytical activities. Theoften unstated premise of a data lake is that it relieves users from dealing with data …,CIDR,2015,48
Using Fagin's algorithm for merging ranked results in multimedia middleware,Edward L Wimmers; Laura M Haas; Mary Tork Roth; Christoph Braendli,A distributed multimedia information system allows users to access data of differentmodalities; from different data sources; ranked by various combinations of criteria. Fagin(1996) gives an algorithm for efficiently merging multiple ordered streams of ranked results;to form a new stream ordered by a combination of those ranks. In this paper we describe theimplementation of Fagin's algorithm in an actual multimedia middleware system; including anovel; incremental version of the algorithm that supports dynamic exploration of data. Weshow that the algorithm would perform well as part of a single multimedia server and caneven be effective in the distributed environment (for a limited set of queries); but that theassumptions it makes about random access limit its applicability dramatically. Ourexperience provides a better understanding of an important algorithm; and exposes an …,Cooperative Information Systems; 1999. CoopIS'99. Proceedings. 1999 IFCIS International Conference on,1999,45
XML mapping technology: Making connections in an XML-centric world,Mary Roth; Mauricio A Hernández; Phil Coulthard; L Yan; Lucian Popa; HC-T Ho; CC Salter,Extensible Markup Language (XML) has grown rapidly over the last decade to become thede facto standard for heterogeneous data exchange. Its popularity is due in large part to theease with which diverse kinds of information can be represented as a result of the self-describing nature and extensibility of XML itself. The ease and speed with which informationcan be represented does not extend; however; to exchanging such information betweenautonomous sources. In the absence of controlling standards; such sources will typicallychoose differing XML representations for the same concept; and the actual exchange ofinformation between them requires that the representation produced by one source betransformed into a representation understood by the other. Creating this informationexchange “glue” is a tedious and error-prone process; whether expressed as Extensible …,IBM Systems Journal,2006,37
Using data mining algorithms including association rules and tree classifications to discover data rules,*,Provided are a method; system; and article of manufacture for using a data mining algorithmto discover data rules. A data set including multiple records is processed to generate datarules for the data set. Each record has a record format including a plurality of fields and eachrule provides a predicted condition for one field based on at least one predictor condition inat least one other field. The generated data rules are provided to a user interface to enable auser to edit the generated data rules. The data rules are stored in a rule repository to beavailable to use to validate data sets having the record format.,*,2010,34
Method and apparatus for semantic search of schema repositories,*,Mechanisms for searching XML repositories for semantically related schemas from a varietyof structured metadata sources; including web services; XSD documents and relationaltables; in databases and Internet applications. A search is formulated as a problem ofcomputing a maximum matching in pairwise bipartite graphs formed from query andrepository schemas. The edges of such a bipartite graph capture the semantic similaritybetween corresponding attributes of the schema based on their name and type semantics.Tight upper and lower bounds are also derived on the maximum matching that can be usedfor fast ranking of matchings whilst still maintaining specified levels of precision and recall.Schema indexing is performed by 'attribute hashing'; in which matching schemas of adatabase are found by indexing using query attributes; performing lower bound …,*,2007,31
Discovering transformations applied to a source table to generate a target table,*,Provided are a method; system; and article of manufacture for discovering transformationsapplied to a source table to generate a target table. Selection is made of a source tablecomprising a plurality of rows and a target table resulting from a transformation applied tothe rows of the source table. A first pre-processing method is applied with respect to columnsin the source and target tables to produce first category pre-processing output. The firstcategory pre-processing output is used to determine first category transformation rules withrespect to at least one source table column and at least one target table column. For eachunpredicted target column in the target table not predicted by the determined first categorytransformation rules; a second pre-processing method is applied to columns in the sourcetable and unpredicted target columns to produce second category pre-processing output …,*,2017,28
Managing validation models and rules to apply to data sets,*,Provided are a method; system; and article of manufacture for managing validation modelsand rules to apply to data sets. A schema definition describing a structure of at least onecolumn in a first data set having a plurality of columns and records providing data for each ofthe columns is received. At least one model is generated; wherein each model assertsconditions for at least one column in a record of the first data set. The schema definition andthe at least one model are stored in a data quality model. Selection is received of a seconddata set and the data quality model. A determination is made as to whether a structure of thesecond data set is compatible with the schema definition in the selected data quality model.Each model in the data quality model is applied to the records in the second data set tovalidate the records in the second data set in response to determining that the structure of …,*,2013,26
Deriving a Data Model From a Hierarchy Of Related Terms; And Deriving a Hierarchy Of Related Terms From a Data Model,*,Various embodiments of a method; system and computer program product generate a datamodel based on a glossary model. The glossary model comprises categories and terms. Atleast one category of the glossary model comprises at least one term of the terms. Thecategories have a hierarchical relationship. The categories are mapped to objects of a datamodel. The terms are mapped to attributes of the data model. The attributes are associatedwith the objects of the data model; wherein a particular attribute of the attributes isassociated with a particular object of the objects that is mapped from a particular category ofthe categories that comprises a particular term of the terms from which the particular attributeis mapped. The objects are associated in a hierarchical relationship based on thehierarchical relationship of the categories. In other embodiments; a method; system and …,*,2008,19
Collaborative derivation of an interface and partial implementation of programming code,*,A method; system and computer program product provide an implementation of software. Acontrol flow of a software component is constructed based on a specification model. Invarious embodiments; the specification model comprises at least one input and at least onerequirement referencing the at least one input. At least a partial implementation of thesoftware component is generated based on the control flow and the at least one input andthe at least one requirement of the specification model. In some embodiments; thespecification model further comprises at least one output; and the at least a partialimplementation of the software component is also based on the at least one output.,*,2012,18
