A brief review of atomic layer deposition: from fundamentals to applications,Richard W Johnson; Adam Hultqvist; Stacey F Bent,Atomic layer deposition (ALD) is a vapor phase technique capable of producing thin films ofa variety of materials. Based on sequential; self-limiting reactions; ALD offers exceptionalconformality on high-aspect ratio structures; thickness control at the Angstrom level; andtunable film composition. With these advantages; ALD has emerged as a powerful tool formany industrial and research applications. In this review; we provide a brief introduction toALD and highlight select applications; including Cu (In; Ga) Se 2 solar cell devices; high-ktransistors; and solid oxide fuel cells. These examples are chosen to illustrate the variety oftechnologies that are impacted by ALD; the range of materials that ALD can deposit–frommetal oxides such as Zn 1− x Sn x O y; ZrO 2; Y 2 O 3; to noble metals such as Pt–and theway in which the unique features of ALD can enable new levels of performance and …,*,2014,321
Distributed; intermittently connected; object-oriented database and management system,*,Disclosed is an object-oriented approach to storage and transmission of retrievable items ina client-server computer environment. Special processing modules manage retrieval andpermanent storage; on client computers; of requested objects in a manner that minimizesunnecessary transmission and storage. The user enters a" subscription" in connection withitems related to hierarchically inferior items. The subscription specifies the amount ofinformation the user desires to download and store locally with respect to a specifiedhierarchical depth level. The invention also includes a pruning module for deleting; fromlocal storage; items inconsistent with the subscription and which the user does not explicitlyindicate a desire to store; and a facility for updating locally stored items upon re-establishment of communication with the server.,*,1996,248
Multicenter; double-blind; randomized; placebo-controlled; parallel-group study of the efficacy; safety; and tolerability of THC: CBD extract and THC extract in patient...,Jeremy R Johnson; Mary Burnell-Nugent; Dominique Lossignol; Elena Doina Ganae-Motan; Richard Potts; Marie T Fallon,Abstract This study compared the efficacy of a tetrahydrocannabinol: cannabidiol (THC:CBD) extract; a nonopioid analgesic endocannabinoid system modulator; and a THCextract; with placebo; in relieving pain in patients with advanced cancer. In total; 177 patientswith cancer pain; who experienced inadequate analgesia despite chronic opioid dosing;entered a two-week; multicenter; double-blind; randomized; placebo-controlled; parallel-group trial. Patients were randomized to THC: CBD extract (n= 60); THC extract (n= 58); orplacebo (n= 59). The primary analysis of change from baseline in mean pain NumericalRating Scale (NRS) score was statistically significantly in favor of THC: CBD compared withplacebo (improvement of− 1.37 vs.− 0.69); whereas the THC group showed a nonsignificantchange (− 1.01 vs.− 0.69). Twice as many patients taking THC: CBD showed a reduction …,Journal of pain and symptom management,2010,235
Shore-MT: a scalable storage manager for the multicore era,Ryan Johnson; Ippokratis Pandis; Nikos Hardavellas; Anastasia Ailamaki; Babak Falsafi,Abstract Database storage managers have long been able to efficiently handle multipleconcurrent requests. Until recently; however; a computer contained only a few single-coreCPUs; and therefore only a few transactions could simultaneously access the storagemanager's internal structures. This allowed storage managers to use non-scalableapproaches without any penalty. With the arrival of multicore chips; however; this situation israpidly changing. More and more threads can run in parallel; stressing the internalscalability of the storage manager. Systems optimized for high performance at a limitednumber of cores are not assured similarly high performance at a higher core count; becauseunanticipated scalability obstacles arise. We benchmark four popular open-source storagemanagers (Shore; BerkeleyDB; MySQL; and PostgreSQL) on a modern multicore …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,196
Data-oriented transaction execution,Ippokratis Pandis; Ryan Johnson; Nikos Hardavellas; Anastasia Ailamaki,Abstract While hardware technology has undergone major advancements over the pastdecade; transaction processing systems have remained largely unchanged. The number ofcores on a chip grows exponentially; following Moore's Law; allowing for an ever-increasingnumber of transactions to execute in parallel. As the number of concurrently-executingtransactions increases; contended critical sections become scalability burdens. In typicaltransaction processing systems the centralized lock manager is often the first contendedcomponent and scalability bottleneck. In this paper; we identify the conventional thread-to-transaction assignment policy as the primary cause of contention. Then; we design DORA; asystem that decomposes each transaction to smaller actions and assigns actions to threadsbased on which data each action is about to access. DORA's design allows each thread …,Proceedings of the VLDB Endowment,2010,180
European adolescent substance use: the roles of family structure; function and gender,Paul McArdle; Auke Wiegersma; Eilish Gilvarry; Birgitta Kolte; Steven McCarthy; Michael Fitzgerald; Aoife Brinkley; Maria Blom; Ingo Stoeckel; Anna Pierolini; Ingo Michels; Rob Johnson; Stephan Quensel,Results Living with both parents was associated with reduced levels of drug use in four citiesbut not in Dublin; due perhaps to the high availability from peers in that city. It was not associatedwith reduced levels of regular drinking. The effect of confiding in mother was evident in all citiesand in relation to substance use in general. However; when a delinquency variable was addedto the logistic regressions; its significance in relation to polydrug use disappeared. Supervisionwas somewhat more important in relation to male than female drug use … Conclusion Livingwith both parents is a less robust barrier to substance use than qualitative aspects of familylife; particularly attachment to mothers. The latter is a robust inhibitor of substance use irrespectiveof regional differences in drug availability; weakening only in the face of more generally problematicbehaviour. Perhaps because of their greater tendency to risk-taking or rule breaking …,Addiction,2002,178
Database servers on chip multiprocessors: Limitations and opportunities,Nikos Hardavellas; Ippokratis Pandis; Ryan Johnson; Naju Mancheril; Anastassia Ailamaki; Babak Falsafi,ABSTRACT Prior research shows that database system performance is dominated by off-chip data stalls; resulting in a concerted effort to bring data into on-chip caches. At the sametime; high levels of integration have enabled the advent of chip multiprocessors andincreasingly large (and slow) on-chip caches. These two trends pose the imminent technicaland research challenge of adapting high-performance data management software to ashifting hardware landscape. In this paper we characterize the performance of a commercialdatabase server running on emerging chip multiprocessor technologies. We find that themajor bottleneck of current software is data cache stalls; with L2 hit stalls rising from oblivionto become the dominant execution time component in some cases. We analyze the sourceof this shift and derive a list of features for future database designs to attain maximum …,*,2007,171
Aether: a scalable approach to logging,Ryan Johnson; Ippokratis Pandis; Radu Stoica; Manos Athanassoulis; Anastasia Ailamaki,Abstract The shift to multi-core hardware brings new challenges to database systems; as thesoftware parallelism determines performance. Even though database systems traditionallyaccommodate simultaneous requests; a multitude of synchronization barriers serializeexecution. Write-ahead logging is a fundamental; omnipresent component in ARIES-styleconcurrency and recovery; and one of the most important yet-to-be addressed potentialbottlenecks; especially in OLTP workloads making frequent small changes to data. In thispaper; we identify four logging-related impediments to database system scalability. Eachissue challenges different level in the software architecture:(a) the high volume of small-sized I/O requests may saturate the disk;(b) transactions hold locks while waiting for the logflush;(c) extensive context switching overwhelms the OS scheduler with threads executing …,Proceedings of the VLDB Endowment,2010,104
Aloe vera; hydrocortisone; and sterol influence on wound tensile strength and anti-inflammation,Robert H Davis; JJ DiDonato; RW Johnson; Christopher B Stewart,Aloe vera at doses of 100 and 300 mg/kg daily for 4 days blocked the wound healingsuppression of hydrocortisone acetate up to 100% using the wound tensile strength assay.This response was because of the growth factors present in A. vera masking the woundhealing inhibitors such as sterols and certain amino acids. The sterols showed good anti-inflammatory activity (-36%) in reducing the croton oil-induced ear swelling. This activitydisplayed a dose-response relationship.,Journal of the American Podiatric Medical Association,1994,103
Selective metal deposition at graphene line defects by atomic layer deposition,Kwanpyo Kim; Richard W Johnson; Jukka T Tanskanen; Nan Liu; Myung-Gil Kim; Changhyun Pang; Chiyui Ahn; Stacey F Bent; Zhenan Bao,Abstract One-dimensional defects in graphene have a strong influence on its physicalproperties; such as electrical charge transport and mechanical strength. With enhancedchemical reactivity; such defects may also allow us to selectively functionalize the materialand systematically tune the properties of graphene. Here we demonstrate the selectivedeposition of metal at chemical vapour deposited graphene's line defects; notably grainboundaries; by atomic layer deposition. Atomic layer deposition allows us to deposit Ptpredominantly on graphene's grain boundaries; folds and cracks due to the enhancedchemical reactivity of these line defects; which is directly confirmed by transmission electronmicroscopy imaging. The selective functionalization of graphene defect sites; together withthe nanowire morphology of deposited Pt; yields a superior platform for sensing …,Nature communications,2014,98
