Aspect-oriented programming,Gregor Kiczales; John Lamping; Anurag Mendhekar; Chris Maeda; Cristina Lopes; Jean-Marc Loingtier; John Irwin,Abstract We have found many programming problems for which neither procedural norobject-oriented programming techniques are sufficient to clearly capture some of theimportant design decisions the program must implement. This forces the implementation ofthose design decisions to be scattered throughout the code; resulting in “tangled” code thatis excessively difficult to develop and maintain. We present an analysis of why certaindesign decisions have been so difficult to clearly capture in actual code. We call theproperties these decisions address aspects; and show that the reason they have been hardto capture is that they cross-cut the system's basic functionality. We present the basis for anew programming technique; called aspect-oriented programming; that makes it possible toclearly express programs involving such aspects; including appropriate isolation …,European conference on object-oriented programming,1997,9795
An overview of AspectJ,Gregor Kiczales; Erik Hilsdale; Jim Hugunin; Mik Kersten; Jeffrey Palm; William G Griswold,Abstract AspectJ™ is a simple and practical aspect-oriented extension to Java.. With just afew new constructs; AspectJ provides support for modular implementation of a range ofcrosscutting concerns. In AspectJ's dynamic join point model; join points are well-definedpoints in the execution of the program; pointcuts are collections of join points; advice arespecial method-like constructs that can be attached to pointcuts; and aspects are modularunits of crosscutting implementation; comprising pointcuts; advice; and ordinary Javamember declarations. AspectJ code is compiled into standard Java bytecode. Simpleextensions to existing Java development environments make it possible to browse thecrosscutting structure of aspects in the same kind of way as one browses the inheritancestructure of classes. Several examples show that AspectJ is powerful; and that programs …,European Conference on Object-Oriented Programming,2001,4028
The art of the metaobject protocol,Gregor Kiczales; Jim Des Rivieres; Daniel Gureasko Bobrow,The authors introduce this new approach to programming language design; describe itsevolution and design principles; and present a formal specification of a metaobject protocolfor CLOS. The CLOS metaobject protocol is an elegant; high-performance extension to theCommonLisp Object System. The authors; who developed the metaobject protocol and whowere among the group that developed CLOS; introduce this new approach to programminglanguage design; describe its evolution and design principles; and present a formalspecification of a metaobject protocol for CLOS. Kiczales; des Rivi  res; and Bobrow showthat the" art of metaobject protocol design" lies in creating a synthetic combination of object-oriented and reflective techniques that can be applied under existing software engineeringconsiderations to yield a new approach to programming language design that meets a …,*,1991,1966
Design pattern implementation in Java and AspectJ,Jan Hannemann; Gregor Kiczales,Abstract AspectJ implementations of the GoF design patterns show modularityimprovements in 17 of 23 cases. These improvements are manifested in terms of better codelocality; reusability; composability; and (un) pluggability. The degree of improvement inimplementation modularity varies; with the greatest improvement coming when the patternsolution structure involves crosscutting of some form; including one object playing multipleroles; many objects playing one role; or an object playing roles in multiple pattern instances.,ACM Sigplan Notices,2002,872
Getting started with AspectJ,Gregor Kiczales; Erik Hilsdale; Jim Hugunin; Mik Kersten; Jeffrey Palm; William Griswold,C oncern about the risk of adopting new technology causes many organizations to bereluctant to do so. But simply waiting can lead to rushing to adopt the technology later; whichis itself risky. Instead; this article presents a staged approach based on identifying two broadcategories of aspects: development aspects facilitate tasks such as debugging; testing; andperformance tuning of applications; production aspects implement functionality intended tobe included in shipping applications. These categories are informal; and this ordering is notthe only way to adopt AspectJ. Some developers will want to use a production aspect rightaway; but experience with current AspectJ users has shown this ordering allows developersto derive benefits from AOP technology quickly; while also minimizing risk.,Communications of the ACM,2001,808
Common lisp object system specification,Daniel G Bobrow; Linda G DeMichiel; Richard P Gabriel; Sonya E Keene; Gregor Kiczales; David A Moon,Authors: Daniel G. Bobrow; Linda G. DeMichiel; Richard P. Gabriel; Sonya E. Keene; GregorKiczales; and David A. Moon … Draft Dated: June 15; 1988 All Rights Reserved … The distributionand publication of this document are not restricted. In order to preserve the integrity of thespecification; any publication or distribution must reproduce this document in its entirety; preserveits formatting; and include this title page … For information about obtaining the sources for thisdocument; send an Internet message to common-lisp-object-system-specification-request@sail.stanford.edu … The authors wish to thank Patrick Dussud; Kenneth Kahn; Jim Kempf; LarryMasinter; Mark Stefik; Daniel L. Weinreb; and Jon L White for their contributions to thisdocument … At the XJJ13 meeting on June 15; 1988; the following motion was adopted …"The X3J13 Committee hereby accepts chapters 1 and 2 of the Common Lisp Object …,ACM Sigplan Notices,1988,693
D: A language framework for distributed programming,Cristina Videira Lopes; Gregor Kiczales,Abstract Two of the most important issues in distributed systems are the synchronization ofconcurrent threads and the application-level data transfers between execution spaces. Atthe design level; addressing these issues typically requires analyzing the components undera different perspective than is required to analyze the functionality. Very often; it alsoinvolves analyzing several components at the same time; because of the way those twoissues cross-cut the units of functionality. At the implementation level; existing programminglanguages fail to provide adequate support for programming in terms of these different andcross-cutting perspectives. The result is that the programming of synchronization and remotedata transfers ends up being tangled throughout the components code in more or lessarbitrary ways. This thesis presents a language framework called D that untangles the …,*,1997,429
CommonLoops: Merging Lisp and object-oriented programming,Daniel G Bobrow; Kenneth Kahn; Gregor Kiczales; Larry Masinter; Mark Stefik; Frank Zdybel,Abstract CommonLoops blends object-oriented programming smoothly and tightly with theprocedure-oriented design of Lisp. Functions and methods are combined in a more generalabstraction. Message passing is invoked via normal Lisp function call. Methods are viewedas partial descriptions of procedures. Lisp data types are integrated with object classes. Withthese integrations; it is easy to incrementally move a program between the procedure andobject-oriented styles. One of the most important properties of CommonLoops is itsextensive use of meta-objects. We discuss three kinds of meta-objects: objects for classes;objects for methods; and objects for discriminators. We argue that these meta-objects makepractical both efficient implementation and experimentation with new ideas for object-oriented programming. CommonLoops' small kernel is powerful enough to implement the …,ACM Sigplan Notices,1986,420
Aspect-oriented programming and modular reasoning,Gregor Kiczales; Mira Mezini,Abstract Aspects cut new interfaces through the primary decomposition of a system. Thisimplies that in the presence of aspects; the complete interface of a module can only bedetermined once the complete configuration of modules in the system is known. While thismay seem anti-modular; it is an inherent property of crosscutting concerns; and using aspect-oriented programming enables modular reasoning in the presence of such concerns.,Proceedings of the 27th international conference on Software engineering,2005,390
Discussing aspects of AOP,Tzilla Elrad; Mehmet Aksit; Gregor Kiczales; Karl Lieberherr; Harold Ossher,34 October 2001/Vol. 44; No. 10 COMMUNICATIONS OF THE ACM goal of AOP is to makedesigns and code more modular; meaning the concerns are localized rather than scatteredand have well-defined interfaces with the rest of the system. This provides us with the usualbenefits of modularity; including making it possible to reason about different concerns inrelative isolation; making them (un) pluggable; amenable to separate development; and soforth.,Communications of the ACM,2001,359
