Probase: A probabilistic taxonomy for text understanding,Wentao Wu; Hongsong Li; Haixun Wang; Kenny Q Zhu,Abstract Knowledge is indispensable to understanding. The ongoing information explosionhighlights the need to enable machines to better understand electronic text in humanlanguage. Much work has been devoted to creating universal ontologies or taxonomies forthis purpose. However; none of the existing ontologies has the needed depth and breadthfor universal understanding. In this paper; we present a universal; probabilistic taxonomythat is more comprehensive than any existing ones. It contains 2.7 million conceptsharnessed automatically from a corpus of 1.68 billion web pages. Unlike traditionaltaxonomies that treat knowledge as black and white; it uses probabilities to modelinconsistent; ambiguous and uncertain information it contains. We present details of how thetaxonomy is constructed; its probabilistic modeling; and its potential applications in text …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,392
Predicting Query Execution Time: Are Optimizer Cost Models Really Unusable?,Wentao Wu; Yun Chi; Shenghuo Zhu; Junichi Tatemura; Hakan Hacıgümüs; Jeffrey F Naughton,Predicting query execution time is useful in many database management issues includingadmission control; query scheduling; progress monitoring; and system sizing. Recently theresearch community has been exploring the use of statistical machine learning approachesto build predictive models for this task. An implicit assumption behind this work is that thecost models used by query optimizers are insufficient for query execution time prediction. Inthis paper we challenge this assumption and show while the simple approach of scaling theoptimizer's estimated cost indeed fails; a properly calibrated optimizer cost model issurprisingly effective. However; even a well-tuned optimizer cost model will fail in thepresence of errors in cardinality estimates. Accordingly we investigate the novel idea ofspending extra resources to refine estimates for the query plan after it has been chosen …,Proceedings of the 29th International Conference on Data Engineering (ICDE'13),2013,77
K-symmetry model for identity anonymization in social networks,Wentao Wu; Yanghua Xiao; Wei Wang; Zhenying He; Zhihui Wang,Abstract With more and more social network data being released; protecting the sensitiveinformation within social networks from leakage has become an important concern ofpublishers. Adversaries with some background structural knowledge about a targetindividual can easily re-identify him from the network; even if the identifiers have beenreplaced by randomized integers (ie; the network is naively-anonymized). Since there existsnumerous topological information that can be used to attack a victim's privacy; to resist suchstructural re-identification becomes a great challenge. Previous works only investigated aminority of such structural attacks; without considering protecting against re-identificationunder any potential structural knowledge about a target. To achieve this objective; in thispaper we propose k-symmetry model; which modifies a naively-anonymized network so …,Proceedings of the 13th international conference on extending database technology,2010,77
Efficiently indexing shortest paths by exploiting symmetry in graphs,Yanghua Xiao; Wentao Wu; Jian Pei; Wei Wang; Zhenying He,Abstract Shortest path queries (SPQ) are essential in many graph analysis and mining tasks.However; answering shortest path queries on-the-fly on large graphs is costly. To onlineanswer shortest path queries; we may materialize and index shortest paths. However; astraightforward index of all shortest paths in a graph of N vertices takes O (N 2) space. In thispaper; we tackle the problem of indexing shortest paths and online answering shortest pathqueries. As many large real graphs are shown richly symmetric; the central idea of ourapproach is to use graph symmetry to reduce the index size while retaining the correctnessand the efficiency of shortest path query answering. Technically; we develop a framework toindex a large graph at the orbit level instead of the vertex level so that the number of breadth-first search trees materialized is reduced from O (N) to O (| Δ|); where| Δ|≤ N is the …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,66
Towards predicting query execution time for concurrent and dynamic database workloads,Wentao Wu; Yun Chi; Hakan Hacígümüş; Jeffrey F Naughton,Abstract Predicting query execution time is crucial for many database management tasksincluding admission control; query scheduling; and progress monitoring. While a number ofrecent papers have explored this problem; the bulk of the existing work either considersprediction for a single query; or prediction for a static workload of concurrent queries; whereby" static" we mean that the queries to be run are fixed and known. In this paper; weconsider the more general problem of dynamic concurrent workloads. Unlike most previouswork on query execution time prediction; our proposed framework is based on analyticmodeling rather than machine learning. We first use the optimizer's cost model to estimatethe I/O and CPU requirements for each pipeline of each query in isolation; and then use acombination queueing model and buffer pool model that merges the I/O and CPU …,Proceedings of the VLDB Endowment,2013,42
Symmetry-based structure entropy of complex networks,Yang-Hua Xiao; Wen-Tao Wu; Hui Wang; Momiao Xiong; Wei Wang,Abstract Precisely quantifying the heterogeneity or disorder of network systems is importantand desired in studies of behaviors and functions of network systems. Although variousdegree-based entropies have been available to measure the heterogeneity of real networks;heterogeneity implicated in the structures of networks can not be precisely quantified yet.Hence; we propose a new structure entropy based on automorphism partition. Analysis ofextreme cases shows that entropy based on automorphism partition can quantify thestructural heterogeneity of networks more precisely than degree-based entropies. We alsosummarized symmetry and heterogeneity statistics of many real networks; finding that realnetworks are more heterogeneous in the view of automorphism partition than what havebeen depicted under the measurement of degree-based entropies; and that structural …,Physica A: Statistical Mechanics and its Applications,2008,34
iMecho: an associative memory based desktop search system,Jidong Chen; Hang Guo; Wentao Wu; Wei Wang,Abstract Traditional desktop search engines only support keyword based search that needsexact keyword matching to find resources. However; users generally have a vague picture ofwhat is stored but forget the exact location and keywords of the resource. According toobservations of human associative memory; people tend to remember things from somememory fragments in their brains and these memory fragments are connected by memorycues of user activity context. We developed iMecho (My Memory Echo); an associativememory based desktop search system; which exploits such associations and contexts toenhance traditional desktop search. Desktop resources are connected with semantic linksmined from explicit and implicit user activities according to specific access patterns. Usingthese semantic links; associations among memory fragments can be built or rebuilt in a …,Proceedings of the 18th ACM conference on Information and knowledge management,2009,33
Towards a probabilistic taxonomy of many concepts,Wentao Wu; Hongsong Li; Haixun Wang; Kenny Zhu,ABSTRACT Knowledge is indispensable to understanding. The ongoing informationexplosion highlights the need to enable machines to better understand electronic text innatural human language. The challenge lies in how to transfer human knowledge tomachines. Much work has been devoted to creating universal ontologies for this purpose.However; none of the existing ontologies has the necessary depth and breadth to offer“universal understanding.” In this paper; we present a universal; probabilistic ontology that ismore comprehensive than any of the existing ontologies. It contains 2.7 million conceptsharnessed automatically from a corpus of 1.68 billion web pages and two years' worth ofsearch log data. Unlike traditional knowledge bases that treat knowledge as black andwhite; it enables probabilistic interpretations of the information it contains. The …,Microsoft Res. Redmond; WA; USA; Tech. Rep. MSR-TR-2011-25,2011,30
Structure-based graph distance measures of high degree of precision,Yanghua Xiao; Hua Dong; Wentao Wu; Momiao Xiong; Wei Wang; Baile Shi,Abstract In recent years; evaluating graph distance has become more and more important ina variety of real applications and many graph distance measures have been proposed.Among all of those measures; structure-based graph distance measures have become theresearch focus due to their independence of the definition of cost functions. However;existing structure-based graph distance measures have low degree of precision becauseonly node and edge information of graphs are employed in these measures. To improve theprecision of graph distance measures; we define substructure abundance vector (SAV) tocapture more substructure information of a graph. Furthermore; based on SAV; we proposeunified graph distance measures which are generalization of the existing structure-basedgraph distance measures. In general; the unified graph distance measures can evaluate …,Pattern Recognition,2008,28
Personalization as a service: the architecture and a case study,Hang Guo; Jidong Chen; Wentao Wu; Wei Wang,Abstract Cloud computing has become a hot topic in the IT industry. Great efforts have beenmade to establish cloud computing platforms for enterprise users; mostly small businesses.However; there are few researches about the impact of cloud computing over individualusers. In this paper we focus on how to provide personalized services for individual users inthe cloud environment. We argue that a personalized cloud service shall compose of twoparts. The client side program records user activities on personal de-vices such as PC.Besides that; the user model is also computed on the client side to avoid server overhead.The cloud side program fetches the user model periodically and adjusts its resultsaccordingly. We build a personalized cloud data search engine prototype to prove our idea.,Proceedings of the first international workshop on Cloud data management,2009,25
