Firefly-inspired and robust time synchronization for cognitive radio ad hoc networks,Nadine Lipa; Elisa Mannes; Aldri Santos; Michele Nogueira,Abstract Harnessing the full power of the paradigm-shifting cognitive radio ad hoc networks(CRAHNs) hinges on solving the problem of time synchronization between the radios on thedifferent stages of the cognitive radio cycle. The dynamic network topology; the temporal andspatial variations in spectrum availability; and the distributed multi-hop architecture ofCRAHNs mandate novel solutions to achieve time synchronization and efficiently supportspectrum sensing; access; decision and mobility. In this article; we advance this researchagenda by proposing the novel Bio-inspired time SynChronization protocol for CRAHNs(BSynC). The protocol draws on the spontaneous firefly synchronization observed in parts ofSoutheast Asia. The significance of BSynC lies in its capability of promoting symmetric timesynchronization between pairs of network nodes independent of the network topology or …,Computer Communications,2015,7
Controle de acesso baseado em reencriptação por proxy em Redes Centradas em Informação,Elisa Mannes; Carlos Maziero; Luiz Carlos Lassance; Fábio Borges,*,XIV Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais,2014,5
A Bio-inspired Scheme on Quorum Systems for Reliable Services Data Management in MANETs,Elisa Mannes; Michele Nogueira; Aldri Santos,Network services in MANETs; such as resource location and distribution of connectivityinformation; deal with node mobility and resource constraints to support applications. Thereliability and availability of these services can be assured by data managementapproaches; as replication techniques using quorum systems. However; these systems arevulnerable to selfish and malicious nodes; that intentionally do not collaborate withreplication operations or spread malicious data while participating in data replication. Inorder to handle these issues; this paper proposes QS 2; a bio-inspired scheme to tolerateselfish and malicious nodes in replication operation of quorum systems. Differently fromexisting works on the literature; QS 2 is distributed and self-organized; and each node hasthe autonomy to exclude misbehaving nodes. The scheme is inspired by quorum sensing …,7th Network Operations and Management Symposium (NOMS ’12),2012,5
Analisando o desempenho de um sistema de quóruns probabilıstico para manets diante de ataques maliciosos,Elisa Mannes; Eduardo da Silva; Aldri L dos Santos,Abstract. Due to their characteristics; such as dynamic topology and lack of infrastructure;Mobile Ad Hoc Networks (MANETs) are highly vulnerable to attacks. These characteristicsmake hard the design of reliable and secure network management systems. Quorumsystems are effective tools for data sharing on traditional networks; ensuring data availabilityand consistency. Recently; these systems have been applied in MANETs; being PAN; aprobabilistic quorum system for ad hoc networks; the first one to consider the characteristicsof MANETs. However; such systems do not take into account malicious nodes in theenvironment. This work analyzes the impact of lack of cooperation; timing and datamanipulation attacks against PAN. Two metrics were used in the evaluation: reliabilitydegree and percentage of malicious nodes on the reading operations. Results show that …,IX Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais (SBSeg’09),2009,4
Implications of misbehaving attacks on probabilistic quorum system for MANETs,Elisa Mannes; Eduardo Silva; Michele Nogueira; Aldri Santos,Reliable storage supports different data sharing services; such as mobility and cryptographickey management and distributed naming. Mobile Ad hoc NETworks (MANETs) presentissues in guaranteeing the consistency of data on concurrent read and write due todynamism of nodes; the inexistence of a central control entity and support infrastructure.Probabilistic quorum systems; as PAN (Probabilistic Ad Hoc Quorum System); weredesigned for MANETs to improve the efficiency of data replication by relaxing consistencyconstraints; comprising a set of quorums with relaxed intersections among themselves. PANensures high probability of consistency between replicated data by an asymmetric quorumconstruction and by a gossip-based multicast protocol. However; it does not consider thepresence of malicious or selfish nodes in its operations. This work assesses the impact of …,7th International Conference on Security and Cryptography (SECRYPT),2010,3
Assessing the impact of cryptographic access control solutions on multimedia delivery in information-centric networks,Elisa Mannes; Carlos Maziero; Luiz Carlos Lassance; Fábio Borges,Information-centric Networks (ICN) aims to improve content delivery by promoting thecontent as the protagonist of the network layer. By naming; routing; and forwarding namedcontent directly on the network layer; ICN allows the same content to satisfy requests fromdifferent users; enabling innetwork caches to place contents strategically near the interestedusers. This characteristic is especially interesting for multimedia content distribution; since itrepresents a better quality of experience for users due to low round-trip time; bandwidth use;and load on content providers. However; caching protected multimedia content onuncontrolled third party devices may impair access control policies enforcement by thecontent providers. Many encryption-based access control solutions have been proposed forICN; applying different cryptographic strategies leading to distinct features which may not …,Network Operations and Management Symposium (NOMS); 2016 IEEE/IFIP,2016,2
Optimized Access Control Enforcement Over Encrypted Content in Information-centric Networks,Elisa Mannes; Carlos Maziero; Luiz Carlos Lassance; Fábio Borges,The Information-centric Network (ICN) paradigm is an important initiative toward an Internetarchitecture more suitable for content distribution. The change it imposes by naming; routing;and forwarding content directly on the network layer empowers the architecture with severalinteresting characteristics; such as in-network caching. As contents are meaningful fordifferent users; they can be opportunistically cached and easily accessed by them; whichimproves content delivery and user experience. However; the fact that users can retrievecontent through caches without interacting with the content provider raises security concernsregarding unauthorized access and the enforcement of access control policies. In thiscontext; we propose an access control solution for ICN by adapting and optimizing a proxyre-encryption scheme; reducing up to 33% the processing time. The proposed solution is …,IEEE Symposium on Computers and Communications,2015,2
Um esquema bio-inspirado para a tolerância a má-conduta em sistemas de quórum para MANETs,Elisa Mannes; Michele Nogueira; Aldri Santos,Abstract. Network operation services in MANETs; such as resource location; deal with nodemobility and lack of resources to support applications. The reliability and availability of theseservices can be assured by replication techniques; such as quorum systems. However;these systems are vulnerable to selfish and malicious nodes; that either intentionally do notcollaborate with replication operations or spread malicious data while participating in datareplication. In order to handle these issues; this paper proposes QS2; a bio-inspired schemeto tolerate selfish and malicious nodes in replication operation of quorum systems.Differently from existing works on the literature; QS2 is distributed and self-organized; andnodes are independent to exclude misbehaving nodes. It is inspired in quorum sensing andkin selection; both biological mechanisms resident in bacteria. Simulation results show …,XI Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais,2011,1
Controle de acesso baseado em criptografia para a distribuição segura de conteúdo multimídia em redes centradas de informação,Elisa Mannes,Resumo: O uso cada vez maior da Internet destaca o seu grande sucesso; mas tambémrevela as deficiências de uma arquitetura que sustenta uma rede de distribuição deconteúdo com um modelo inicialmente planejado para a comunicação ponto a ponto. Asredes centradas em informação (Information-Centric Network-ICN) representam umaabordagem promissora ao abordar esse problema com um modelo mais adequado para adistribuição de conteúdo; no qual o conteúdo é a entidade principal da camada de rede.Para isso; o roteamento e o encaminhamento são realizados pelo nome dos conteúdos aoinvés de endereços de máquina; e os conteúdos podem ser armazenados em caches narede. Essa mudança traz diversos benefícios para a rede; principalmente para conteúdosmuito acessados; como músicas e vídeos; mas gera preocupações com relação ao …,*,2016,*
Reliable Operational Services in MANETs by Misbehavior-Tolerant Quorum Systems,Elisa Mannes; Michele Nogueira; Aldri L dos Santos,Operational services in MANETs; such as resource location and distribution of connectivityinformation; deal with node mobility and resource constraints to support applications. Thereliability and availability of these services can be assured by data managementapproaches; as replication techniques using quorum systems. However; these systems arevulnerable to selfish and malicious nodes; that intentionally do not collaborate withreplication operations or spread malicious data while participating in data replication. QS 2;a bio-inspired scheme to tolerate selfish and malicious nodes in replication operation ofquorum systems can effectively detect misbehaving nodes in quorum systems; increasingdata reliability. This paper evaluates the performance of QS 2 considering two realisticscenarios: the distribution of local market information in a downtown city and the …,VIII International Conference on Network and Service Management,2012,*
Um esquema bio-inspirado para a tolerância a nós de má-conduta apoiando serviços de operação de rede em MANETs,Elisa Mannes; Michele Nogueira; Aldri L dos Santos,*,II Concurso de Teses e Dissertações do XII Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais (CTDSeg),2012,*
