Automatic subspace clustering of high dimensional data for data mining applications,Rakesh Agrawal; Johannes Gehrke; Dimitrios Gunopulos; Prabhakar Raghavan,Abstract Data mining applications place special requirements on clustering algorithmsincluding: the ability to find clusters embedded in subspaces of high dimensional data;scalability; end-user comprehensibility of the results; non-presumption of any canonical datadistribution; and insensitivity to the order of input records. We present CLIQUE; a clusteringalgorithm that satisfies each of these requirements. CLIQUE identifies dense clusters insubspaces of maximum dimensionality. It generates cluster descriptions in the form of DNFexpressions that are minimized for ease of comprehension. It produces identical resultsirrespective of the order in which input records are presented and does not presume anyspecific mathematical form for data distribution. Through experiments; we show that CLIQUEefficiently finds accurate cluster in large high dimensional datasets.,ACM Sigmod Record,1998,3209
Discovering similar multidimensional trajectories,Michail Vlachos; George Kollios; Dimitrios Gunopulos,We investigate techniques for analysis and retrieval of object trajectories in two or threedimensional space. Such data usually contain a large amount of noise; that has madepreviously used metrics fail. Therefore; we formalize non-metric similarity functions based onthe longest common subsequence (LCSS); which are very robust to noise and furthermoreprovide an intuitive notion of similarity between trajectories by giving more weight to similarportions of the sequences. Stretching of sequences in time is allowed; as well as globaltranslation of the sequences in space. Efficient approximate algorithms that compute thesesimilarity measures are also provided. We compare these new methods to the widely usedEuclidean and time warping distance functions (for real and synthetic data) and show thesuperiority of our approach; especially in the strong presence of noise. We prove a …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,1235
Mining process models from workflow logs,Rakesh Agrawal; Dimitrios Gunopulos; Frank Leymann,Abstract Modern enterprises increasingly use the workflow paradigm to prescribe howbusiness processes should be performed. Processes are typically modeled as annotatedactivity graphs. We present an approach for a system that constructs process models fromlogs of past; unstructured executions of the given process. The graph so produced conformsto the dependencies and past executions present in the log. By providing models thatcapture the previous executions of the process; this technique allows easier introduction of aworkflow system and evaluation and evolution of existing process models. We also presentresults from applying the algorithm to synthetic data sets as well as process logs obtainedfrom an IBM Flowmark installation.,International Conference on Extending Database Technology,1998,997
Data clustering: algorithms and applications,Charu C Aggarwal; Chandan K Reddy,Research on the problem of clustering tends to be fragmented across the patternrecognition; database; data mining; and machine learning communities. Addressing thisproblem in a unified way; Data Clustering: Algorithms and Applications provides completecoverage of the entire area of clustering; from basic methods to more refined and complexdata clustering approaches. It pays special attention to recent issues in graphs; socialnetworks; and other domains. The book focuses on three primary aspects of data clustering:Methods; describing key techniques commonly used for clustering; such as featureselection; agglomerative clustering; partitional clustering; density-based clustering;probabilistic clustering; grid-based clustering; spectral clustering; and nonnegative matrixfactorization Domains; covering methods used for different domains of data; such as …,*,2013,590
A local search mechanism for peer-to-peer networks,Vana Kalogeraki; Dimitrios Gunopulos; Demetrios Zeinalipour-Yazti,Abstract One important problem in peer-to-peer (P2P) networks is searching and retrievingthe correct information. However; existing searching mechanisms in pure peer-to-peernetworks are inefficient due to the decentralized nature of such networks. We propose twomechanisms for information retrieval in pure peer-to-peer networks. The first; the modifiedBreadth-First Search (BFS) mechanism; is an extension of the current Gnuttela protocol;allows searching with keywords; and is designed to minimize the number of messages thatare needed to search the network. The second; the Intelligent Search mechanism; uses thepast behavior of the P2P network to further improve the scalability of the search procedure.In this algorithm; each peer autonomously decides which of its peers are most likely toanswer a given query. The algorithm is entirely distributed; and therefore scales well with …,Proceedings of the eleventh international conference on Information and knowledge management,2002,559
On indexing mobile objects,George Kollios; Dimitrios Gunopulos; Vassilis J Tsotras,Abstract We show how to index mobile objects in one and two dimensions using efficientdynamic external memory data structures. The problem is motivated by real life applicationsin traffic monitoring; intelligent navigation and mobile communications domains. For the l-dimensional case; we give (i) a dynamic; external memory algorithm with guaranteed worstcase performance and linear space and (ii) a practical approximation algorithm also in thedynamic; external memory setting; which has linear space and expected logarithmic querytime. We also give an algorithm with guaranteed logarithmic query time for a restrictedversion of the problem. We present extensions of our techniques to two dimensions. Inaddition we give a lower bound on the number of I/O's needed to answer the d-dimensionalproblem. Initial experimental results and comparisons to traditional indexing approaches …,Proceedings of the eighteenth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1999,485
Constraint-based rule mining in large; dense databases,Roberto J Bayardo; Rakesh Agrawal; Dimitrios Gunopulos,Constraint-based rule miners find all rules in a given dataset meeting user-specifiedconstraints such as minimum support and confidence. We describe a new algorithm thatdirectly exploits all user-specified constraints including minimum support; minimumconfidence; and a new constraint that ensures every mined rule offers a predictiveadvantage over any of its simplifications. Our algorithm maintains efficiency even at lowsupports on data that is dense (eg relational data). Previous approaches such as Apriori andits variants exploit only the minimum support constraint; and as a result are ineffective ondense data date to a combinatorial explosion of" frequent itemsets".,Data Engineering; 1999. Proceedings.; 15th International Conference on,1999,442
Indexing multi-dimensional time-series with support for multiple distance measures,Michail Vlachos; Marios Hadjieleftheriou; Dimitrios Gunopulos; Eamonn Keogh,Abstract Although most time-series data mining research has concentrated on providingsolutions for a single distance function; in this work we motivate the need for a single indexstructure that can support multiple distance measures. Our specific area of interest is theefficient retrieval and analysis of trajectory similarities. Trajectory datasets are very commonin environmental applications; mobility experiments; video surveillance and are especiallyimportant for the discovery of certain biological patterns. Our primary similarity measure isbased on the Longest Common Subsequence (LCSS) model; that offers enhancedrobustness; particularly for noisy data; which are encountered very often in real worldapplications. However; our index is able to accommodate other distance measures as well;including the ubiquitous Euclidean distance; and the increasingly popular Dynamic Time …,Proceedings of the ninth ACM SIGKDD international conference on Knowledge discovery and data mining,2003,429
Online outlier detection in sensor data using non-parametric models,Sharmila Subramaniam; Themis Palpanas; Dimitris Papadopoulos; Vana Kalogeraki; Dimitrios Gunopulos,Abstract Sensor networks have recently found many popular applications in a number ofdifferent settings. Sensors at different locations can generate streaming data; which can beanalyzed in real-time to identify events of interest. In this paper; we propose a framework thatcomputes in a distributed fashion an approximation of multi-dimensional data distributions inorder to enable complex applications in resource-constrained sensor networks. We motivateour technique in the context of the problem of outlier detection. We demonstrate how ourframework can be extended in order to identify either distance-or density-based outliers in asingle pass over the data; and with limited memory requirements. Experiments with syntheticand real data show that our method is efficient and accurate; and compares favorably toother proposed techniques. We also demonstrate the applicability of our technique to …,Proceedings of the 32nd international conference on Very large data bases,2006,428
Finding similar time series,Gautam Das; Dimitrios Gunopulos; Heikki Mannila,Abstract Similarity of objects is one of the crucial concepts in several applications; includingdata mining. For complex objects; similarity is nontrivial to define. In this paper we presentan intuitive model for measuring the similarity between two time series. The model takes intoaccount outliers; different scaling functions; and variable sampling rates. Using methodsfrom computational geometry; we show that this notion of similarity can be computed inpolynomial time. Using statistical approximation techniques; the algorithms can be speededup considerably. We give preliminary experimental results that show the naturalness of thenotion.,European Symposium on Principles of Data Mining and Knowledge Discovery,1997,412
