Querying k-truss community in large and dynamic graphs,Xin Huang; Hong Cheng; Lu Qin; Wentao Tian; Jeffrey Xu Yu,Abstract Community detection which discovers densely connected structures in a networkhas been studied a lot. In this paper; we study online community search which is practicallyuseful but less studied in the literature. Given a query vertex in a graph; the problem is to findmeaningful communities that the vertex belongs to in an online manner. We propose a novelcommunity model based on the k-truss concept; which brings nice structural andcomputational properties. We design a compact and elegant index structure which supportsthe efficient search of k-truss communities with a linear cost with respect to the communitysize. In addition; we investigate the k-truss community search problem in a dynamic graphsetting with frequent insertions and deletions of graph vertices and edges. Extensiveexperiments on large real-world networks demonstrate the effectiveness and efficiency of …,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,72
Robust reputation-based ranking on bipartite rating networks,Rong-Hua Li; Jeffery Xu Yu; Xin Huang; Hong Cheng,Abstract With the growth of the Internet and E-commerce; bipartite rating networks areubiquitous. In such bipartite rating networks; there exist two types of entities: the users andthe objects; where users give ratings to objects. A fundamental problem in such networks ishow to rank the objects by user's ratings. Although it has been extensively studied in the pastdecade; the existing algorithms either cannot guarantee convergence; or are not robust tothe spammers. In this paper; we propose six new reputation-based algorithms; where theusers' reputation is determined by the aggregated difference between the users' ratings andthe corresponding objects' rankings. We prove that all of our algorithms converge into aunique fixed point. The time and space complexity of our algorithms are linear wrt the size ofthe graph; thus they can be scalable to large datasets. Moreover; our algorithms are …,*,2012,52
Approximate closest community search in networks,Xin Huang; Laks VS Lakshmanan; Jeffrey Xu Yu; Hong Cheng,Abstract Recently; there has been significant interest in the study of the community searchproblem in social and information networks: given one or more query nodes; find denselyconnected communities containing the query nodes. However; most existing studies do notaddress the" free rider" issue; that is; nodes far away from query nodes and irrelevant tothem are included in the detected community. Some state-of-the-art models have attemptedto address this issue; but not only are their formulated problems NP-hard; they do not admitany approximations without restrictive assumptions; which may not always hold in practice.In this paper; given an undirected graph G and a set of query nodes Q; we study communitysearch using the k-truss based community model. We formulate our problem of finding aclosest truss community (CTC); as finding a connected k-truss subgraph with the largest k …,Proceedings of the VLDB Endowment,2015,25
Clustering large attributed information networks: an efficient incremental computing approach,Hong Cheng; Yang Zhou; Xin Huang; Jeffrey Xu Yu,Abstract In recent years; many information networks have become available for analysis;including social networks; road networks; sensor networks; biological networks; etc. Graphclustering has shown its effectiveness in analyzing and visualizing large networks. The goalof graph clustering is to partition vertices in a large graph into clusters based on variouscriteria such as vertex connectivity or neighborhood similarity. Many existing graphclustering methods mainly focus on the topological structures; but largely ignore the vertexproperties which are often heterogeneous. Recently; a new graph clustering algorithm; SA-cluster; has been proposed which combines structural and attribute similarities through aunified distance measure. SA-Cluster performs matrix multiplication to calculate the randomwalk distances between graph vertices. As part of the clustering refinement; the graph …,Data Mining and Knowledge Discovery,2012,22
Top-K structural diversity search in large networks,Xin Huang; Hong Cheng; Rong-Hua Li; Lu Qin; Jeffrey Xu Yu,Abstract Social contagion depicts a process of information (eg; fads; opinions; news)diffusion in the online social networks. A recent study reports that in a social contagionprocess the probability of contagion is tightly controlled by the number of connectedcomponents in an individual's neighborhood. Such a number is termed structural diversity ofan individual and it is shown to be a key predictor in the social contagion process. Based onthis; a fundamental issue in a social network is to find top-k users with the highest structuraldiversities. In this paper; we; for the first time; study the top-k structural diversity searchproblem in a large network. Specifically; we develop an effective upper bound of structuraldiversity for pruning the search space. The upper bound can be incrementally refined in thesearch process. Based on such upper bound; we propose an efficient framework for top-k …,Proceedings of the VLDB Endowment,2013,20
Dense community detection in multi-valued attributed networks,Xin Huang; Hong Cheng; Jeffrey Xu Yu,Abstract The proliferation of rich information available for real world entities and theirrelationships gives rise to a general type of graph; namely multi-valued attributed graph;where graph vertices are associated with a number of attributes and a vertex may havemultiple values on an attribute. It would be useful if we can cluster such graphs into denselyconnected components with homogeneous attribute values. Recent work has studied graphclustering in attributed graphs considering the full attribute space. However; full spaceclustering often leads to poor results due to irrelevant attributes. In this paper; we studysubspace clustering in multi-valued attributed graph and propose an algorithm SCMAG forcommunity detection. Our algorithm uses a cell-based subspace clustering approach andidentifies cells with dense connectivity in the subspaces. Random walk with restart is …,Information Sciences,2015,19
Measuring the impact of MVC attack in large complex networks,Rong-Hua Li; Jeffrey Xu Yu; Xin Huang; Hong Cheng; Zechao Shang,Abstract Measuring the impact of network attack is an important issue in network science. Inthis paper; we study the impact of maximal vertex coverage (MVC) attack in large complexnetworks; where the attacker aims at deleting as many edges of the network as possible byattacking a small fraction of nodes. First; we present two metrics to measure the impact ofMVC attack. To compute these metrics; we propose an efficient randomized greedyalgorithm with near-optimal performance guarantee. Second; we generalize the MVC attackinto an uncertain setting; in which a node is deleted by the attacker with a prior probability.We refer to the MVC attack under such uncertain environment as the probabilistic MVCattack. Based on the probabilistic MVC attack; we propose two adaptive metrics; and thenpresent an adaptive greedy algorithm for calculating such metrics accurately and …,Information Sciences,2014,16
Random-walk domination in large graphs,Rong-Hua Li; Jeffrey Xu Yu; Xin Huang; Hong Cheng,We introduce and formulate two types of random-walk domination problems in graphsmotivated by a number of applications in practice (eg; item-placement problem in onlinesocial networks; Ads-placement problem in advertisement networks; and resource-placement problem in P2P networks). Specifically; given a graph G; the goal of the first typeof random-walk domination problem is to target k nodes such that the total hitting time of anL-length random walk starting from the remaining nodes to the targeted nodes is minimized.The second type of random-walk domination problem is to find k nodes to maximize theexpected number of nodes that hit any one targeted node through an L-length random walk.We prove that these problems are two special instances of the submodular set functionmaximization with cardinality constraint problem. To solve them effectively; we propose a …,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,15
Random-walk domination in large graphs,Rong-Hua Li; Jeffrey Xu Yu; Xin Huang; Hong Cheng,We introduce and formulate two types of random-walk domination problems in graphsmotivated by a number of applications in practice (eg; item-placement problem in onlinesocial networks; Ads-placement problem in advertisement networks; and resource-placement problem in P2P networks). Specifically; given a graph G; the goal of the first typeof random-walk domination problem is to target k nodes such that the total hitting time of anL-length random walk starting from the remaining nodes to the targeted nodes is minimized.The second type of random-walk domination problem is to find k nodes to maximize theexpected number of nodes that hit any one targeted node through an L-length random walk.We prove that these problems are two special instances of the submodular set functionmaximization with cardinality constraint problem. To solve them effectively; we propose a …,2014 IEEE 30th International Conference on Data Engineering,2014,15
Top-k structural diversity search in large networks,Xin Huang; Hong Cheng; Rong-Hua Li; Lu Qin; Jeffrey Xu Yu,Abstract Social contagion depicts a process of information (eg; fads; opinions; news)diffusion in the online social networks. A recent study reports that in a social contagionprocess; the probability of contagion is tightly controlled by the number of connectedcomponents in an individual's neighborhood. Such a number is termed structural diversity ofan individual; and it is shown to be a key predictor in the social contagion process. Based onthis; a fundamental issue in a social network is to find top-k k users with the highest structuraldiversities. In this paper; we; for the first time; study the top-k k structural diversity searchproblem in a large network. Specifically; we study two types of structural diversity measures;namely; component-based structural diversity measure and core-based structural diversitymeasure. For component-based structural diversity; we develop an effective upper bound …,The VLDB Journal,2015,13
