Analytics over large-scale multidimensional data: the big data revolution!,Alfredo Cuzzocrea; Il-Yeol Song; Karen C Davis,Abstract In this paper; we provide an overview of state-of-the-art research issues andachievements in the field of analytics over big data; and we extend the discussion toanalytics over big multidimensional data as well; by highlighting open problems and actualresearch trends. Our analytical contribution is finally completed by several novel researchdirections arising in this field; which plays a leading role in next-generation DataWarehousing and OLAP research.,Proceedings of the ACM 14th international workshop on Data Warehousing and OLAP,2011,258
XPath lookup queries in P2P networks,Angela Bonifati; Ugo Matrangolo; Alfredo Cuzzocrea; Mayank Jain,Abstract We address the problem of querying XML data over a P2P network. In P2Pnetworks; the allowed kinds of queries are usually exact-match queries over file names. Wediscuss the extensions needed to deal with XML data and XPath queries. A single peer canhold a whole document or a partial/complete fragment of the latter. Each XMLfragment/document is identified by a distinct path expression; which is encoded in adistributed hash table. Our framework differs from content-based routing mechanisms;biased towards finding the most relevant peers holding the data. We perform fragmentsplacement and enable fragments lookup by solely exploiting few path expressions stored oneach peer. By taking advantage of quasi-zero replication of global catalogs; our systemsupports fast full and partial XPath querying. To this purpose; we have extended the …,Proceedings of the 6th annual ACM international workshop on Web information and data management,2004,100
Big data: a research agenda,Alfredo Cuzzocrea; Domenico Saccà; Jeffrey D Ullman,Abstract Recently; a great deal of interest for Big Data has risen; mainly driven from awidespread number of research problems strongly related to real-life applications andsystems; such as representing; modeling; processing; querying and mining massive;distributed; large-scale repositories (mostly being of unstructured nature). Inspired by thismain trend; in this paper we discuss three important aspects of Big Data research; namelyOLAP over Big Data; Big Data Posting; and Privacy of Big Data. We also depict futureresearch directions; hence implicitly defining a research agenda aiming at leading futurechallenges in this research field.,Proceedings of the 17th International Database Engineering & Applications Symposium,2013,86
Data warehousing and OLAP over big data: current challenges and future research directions,Alfredo Cuzzocrea; Ladjel Bellatreche; Il-Yeol Song,Abstract In this paper; we highlight open problems and actual research trends in the field ofData Warehousing and OLAP over Big Data; an emerging term in Data Warehousing andOLAP research. We also derive several novel research directions arising in this field; andput emphasis on possible contributions to be achieved by future research efforts.,Proceedings of the sixteenth international workshop on Data warehousing and OLAP,2013,76
Privacy and security of big data: current challenges and future research perspectives,Alfredo Cuzzocrea,Abstract Privacy and security of Big Data is gaining momentum in the research community;also due to emerging technologies like Cloud Computing; analytics engines and socialnetworks. In response of this novel research challenge; several privacy and security of bigdata models; techniques and algorithms have been proposed recently; mostly adhering toalgorithmic paradigms or model-oriented paradigms. Following this major trend; in thispaper we provide an overview of state-of-the-art research issues and achievements in thefield of privacy and security of big data; by highlighting open problems and actual researchtrends; and drawing novel research directions in this field.,Proceedings of the First International Workshop on Privacy and Secuirty of Big Data,2014,64
Edge betweenness centrality: A novel algorithm for QoS-based topology control over wireless sensor networks,Alfredo Cuzzocrea; Alexis Papadimitriou; Dimitrios Katsaros; Yannis Manolopoulos,Abstract In this paper we propose a novel topology-control algorithm; called edgebetweenness centrality (EBC). EBC is based on the concept of betweenness centrality;which has been first introduced in the context of social network analysis (SNA); andmeasures the “importance” of each node in the network. This information allows us toachieve high quality of service (QoS) in wireless sensor networks by evaluatingrelationships between entities of the network (ie; edges); and hence identifying differentroles among them (eg; brokers; outliers); thus controlling information flow; message delivery;latency and energy dissipation among nodes. The experimental evaluation and analysis ofEBC in comparison to other state-of-the-art topology control algorithms shows that ouralgorithm outperforms the competitor ones in all observed cases.,Journal of Network and Computer Applications,2012,59
Analytics over big data: Exploring the convergence of datawarehousing; OLAP and data-intensive cloud infrastructures,Alfredo Cuzzocrea,This paper explores the convergence of Data Warehousing; OLAP and data-intensive CloudInfrastructures in the context of so-called analytics over Big Data. The paper briefly reviewssome state-of-the-art proposals; highlights open research issues and; finally; it drawspossible research directions in this scientific field.,Computer Software and Applications Conference (COMPSAC); 2013 IEEE 37th Annual,2013,55
Discovering frequent patterns from uncertain data streams with time-fading and landmark models,Carson Kai-Sang Leung; Alfredo Cuzzocrea; Fan Jiang,Abstract Streams of data can be continuously generated by sensors in various real-lifeapplications such as environment surveillance. Partially due to the inherited limitation of thesensors; data in these streams can be uncertain. To discover useful knowledge in the form offrequent patterns from streams of uncertain data; a few algorithms have been developed.They mostly use the sliding window model for processing and mining data streams.However; for some applications; other stream processing models such as the time-fadingmodel and the landmark model are more appropriate. In this paper; we propose miningalgorithms that use (i) the time-fading model and (ii) the landmark model to discover frequentpatterns from streams of uncertain data.,*,2013,55
Providing probabilistically-bounded approximate answers to non-holistic aggregate range queries in OLAP,Alfredo Cuzzocrea,Abstract A novel framework for providing probabilistically-bounded approximate answers tonon-holistic aggregate range queries in OLAP is presented in this paper. Such a frameworkallows us to efficiently support OLAP applications; as answering queries is the mainbottleneck for this kind of applications. To this end; scalability of the techniques andaccuracy of the answers are recognized as important limitations of state-of-the-artapproximate query answering proposals in OLAP. Specifically; this paper is focused on thelatter limitation; whereas it refers to results presented in [9] for the first one. The KSynsynopsis data structure; which implements the guidelines of the proposed framework andovercomes the recognized limitations; is also presented and discussed in detail; along witha query-conscious error metrics-based storage space allocation scheme. Finally …,Proceedings of the 8th ACM international workshop on Data warehousing and OLAP,2005,51
Balancing accuracy and privacy of OLAP aggregations on data cubes,Alfredo Cuzzocrea; Domenico Saccà,Abstract In this paper we propose an innovative framework based on flexible sampling-based data cube compression techniques for computing privacy preserving OLAPaggregations on data cubes while allowing approximate answers to be efficiently evaluatedover such aggregations. In our proposal; this scenario is accomplished by means of the so-called accuracy/privacy contract; which determines how OLAP aggregations must beaccessed throughout balancing accuracy of approximate answers and privacy of sensitiveranges of multidimensional data.,Proceedings of the ACM 13th international workshop on Data warehousing and OLAP,2010,50
