The CAS-PEAL large-scale Chinese face database and baseline evaluations,Wen Gao; Bo Cao; Shiguang Shan; Xilin Chen; Delong Zhou; Xiaohua Zhang; Debin Zhao,In this paper; we describe the acquisition and contents of a large-scale Chinese facedatabase: the CAS-PEAL face database. The goals of creating the CAS-PEAL face databaseinclude the following: 1) providing the worldwide researchers of face recognition withdifferent sources of variations; particularly pose; expression; accessories; and lighting(PEAL); and exhaustive ground-truth information in one uniform database; 2) advancing thestate-of-the-art face recognition technologies aiming at practical applications by using off-the-shelf imaging equipment and by designing normal face variations in the database; and 3)providing a large-scale face database of Mongolian. Currently; the CAS-PEAL facedatabase contains 99 594 images of 1040 individuals (595 males and 445 females). A totalof nine cameras are mounted horizontally on an arc arm to simultaneously capture …,Systems; Man and Cybernetics; Part A: Systems and Humans; IEEE Transactions on,2008,700
Illumination normalization for robust face recognition against varying lighting conditions,Shiguang Shan; Wen Gao; Bo Cao; Debin Zhao,Evaluations of the state-of-the-art of both academic face recognition algorithms andcommercial systems have shown that recognition performance of most current technologiesdegrades due to the variations of illumination. We investigate several illuminationnormalization methods and propose some novel solutions. The main contributionincludes:(1) A gamma intensity correction (GIC) method is proposed to normalize the overallimage intensity at the given illumination level;(2) A region-based strategy combining GICand the histogram equalization (HE) is proposed to further eliminate the side-lightingeffect;(3) A quotient illumination relighting (QIR) method is presented to synthesize imagesunder a predefined normal lighting condition from the provided face images captured undernonnormal lighting condition. These methods are evaluated and compared on the Yale …,Analysis and Modeling of Faces and Gestures; 2003. AMFG 2003. IEEE International Workshop on,2003,397
Fast and robust text detection in images and video frames,Qixiang Ye; Qingming Huang; Wen Gao; Debin Zhao,Abstract Text in images and video frames carries important information for visual contentunderstanding and retrieval. In this paper; by using multiscale wavelet features; we proposea novel coarse-to-fine algorithm that is able to locate text lines even under complexbackground. First; in the coarse detection; after the wavelet energy feature is calculated tolocate all possible text pixels; a density-based region growing method is developed toconnect these pixels into regions which are further separated into candidate text lines bystructural information. Secondly; in the fine detection; with four kinds of texture featuresextracted to represent the texture pattern of a text line; a forward search algorithm is appliedto select the most effective features. Finally; an SVM classifier is used to identify true textfrom the candidates based on the selected features. Experimental results show that this …,Image and Vision Computing,2005,379
Fast mode decision algorithm for intra prediction in HEVC,Liang Zhao; Li Zhang; Siwei Ma; Debin Zhao,As the next generation standard of video coding; the High Efficiency Video Coding (HEVC)is intended to provide significantly better coding efficiency than all existing video codingstandards. To improve the coding efficiency of intra frame coding; up to 34 intra predictionmodes are defined in HEVC. The best mode among these pre-defined intra predictionmodes is selected by rate-distortion optimization (RDO) for each block. If all directions aretested in the RDO process; it will be very time-consuming. To alleviate the encodercomputation load; this paper proposes a new method to reduce the candidates in RDOprocess. In addition; the direction information of the neighboring blocks is made full use of tospeed up intra mode decision. Experimental results show that the proposed schemeprovides 20% and 28% time savings in intra high efficiency and low complexity cases on …,Visual Communications and Image Processing (VCIP); 2011 IEEE,2011,265
Group-based sparse representation for image restoration,Jian Zhang; Debin Zhao; Wen Gao,Traditional patch-based sparse representation modeling of natural images usually sufferfrom two problems. First; it has to solve a large-scale optimization problem with highcomputational complexity in dictionary learning. Second; each patch is consideredindependently in dictionary learning and sparse coding; which ignores the relationshipamong patches; resulting in inaccurate sparse coding coefficients. In this paper; instead ofusing patch as the basic unit of sparse representation; we exploit the concept of group as thebasic unit of sparse representation; which is composed of nonlocal patches with similarstructures; and establish a novel sparse representation modeling of natural images; calledgroup-based sparse representation (GSR). The proposed GSR is able to sparsely representnatural images in the domain of group; which enforces the intrinsic local sparsity and …,IEEE Transactions on Image Processing,2014,199
Joint source-channel rate-distortion optimization for H. 264 video coding over error-prone networks,Yuan Zhang; Wen Gao; Yan Lu; Qingming Huang; Debin Zhao,For a typical video distribution system; the video contents are first compressed and thenstored in the local storage or transmitted to the end users through networks. While thecompressed videos are transmitted through error-prone networks; error robustness becomesan important issue. In the past years; a number of rate-distortion (RD) optimized codingmode selection schemes have been proposed for error-resilient video coding; including arecursive optimal per-pixel estimate (ROPE) method. However; the ROPE-relatedapproaches assume integer-pixel motion-compensated prediction rather than subpixelprediction; whose extension to H. 264 is not straightforward. Alternatively; an error-robustRD optimization (ER-RDO) method has been included in H. 264 test model; in which theestimate of pixel distortion is derived by simulating decoding process multiple times in the …,IEEE Transactions on multimedia,2007,174
Joint video/depth rate allocation for 3D video coding based on view synthesis distortion model,Yanwei Liu; Qingming Huang; Siwei Ma; Debin Zhao; Wen Gao,Abstract Joint video/depth rate allocation is an important optimization problem in 3D videocoding. To address this problem; this paper proposes a distortion model to evaluate thesynthesized view without access to the captured original view. The proposed distortionmodel is an additive model that accounts for the video-coding-induced distortion and thedepth-quantization-induced distortion; as well as the inherent geometry distortion. Depth-quantization-induced distortion not only considers the warping error distortion; which isdescribed by a piecewise linear model with the video power spectral property; but also takesinto account the warping error correlation distortion between two sources reference views.Geometry distortion is approximated from that of the adjacent view synthesis. Based on theproposed distortion model; a joint rate allocation method is proposed to seek the optimal …,Signal Processing: Image Communication,2009,126
Object detection using spatial histogram features,Hongming Zhang; Wen Gao; Xilin Chen; Debin Zhao,Abstract In this paper; we propose an object detection approach using spatial histogramfeatures. As spatial histograms consist of marginal distributions of an image over localpatches; they can preserve texture and shape information of an object simultaneously. Weemploy Fisher criterion and mutual information to measure discriminability and featurescorrelation of spatial histogram features. We further train a hierarchical classifier bycombining cascade histogram matching and support vector machine. The cascadehistogram matching is trained via automatically selected discriminative features. A forwardsequential selection method is presented to construct uncorrelated and discriminativefeature sets for support vector machine classification. We evaluate the proposed approachon two different kinds of objects: car and video text. Experimental results show that the …,Image and Vision Computing,2006,121
Large-vocabulary continuous sign language recognition based on transition-movement models,Gaolin Fang; Wen Gao; Debin Zhao,The major challenges that sign language recognition (SLR) now faces are developingmethods that solve large-vocabulary continuous sign problems. In this paper; transition-movement models (TMMs) are proposed to handle transition parts between two adjacentsigns in large-vocabulary continuous SLR. For tackling mass transition movements arisenfrom a large vocabulary size; a temporal clustering algorithm improved from k-means byusing dynamic time warping as its distance measure is proposed to dynamically clusterthem; then; an iterative segmentation algorithm for automatically segmenting transition partsfrom continuous sentences and training these TMMs through a bootstrap process ispresented. The clustered TMMs due to their excellent generalization are very suitable forlarge-vocabulary continuous SLR. Lastly; TMMs together with sign models are viewed as …,IEEE transactions on systems; man; and cybernetics-part a: systems and humans,2007,113
The CAS-PEAL large-scale Chinese face database and evaluation protocols,Wen Gao; Bo Cao; Shiguang Shan; Delong Zhou; Xiaohua Zhang; Debin Zhao,ABSTRACT The ICT-ISVISION Joint Research & Development Laboratory (JDL) for FaceRecognition has constructed the CAS-PEAL face database supported by the National Hi-Tech Program and ISVISION Technologies Co.; Ltd. The goals to create the PEAL facedatabase include (1) providing the worldwide researchers of FR community a large-scaleface database for training and evaluating their algorithms;(2) facilitating the development ofFR by providing large-scale face images with different sources of variations; especiallyPose; Expression; Accessories; and Lighting (PEAL);(3) advancing the state-of-the-art facerecognition technologies aiming at practical applications especially for the oriental.Currently; the CAS-PEAL face database contains 99;594 images of 1040 individuals (595males and 445 females) with varying Pose; Expression; Accessory; and Lighting (PEAL) …,Technique Report No. JDL-TR_04_FR_001; Joint Research & Development Laboratory; CAS,2004,110
Large vocabulary sign language recognition based on fuzzy decision trees,Gaolin Fang; Wen Gao; Debin Zhao,The major difficulty for large vocabulary sign recognition lies in the huge search space dueto a variety of recognized classes. How to reduce the recognition time without loss ofaccuracy is a challenging issue. In this paper; a fuzzy decision tree with heterogeneousclassifiers is proposed for large vocabulary sign language recognition. As each sign featurehas the different discrimination to gestures; the corresponding classifiers are presented forthe hierarchical decision to sign language attributes. A one-or two-handed classifier and ahand-shaped classifier with little computational cost are first used to progressively eliminatemany impossible candidates; and then; a self-organizing feature maps/hidden Markovmodel (SOFM/HMM) classifier in which SOFM being as an implicit different signers' featureextractor for continuous HMM; is proposed as a special component of a fuzzy decision …,IEEE Transactions on Systems; Man; and Cybernetics-Part A: Systems and Humans,2004,106
