A data-oriented survey of context models,Cristiana Bolchini; Carlo A Curino; Elisa Quintarelli; Fabio A Schreiber; Letizia Tanca,Abstract Context-aware systems are pervading everyday life; therefore context modeling isbecoming a relevant issue and an expanding research field. This survey has the goal toprovide a comprehensive evaluation framework; allowing application designers to comparecontext models with respect to a given target application; in particular we stress the analysisof those features which are relevant for the problem of data tailoring. The contribution of thispaper is twofold: a general analysis framework for context models and an up-to-datecomparison of the most interesting; data-oriented approaches available in the literature.,ACM Sigmod Record,2007,376
Incompleteness; counterexamples; and refinements in abstract model-checking,Roberto Giacobazzi; Elisa Quintarelli,Abstract In this paper we study the relation between the lack of completeness in abstractinterpretation of model-checking and the structure of the counterexamples produced by amodel-checker. We consider two dual forms of completeness of an abstract interpretation:Forward and backward completeness. They correspond respectively to the standard γ/αcompleteness of an abstract interpretation and can be related with each other by adjunction.We give a constructive characterization of Clarke et al.'s spurious counterexamples in termsof both forward and backward completeness of the underlying abstract interpretation. Thisresult allows us to understand the structure of the counterexamples that can be removed bysystematically refining abstract domains to achieve completeness with respect to a givenoperation. We apply our result to improve static program analysis by refining the model …,International Static Analysis Symposium,2001,117
And what can context do for data?,Cristiana Bolchini; CA Curino; Giorgio Orsi; Elisa Quintarelli; Rosalba Rossato; Fabio A Schreiber; Letizia Tanca,a Enterprise Resource Planning. november 2009| vol. 52| no. 11| communications of theacm 137 contributed articles posed methodological approach. In the context design phase;all the possible scenarios (contexts) of the considered application are identified; then; thedesigner must determine context-aware views; as the portions of the entire dataset whichare relevant for each particular actor in each particular context. We propose the definition ofa context-guided methodology to support the designer in identifying; for a given applicationscenario; the contexts and the correspondingly interesting subsets of data. Our methodologyis composed of three basic elements: a context model; capturing all the aspects–the so-called dimensions–that allows the implicit representation of the possible applicationcontexts; a strategy for identifying; for each dimension; independently of the others; a …,Communications of the ACM,2009,67
Context information for knowledge reshaping,Cristiana Bolchini; Carlo Aldo Curino; Elisa Quintarelli; Fabio A Schreiber; Letizia Tanca,More and more often; we face the necessity of extracting appropriately reshaped knowledgefrom an integrated representation of the information space. Be such a global representationa central database; a global view of several ones or an ontological representation of aninformation domain; we face the need to define personalised views for the knowledgestakeholders: single users; companies or applications. We propose exploiting theinformation usage context within a methodology for context-aware data design; where thenotion of context is formally defined together with its role within the process of view buildingby information tailoring. This paper presents our context model; called the context dimensiontree; which plays a fundamental role in tailoring the information space according to userinformation needs.,International Journal of Web Engineering and Technology,2009,56
CARVE: Context-aware automatic view definition over relational databases,Cristiana Bolchini; Elisa Quintarelli; Letizia Tanca,Abstract Classical database design strategies; based on the a priori definition of applicationviews to be finally integrated in the design of the global databases; are not appropriate forthe design needs of modern; highly dynamic information systems. This paper presentsCARVE (Context-Aware Relational View dEfinition); a methodology for context-aware viewdefinition; well-suited for the design of modern; dynamic applications that; in differentenvironments and situations; need to access different portions of data. The methodologicalapproach includes a context-design phase; followed by a phase when each of the possibleapplication contexts is automatically associated with its relevant part of information (context-aware view). Accordingly; CARVE is based on a context model; on guidelines to definepartial views related to components of the context; and on a set of operators used to …,Information Systems,2013,53
Data mining for XML query-answering support,Mirjana Mazuran; Elisa Quintarelli; Letizia Tanca,Extracting information from semistructured documents is a very hard task; and is going tobecome more and more critical as the amount of digital information available on the Internetgrows. Indeed; documents are often so large that the data set returned as answer to a querymay be too big to convey interpretable knowledge. In this paper; we describe an approachbased on Tree-Based Association Rules (TARs): mined rules; which provide approximate;intensional information on both the structure and the contents of Extensible MarkupLanguage (XML) documents; and can be stored in XML format as well. This minedknowledge is later used to provide: 1) a concise idea-the gist-of both the structure and thecontent of the XML document and 2) quick; approximate answers to queries. In this paper;we focus on the second feature. A prototype system and experimental results …,IEEE Transactions on knowledge and Data Engineering,2012,48
A methodology for preference-based personalization of contextual data,Antonio Miele; Elisa Quintarelli; Letizia Tanca,Abstract The widespread use of mobile appliances; with limitations in terms of storage;power; and connectivity capability; requires to minimize the amount of data to be loaded onuser's devices; in order to quickly select only the information that is really relevant for theusers in their current contexts: in such a scenario; specific methodologies and techniquesfocused on data reduction must be applied. We propose an extension to the data tailoringapproach of Context-ADDICT; whose aim is to dynamically hook and integrateheterogeneous data to be stored on small; possibly mobile devices. The main goal of ourextension is to personalize the context-dependent data obtained by means of the Context-ADDICT methodology; by allowing the user to express preferences that specify which datas/he is more interested in (and which not) in each specific context. This step allows us to …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,48
Answering XML queries by means of data summaries,Elena Baralis; Paolo Garza; Elisa Quintarelli; Letizia Tanca,Abstract XML is a rather verbose representation of semistructured data; which may requirehuge amounts of storage space. We propose a summarized representation of XML data;based on the concept of instance pattern; which can both provide succinct information andbe directly queried. The physical representation of instance patterns exploits itemsets orassociation rules to summarize the content of XML datasets. Instance patterns may be usedfor (possibly partially) answering queries; either when fast and approximate answers arerequired; or when the actual dataset is not available; for example; it is currently unreachable.Experiments on large XML documents show that instance patterns allow a significantreduction in storage space; while preserving almost entirely the completeness of the queryresult. Furthermore; they provide fast query answers and show good scalability on the …,ACM Transactions on Information Systems (TOIS),2007,44
Temporal aspects of semistructured data,Barbara Oliboni; Elisa Quintarelli; Letizia Tanca,In many applications information about the history of data and their dynamic aspects are justas important as static information. The increasing amount of information accessible throughthe Web has presented new challenges to academic and industrial research on databases.In this context; data are either structured; when coming from relational or object-orienteddatabases; or partially or completely unstructured; when they consist of simple collections oftext or image files. In the context of semistructured data; models and query languages mustbe extended in order to consider dynamic aspects. We present a model based on labeledgraphs for representing changes in semistructured data and a SQL-like query language forquerying it.,Temporal Representation and Reasoning; 2001. TIME 2001. Proceedings. Eighth International Symposium on,2001,38
Context Modeling and Context Awareness: steps forward in the Context− ADDICT project,Cristiana Bolchini; Giorgio Orsi; Elisa Quintarelli; Fabio A Schreiber; Letizia Tanca,Abstract: We give an account of the researches on context-aware information tailoring whichare going on within the PEDiGREE group at Politecnico di Milano; starting from afoundational framework for the lifecycle of context-aware information systems; in which thesystem design and management activities consider context as an orthogonal; ﬁrst-classcitizen. The design-time and run-time activities involved in this life-cycle provide material forstimulating research; summarized in this paper.,IEEE Data Engineering Bulletin,2011,37
Relational data tailoring through view composition,Cristiana Bolchini; Elisa Quintarelli; Rosalba Rossato,Abstract This paper presents a methodology to derive views over a relational database byapplying a sequence of appropriately defined operations to the global schema. Suchtailoring and composition process aims at offering personalized views over the databaseschema; so as to improve its ability to support the new needs of customers; supportevolutionary software development; and fix existing legacy database design problems. Theprocess is driven by the designer's knowledge of the possible operational contexts; in termsof the various dimensions that contribute to determine which portions of the global schemaare relevant with respect to the different actors and situations. We formally introduce someoperators; defined on sets of relations; which tailor the schema and combine theintermediate views to derive different final views; suitable for the different envisioned …,International Conference on Conceptual Modeling,2007,33
An algorithm for generating XML Schemas from ER Schemas.,Paolo Pigozzo; Elisa Quintarelli,Nowadays applications are often characterized by the presence of mobile devices which provideaccess to complex services and allow the user to retrieve and exchange multi- mediainformation. A lot of research issues are related to this new communication envi- ronment; suchas; for example; mobility and multi-channel environment. In particular; context-dependance ofinformation and mobility of the users motivate research effort devoted to the design of informationsources suited to be stored into mobile devices. In [2] a methodology for very small databasesaimed at being stored by portable devices is introduced; it has as starting point the presenceof a model of the applica- tion; ie a complete conceptual schema; such as the ER schema; ofthe entire database supporting it. Since in a mobility oriented environment different informationsources may be present and they may adopt various models and schemata of data; the …,SEBD,2005,30
Operational and abstract semantics of the query language G-Log,Agostino Cortesi; Agostino Dovier; Elisa Quintarelli; Letizia Tanca,Abstract The amount and variety of data available electronically have dramatically increasedin the last decade; however; data and documents are stored in different ways and do notusually show their internal structure. In order to take full advantage of the topologicalstructure of digital documents; and particularly web sites; their hierarchical organizationshould be exploited by introducing a notion of query similar to the one used in databasesystems. A good approach; in that respect; is the one provided by graphical querylanguages; originally designed to model object bases and later proposed for semistructureddata; like G-Log. The aim of this paper is to provide suitable graph-based semantics to thislanguage; supporting both data structure variability and topological similarities betweenqueries and document structures. A suite of operational semantics based on the notion of …,Theoretical Computer Science,2002,27
Mining tree-based association rules from XML documents.,Mirjana Mazuran; Elisa Quintarelli; Letizia Tanca,Abstract The increasing amount of very large XML datasets available to casual users is amost challenging problem for our community; and calls for an appropriate support toefficiently gather knowledge from these data. Data mining; already widely applied to extractfrequent correlations of values from both structured and semi-structured datasets; is theappropriate tool for knowledge elicitation. In this work we describe an approach to extractTree-based association rules from XML documents. Such rules provide approximate;intensional information on both the structure and the content of XML documents; and can bestored in XML format to be queried later on. The mined knowledge is used to provide:(i)quick; approximate answers to queries and (ii) information about structural regularities. Aprototype system demonstrates the effectiveness of the approach.,SEBD,2009,24
Intensional query answering to xquery expressions,Simone Gasparini; Elisa Quintarelli,Abstract XML is a representation of data which may require huge amounts of storage spaceand query processing time. Summarized representations of XML data provide succinctinformation which can be directly queried; either when fast yet approximate answers aresufficient; or when the actual dataset is not available. In this work we show which kinds ofXQuery expressions admit a partial answer by using association rules extracted from XMLdatasets. Such partial information provide intensional answers to queries formulated asXQuery expressions.,International Conference on Database and Expert Systems Applications,2005,21
Modeling semistructured data by using graph-based constraints,Ernesto Damiani; Barbara Oliboni; Elisa Quintarelli; Letizia Tanca,Abstract The widespread adoption of semistructured and more in particular XML data hasopened a new venue for the application of formal methods to the speci. cation of models forde. ning classes of semistructured or XML documents [1; 3]. Most current models forsemistructured data are too speci. c to allow immediate comparison with each other; and donot easily support incremental model design. For this reason; we introduce the GeneralSemistructured Meta-Model (GSMM); a simple meta-model for semistructured informationwhich can be applied for the translation to a common formalism of the various abstractmodels proposed in literature; this approach fosters easy a priori comparison and discussionof concrete models' features; such as allowed sets of values; handling of object identi. ers;relationships representation; moreover; it supports e. ective inter-model translation and …,OTM Confederated International Conferences" On the Move to Meaningful Internet Systems",2003,20
Mining tree-based frequent patterns from XML,Mirjana Mazuran; Elisa Quintarelli; Letizia Tanca,Abstract The increasing amount of very large XML datasets available to casual users is achallenging problem for our community; and calls for an appropriate support to efficientlygather knowledge from these data. Data mining; already widely applied to extract frequentcorrelations of values from both structured and semi-structured datasets; is the appropriatefield for knowledge elicitation. In this work we describe an approach to extract Tree-basedassociation rules from XML documents. Such rules provide approximate; intensionalinformation on both the structure and the content of XML documents; and can be stored inXML format to be queried later on. A prototype system demonstrates the effectiveness of theapproach.,International Conference on Flexible Query Answering Systems,2009,19
