Data management for peer-to-peer computing: A vision,Philip A Bernstein; Fausto Giunchiglia; Anastasios Kementsietsidis; John Mylopoulos; Luciano Serafini; Ilya Zaihrayeu,We motivate special database problems introduced by peer-to-peer computing and proposethe Local Relational Model (LRM) to solve some of them. As well; we summarize aformalization of LRM; present an architecture for a prototype implementation; and discussopen research questions.,*,2002,505
Mapping data in peer-to-peer systems: Semantics and algorithmic issues,Anastasios Kementsietsidis; Marcelo Arenas; Renée J Miller,Abstract We consider the problem of mapping data in peer-to-peer data-sharing systems.Such systems often rely on the use of mapping tables listing pairs of corresponding values tosearch for data residing in different peers. In this paper; we address semantic andalgorithmic issues related to the use of mapping tables. We begin by arguing why mappingtables are appropriate for data mapping in a peer-to-peer environment. We discussalternative semantics for these tables and we present a language that allows the user tospecify mapping tables under different semantics. Then; we show that by treating mappingtables as constraints (called mapping constraints) on the exchange of information betweenpeers it is possible to reason about them. We motivate why reasoning capabilities areneeded to manage mapping tables and show the importance of inferring new mapping …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,323
Conditional functional dependencies for data cleaning,Philip Bohannon; Wenfei Fan; Floris Geerts; Xibei Jia; Anastasios Kementsietsidis,We propose a class of constraints; referred to as conditional functional dependencies(CFDs); and study their applications in data cleaning. In contrast to traditional functionaldependencies (FDs) that were developed mainly for schema design; CFDs aim at capturingthe consistency of data by incorporating bindings of semantic ally related values. For CFDswe provide an inference system analogous to Armstrong's axioms for FDs; as well asconsistency analysis. Since CFDs allow data bindings; a large number of individualconstraints may hold on a table; complicating detection of constraint violations. We developtechniques for detecting CFD violations in SQL as well as novel techniques for checkingmultiple constraints in a single query. We experimentally evaluate the performance of ourCFD-based methods for inconsistency detection. This not only yields a constraint theory …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,311
Conditional functional dependencies for capturing data inconsistencies,Wenfei Fan; Floris Geerts; Xibei Jia; Anastasios Kementsietsidis,Abstract We propose a class of integrity constraints for relational databases; referred to asconditional functional dependencies (CFDs); and study their applications in data cleaning. Incontrast to traditional functional dependencies (FDs) that were developed mainly for schemadesign; CFDs aim at capturing the consistency of data by enforcing bindings of semanticallyrelated values. For static analysis of CFDs we investigate the consistency problem; which isto determine whether or not there exists a nonempty database satisfying a given set ofCFDs; and the implication problem; which is to decide whether or not a set of CFDs entailsanother CFD. We show that while any set of transitional FDs is trivially consistent; theconsistency problem is NP-complete for CFDs; but it is in PTIME when either the databaseschema is predefined or no attributes involved in the CFDs have a finite domain. For the …,ACM Transactions on Database Systems (TODS),2008,285
The hyperion project: from data integration to data coordination,Marcelo Arenas; Vasiliki Kantere; Anastasios Kementsietsidis; Iluju Kiringa; Renée J Miller; John Mylopoulos,Abstract We present an architecture and a set of challenges for peer database managementsystems. These systems team up to build a network of nodes (peers) that coordinate at runtime most of the typical DBMS tasks such as the querying; updating; and sharing of data.Such a network works in a way similar to conventional multidatabases. Conventionalmultidatabase systems are founded on key concepts such as those of a global schema;central administrative authority; data integration; global access to multiple databases;permanent participation of databases; etc. Instead; our proposal assumes total absence ofany central authority or control; no global schema; transient participation of peer databases;and constantly evolving coordination rules among databases. In this work; we describe thestatus of the Hyperion project; present our current solutions; and outline remaining …,ACM SIGMOD Record,2003,227
Apples and oranges: a comparison of RDF benchmarks and real RDF datasets,Songyun Duan; Anastasios Kementsietsidis; Kavitha Srinivas; Octavian Udrea,Abstract The widespread adoption of the Resource Description Framework (RDF) for therepresentation of both open web and enterprise data is the driving force behind theincreasing research interest in RDF data management. As RDF data management systemsproliferate; so are benchmarks to test the scalability and performance of these systemsunder data and workloads with various characteristics. In this paper; we compare datagenerated with existing RDF benchmarks and data found in widely used real RDF datasets.The results of our comparison illustrate that existing benchmark data have little in commonwith real data. Therefore any conclusions drawn from existing benchmark tests might notactually translate to expected behaviours in real settings. In terms of the comparison itself;we show that simple primitive data metrics are inadequate to flesh out the fundamental …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,151
Mondrian: Annotating and querying databases through colors and blocks,Floris Geerts; Anastasios Kementsietsidis; Diego Milano,Annotations play a central role in the curation of scientific databases. Despite theirimportance; data formats and schemas are not designed to manage the increasing variety ofannotations. Moreover; DBMS's often lack support for storing and querying annotations.Furthermore; annotations and data are only loosely coupled. This paper introduces anannotation-oriented data model for the manipulation and querying of both data andannotations. In particular; the model allows for the specification of annotations on sets ofvalues and for effectively querying the information on their association. We use the conceptof block to represent an annotated set of values. Different colors applied to the blocksrepresent different annotations. We introduce a color query language for our model andprove it to be both complete (it can express all possible queries over the class of …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,138
Building an efficient RDF store over a relational database,Mihaela A Bornea; Julian Dolby; Anastasios Kementsietsidis; Kavitha Srinivas; Patrick Dantressangle; Octavian Udrea; Bishwaranjan Bhattacharjee,Abstract Efficient storage and querying of RDF data is of increasing importance; due to theincreased popularity and widespread acceptance of RDF on the web and in the enterprise.In this paper; we describe a novel storage and query mechanism for RDF which works ontop of existing relational representations. Reliance on relational representations of RDFmeans that one can take advantage of 35+ years of research on efficient storage andquerying; industrial-strength transaction support; locking; security; etc. However; there aresignificant challenges in storing RDF in relational; which include data sparsity and schemavariability. We describe novel mechanisms to shred RDF into relational; and novel querytranslation techniques to maximize the advantages of this shredded representation. Weshow that these mechanisms result in consistently good performance across multiple …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,127
Data sharing in the hyperion peer database system,Patricia Rodríguez-Gianolli; Anastasios Kementsietsidis; Maddalena Garzetti; Iluju Kiringa; Lei Jiang; Mehedi Masud; Renée J Miller; John Mylopoulos,Abstract This demo presents Hyperion; a prototype system that supports data sharing for anetwork of independent Peer Relational Database Management Systems (PDBMSs). Thenodes of such a network are assumed to be autonomous PDBMSs that form acquaintancesat run-time; and manage mapping tables to define value correspondences among differentdatabases. They also use distributed Event-Condition-Action (ECA) rules to enable andcoordinate data sharing. Peers perform local querying and update processing; and alsopropagate queries and updates to their acquainted peers. The demo illustrates the followingkey functionalities of Hyperion:(1) the use of (data level) mapping tables to infer newmetadata as peers dynamically join the network;(2) the ability to answer queries using datain acquaintances; and (3) the ability to coordinate peers through update propagation.,Proceedings of the 31st international conference on Very large data bases,2005,102
Rewriting regular XPath queries on XML views,Wenfei Fan; Floris Geerts; Xibei Jia; Anastasios Kementsietsidis,We study the problem of answering queries posed on virtual views of XML documents; aproblem commonly encountered when enforcing XML access control and integrating data.We approach the problem by rewriting queries on views into equivalent queries on theunderlying document; and thus avoid the overhead of view materialization andmaintenance. We consider possibly recursively defined XML views and study the rewriting ofboth XPath and regular XPath queries. We show that while rewriting is not always possiblefor XPath over recursive views; it is for regular XPath; however; the rewritten query may be ofexponential size. To avoid this prohibitive cost we propose a rewriting algorithm thatcharacterizes rewritten queries as a new form of automata; and an efficient algorithm toevaluate the automaton-represented queries. These allow us to answer queries on views …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,88
