The performance of mapreduce: An in-depth study,Dawei Jiang; Beng Chin Ooi; Lei Shi; Sai Wu,Abstract MapReduce has been widely used for large-scale data analysis in the Cloud. Thesystem is well recognized for its elastic scalability and fine-grained fault tolerance althoughits performance has been noted to be suboptimal in the database context. According to arecent study [19]; Hadoop; an open source implementation of MapReduce; is slower thantwo state-of-the-art parallel database systems in performing a variety of analytical tasks by afactor of 3.1 to 6.5. MapReduce can achieve better performance with the allocation of morecompute nodes from the cloud to speed up computation; however; this approach of" rentingmore nodes" is not cost effective in a pay-as-you-go environment. Users desire aneconomical elastically scalable data processing system; and therefore; are interested inwhether MapReduce can offer both elastic scalability and efficiency. In this paper; we …,Proceedings of the VLDB Endowment,2010,479
Indexing multi-dimensional data in a cloud system,Jinbao Wang; Sai Wu; Hong Gao; Jianzhong Li; Beng Chin Ooi,Abstract Providing scalable database services is an essential requirement for extendingmany existing applications of the Cloud platform. Due to the diversity of applications;database services on the Cloud must support large-scale data analytical jobs and highconcurrent OLTP queries. Most existing work focuses on some specific type of applications.To provide an integrated framework; we are designing a new system; epiC; as our solutionto next-generation database systems. In epiC; indexes play an important role in improvingoverall performance. Different types of indexes are built to provide efficient query processingfor different applications. In this paper; we propose RT-CAN; a multi-dimensional indexingscheme in epiC. RT-CAN integrates CAN [23] based routing protocol and the R-tree basedindexing scheme to support efficient multi-dimensional query processing in a Cloud …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,196
Cdas: a crowdsourcing data analytics system,Xuan Liu; Meiyu Lu; Beng Chin Ooi; Yanyan Shen; Sai Wu; Meihui Zhang,Abstract Some complex problems; such as image tagging and natural language processing;are very challenging for computers; where even state-of-the-art technology is yet able toprovide satisfactory accuracy. Therefore; rather than relying solely on developing new andbetter algorithms to handle such tasks; we look to the crowdsourcing solution--employinghuman participation--to make good the shortfall in current technology. Crowdsourcing is agood supplement to many computer tasks. A complex job may be divided into computer-oriented tasks and human-oriented tasks; which are then assigned to machines and humansrespectively. To leverage the power of crowdsourcing; we design and implement aCrowdsourcing Data Analytics System; CDAS. CDAS is a framework designed to support thedeployment of various crowdsourcing applications. The core part of CDAS is a quality …,Proceedings of the VLDB Endowment,2012,167
Distributed data management using MapReduce,Feng Li; Beng Chin Ooi; M Tamer Özsu; Sai Wu,Abstract MapReduce is a framework for processing and managing large-scale datasets in adistributed cluster; which has been used for applications such as generating search indexes;document clustering; access log analysis; and various other forms of data analytics.MapReduce adopts a flexible computation model with a simple interface consisting of mapand reduce functions whose implementations can be customized by application developers.Since its introduction; a substantial amount of research effort has been directed towardmaking it more usable and efficient for supporting database-centric operations. In this article;we aim to provide a comprehensive review of a wide range of proposals and systems thatfocusing fundamentally on the support of distributed data management and processingusing the MapReduce framework.,ACM Computing Surveys (CSUR),2014,162
Query optimization for massively parallel data processing,Sai Wu; Feng Li; Sharad Mehrotra; Beng Chin Ooi,Abstract MapReduce has been widely recognized as an efficient tool for large-scale dataanalysis. It achieves high performance by exploiting parallelism among processing nodeswhile providing a simple interface for upper-layer applications. Some vendors haveenhanced their data warehouse systems by integrating MapReduce into the systems.However; existing MapReduce-based query processing systems; such as Hive; fall short ofthe query optimization and competency of conventional database systems. Given an SQLquery; Hive translates the query into a set of MapReduce jobs sentence by sentence. Thisdesign assumes that the user can optimize his query before submitting it to the system.Unfortunately; manual query optimization is time consuming and difficult; even to anexperienced database user or administrator. In this paper; we propose a query …,Proceedings of the 2nd ACM Symposium on Cloud Computing,2011,154
Llama: leveraging columnar storage for scalable join processing in the MapReduce framework,Yuting Lin; Divyakant Agrawal; Chun Chen; Beng Chin Ooi; Sai Wu,Abstract To achieve high reliability and scalability; most large-scale data warehousesystems have adopted the cluster-based architecture. In this paper; we propose the designof a new cluster-based data warehouse system; LLama; a hybrid data management systemwhich combines the features of row-wise and column-wise database systems. In Llama;columns are formed into correlation groups to provide the basis for the vertical partitioning oftables. Llama employs a distributed file system (DFS) to disseminate data among clusternodes. Above the DFS; a MapReduce-based query engine is supported. We design a newjoin algorithm to facilitate fast join processing. We present a performance study on TPC-Hdataset and compare Llama with Hive; a data warehouse infrastructure built on top ofHadoop. The experiment is conducted on EC2. The results show that Llama has an …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,137
Efficient B-tree based indexing for cloud data processing,Sai Wu; Dawei Jiang; Beng Chin Ooi; Kun-Lung Wu,Abstract A Cloud may be seen as a type of flexible computing infrastructure consisting ofmany compute nodes; where resizable computing capacities can be provided to differentcustomers. To fully harness the power of the Cloud; efficient data management is needed tohandle huge volumes of data and support a large number of concurrent end users. Toachieve that; a scalable and high-throughput indexing scheme is generally required. Suchan indexing scheme must not only incur a low maintenance cost but also support parallelsearch to improve scalability. In this paper; we present a novel; scalable B+-tree basedindexing scheme for efficient data processing in the Cloud. Our approach can besummarized as follows. First; we build a local B+-tree index for each compute node whichonly indexes data residing on the node. Second; we organize the compute nodes as a …,Proceedings of the VLDB Endowment,2010,136
Ti: an efficient indexing mechanism for real-time search on tweets,Chun Chen; Feng Li; Beng Chin Ooi; Sai Wu,Abstract Real-time search dictates that new contents be made available for searchimmediately following their creation. From the database perspective; this requirement maybe quite easily met by creating an up-to-date index for the contents and measuring searchquality by the time gap between insertion time and availability of the index. This approach;however; poses new challenges for micro-blogging systems where thousands of concurrentusers may upload their micro-blogs or tweets simultaneously. Due to the high update andquery loads; conventional approaches would either fail to index the huge amount of newlycreated contents in real time or fall short of providing a scalable indexing service. In thispaper; we propose a tweet index called the TI (Tweet Index); an adaptive indexing schemefor microblogging systems such as Twitter. The intuition of the TI is to index the tweets that …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,124
Es 2: A cloud data storage system for supporting both oltp and olap,Yu Cao; Chun Chen; Fei Guo; Dawei Jiang; Yuting Lin; Beng Chin Ooi; Hoang Tam Vo; Sai Wu; Quanqing Xu,Cloud computing represents a paradigm shift driven by the increasing demand of Webbased applications for elastic; scalable and efficient system architectures that can efficientlysupport their ever-growing data volume and large-scale data analysis. A typical datamanagement system has to deal with real-time updates by individual users; and as well asperiodical large scale analytical processing; indexing; and data extraction. While suchoperations may take place in the same domain; the design and development of the systemshave somehow evolved independently for transactional and periodical analyticalprocessing. Such a system-level separation has resulted in problems such as datafreshness as well as serious data storage redundancy. Ideally; it would be more efficient toapply ad-hoc analytical processing on the same data directly. However; to the best of our …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,97
Distributed online aggregations,Sai Wu; Shouxu Jiang; Beng Chin Ooi; Kian-Lee Tan,Abstract In many decision making applications; users typically issue aggregate queries. Toevaluate these computationally expensive queries; online aggregation has been developedto provide approximate answers (with their respective confidence intervals) quickly; and tocontinuously refine the answers. In this paper; we extend the online aggregation techniqueto a distributed context where sites are maintained in a DHT (Distributed Hash Table)network. Our Distributed Online Aggregation (DoA) scheme iteratively and progressivelyproduces approximate aggregate answers as follows: in each iteration; a small set ofrandom samples are retrieved from the data sites and distributed to the processing sites; ateach processing site; a local aggregate is computed based on the allocated samples; at acoordinator site; these local aggregates are combined into a global aggregate. DoA …,Proceedings of the VLDB Endowment,2009,84
