Fast random walk with restart and its applications,Hanghang Tong; Christos Faloutsos; Jia-Yu Pan,Abstract How closely related are two nodes in a graph? How to compute this score quickly;on huge; disk-resident; real graphs? Random walk with restart (RWR) provides a goodrelevance score between two nodes in a weighted graph; and it has been successfully usedin numerous settings; like automatic captioning of images; generalizations to the “connectionsubgraphs”; personalized PageRank; and many more. However; the straightforwardimplementations of RWR do not scale for large graphs; requiring either quadratic space andcubic pre-computation time; or slow response time on queries. We propose fast solutions tothis problem. The heart of our approach is to exploit two important properties shared bymany real graphs:(a) linear correlations and (b) blockwise; community-like structure. Weexploit the linearity by using low-rank matrix approximation; and the community structure …,*,2006,676
Manifold-ranking based image retrieval,Jingrui He; Mingjing Li; Hong-Jiang Zhang; Hanghang Tong; Changshui Zhang,Abstract In this paper; we propose a novel transductive learning framework named manifold-ranking based image retrieval (MRBIR). Given a query image; MRBIR first makes use of amanifold ranking algorithm to explore the relationship among all the data points in thefeature space; and then measures relevance between the query and all the images in thedatabase accordingly; which is different from traditional similarity metrics based on pair-wisedistance. In relevance feedback; if only positive examples are available; they are added tothe query set to improve the retrieval result; if examples of both labels can be obtained;MRBIR discriminately spreads the ranking scores of positive and negative examples;considering the asymmetry between these two types of images. Furthermore; three activelearning methods are incorporated into MRBIR; which select images in each round of …,Proceedings of the 12th annual ACM international conference on Multimedia,2004,379
Blur detection for digital images using wavelet transform,Hanghang Tong; Mingjing Li; Hongjiang Zhang; Changshui Zhang,With the prevalence of digital cameras; the number of digital images increases quickly;which raises the demand for image quality assessment in terms of blur. Based on the edgetype and sharpness analysis; using the Harr wavelet transform; a new blur detection schemeis proposed in this paper; which can determine whether an image is blurred or not and towhat extent an image is blurred. Experimental results demonstrate the effectiveness of theproposed scheme.,Multimedia and Expo; 2004. ICME'04. 2004 IEEE International Conference on,2004,309
Graph based anomaly detection and description: a survey,Leman Akoglu; Hanghang Tong; Danai Koutra,Abstract Detecting anomalies in data is a vital task; with numerous high-impact applicationsin areas such as security; finance; health care; and law enforcement. While numeroustechniques have been developed in past years for spotting outliers and anomalies inunstructured collections of multi-dimensional points; with graph data becoming ubiquitous;techniques for structured graph data have been of focus recently. As objects in graphs havelong-range correlations; a suite of novel technology has been developed for anomalydetection in graph data. This survey aims to provide a general; comprehensive; andstructured overview of the state-of-the-art methods for anomaly detection in data representedas graphs. As a key contribution; we give a general framework for the algorithms categorizedunder various settings: unsupervised versus (semi-) supervised approaches; for static …,Data Mining and Knowledge Discovery,2015,307
Center-piece subgraphs: problem definition and fast solutions,Hanghang Tong; Christos Faloutsos,Abstract Given Q nodes in a social network (say; authorship network); how can we find thenode/author that is the center-piece; and has direct or indirect connections to all; or most ofthem? For example; this node could be the common advisor; or someone who started theresearch area that the Q nodes belong to. Isomorphic scenarios appear in law enforcement(find the master-mind criminal; connected to all current suspects); gene regulatory networks(find the protein that participates in pathways with all or most of the given Q proteins); viralmarketing and many more. Connection subgraphs is an important first step; handling thecase of Q= 2 query nodes. Then; the connection subgraph algorithm finds the b intermediatenodes; that provide a good connection between the two original query nodes. Here wegeneralize the challenge in multiple dimensions: First; we allow more than two query …,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and data mining,2006,274
Activity recognition with smartphone sensors,Xing Su; Hanghang Tong; Ping Ji,The ubiquity of smartphones together with their ever-growing computing; networking; andsensing powers have been changing the landscape of people's daily life. Among others;activity recognition; which takes the raw sensor reading as inputs and predicts a user'smotion activity; has become an active research area in recent years. It is the core buildingblock in many high-impact applications; ranging from health and fitness monitoring; personalbiometric signature; urban computing; assistive technology; and elder-care; to indoorlocalization and navigation; etc. This paper presents a comprehensive survey of the recentadvances in activity recognition with smartphones' sensors. We start with the basic conceptssuch as sensors; activity types; etc. We review the core data mining techniques behind themain stream activity recognition algorithms; analyze their major challenges; and introduce …,Tsinghua Science and Technology,2014,273
Random walk with restart: fast solutions and applications,Hanghang Tong; Christos Faloutsos; Jia-Yu Pan,Abstract How closely related are two nodes in a graph? How to compute this score quickly;on huge; disk-resident; real graphs? Random walk with restart (RWR) provides a goodrelevance score between two nodes in a weighted graph; and it has been successfully usedin numerous settings; like automatic captioning of images; generalizations to the “connectionsubgraphs”; personalized PageRank; and many more. However; the straightforwardimplementations of RWR do not scale for large graphs; requiring either quadratic space andcubic pre-computation time; or slow response time on queries. We propose fast solutions tothis problem. The heart of our approach is to exploit two important properties shared bymany real graphs:(a) linear correlations and (b) block-wise; community-like structure. Weexploit the linearity by using low-rank matrix approximation; and the community structure …,Knowledge and Information Systems,2008,233
Fast best-effort pattern matching in large attributed graphs,Hanghang Tong; Christos Faloutsos; Brian Gallagher; Tina Eliassi-Rad,Abstract We focus on large graphs where nodes have attributes; such as a social networkwhere the nodes are labelled with each person's job title. In such a setting; we want to findsubgraphs that match a user query pattern. For example; a" star" query would be;" find aCEO who has strong interactions with a Manager; a Lawyer; and an Accountant; or anotherstructure as close to that as possible". Similarly; a" loop" query could help spot a moneylaundering ring. Traditional SQL-based methods; as well as more recent graph indexingmethods; will return no answer when an exact match does not exist. This is the first mainfeature of our method. It can find exact-; as well as near-matches; and it will present them tothe user in our proposed" goodness" order. For example; our method tolerates indirect pathsbetween; say; the" CEO" and the" Accountant" of the above sample query; when direct …,Proceedings of the 13th ACM SIGKDD international conference on Knowledge discovery and data mining,2007,219
Data classification: algorithms and applications,Charu C Aggarwal,Comprehensive Coverage of the Entire Area of Classification Research on the problem ofclassification tends to be fragmented across such areas as pattern recognition; database;data mining; and machine learning. Addressing the work of these different communities in aunified way; Data Classification: Algorithms and Applications explores the underlyingalgorithms of classification as well as applications of classification in a variety of problemdomains; including text; multimedia; social network; and biological data. Thiscomprehensive book focuses on three primary aspects of data classification: Methods: Thebook first describes common techniques used for classification; including probabilisticmethods; decision trees; rule-based methods; instance-based methods; support vectormachine methods; and neural networks. Domains: The book then examines specific …,*,2014,185
Rolx: structural role extraction & mining in large graphs,Keith Henderson; Brian Gallagher; Tina Eliassi-Rad; Hanghang Tong; Sugato Basu; Leman Akoglu; Danai Koutra; Christos Faloutsos; Lei Li,Abstract Given a network; intuitively two nodes belong to the same role if they have similarstructural behavior. Roles should be automatically determined from the data; and could be;for example;" clique-members;"" periphery-nodes;" etc. Roles enable numerous novel anduseful network-mining tasks; such as sense-making; searching for similar nodes; and nodeclassification. This paper addresses the question: Given a graph; how can we automaticallydiscover roles for nodes? We propose RolX (Role eXtraction); a scalable (linear in thenumber of edges); unsupervised learning approach for automatically extracting structuralroles from general network data. We demonstrate the effectiveness of RolX on severalnetwork-mining tasks: from exploratory data analysis to network transfer learning. Moreover;we compare network role discovery with network community discovery. We highlight …,Proceedings of the 18th ACM SIGKDD international conference on Knowledge discovery and data mining,2012,150
