HadoopDB: an architectural hybrid of MapReduce and DBMS technologies for analytical workloads,Azza Abouzeid; Kamil Bajda-Pawlikowski; Daniel Abadi; Avi Silberschatz; Alexander Rasin,Abstract The production environment for analytical data management applications is rapidlychanging. Many enterprises are shifting away from deploying their analytical databases onhigh-end proprietary machines; and moving towards cheaper; lower-end; commodityhardware; typically arranged in a shared-nothing MPP architecture; often in a virtualizedenvironment inside public or private" clouds". At the same time; the amount of data thatneeds to be analyzed is exploding; requiring hundreds to thousands of machines to work inparallel to perform the analysis. There tend to be two schools of thought regarding whattechnology to use for data analysis in such an environment. Proponents of paralleldatabases argue that the strong emphasis on performance and efficiency of paralleldatabases makes them well-suited to perform such analysis. On the other hand; others …,Proceedings of the VLDB Endowment,2009,1003
Processing of data using a database system in communication with a data processing framework,*,A system; method; and computer program product for processing data are disclosed. Thesystem includes a data processing framework configured to receive a data processing taskfor processing; a plurality of database systems coupled to the data processing framework;and a storage component in communication with the data processing framework and theplurality database systems. The database systems perform a data processing task. The dataprocessing task is partitioned into a plurality of partitions and each database systemprocesses a partition of the data processing task assigned for processing to that databasesystem. Each database system performs processing of its assigned partition of the dataprocessing task in parallel with another database system processing another partition of thedata processing task assigned to the another database system. The data processing …,*,2016,82
HadoopDB in action: building real world applications,Azza Abouzied; Kamil Bajda-Pawlikowski; Jiewen Huang; Daniel J Abadi; Avi Silberschatz,Abstract HadoopDB is a hybrid of MapReduce and DBMS technologies; designed to meetthe growing demand of analyzing massive datasets on very large clusters of machines. Ourprevious work has shown that HadoopDB approaches parallel databases in performanceand still yields the scalability and fault tolerance of MapReduce-based systems. In thisdemonstration; we focus on HadoopDB's flexible architecture and versatility with two realworld application scenarios: a semantic web data application for protein sequence analysisand a business data warehousing application based on TPC-H. The demonstration offers athorough walk-through of how to easily build applications on top of HadoopDB.,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,79
Apparatus and method for facilitating continuous querying of multi-dimensional data streams,*,A computer readable storage medium comprises executable instructions to provide a queryinterface for formulating continuous queries of multi-dimensional data streams. The queryinterface is populated to generate a plurality of continuous queries. The plurality ofcontinuous queries are executed. The plurality of continuous queries are modified at run-time.,*,2012,44
Learning and verifying quantified boolean queries by example,Azza Abouzied; Dana Angluin; Christos Papadimitriou; Joseph M Hellerstein; Avi Silberschatz,Abstract To help a user specify and verify quantified queries---a class of database queriesknown to be very challenging for all but the most expert users---one can question the useron whether certain data objects are answers or non-answers to her intended query. In thispaper; we analyze the number of questions needed to learn or verify qhorn queries; aspecial class of Boolean quantified queries whose underlying form is conjunctions ofquantified Horn expressions. We provide optimal polynomial-question and polynomial-timelearning and verification algorithms for two subclasses of the class qhorn with upperconstant limits on a query's causal density.,Proceedings of the 32nd ACM SIGMOD-SIGACT-SIGAI symposium on Principles of database systems,2013,39
Invisible loading: access-driven data transfer from raw files into database systems,Azza Abouzied; Daniel J Abadi; Avi Silberschatz,Abstract Commercial analytical database systems suffer from a high" time-to-first-analysis":before data can be processed; it must be modeled and schematized (a human effort);transferred into the database's storage layer; and optionally clustered and indexed (acomputational effort). For many types of structured data; this upfront effort is unjustifiable; sothe data are processed directly over the file system using the Hadoop framework; despite thecumulative performance benefits of processing this data in an analytical database system. Inthis paper we describe a system that achieves the immediate gratification of runningMapReduce jobs directly over a file system; while still making progress towards the long-term performance benefits of database systems. The basic idea is to piggyback onMapReduce jobs; leverage their parsing and tuple extraction operations to incrementally …,Proceedings of the 16th International Conference on Extending Database Technology,2013,38
DataPlay: interactive tweaking and example-driven correction of graphical database queries,Azza Abouzied; Joseph Hellerstein; Avi Silberschatz,Abstract Writing complex queries in SQL is a challenge for users. Prior work has developedseveral techniques to ease query specification but none of these techniques are applicableto a particularly difficult class of queries: quantified queries. Our hypothesis is that usersprefer to specify quantified queries interactively by trial-and-error. We identify twoimpediments to this form of interactive trial-and-error query specification in SQL:(i) changingquantifiers often requires global syntactical query restructuring; and (ii) the absence of non-answers from SQL's results makes verifying query correctness difficult. We remedy theseissues with DataPlay; a query tool with an underlying graphical query language; a uniquedata model and a graphical interface. DataPlay provides two interaction features thatsupport trial-and-error query specification. First; DataPlay allows users to directly …,Proceedings of the 25th annual ACM symposium on User interface software and technology,2012,33
Data loading systems and methods,*,System; method; and computer program product for processing data are disclosed. Thesystem is configured to perform transfer of data from a file system to a database system.Such transfer is accomplished through receiving a request for loading data into a databasesystem; wherein the data includes a plurality of attributes; determining at least one attributeof the data for loading into the database system; and loading the at least one attribute of thedata into the database system while continuing to process remaining attributes of the data.,*,2016,30
Data loading systems and methods,*,System; method; and computer program product for processing data are disclosed. Thesystem is configured to perform transfer of data from a file system to a database system.Such transfer is accomplished through receiving a request for loading data into a databasesystem; wherein the data includes a plurality of attributes; determining at least one attributeof the data for loading into the database system; and loading the at least one attribute of thedata into the database system while continuing to process remaining attributes of the data.,*,2016,30
Playful query specification with DataPlay,Azza Abouzied; Joseph M Hellerstein; Avi Silberschatz,Abstract DataPlay is a query tool that encourages a trial-and-error approach to queryspecification. DataPlay uses a graphical query language to make a particularly challengingquery specification task-quantification-easier. It constrains the relational data model toenable the presentation of non-answers; in addition to answers; to aid query interpretation.Two novel features of DataPlay are suggesting semantic variations to a query and correctingqueries by example. We introduce DataPlay as a sophisticated query specification tool anddemonstrate its unique interaction models.,Proceedings of the VLDB Endowment,2012,25
