Aether: A Scalable Approach to Logging,Ryan Johnson; Ippokratis Pandis; Radu Stoica; Manos Athanassoulis; Anastasia Ailamaki,Abstract The shift to multi-core hardware brings new challenges to database systems; as thesoftware parallelism determines performance. Even though database systems traditionallyaccommodate simultaneous requests; a multitude of synchronization barriers serializeexecution. Write-ahead logging is a fundamental; omnipresent component in ARIES-styleconcurrency and recovery; and one of the most important yet-to-be addressed potentialbottlenecks; especially in OLTP workloads making frequent small changes to data. In thispaper; we identify four logging-related impediments to database system scalability. Eachissue challenges different level in the software architecture:(a) the high volume of small-sized I/O requests may saturate the disk;(b) transactions hold locks while waiting for the logflush;(c) extensive context switching overwhelms the OS scheduler with threads executing …,Proceedings of the VLDB Endowment,2010,104
Evaluating and repairing write performance on flash devices,Radu Stoica; Manos Athanassoulis; Ryan Johnson; Anastasia Ailamaki,Abstract In the last few years NAND flash storage has become more and more popular asprice per GB and capacity both improve at exponential rates. Flash memory offers significantbenefits compared to magnetic hard disk drives (HDDs) and DBMSs are highly likely to useflash as a general storage backend; either alone or in heterogeneous storage solutions withHDDs. Flash devices; however; respond quite differently than HDDs for common accesspatterns; and recent research shows a strong asymmetry between read and writeperformance. Moreover; flash storage devices behave unpredictably; showing a highdependence on previous IO history and usage patterns. In this paper we investigate how aDBMS can overcome these issues to take full advantage of flash memory as persistentstorage. We propose new a flash aware data layout---append and pack---which stabilizes …,Proceedings of the Fifth International Workshop on Data Management on New Hardware,2009,59
TPC-E vs. TPC-C: characterizing the new TPC-E benchmark via an I/O comparison study,Shimin Chen; Anastasia Ailamaki; Manos Athanassoulis; Phillip B Gibbons; Ryan Johnson; Ippokratis Pandis; Radu Stoica,Abstract TPC-E is a new OLTP benchmark recently approved by the Transaction ProcessingPerformance Council (TPC). In this paper; we compare TPC-E with the familiar TPCCbenchmark in order to understand the behavior of the new TPC-E benchmark. In particular;we compare the I/O access patterns of the two benchmarks by analyzing two OLTP disktraces. We find that (i) TPC-E is more read intensive with a 9.7: 1 I/O read to write ratio; whileTPC-C sees a 1.9: 1 read-to-write ratio; and (ii) although TPC-E uses pseudo-realistic data;TPC-E's I/O access pattern is as random as TPC-C. The latter suggests that like TPC-C; TPC-E can benefit from SSDs; which have superior random I/O support. To verify this; we replayboth disk traces on an Intel X25-E SSD and see dramatic improvements for both TPC-C andTPC-E.,ACM SIGMOD Record,2011,51
Scalability of write-ahead logging on multicore and multisocket hardware,Ryan Johnson; Ippokratis Pandis; Radu Stoica; Manos Athanassoulis; Anastasia Ailamaki,Abstract The shift to multi-core and multi-socket hardware brings new challenges todatabase systems; as the software parallelism determines performance. Even thoughdatabase systems traditionally accommodate simultaneous requests; a multitude ofsynchronization barriers serialize execution. Write-ahead logging is a fundamental;omnipresent component in ARIES-style concurrency and recovery; and one of the mostimportant yet-to-be addressed potential bottlenecks; especially in OLTP workloads makingfrequent small changes to data. In this paper; we identify four logging-related impediments todatabase system scalability. Each issue challenges different level in the softwarearchitecture:(a) the high volume of small-sized I/O requests may saturate the disk;(b)transactions hold locks while waiting for the log flush;(c) extensive context switching …,The VLDB Journal—The International Journal on Very Large Data Bases,2012,43
A New Look at the Roles of Spinning and Blocking,Ryan Johnson; Manos Athanassoulis; Radu Stoica; Anastasia Ailamaki,Abstract Database engines face growing scalability challenges as core counts exponentiallyincrease each processor generation; and the efficiency of synchronization primitives used toprotect internal data structures is a crucial factor in overall database performance. The trade-offs between different implementation approaches for these primitives shift significantly withincreasing degrees of available hardware parallelism. Blocking synchronization; which haslong been the favored approach in database systems; becomes increasingly unattractive asgrowing core counts expose its bottlenecks. Spinning implementations improve peak systemthroughput by a factor of 2x or more for 64 hardware contexts; but suffer from poorperformance under load. In this paper we analyze the shifting trade-off between spinningand blocking synchronization; and observe that the trade-off can be simplified by isolating …,Proceedings of the Fifth International Workshop on Data Management on New Hardware,2009,32
Flash in a DBMS: Where and How?,Manos Athanassoulis; Anastasia Ailamaki; Shimin Chen; Phillip Gibbons; Radu Stoica,Abstract Over the past decade; new solid state storage technologies; with flash being themost mature one; have become increasingly popular. Such technologies store data durably;and can alleviate many handicaps of hard disk drives (HDDs). Nonetheless; they have verydifferent characteristics compared to HDDs; making it challenging to integrate suchtechnologies into data intensive systems; such as database management systems (DBMS);that rely heavily on underlying storage behaviors. In this paper; we ask the question: Whereand how will flash be exploited in a DBMS? We describe techniques for making effective useof flash in three contexts:(i) as a log device for transaction processing on memory-residentdata;(ii) as the main data store for transaction processing; and (iii) as an update cache forHDD-resident data warehouses.,IEEE Data Eng. Bull.,2010,28
Energy efficiency in wireless sensor networks: A utility-based architecture,Manoussos Athanassoulis; Ioannis Alagiannis; Stathes Hadjiefthymiades,Abstract—Wireless Sensor Networks (WSN) comprise a fast-developing research area witha vast spectrum of applications. A WSN design is influenced by many factors such astransmission errors; network topology and power consumption. Consequently; developing aWSN application introduces several implementation challenges. In this paper; we describe amulti-criteria architecture in order to achieve energy-aware and consistent messageforwarding over a WSN. Using the proposed architecture a directed acyclic graph (DAG) isformed throughout the WSN. Such DAG is used for multi-source data aggregation to a singlesink. Intermediate nodes evaluate their energy reserve and induced error and decidewhether message retransmission is needed. A sink is necessary in order to collect; processand probably forward these data to a more sophisticated system for further processing …,European Wireless,2007,28
MaSM: Efficient Online Updates in Data Warehouses,Manos Athanassoulis; Shimin Chen; Anastasia Ailamaki; Phillip Gibbons; Radu Ioan Stoica,Abstract Data warehouses have been traditionally optimized for read-only queryperformance; allowing only offline updates at night; essentially trading off data freshness forperformance. The need for 24x7 operations in global markets and the rise of online andother quickly-reacting businesses make concurrent online updates increasingly desirable.Unfortunately; state-of-the-art approaches fall short of supporting fast analysis queries overfresh data. The conventional approach of performing updates in place can dramatically slowdown query performance; while prior proposals using differential updates either requirelarge in-memory buffers or may incur significant update migration cost. This paper presentsa novel approach for supporting online updates in data warehouses that overcomes thelimitations of prior approaches; by making judicious use of available SSDs to cache …,Proceedings of the ACM SIGMOD International Conference on Management of Data,2011,27
Beyond the wall: Near-data processing for databases,Sam Likun Xi; Oreoluwa Babarinsa; Manos Athanassoulis; Stratos Idreos,Abstract The continuous growth of main memory size allows modern data systems toprocess entire large scale datasets in memory. The increase in memory capacity; however;is not matched by proportional decrease in memory latency; causing a mismatch for in-memory processing. As a result; data movement through the memory hierarchy is now oneof the main performance bottlenecks for main memory data systems. Database systemsresearchers have proposed several innovative solutions to minimize data movement and tomake data access patterns hardware-aware. Nevertheless; all relevant rows and columnsfor a given query have to be moved through the memory hierarchy; hence; movement oflarge data sets is on the critical path. In this paper; we present JAFAR; a Near-DataProcessing (NDP) accelerator for pushing selects down to memory in modern column …,Proceedings of the 11th International Workshop on Data Management on New Hardware,2015,23
BF-tree: Approximate Tree Indexing,Manos Athanassoulis; Anastasia Ailamaki,Abstract The increasing volume of time-based generated data and the shift in storagetechnologies suggest that we might need to reconsider indexing. Several workloads-likesocial and service monitoring-often include attributes with implicit clustering because of theirtime-dependent nature. In addition; solid state disks (SSD)(using flash or other low-leveltechnologies) emerge as viable competitors of hard disk drives (HDD). Capacity and accesstimes of storage devices create a trade-off between SSD and HDD. Slow random accessesin HDD have been replaced by efficient random accesses in SSD; but their availablecapacity is one or more orders of magnitude more expensive than the one of HDD. Indexing;however; is designed assuming HDD as secondary storage; thus minimizing randomaccesses at the expense of capacity. Indexing data using SSD as secondary storage …,Proceedings of the VLDB Endowment,2014,22
