Processing private queries over untrusted data cloud through privacy homomorphism,Haibo Hu; Jianliang Xu; Chushi Ren; Byron Choi,Query processing that preserves both the data privacy of the owner and the query privacy ofthe client is a new research problem. It shows increasing importance as cloud computingdrives more businesses to outsource their data and querying services. However; mostexisting studies; including those on data outsourcing; address the data privacy and queryprivacy separately and cannot be applied to this problem. In this paper; we propose aholistic and efficient solution that comprises a secure traversal framework and an encryptionscheme based on privacy homomorphism. The framework is scalable to large datasets byleveraging an index-based approach. Based on this framework; we devise secure protocolsfor processing typical queries such as k-nearest-neighbor queries (kNN) on R-tree index.Moreover; several optimization techniques are presented to improve the efficiency of the …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,188
What are real DTDs like,Byron Choi,Abstract DTDs have proved important in a variety of areas: transformations between XMLand databases; XML storage; XML publishing; consistency analysis of XML specifications;typechecking; and optimization of XML queries. Much of this work depends on certainassumptions about DTDs; eg; the absence of recursion and non-determinism. With thiscomes the need to justify these assumptions against DTDs in the real world. This papersurveys a number of DTDs collected from the Web; and provides statistics with respect to avariety of criteria commonly discussed in XML resesarch.,Technical Reports (CIS),2002,147
-Implementing XQuery 1.0: The Galax Experience,Mary Fernández; Jérôme Siméon; Byron Choi; Amélie Marian; Gargi Sur,This chapter demonstrates the Galax system as well as its most advanced features;including support for XPath 2.0; XML Schema; and static type checking. It also presentssome of the first experiments with optimization. The chapter demonstrates query-rewritingcapabilities in the Galax compiler; and the ability to run queries on documents up to aGigabyte without the need for preindexing. Although early versions of Galax have beenshown in industrial conferences over the past; this is the first time it is demonstrated in thedatabase community. Galax is a light-weight; portable; open-source implementation ofXQuery 1.0. Started in December 2000 as a small prototype designed to test the XQuerystatic type system; Galax has now become a solid implementation; aiming at fullconformance with the family of XQuery 1.0 specifications. Because of its completeness …,*,2003,108
Improving large graph processing on partitioned graphs in the cloud,Rishan Chen; Mao Yang; Xuetian Weng; Byron Choi; Bingsheng He; Xiaoming Li,Abstract As the study of large graphs over hundreds of gigabytes becomes increasinglypopular for various data-intensive applications in cloud computing; developing large graphprocessing systems has become a hot and fruitful research area. Many of those existingsystems support a vertex-oriented execution model and allow users to develop customlogics on vertices. However; the inherently random access pattern on the vertex-orientedcomputation generates a significant amount of network traffic. While graph partitioning isknown to be effective to reduce network traffic in graph processing; there is little attentiongiven to how graph partitioning can be effectively integrated into large graph processing inthe cloud environment. In this paper; we develop a novel graph partitioning framework toimprove the network performance of graph partitioning itself; partitioned graph storage …,Proceedings of the Third ACM Symposium on Cloud Computing,2012,76
Multiple materialized view selection for XPath query rewriting,Nan Tang; Jeffrey Xu Yu; M Tamer Ozsu; Byron Choi; Kam-Fai Wong,We study the problem of answering XPATH queries using multiple materialized views.Despite the efforts on answering queries using single materialized view; answering queriesusing multiple views remains relatively new. We address two important aspects of thisproblem: multiple-view selection and equivalent multiple-view rewriting. With regards to thefirst problem; we propose an NFA-based approach (called VFILTER) to filter views thatcannot be used to answer a given query. We then present the criterion for multipleview/query answerability. Based on the output of VFILTER; we further propose a heuristicmethod to identify a minimal view set that can answer a given query. For the problem ofmultiple-view rewriting; we first refine the materialized fragments of each selected view (likepushing selection); we then join the refined fragments utilizing an encoding scheme …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,69
Vectorizing and querying large XML repositories,Peter Buneman; Byron Choi; Wenfei Fan; Robert Hutchison; Robert Mann; Stratis D Viglas,Vertical partitioning is a well-known technique for optimizing query performance in relationaldatabases. An extreme form of this technique; which we call vectorization; is to store eachcolumn separately. We use a generalization of vectorization as the basis for a native XMLstore. The idea is to decompose an XML document into a set of vectors that contain the datavalues and a compressed skeleton that describes the structure. In order to query thisrepresentation and produce results in the same vectorized format; we consider a practicalfragment of XQuery and introduce the notion of query graphs and a novel graph reductionalgorithm that allows us to leverage relational optimization techniques as well as to reducethe unnecessary loading of data vectors and decompression of skeletons. A preliminaryexperimental study based on some scientific and synthetic XML data repositories in the …,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,68
On the optimality of holistic algorithms for twig queries,Byron Choi; Malika Mahoui; Derick Wood,Abstract Streaming XML documents has many emerging applications. However; in thispaper; we show that the restrictions imposed by data streaming are too restrictive forprocessing twig queries–the core operation for XML query processing. Previous proposedalgorithm TwigStack is an optimal algorithm for processing twig queries with onlydescendent edges over streams of nodes. The cause of the suboptimality of the TwigStackalgorithm is the structurally recursions appearing in XML documents. We show that withoutrelaxing the data streaming model; it is not possible to develop an optimal holistic algorithmfor twig queries. Also the computation of the twig queries is not memory bounded. Thismotivates us to study two variations of the data streaming model:(1) offline sorting is allowedand the algorithm is allowed to select the correct nodes to be streamed and (2) multiple …,International Conference on Database and Expert Systems Applications,2003,61
The Xquery formal semantics: A foundation for implementation and optimization,Byron Choi; Mary Fernandez; Jerome Simeon,Abstract XQuery is a strongly typed; functional language; which supports the commonprocessing; transformation; and querying tasks of a wide variety of XML applications.Following the tradition of other functional languages; XQuery includes a complete formalsemantics. In this paper; we argue that basing an XQuery implementation on the XQueryFormal Semantics not only ensures correctness; but is a good foundation for optimization.We describe an architecture that we have implemented and that is based on the XQueryFormal Semantics and describe several logical and physical optimizations that can be easilyintegrated in the above architecture.,Bell Labs Research,2002,48
On incremental maintenance of 2-hop labeling of graphs,Ramadhana Bramandia; Byron Choi; Wee Keong Ng,Abstract Recent interests on XML; Semantic Web; and Web ontology; among other topics;have sparked a renewed interest on graph-structured databases. A fundamental query ongraphs is the reachability test of nodes. Recently; 2-hop labeling has been proposed toindex large collections of XML and/or graphs for efficient reachability tests. However; therehas been few work on updates of 2-hop labeling. This is compounded by the fact that Webdata changes over time. In response to these; this paper studies the incrementalmaintenance of 2-hop labeling. We identify the main reason for the inefficiency of updates ofexisting 2-hop labels. We propose two updatable 2-hop labelings; hybrids of 2-hop labeling;and their incremental maintenance algorithms. The proposed 2-hop labeling is derived fromgraph connectivities; as opposed to set cover which is used by all previous work. Our …,Proceedings of the 17th international conference on World Wide Web,2008,41
PCMLogging: reducing transaction logging overhead with PCM,Shen Gao; Jianliang Xu; Bingsheng He; Byron Choi; Haibo Hu,Abstract Phase Changing Memory (PCM); as one of the most promising next-generationmemory technologies; offers various attractive properties such as non-volatility; bit-alterability; and low idle energy consumption. In this paper; we present PCMLogging; anovel logging scheme that exploits PCM devices for both data buffering and transactionlogging in disk-based databases. Different from the traditional approach where bufferedupdates and transaction logs are completely separated; they are integrated in the newlogging scheme. Our preliminary experiments show an up to 40% improvement ofPCMLogging in disk I/O performance in comparison with a basic buffering and loggingscheme.,Proceedings of the 20th ACM international conference on Information and knowledge management,2011,39
